SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
2000,1067,2255,1613,1187,1283,287,91,7795,188,212,146,103,122,30,10,809,51,90,62,51,56,14,7,329,1756,3849,3034,2389,2890,680,232,14830,46,111,103,72,78,16,7,427,99,179,106,96,80,10,0,579,146,292,209,167,162,24,9,1003,1903,4139,3242,2555,3052,708,239,15838,2169,2263,1332,957,827,193,69,7817,67,78,69,46,28,5,0,288,4138,6480,4644,3560,3900,906,312,23939
2001,33,98,84,46,62,23,10,347,14,4,12,5,0,0,0,37,3,4,6,0,0,0,0,15,80,189,174,111,133,60,33,780,6,7,6,3,0,0,0,26,11,10,5,0,4,0,0,29,19,15,10,7,3,0,0,53,94,208,187,124,135,60,33,831,115,118,77,39,51,14,15,422,0,0,0,0,3,0,0,3,208,328,266,157,182,71,39,1256
2002,47,73,37,38,38,8,4,251,9,3,3,4,5,0,0,30,5,4,0,0,0,0,0,5,76,116,77,79,97,18,9,465,4,6,4,3,0,0,0,17,5,6,0,0,4,0,0,12,7,14,3,5,4,0,0,30,80,128,79,85,96,20,9,493,88,102,52,39,32,6,0,316,0,7,3,5,5,0,0,16,173,238,136,123,135,22,4,832
2003,279,579,365,266,303,75,29,1893,62,62,22,26,24,7,3,217,14,22,13,5,0,0,0,58,468,939,702,543,693,182,93,3622,22,31,26,19,42,5,5,150,35,56,35,16,18,5,0,169,59,85,67,37,59,8,3,318,527,1024,769,578,753,194,94,3939,577,563,330,225,215,60,15,1989,6,15,15,14,3,0,0,54,1111,1603,1109,819,975,256,112,5988
2004,276,519,355,238,278,63,18,1750,63,58,30,11,22,5,3,196,12,26,13,5,4,3,0,71,466,900,700,510,609,178,67,3427,17,39,16,15,8,4,0,99,18,41,28,21,20,0,0,123,33,75,40,32,29,6,0,224,501,977,739,545,634,186,69,3650,542,567,289,225,206,39,24,1886,16,24,14,6,6,3,0,69,1062,1564,1044,775,846,231,90,5608
2005,14,66,49,31,31,3,4,197,7,4,7,3,4,0,0,27,0,0,0,0,0,0,0,0,20,92,84,53,67,12,5,342,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,25,96,84,62,71,12,5,356,42,24,13,17,18,0,0,126,0,0,0,0,5,0,0,4,67,123,100,74,95,18,6,478
2006,35,59,35,34,40,7,3,217,8,5,5,5,4,0,0,22,0,0,4,5,3,0,0,12,51,96,65,63,81,17,3,375,0,0,3,0,0,0,0,4,7,6,3,0,0,0,0,7,7,4,4,0,0,0,0,15,52,102,71,63,81,17,3,392,53,65,32,16,14,0,0,187,0,3,0,0,0,0,0,3,108,171,104,79,97,16,3,579
2007,31,80,60,43,45,3,10,278,14,12,0,7,4,5,0,45,0,5,0,4,4,0,0,10,65,157,123,94,119,18,7,580,4,4,6,7,3,0,0,26,6,4,6,0,3,0,0,16,13,6,9,13,6,0,0,46,75,169,130,100,125,18,7,630,105,90,61,24,35,3,0,320,3,3,5,0,0,0,0,10,187,259,192,133,160,17,7,962
2008,473,1105,729,533,664,208,101,3810,95,108,75,57,59,25,5,417,26,35,27,12,25,7,5,130,867,1951,1452,1120,1569,565,269,7793,18,48,40,30,40,13,4,196,59,112,61,29,23,9,4,306,80,160,104,62,67,26,6,507,943,2113,1555,1180,1632,588,276,8297,844,942,572,419,435,169,81,3449,43,31,16,12,6,3,0,111,1829,3084,2138,1610,2081,765,357,11858
2009,36,70,43,42,59,23,3,273,3,10,0,7,5,4,0,29,0,0,0,0,0,0,0,0,51,125,97,102,133,51,18,574,4,0,0,0,0,0,0,4,0,4,0,0,5,3,0,14,4,4,0,0,5,3,0,18,52,131,98,99,135,57,16,593,32,21,17,9,11,5,3,100,6,5,0,0,0,0,0,8,88,152,116,116,145,60,24,704
