SUA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
2000,293,287,187,140,57,0,0,0,965,38,75,90,71,115,0,0,0,384,54,439,880,1679,2688,5446,3213,1860,16260,386,803,1154,1886,2855,5446,3213,1860,17606,32269,30035,32579,40101,48688,44697,21640,4652,254655,3388,3510,3933,4134,4274,3989,2357,1025,26613,36044,34352,37663,46126,55812,54129,27203,7533,298872,102,38,20,25,15,0,0,0,202,3,19,16,23,23,0,0,0,90,32,104,211,459,677,494,170,136,2288,141,164,247,514,708,494,170,136,2576,29394,31706,35827,43631,52643,47276,23732,9065,273273,2877,2713,3123,3234,3600,3469,2628,1673,23313,32414,34580,39196,47378,56946,51245,26527,10876,299168,394,324,205,163,65,0,0,0,1164,40,94,110,98,133,0,0,0,470,89,543,1085,2142,3362,5945,3386,1994,18552,529,966,1404,2400,3562,5945,3386,1994,20184,61665,61744,68402,83736,101331,91965,45365,13717,527935,6266,6228,7051,7367,7871,7456,4984,2695,49925,68456,68929,76856,93509,112766,105370,53737,18413,598038
2001,0,7,7,0,0,0,0,0,8,0,3,0,5,3,0,0,0,15,7,26,47,64,79,121,59,35,433,10,34,50,65,83,121,59,35,461,1323,1624,1577,1383,1121,962,433,97,8516,50,81,66,62,52,45,34,8,397,1380,1735,1692,1510,1260,1134,526,145,9369,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,7,9,13,24,9,5,3,76,0,9,9,18,24,9,5,3,80,1327,1751,1675,1549,1319,1173,611,265,9670,65,71,65,54,61,57,46,18,439,1389,1830,1750,1620,1407,1245,659,293,10187,0,3,7,0,0,0,0,0,11,0,9,0,6,3,0,0,0,16,8,29,58,83,107,133,60,42,509,5,41,64,89,105,133,60,42,536,2648,3374,3253,2935,2448,2135,1040,368,18187,115,151,129,110,113,111,81,27,829,2767,3571,3442,3135,2664,2371,1187,431,19557
2002,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,5,6,18,30,37,128,97,63,384,5,4,21,36,40,128,97,63,397,777,807,662,734,813,802,503,112,5217,63,55,54,54,62,63,75,47,466,845,865,738,826,916,993,674,226,6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,10,8,7,0,41,0,4,8,10,10,8,7,0,46,738,874,783,894,1021,1039,719,240,6307,49,64,53,60,65,77,79,102,551,795,946,841,960,1091,1124,805,339,6900,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,9,5,12,26,41,45,136,110,63,430,5,13,29,41,46,136,110,63,437,1523,1678,1445,1626,1832,1847,1223,355,11522,115,120,106,111,127,136,149,146,1016,1638,1807,1580,1787,2010,2117,1477,567,12979
2003,4,3,4,9,6,0,0,0,34,6,21,10,5,12,0,0,0,50,17,104,157,265,367,514,426,248,2101,22,128,173,282,390,514,426,248,2189,6553,7081,6059,5840,5458,4562,2343,628,38528,379,417,305,317,276,268,206,137,2311,6963,7627,6541,6439,6124,5345,2967,1015,43024,0,4,0,4,0,0,0,0,13,3,3,5,4,0,0,0,0,14,5,19,33,64,92,58,17,11,301,6,28,38,67,92,58,17,11,318,6574,7341,6985,6778,6550,5976,3336,1521,45057,403,408,316,281,256,288,305,297,2554,6981,7775,7337,7125,6896,6325,3662,1834,47933,4,11,4,14,8,0,0,0,44,8,22,16,7,12,0,0,0,63,22,119,195,328,459,574,441,265,2400,30,156,216,345,485,574,441,265,2508,13126,14424,13045,12616,12008,10538,5674,2153,83588,788,826,615,601,528,557,509,436,4860,13946,15403,13881,13566,13020,11670,6629,2851,90958
2004,3,0,4,3,4,0,0,0,19,3,21,18,14,10,0,0,0,69,11,107,169,267,316,568,444,337,2225,14,133,188,288,330,568,444,337,2309,5830,6187,5476,5158,5015,4385,2271,579,34906,326,402,316,322,300,252,195,165,2280,6180,6723,5982,5766,5649,5212,2909,1081,39492,0,3,6,0,0,0,0,0,6,3,0,3,5,4,0,0,0,10,6,19,35,65,86,61,15,22,306,6,25,46,65,89,61,15,22,327,5987,6853,6223,6001,6192,5571,3142,1397,41363,299,387,333,303,289,253,286,312,2464,6293,7259,6600,6367,6563,5887,3449,1728,44151,3,5,7,8,4,0,0,0,30,3,23,21,15,13,0,0,0,81,14,127,203,327,405,627,465,359,2534,22,160,235,350,418,627,465,359,2641,11820,13034,11696,11156,11206,9957,5410,1982,76261,626,787,650,621,590,514,486,474,4741,12471,13979,12582,12136,12212,11096,6354,2812,83646
2005,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,25,25,72,56,33,214,0,5,5,23,26,72,56,33,221,391,382,529,596,673,682,347,78,3677,75,227,176,124,67,65,53,57,846,471,615,713,746,771,819,457,169,4743,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,7,10,0,0,37,5,0,0,6,7,10,0,0,43,352,419,629,732,814,895,523,163,4527,28,24,28,49,38,55,81,141,433,379,442,657,788,856,967,605,303,4999,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,8,7,6,3,30,35,83,62,32,251,9,6,5,31,36,83,62,32,264,740,802,1156,1327,1488,1574,870,241,8206,98,244,202,170,108,126,132,200,1279,844,1057,1365,1533,1631,1779,1064,472,9742
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,24,27,60,57,42,226,0,7,10,24,27,60,57,42,227,685,796,665,673,674,609,404,105,4622,27,54,36,35,27,39,35,17,272,716,852,714,727,736,708,492,173,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,3,0,5,29,0,4,0,3,9,3,0,5,29,642,757,663,726,781,774,512,291,5144,29,40,32,27,31,50,50,26,292,668,799,698,767,819,826,561,327,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,27,34,65,51,52,253,0,9,14,27,34,65,51,52,254,1326,1557,1330,1400,1458,1379,917,400,9767,56,91,67,63,61,93,79,48,563,1387,1657,1409,1489,1553,1536,1056,502,10580
2007,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,6,3,14,48,56,154,136,72,490,3,4,23,48,63,154,136,72,495,1099,1045,989,1177,1314,1298,740,166,7828,81,82,58,91,71,87,75,49,600,1191,1136,1066,1314,1446,1532,949,290,8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,14,11,6,4,59,0,8,0,15,14,11,6,4,59,1092,1144,1178,1374,1549,1542,916,338,9136,61,65,60,65,72,78,120,126,636,1153,1214,1240,1449,1644,1634,1034,466,9829,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,6,12,19,61,73,161,140,77,543,3,14,23,61,79,161,140,77,558,2198,2192,2165,2550,2863,2845,1651,505,16961,142,152,118,154,145,159,195,175,1237,2338,2351,2308,2763,3085,3166,1985,753,18753
2008,17,12,19,14,10,0,0,0,70,17,43,39,27,29,0,0,0,153,37,243,376,553,786,1408,988,615,5009,65,299,436,601,823,1408,988,615,5239,16470,18331,16678,15658,14301,12393,6325,1825,101981,1008,1470,1150,936,750,684,509,292,6794,17551,20094,18266,17197,15871,14489,7821,2727,114008,4,3,3,4,0,0,0,0,17,5,3,9,7,6,0,0,0,26,6,41,102,151,208,161,50,45,758,15,51,109,163,215,161,50,45,803,15966,19140,18600,17650,17069,15394,8703,3805,116327,848,898,849,711,629,799,703,550,5981,16832,20083,19555,18523,17905,16358,9450,4403,123112,21,17,19,20,9,0,0,0,88,24,46,40,37,39,0,0,0,178,40,283,477,708,989,1568,1040,659,5774,79,348,544,765,1037,1568,1040,659,6042,32440,37466,35278,33311,31368,27792,15024,5630,218310,1857,2362,1997,1649,1371,1488,1210,840,12771,34379,40178,37815,35719,33780,30849,17271,7134,237121
2009,0,0,0,7,0,0,0,0,9,5,3,11,0,3,0,0,0,21,7,20,44,79,74,117,88,30,443,8,21,56,83,82,117,88,30,474,1277,790,1316,1453,1333,949,469,77,7668,70,29,53,69,63,47,29,19,384,1361,837,1423,1603,1476,1113,587,127,8530,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,3,3,16,17,6,3,0,47,5,3,3,23,18,6,3,0,56,1094,858,1577,1672,1406,1151,551,141,8443,66,32,54,75,47,57,30,50,417,1160,887,1638,1776,1475,1210,581,192,8914,0,0,0,3,0,0,0,0,9,4,3,11,3,9,0,0,0,34,3,21,47,93,93,118,90,30,491,13,20,58,100,100,118,90,30,533,2369,1643,2894,3127,2740,2099,1013,223,16114,137,56,115,148,111,100,60,68,800,2519,1727,3066,3378,2951,2322,1172,319,17437
