SUA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
2000,48,1387,680,250,1728,0.7,1331,2.4
2001,37,1733,823,340,2156,0.8,1807,2.7
2002,45,1300,648,280,1516,0.7,1194,2.3
2003,38,1473,743,300,1869,0.7,1427,2.4
2004,39,1408,744,295,1857,0.7,1435,2.4
2005,50,1408,683,310,1676,0.7,1200,2.1
2006,42,1300,701,260,1701,0.7,1250,2.3
2007,46,1517,705,290,1745,0.7,1347,2.4
2008,39,1733,790,350,2113,0.8,1660,2.5
2009,42,2167,936,420,2625,0.8,2293,2.8
2010,40,1203,766,245,1820,0.7,1347,2.3
2011,37,2000,841,390,2243,0.9,1900,2.6
2012,40,1300,697,265,1711,0.8,1352,2.4
2013,44,1127,612,215,1558,0.7,1119,2.2
2014,47,1105,631,250,1551,0.7,1200,2.2
2015,42,1300,702,280,1777,0.7,1331,2.3
2016,38,1300,709,270,1737,0.8,1387,2.5
2017,38,1300,754,235,1802,0.8,1390,2.3
2018,40,1250,676,250,1730,0.7,1295,2.3
2019,44,1300,708,260,1732,0.7,1242,2.2
2020,40,1625,731,325,1896,0.7,1517,2.5
2021,42,1430,760,295,1895,0.7,1425,2.3
