SUA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
2000,11,27,37,346,240,460,1122,684,219,3136,0,3,0,30,47,144,241,178,63,714,0,12,22,115,25,41,30,5,4,264,19,146,197,1624,196,195,169,112,27,2684,0,27,38,204,77,37,57,28,12,482,0,10,8,62,14,11,13,4,0,118,0,9,9,39,24,18,8,0,0,103,3,43,44,320,164,222,232,160,45,1226,0,15,18,135,101,365,964,715,365,2685,0,19,23,125,65,42,40,13,0,310,0,8,10,98,15,10,6,0,0,145,0,4,5,43,29,28,26,10,3,150,6,62,178,940,267,213,82,19,3,1777,0,0,10,26,47,196,406,198,46,924,0,0,12,50,34,66,63,20,4,250,0,9,21,135,49,27,19,8,3,271,5,3,49,301,8,0,0,0,0,369,0,14,30,202,216,416,1375,910,238,3400,34,277,433,1882,1663,1982,1449,516,85,8324,0,0,0,19,30,51,65,16,4,187
2001,0,0,0,6,10,7,51,22,13,110,0,0,0,3,0,6,10,17,0,39,0,0,0,6,3,0,0,0,0,9,8,43,59,521,12,28,20,3,0,708,0,0,0,6,0,0,0,0,0,15,0,0,0,3,5,7,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,13,14,9,6,3,0,56,0,0,0,3,8,22,30,19,7,81,0,0,3,3,0,3,0,0,0,15,0,0,0,7,3,0,0,0,0,13,0,0,0,6,4,0,0,0,0,8,0,4,4,10,5,0,3,0,0,27,0,0,3,19,11,26,57,14,8,141,0,0,0,7,4,9,0,0,0,12,0,3,0,6,3,0,0,0,0,17,0,0,0,3,0,0,0,0,0,5,0,0,3,6,13,11,43,16,11,101,4,21,16,126,76,49,37,16,4,353,0,0,0,4,0,8,3,0,5,22
2002,0,0,0,6,0,9,22,27,10,74,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,4,0,0,0,13,0,12,9,64,6,4,3,0,0,94,0,0,0,5,0,0,0,0,0,10,0,4,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,0,17,0,0,0,0,0,3,12,29,11,55,0,0,0,0,0,0,0,0,3,6,0,0,3,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,5,28,6,5,0,0,0,47,0,0,0,0,0,0,4,4,0,13,0,0,0,0,0,4,3,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,15,0,0,0,3,0,5,30,24,4,72,0,0,0,26,21,32,42,13,8,143,0,0,0,0,0,0,0,0,0,0
2003,0,6,9,34,31,28,114,60,20,308,0,0,0,0,0,0,21,25,8,62,0,10,13,19,13,8,8,0,0,69,17,90,311,1177,149,41,39,18,0,1846,0,5,13,37,17,0,8,4,3,90,0,0,9,35,12,0,3,4,0,72,0,8,3,23,14,3,0,0,0,51,5,3,12,47,28,16,31,17,18,175,0,4,0,14,9,22,60,25,29,167,0,3,7,38,21,6,3,0,7,87,0,4,7,45,7,6,0,0,0,66,0,0,0,8,0,5,0,0,0,14,0,19,28,90,38,40,24,9,3,251,0,0,0,0,3,8,36,17,6,63,0,0,0,26,3,4,3,0,0,35,0,0,0,7,8,0,4,0,0,17,0,6,61,143,4,0,0,0,0,212,0,4,6,20,12,32,184,176,58,488,5,48,70,278,171,184,131,50,16,962,0,0,0,3,3,6,0,0,0,15
2004,0,4,7,19,17,24,58,47,10,188,0,0,0,6,0,14,9,12,9,53,0,6,10,15,4,4,5,0,0,59,8,91,122,794,91,36,32,12,3,1202,0,0,6,27,25,14,0,4,0,81,0,12,11,19,9,4,0,0,0,56,0,0,0,10,0,4,5,3,0,25,0,3,0,33,10,18,20,13,4,113,0,0,0,9,0,24,44,27,13,123,0,4,5,16,5,6,0,0,0,30,5,7,5,47,3,8,0,0,0,68,0,0,4,10,0,3,3,0,0,19,0,15,33,122,49,27,30,5,4,276,0,0,0,0,0,0,21,9,0,34,0,0,3,21,4,4,0,3,0,38,4,8,65,410,136,77,46,21,4,769,0,3,13,108,6,0,0,0,0,127,0,0,5,9,8,16,74,74,20,205,4,46,55,194,146,153,83,43,8,722,0,0,0,0,0,0,4,0,0,9
2005,0,0,0,5,6,13,21,10,5,60,0,0,0,4,0,0,5,4,0,15,0,0,0,5,0,0,0,0,0,12,0,5,0,34,3,0,3,3,0,49,0,0,0,4,4,5,0,0,0,13,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,5,3,3,6,4,3,23,0,0,0,4,0,0,12,0,3,21,0,0,3,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,7,0,0,0,15,5,6,9,0,0,31,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,13,12,0,42,4,7,4,52,35,37,29,9,0,176,0,0,0,0,0,0,0,0,0,4
2006,0,0,0,0,6,0,8,9,3,21,0,0,0,0,0,0,4,0,0,5,0,0,6,9,0,0,0,0,0,12,0,4,5,45,3,0,0,0,0,61,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,0,0,0,4,0,0,12,14,11,36,0,3,0,5,5,0,0,0,0,3,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,17,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,9,16,5,32,0,3,13,38,19,24,10,5,3,116,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,5,0,4,16,6,6,45,0,0,0,0,0,0,0,6,0,12,0,0,0,8,0,5,0,0,0,13,3,13,3,92,5,3,4,0,4,131,0,0,0,5,5,0,0,0,0,7,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,12,8,0,9,4,0,39,0,0,0,0,0,4,18,14,10,51,0,4,0,4,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,8,5,7,0,0,0,29,0,0,0,0,0,0,7,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,30,0,0,0,3,0,4,19,23,4,55,0,7,14,62,38,45,35,19,4,214,0,0,0,0,0,0,0,0,0,5
2008,4,17,19,171,111,113,482,302,179,1396,0,4,10,14,36,58,125,133,56,435,4,44,43,95,25,29,29,0,3,267,38,212,714,3623,235,119,111,49,18,5118,3,12,35,158,64,17,30,4,5,333,6,54,88,253,58,47,15,10,5,529,0,33,37,104,52,29,13,4,0,280,3,44,40,247,121,106,99,60,38,768,3,5,24,117,72,211,490,405,273,1600,0,19,14,86,52,16,9,0,3,204,0,22,29,128,24,3,7,0,0,209,4,4,10,31,22,40,19,8,0,132,0,48,77,294,115,102,61,23,10,719,0,0,0,13,14,67,162,87,15,355,0,6,31,65,26,26,0,4,0,166,4,13,69,275,93,54,36,10,3,553,0,9,47,290,8,0,0,0,0,355,0,24,18,71,61,114,547,407,166,1411,27,150,246,1079,591,480,352,140,34,3099,0,4,3,68,77,155,221,119,52,699
2009,0,0,0,7,5,17,41,37,8,118,0,0,0,0,0,9,6,6,5,19,0,5,3,3,0,0,0,0,0,14,0,0,5,45,9,16,3,10,0,96,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,29,14,9,13,4,3,74,0,0,0,4,4,30,38,21,4,102,0,0,0,5,3,0,3,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,7,4,0,6,0,0,24,0,0,0,4,5,25,51,14,0,96,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,5,0,10,7,3,25,11,0,55,5,9,15,89,92,53,26,12,6,313,0,0,0,0,5,0,5,0,0,6
2010,0,0,0,5,0,0,10,4,3,21,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,4,9,15,10,108,19,12,3,0,0,176,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,3,0,3,0,0,17,0,0,0,4,4,5,5,20,9,49,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,5,3,0,0,52,0,3,0,28,0,0,0,0,0,34,0,0,0,0,0,0,16,19,9,38,0,0,7,26,13,13,8,0,4,74,0,0,0,0,0,0,0,0,0,0
2011,71,289,688,3715,2103,2010,4345,3848,1564,18631,28,431,884,2191,2531,6415,10758,15332,6276,44848,222,1588,2322,9611,3148,3719,2932,648,200,24383,2125,13984,24719,153922,21105,12325,8752,3628,1142,241697,98,593,3004,9699,2724,1209,1303,473,129,19239,87,1431,2191,11611,2791,1525,829,345,99,20903,61,2244,2959,9754,4476,3086,1593,670,176,25023,57,556,567,6750,1833,1651,1530,1052,499,14496,26,352,625,4717,2454,8007,15889,15884,9738,57681,113,562,824,3812,1832,646,440,131,63,8421,91,668,1564,8299,2500,979,409,169,34,14708,105,379,717,4897,3936,4007,2778,1177,304,18302,269,2696,6598,24306,7523,6981,6197,2171,492,57228,0,27,74,481,658,2253,5771,4193,1341,14804,12,124,717,4027,1447,2231,1823,884,391,11649,27,435,1922,6355,1839,944,528,223,96,12370,45,327,4951,12120,629,262,131,27,0,18500,28,219,343,1290,948,1141,3182,2705,1255,11116,940,7368,10470,32038,12856,9975,5354,2033,564,81598,11,112,274,3090,2762,3963,4862,2224,671,17980
2012,0,0,0,19,9,12,42,19,7,111,0,0,0,3,0,16,34,47,19,117,0,3,8,40,0,11,5,0,0,68,3,41,42,366,62,27,18,9,0,571,0,5,0,30,9,5,0,0,0,51,0,3,3,13,3,0,0,0,0,26,0,10,0,13,16,6,0,0,0,50,0,12,0,9,0,8,3,3,4,41,0,0,3,23,6,49,155,163,113,510,0,0,0,18,0,0,0,0,0,20,0,0,8,38,3,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,7,37,121,655,143,38,7,3,0,1012,0,0,0,0,0,0,4,3,5,12,0,0,0,10,0,0,0,0,0,18,0,5,3,16,0,0,0,0,0,25,0,0,10,60,0,0,0,0,0,70,0,0,0,5,4,12,27,16,11,74,3,36,39,132,83,68,48,31,5,440,0,0,0,6,0,0,0,0,0,4
2013,0,3,4,8,7,5,87,43,15,172,0,0,0,3,0,3,10,0,7,20,0,0,0,0,0,3,0,0,0,6,0,0,9,23,3,0,5,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,6,28,0,0,0,0,0,5,19,9,20,56,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,8,6,12,0,0,0,25,0,0,0,3,0,17,50,48,20,140,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,8,0,0,0,8,7,20,58,79,32,210,0,5,6,45,34,40,39,19,3,178,0,0,0,0,0,0,0,7,0,5
2014,0,0,0,0,5,0,8,11,3,23,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,3,24,3,5,0,0,0,38,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,6,0,0,0,3,0,3,3,0,5,16,0,0,0,5,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,3,9,6,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,27,0,0,0,0,0,0,26,17,8,56,0,9,9,24,33,40,26,8,0,143,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,6,0,4,25,16,5,56,0,0,0,0,0,0,3,0,0,9,0,0,0,4,0,0,0,0,0,8,3,9,16,101,17,3,5,0,0,151,0,0,0,6,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,9,0,0,0,9,3,0,5,3,0,26,0,0,4,0,0,4,16,20,7,47,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,8,12,3,0,55,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,8,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,18,0,0,0,3,0,7,21,33,12,81,0,11,7,38,27,30,23,13,4,152,0,0,0,0,0,3,0,0,0,3
2016,0,0,4,12,12,12,29,18,6,96,0,5,8,6,4,15,38,40,32,141,4,0,0,27,0,0,0,0,0,40,14,98,144,1214,184,117,71,12,3,1861,0,0,9,34,17,6,0,0,0,67,0,34,44,27,3,3,5,0,0,116,0,38,49,243,89,58,20,5,0,494,0,14,4,8,3,8,13,6,4,58,0,4,0,10,12,61,182,195,98,575,0,0,0,10,9,0,0,0,0,14,0,0,0,6,0,5,0,0,0,16,0,0,0,3,0,0,0,0,0,6,4,44,46,404,83,36,11,0,0,633,0,0,0,0,0,0,6,9,0,10,0,0,3,6,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,12,0,3,19,67,10,3,0,0,0,104,0,0,0,7,3,13,51,33,14,120,0,61,86,123,78,77,50,29,3,513,0,0,0,7,0,7,19,20,10,71
