SUA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
2000,1779,314,3746,1800,1333,1139,558,1654,161,12481,23,15,14,20,8,11,12,59,3,164,696,609,379,441,378,149,309,343,127,3432,1391,461,1252,789,575,608,728,1313,959,8072,39012,47407,35625,26698,19934,9448,9866,16795,3608,208400
2001,34,19,134,57,62,38,22,37,3,410,0,0,4,0,0,4,0,4,0,5,17,21,25,15,16,4,16,17,5,134,32,11,44,26,29,25,24,20,51,256,953,1892,1608,1137,1049,397,477,450,141,8112
2002,25,4,76,58,42,40,14,56,0,316,0,0,0,0,0,0,0,3,0,8,8,3,8,8,7,8,0,7,0,51,9,7,26,12,17,9,10,25,22,138,459,990,687,643,474,250,186,336,75,4090
2003,224,47,649,348,241,210,84,226,14,2051,0,6,3,4,4,3,0,11,0,28,89,121,72,82,85,41,47,40,21,587,75,64,140,88,87,62,62,108,111,809,4457,11266,5441,5154,4143,1940,1288,1957,451,36096
2004,205,45,632,339,204,169,92,252,24,1965,4,5,8,0,5,3,3,11,0,36,67,95,48,62,57,32,46,37,13,456,58,67,117,84,50,62,79,108,143,768,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
2005,18,5,59,14,17,10,0,16,0,133,0,0,0,0,0,0,0,0,0,3,26,33,4,7,15,7,4,6,3,103,13,11,11,9,8,5,8,3,7,78,453,1334,464,432,300,132,80,177,52,3426
2006,23,3,106,39,20,25,23,63,3,308,0,0,0,0,0,0,0,3,0,3,12,6,3,7,13,4,4,9,0,54,14,8,19,7,10,10,12,33,27,136,379,615,606,598,293,171,195,478,60,3389
2007,61,4,206,78,51,42,27,57,9,534,0,0,0,0,0,0,0,5,0,10,13,10,11,10,9,7,9,12,0,85,30,9,32,15,17,16,24,34,25,199,919,1595,1241,951,609,348,268,455,83,6472
2008,587,150,1803,868,576,517,278,568,60,5392,7,9,8,9,9,10,4,16,4,74,241,358,180,259,218,87,111,137,55,1646,231,222,396,267,214,162,147,285,414,2332,13193,31040,15643,13862,10557,5116,3851,5607,1537,100407
2009,42,11,97,43,54,26,11,27,5,311,0,0,0,0,0,0,0,0,0,4,26,45,17,25,27,7,11,7,0,169,25,15,34,12,16,12,14,11,36,185,1396,2586,1388,836,901,323,259,304,116,8117
2010,47,14,122,50,48,46,20,23,0,364,0,0,0,0,0,0,0,5,0,10,8,10,8,16,5,0,0,4,0,60,26,11,18,11,9,5,18,26,20,147,713,1407,869,791,549,264,228,291,81,5186
2011,9254,2704,24673,12163,9680,7376,5778,7835,1030,80494,122,145,186,175,151,148,164,305,40,1446,5626,7981,3139,4021,4874,2124,2341,2164,1073,33343,3906,4188,5532,3676,3882,2622,3195,3808,8371,39174,267410,609215,216716,185077,210929,95555,69778,83954,31556,1770192
2012,118,36,315,148,97,112,57,138,15,1024,10,3,0,4,0,0,0,16,0,33,25,27,21,35,8,5,23,38,5,203,75,43,89,60,51,53,48,112,111,641,2016,3741,2348,2154,1503,771,648,1165,276,14623
2013,29,18,97,60,44,38,21,46,9,358,0,0,0,0,0,0,0,0,0,4,17,9,10,13,4,4,3,11,6,80,18,13,49,22,16,25,16,40,39,238,515,1007,1296,977,670,272,346,455,114,5647
2014,19,3,50,31,20,26,10,25,7,202,0,0,0,0,0,0,0,0,0,5,6,7,15,10,4,4,4,8,0,49,7,7,9,16,7,9,19,22,20,118,287,691,533,514,260,124,209,214,63,2894
2015,36,8,97,52,25,27,4,39,3,298,5,0,0,0,0,0,0,0,0,6,16,19,7,4,3,6,3,5,0,63,18,11,15,14,12,9,8,15,10,97,599,1348,737,709,432,209,136,258,68,4493
2016,93,23,289,142,113,99,54,132,10,965,0,0,0,0,0,6,0,10,0,15,33,36,31,23,17,10,23,32,4,217,63,36,67,33,38,41,46,101,83,507,1826,4036,2306,2149,1469,767,591,1285,245,14665
2017,17,8,74,43,30,20,6,28,7,231,0,0,0,0,0,0,0,4,0,5,8,12,10,6,0,6,4,9,3,46,14,4,7,7,3,7,7,23,13,91,437,844,528,467,324,167,97,268,54,3188
2018,88,16,238,125,136,70,26,79,7,805,0,0,0,0,0,0,0,0,0,4,15,20,37,17,21,3,20,24,4,162,32,21,67,42,35,25,42,59,52,361,1193,3067,2210,1685,1462,564,606,776,197,11765
2019,49,5,144,64,39,54,27,69,0,451,0,0,0,0,0,0,0,0,0,0,5,10,7,6,9,8,9,10,0,65,23,13,20,13,23,16,17,34,36,183,672,1623,952,1007,575,329,259,427,88,5925
2020,77,25,233,116,95,81,42,94,12,788,0,0,0,6,3,0,0,0,0,13,35,27,24,36,23,6,16,18,9,198,47,31,47,43,37,20,39,58,72,383,1724,3363,2414,1917,1426,670,647,1085,209,13458
2021,93,23,290,145,70,98,21,121,14,874,0,0,0,5,0,0,0,11,0,13,24,28,23,22,19,11,12,16,8,156,31,21,38,31,19,30,20,73,48,312,1390,3312,1855,1696,1163,615,387,895,164,11477
