SUA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,..,775,1108,456,802,1316,1037,394,59,5958,..,710,1863,1824,3698,8278,10427,8314,4172,39286,794,1192,977,572,681,1111,965,381,146,6810,52816,29054,31196,35496,43445,51676,45977,23482,7349,320510,..,647,18605,38097,47842,60282,58625,27523,4636,256251,..,4904,17736,12515,12742,10592,5875,1540,170,66071,..,554,3123,5469,7081,4231,2226,1595,1122,25394,107400,..,..,..,..,..,..,..,..,107400,..,25713,..,..,..,..,..,..,..,25713,..,20358,9271,3533,2752,1564,301,5,0,37787,..,1953,1192,577,963,1898,2045,1344,793,10778,..,1511,1545,654,600,536,328,112,36,5325,..,1790,2749,1248,1730,2660,2245,876,131,13433,..,1600,4683,4929,9111,17526,20200,13566,6048,77661,1613,2306,2280,1485,1661,2208,2036,808,240,14639,109010,61341,61193,68500,84494,101498,93888,47371,13178,640465
2001,..,32,34,17,23,23,18,5,0,146,..,24,103,68,126,201,267,258,107,1148,15,55,27,8,13,16,17,8,0,160,2367,1330,1764,1690,1568,1337,1153,579,176,11955,..,24,1179,2010,1771,1543,1421,566,97,8614,..,227,1027,548,417,227,83,24,9,2556,..,13,150,319,329,180,70,36,26,1138,4932,..,..,..,..,..,..,..,..,4932,..,1146,..,..,..,..,..,..,..,1146,..,864,497,129,65,39,3,0,0,1595,..,106,100,26,49,73,116,53,20,536,..,77,76,18,11,26,17,0,0,235,..,68,97,41,46,41,47,15,5,358,..,50,230,191,281,369,418,349,131,2022,34,74,55,33,34,26,25,16,0,312,4967,2656,3415,3323,3014,2528,2198,1050,287,23433
2002,..,38,65,16,23,19,28,11,5,205,..,27,69,62,108,225,297,299,159,1244,12,21,15,7,16,11,26,13,10,116,1234,732,888,777,904,1004,1033,720,242,7537,..,21,475,690,830,1002,1153,738,149,5056,..,184,506,246,217,172,104,28,5,1463,..,37,110,183,218,96,55,44,24,765,2494,..,..,..,..,..,..,..,..,2494,..,514,..,..,..,..,..,..,..,514,..,479,224,96,77,39,4,0,0,919,..,54,26,16,33,52,43,27,8,269,..,66,36,21,10,14,4,0,0,154,..,80,136,48,42,46,49,26,5,429,..,48,152,133,211,379,484,415,219,2028,27,38,32,17,25,27,29,18,7,228,2515,1521,1688,1445,1661,1827,1934,1299,417,14316
2003,..,702,545,110,133,171,106,44,10,1822,..,250,775,595,802,1479,1828,1427,775,7933,131,224,138,68,89,94,73,38,18,866,9767,6362,7320,6964,6780,6479,5808,3256,1226,53968,..,170,3959,7206,6880,6790,6292,3172,650,35117,..,1403,4060,1971,1518,1020,444,165,12,10587,..,172,898,1394,1657,804,369,224,166,5682,19739,..,..,..,..,..,..,..,..,19739,..,4702,..,..,..,..,..,..,..,4702,..,3269,1502,538,394,195,38,0,0,5936,..,444,366,122,153,281,287,152,78,1888,..,410,350,114,68,51,30,5,7,1025,..,1343,1348,317,328,348,233,97,27,4046,..,459,1668,1284,1642,2511,2789,1996,1007,13358,245,388,322,156,170,163,131,63,26,1668,19990,12758,14466,13103,12801,12165,10620,5876,1967,103753
2004,..,566,425,88,113,147,102,34,4,1487,..,235,650,463,725,1418,1614,1190,645,6938,124,223,143,72,62,85,108,43,10,868,8990,5846,6846,6233,6033,6151,5418,3048,1110,49681,..,155,3801,6469,6097,6286,6016,3235,722,32770,..,1222,3730,1756,1354,878,431,132,21,9514,..,132,854,1306,1459,774,365,221,163,5274,18254,..,..,..,..,..,..,..,..,18254,..,4344,..,..,..,..,..,..,..,4344,..,3181,1416,559,339,214,45,0,0,5752,..,497,352,126,150,279,288,170,90,1943,..,323,330,121,90,58,31,9,0,962,..,1018,1009,267,265,305,215,83,19,3178,..,414,1329,1071,1525,2431,2552,1714,875,11906,230,377,288,182,126,158,180,74,24,1631,18480,11660,13097,11847,11410,11368,10119,5635,1909,95521
2005,..,14,30,25,22,25,24,15,6,154,..,9,26,37,75,226,318,257,112,1051,16,10,19,8,9,16,15,3,6,100,723,357,420,621,729,807,892,525,178,5252,..,9,183,485,570,707,796,463,90,3295,..,36,271,326,273,195,157,45,8,1316,..,7,39,122,199,90,45,28,24,556,1495,..,..,..,..,..,..,..,..,1495,..,360,..,..,..,..,..,..,..,360,..,219,117,49,46,25,6,0,0,453,..,26,14,3,17,31,41,18,11,160,..,27,28,22,13,9,15,3,0,106,..,28,69,42,46,46,48,25,7,310,..,17,52,87,158,375,501,347,153,1698,30,16,31,17,20,30,25,4,0,185,1522,756,802,1149,1342,1501,1626,931,295,9930
2006,..,37,61,16,24,22,11,3,0,189,..,28,42,47,92,197,214,225,155,999,14,14,14,9,9,14,17,3,3,104,978,644,762,655,732,763,741,485,218,5980,..,3,387,709,685,744,827,481,112,3955,..,162,417,188,198,133,64,11,4,1174,..,19,94,125,155,78,31,33,20,542,2029,..,..,..,..,..,..,..,..,2029,..,478,..,..,..,..,..,..,..,478,..,416,177,59,49,20,4,0,0,728,..,53,43,18,13,42,29,27,8,241,..,35,75,22,18,9,0,0,0,156,..,91,188,58,58,55,37,12,3,504,..,61,141,126,209,353,354,325,178,1758,20,20,32,24,21,23,19,9,6,179,2051,1329,1562,1334,1410,1450,1370,899,335,11742
2007,..,52,49,17,24,39,26,12,7,232,..,38,96,78,111,271,365,322,181,1461,22,35,19,13,17,30,27,12,9,188,1785,1083,1126,1164,1372,1504,1469,897,297,10699,..,18,652,1247,1486,1701,1731,1032,185,8054,..,218,638,343,345,314,200,54,10,2116,..,28,143,221,274,119,56,49,33,928,3556,..,..,..,..,..,..,..,..,3556,..,876,..,..,..,..,..,..,..,876,..,652,269,86,85,45,11,0,0,1150,..,79,42,10,40,51,82,44,18,358,..,72,48,16,20,9,11,4,0,179,..,91,121,42,42,76,66,32,8,473,..,83,196,163,249,476,596,474,250,2500,45,69,50,32,41,44,51,23,4,366,3609,2182,2165,2153,2579,2829,2805,1708,518,20545
2008,..,1647,1588,317,257,371,223,70,18,4502,..,416,1597,1352,1650,3246,4122,3374,1787,17551,212,540,346,193,181,231,228,108,58,2093,24353,15313,19010,18581,17676,16853,14864,8412,2957,138012,..,322,11100,20858,19752,18748,17787,8982,1821,99378,..,2383,10241,5586,3991,2542,1206,390,33,26366,..,223,1394,2891,3812,2119,835,556,378,12199,49590,..,..,..,..,..,..,..,..,49590,..,13038,..,..,..,..,..,..,..,13038,..,8327,4589,1445,952,507,101,4,0,15927,..,1059,962,327,399,705,655,413,260,4777,..,858,1115,234,192,103,73,16,6,2593,..,3350,4075,854,627,750,505,152,36,10345,..,809,3126,2859,3655,5697,6273,4636,2428,29486,474,1000,796,435,396,421,397,185,82,4191,50063,31374,37388,35491,33777,31593,27834,15337,5041,267882
2009,..,5,20,9,13,17,22,3,0,90,..,6,36,37,75,142,218,169,65,740,23,32,23,6,12,16,14,9,5,134,2220,1098,853,1562,1684,1393,1103,534,115,10561,..,5,574,2115,2239,1971,1495,685,72,9161,..,65,437,425,403,261,101,24,0,1728,..,9,50,145,250,140,49,35,8,678,4553,..,..,..,..,..,..,..,..,4553,..,1437,..,..,..,..,..,..,..,1437,..,696,345,71,55,20,5,0,0,1198,..,38,44,14,18,43,60,38,19,275,..,28,29,8,15,19,5,3,0,116,..,21,41,11,21,40,36,14,5,188,..,15,76,100,165,260,344,252,88,1295,38,75,47,18,29,27,28,18,4,281,4593,2392,1648,2910,3194,2773,2125,1070,205,20910
