SUA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
2000,59567,50552,47213,36759,32097,23900,21170,40123,6416,317796
2001,1310,2040,2084,1507,1760,1004,1091,1073,218,12099
2002,677,1056,929,918,725,678,415,940,131,6475
2003,5841,11915,7193,7213,6437,4962,2706,5140,780,52182
2004,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
2005,574,1392,582,564,448,306,166,447,72,4557
2006,574,677,849,798,521,537,493,1350,119,5923
2007,1337,1711,1621,1421,1074,1038,621,1189,164,10162
2008,16864,32821,20021,18728,15775,12346,7981,13007,2357,139894
2009,1770,2784,1748,1234,1474,787,482,736,162,11174
2010,1066,1502,1158,1056,900,795,511,869,137,7987
2011,330528,646799,287349,250732,308136,198343,139187,187051,47538,2395663
2012,3129,4025,3195,2911,2554,2253,1541,3271,568,23438
2013,755,1102,1660,1266,1139,799,714,1146,200,8776
2014,449,735,702,689,441,400,568,664,118,4769
2015,798,1426,931,1008,677,615,307,690,114,6565
2016,2829,4286,3097,2826,2625,2212,1489,3400,449,23209
2017,718,899,715,673,586,502,263,782,100,5241
2018,1669,3255,2802,2321,2584,1795,1263,2077,368,18132
2019,943,1698,1238,1307,960,886,612,1133,145,8934
2020,2479,3580,3121,2466,2279,1594,1324,2514,337,19700
2021,1926,3489,2438,2300,1882,1799,953,2406,309,17499
