SUA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2000,61176,5314,3066,539,105,28,501,70727
2001,2697,254,157,21,3,3,14,3148
2002,1215,132,66,4,0,4,17,1439
2003,9923,901,527,101,16,13,52,11533
2004,9127,875,491,88,12,10,61,10670
2005,826,72,26,6,0,0,4,937
2006,1066,92,38,11,0,0,5,1216
2007,1846,226,102,27,3,0,18,2218
2008,28822,2321,1113,198,26,14,106,32605
2009,2904,161,78,11,0,0,14,3165
2010,1464,153,105,13,0,3,15,1743
2011,555395,31844,14288,4903,463,214,1510,608614
2012,4480,464,263,52,11,3,50,5326
2013,1651,211,147,19,0,0,18,2051
2014,857,97,49,4,0,0,5,1005
2015,1256,137,79,4,3,0,8,1484
2016,4858,411,231,57,11,7,39,5609
2017,955,74,56,11,0,0,7,1099
2018,3397,422,226,30,11,4,32,4127
2019,1586,143,103,11,7,3,15,1871
2020,4044,414,266,43,7,4,27,4807
2021,3224,299,139,18,6,0,17,3702
