SUA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
2000,16,171,0,171,..,699,242,946,7,952,..,262,57,319,0,319,..,513,350,857,26,886,..,5349,872,6221,146,6366,..,25859,4284,30135,469,30607,..,1644,141,1781,54340,56131,629316,27499,4423,31921,54813,716050
2001,4,46,0,46,..,19,0,14,0,14,..,21,5,24,0,24,..,47,12,57,0,60,..,463,49,513,9,527,..,2159,226,2387,30,2416,..,75,8,84,908,989,21309,2231,239,2469,935,24717
2002,0,30,0,30,..,12,22,32,0,32,..,0,0,0,0,0,..,38,22,60,0,60,..,85,16,101,4,105,..,696,125,824,8,831,..,52,12,67,1061,1126,13721,751,139,886,1066,15684
2003,0,146,3,149,..,116,20,139,4,143,..,18,3,26,0,26,..,162,19,181,0,181,..,1102,127,1232,40,1271,..,7082,729,7816,116,7930,..,314,36,349,5169,5519,98523,7396,768,8167,5280,111973
2004,3,83,0,81,..,74,15,83,0,83,..,22,3,25,0,25,..,124,41,159,5,167,..,1705,889,2594,48,2643,..,5939,1367,7307,107,7411,..,281,58,342,5110,5456,90175,6221,1425,7648,5219,103034
2005,0,9,0,9,..,10,0,10,0,10,..,5,0,5,0,5,..,3,0,3,0,3,..,83,15,104,0,104,..,377,39,423,8,426,..,33,0,35,1314,1347,9578,410,40,457,1317,11352
2006,0,8,0,8,..,13,3,16,0,18,..,0,0,0,0,0,..,13,6,19,0,19,..,141,35,172,12,182,..,640,268,914,14,932,..,29,3,35,599,630,11195,674,274,949,612,12756
2007,0,8,0,8,..,13,3,12,0,12,..,0,0,0,0,0,..,27,15,48,0,43,..,121,18,141,3,143,..,791,105,899,17,916,..,73,5,76,1269,1347,20313,866,108,972,1282,22568
2008,40,460,4,466,..,363,76,440,3,444,..,280,52,336,0,336,..,651,237,886,12,898,..,5187,1308,6492,138,6631,..,27750,4239,31990,397,32390,..,794,111,901,13608,14512,242730,28542,4351,32895,14004,289630
2009,0,7,0,7,..,21,0,18,0,18,..,33,0,32,0,32,..,14,6,22,0,22,..,194,19,213,5,213,..,963,70,1032,11,1045,..,53,0,56,902,955,20204,1012,69,1086,913,22200
2010,4,11,0,13,..,8,0,9,0,9,..,11,0,20,0,15,..,19,0,19,0,19,..,125,59,189,7,198,..,779,109,880,14,899,..,33,8,49,846,897,15198,813,119,928,864,16985
2011,2295,32305,372,32671,..,10145,2173,12317,88,12405,..,26598,6387,32986,231,33223,..,79754,34611,114365,845,115215,..,191797,40576,232375,4171,236542,..,1394549,262094,1656644,16317,1672958,..,23130,5368,28498,202595,231093,2913791,1417685,267462,1685146,218910,4817843
2012,18,92,3,97,..,77,75,155,8,161,..,263,148,407,0,413,..,190,186,380,7,388,..,1006,339,1350,24,1371,..,4763,1744,6512,89,6605,..,192,44,232,4082,4316,42703,4957,1790,6747,4171,53620
2013,0,0,0,0,..,17,9,22,0,22,..,0,0,3,0,3,..,12,11,26,0,26,..,316,58,367,4,377,..,918,170,1084,11,1095,..,63,3,64,1502,1565,19336,982,169,1152,1518,21997
2014,0,4,0,4,..,17,0,17,0,17,..,0,0,0,0,0,..,11,5,17,0,13,..,66,8,67,0,73,..,358,21,384,5,386,..,31,0,30,680,712,10129,392,23,415,684,11230
2015,5,42,0,44,..,13,0,13,0,13,..,0,0,0,0,0,..,37,21,55,3,59,..,115,24,137,3,142,..,830,120,948,17,965,..,54,0,56,892,950,13388,885,121,1004,907,15301
2016,14,156,0,156,..,98,24,124,0,128,..,289,99,387,0,390,..,57,20,81,8,81,..,1876,711,2589,48,2632,..,8694,2229,10927,160,11083,..,230,61,287,3658,3947,38809,8928,2289,11215,3817,53841
2017,0,9,0,9,..,9,0,10,0,10,..,0,0,0,0,0,..,92,69,160,0,163,..,150,46,199,11,204,..,1035,326,1359,24,1382,..,46,17,62,681,741,9057,1087,340,1425,700,11186
2018,0,44,0,44,..,50,10,67,0,67,..,11,3,16,0,16,..,75,24,96,3,103,..,572,139,718,28,744,..,3022,500,3519,51,3571,..,134,35,167,3126,3290,36391,3152,529,3681,3179,43252
2019,6,33,0,33,..,17,7,28,0,28,..,5,0,0,0,3,..,15,7,26,0,26,..,133,15,147,13,154,..,1048,130,1182,21,1200,..,54,7,60,1030,1090,17592,1105,145,1243,1047,19882
2020,3,34,0,36,..,45,14,55,0,53,..,20,0,20,0,20,..,50,19,70,0,70,..,453,44,498,10,503,..,2048,244,2288,22,2311,..,98,6,102,2192,2291,38223,2139,252,2390,2216,42827
2021,6,28,0,28,..,56,15,76,0,76,..,8,0,10,4,16,..,70,54,122,0,127,..,259,33,296,13,307,..,1551,315,1868,42,1911,..,100,8,109,1891,2001,31835,1650,325,1976,1934,35743
