SUA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2000,1744,265,349,30,2389,917,91,136,14,1163,595,137,342,21,1094,535,112,660,28,1335,2981,287,1254,74,4590,2021,444,2121,67,4653,12244,1074,2522,147,15983,8345,1700,3171,322,13537,8659,3148,3056,310,15174,9308,4914,2441,247,16908,4733,4845,1619,136,11334,5769,5303,1316,152,12529,10534,11286,1869,191,23871,6393,8957,735,108,16193,4328,6769,413,42,11552,2250,4264,177,25,6719,5508,9312,492,44,15357,3844,6999,2103,127,13069,2261,837,616,107,3825,92961,70727,25393,2196,191276
2001,55,7,27,3,91,15,7,6,0,24,14,4,23,0,30,7,7,18,0,32,65,6,45,0,120,43,8,82,0,128,245,20,104,6,372,177,49,124,7,357,195,93,127,6,427,209,171,97,12,497,110,187,95,15,405,143,181,82,0,409,354,507,110,10,977,235,441,53,5,734,194,372,37,0,613,109,275,17,6,401,181,577,26,5,791,86,210,61,0,356,52,32,12,4,102,2499,3148,1136,87,6870
2002,29,5,11,0,47,13,0,3,0,21,6,3,16,0,26,14,0,20,0,38,45,11,23,0,83,48,11,60,0,109,297,16,98,4,413,181,38,105,13,345,191,80,92,10,373,212,140,80,9,437,100,121,54,5,278,105,118,37,6,267,200,262,48,3,517,117,204,19,3,353,76,132,10,0,223,31,66,9,0,105,60,127,10,0,192,81,106,48,0,235,48,12,16,0,79,1868,1439,762,61,4131
2003,157,17,66,3,246,68,8,25,3,100,39,9,56,3,117,40,14,116,0,168,244,32,259,7,547,216,43,508,13,785,1350,144,580,29,2097,929,230,732,49,1942,1026,451,726,61,2262,1233,733,600,68,2633,694,726,411,39,1872,797,803,298,31,1931,1528,1757,435,57,3773,966,1553,183,32,2740,662,1352,98,17,2124,369,830,44,3,1247,736,1962,85,7,2789,386,807,359,13,1560,180,69,99,11,360,11632,11533,5686,445,29291
2004,128,26,41,11,200,80,13,16,3,109,51,15,47,5,108,32,12,121,0,168,248,25,257,17,542,188,53,430,18,688,1292,134,506,30,1957,910,249,676,53,1892,1007,397,666,54,2125,1096,682,562,59,2400,621,639,421,40,1726,691,777,302,22,1786,1413,1810,480,49,3761,917,1511,165,31,2629,636,1254,108,12,2008,312,759,46,4,1123,551,1519,60,9,2134,415,726,290,22,1452,195,76,76,12,361,10779,10670,5278,453,27171
2005,26,0,3,0,22,8,5,3,0,17,7,0,6,0,17,6,0,10,0,21,31,0,28,0,62,29,5,43,4,85,162,16,61,4,243,118,21,77,10,216,153,34,55,5,246,151,68,64,0,281,81,71,43,4,191,86,69,27,8,184,163,153,34,0,356,104,141,18,0,262,69,92,9,0,171,48,53,4,0,106,79,116,9,0,205,53,83,51,0,187,21,6,6,0,42,1399,937,553,32,2928
2006,28,4,3,0,40,10,0,0,0,13,6,4,4,0,19,10,0,16,0,25,52,0,11,0,63,31,9,43,0,91,173,17,52,7,258,131,18,65,7,230,118,54,86,9,264,170,96,45,6,316,78,99,42,10,223,111,99,25,6,241,194,230,46,15,477,89,168,28,3,287,47,117,6,0,175,22,65,0,0,93,42,119,7,0,168,53,98,33,0,181,35,8,8,6,56,1388,1216,543,63,3214
2007,65,0,19,0,88,27,4,4,0,36,19,0,11,0,32,19,3,29,0,49,97,5,36,0,144,56,3,84,0,148,437,14,96,10,556,278,30,106,10,419,283,71,95,13,458,311,139,93,9,551,154,127,65,10,341,165,168,58,12,392,321,373,76,3,780,190,298,30,3,526,132,251,16,0,403,69,173,5,0,253,136,309,12,0,458,120,221,69,6,417,67,23,16,0,107,2947,2218,933,68,6168
2008,502,99,151,14,764,230,23,75,7,334,158,45,139,15,353,126,33,206,15,379,745,86,495,25,1345,555,155,902,27,1636,3234,305,1000,68,4604,2349,502,1379,123,4354,2670,985,1413,132,5192,3000,1554,1278,122,5957,1609,1682,944,75,4304,1804,1838,703,64,4412,3809,4900,1200,156,10065,2850,4387,508,78,7817,2007,4106,306,48,6465,1207,2637,128,18,4000,2627,6872,318,44,9855,1037,2168,873,54,4133,488,226,180,32,926,31009,32605,12202,1098,76918
2009,35,13,11,0,55,30,0,4,3,36,10,0,7,0,23,14,4,8,0,28,47,0,30,0,77,29,13,40,0,85,165,9,32,3,209,144,22,61,3,226,205,59,53,0,314,209,74,61,7,351,148,89,75,0,305,137,150,41,0,332,240,364,83,5,688,200,383,33,4,615,177,393,26,0,605,110,319,7,7,443,336,1003,30,4,1377,80,242,69,0,391,35,23,9,0,69,2345,3165,682,39,6230
