SUA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
2000,11690,8994,1685,3364,31163,1509,21666,202085,10152,317796,1073,1442,234,10,540,392,92,270,2502,68,1143,6362,442,11847,56977,25081,18497,4825,24875,27726,5674,14513,33893,7109,31292,77056,9718,221080,1547,692,418,322,763,776,197,435,703,232,591,2430,41133,47314,85563,58087,27449,5357,37870,37886,7656,18585,68254,8920,54696,287928,61443,598038,4716,4254,1559,343,2262,2031,432,958,5500,560,4072,24099,1778,43041,7692,5648,2477,399,3332,3248,671,1771,7726,830,5687,25407,1877,51088,40811,19757,12279,2897,17533,18799,3926,10471,26278,4770,22503,62793,5470,165436,12530,9532,4248,405,5408,5215,1011,2247,10887,1022,7828,54734,3159,97398,11074,11173,3698,181,5121,4440,793,1593,11106,787,8395,71943,3428,116471,3679,4518,1462,49,1719,1500,260,421,3748,222,3326,30863,1338,47668,1558,1505,680,49,782,803,116,207,997,127,1197,10750,514,16935,3498,1696,1041,1019,1708,1857,446,910,2015,609,1689,7336,43872,60009,85563,58087,27449,5357,37870,37886,7656,18585,68254,8920,54696,287928,61443,598038,16475,7633,5226,4332,7502,9148,2531,5570
2001,473,244,48,94,1329,56,896,7688,416,12099,36,72,11,0,17,11,0,7,121,6,40,278,13,510,1509,725,497,192,736,688,161,449,1076,229,999,2153,195,6123,37,15,10,3,20,19,3,9,19,6,10,60,693,831,2320,2159,736,199,1253,953,214,559,2547,288,1951,10186,1320,19557,146,186,54,5,87,45,13,45,234,18,193,991,63,1730,182,159,61,12,98,71,15,43,230,24,173,832,53,1527,1032,566,306,106,481,475,99,321,783,168,648,1633,142,4381,359,361,107,54,175,139,41,55,494,42,318,1734,106,3139,334,537,110,3,211,115,23,52,506,29,356,2897,148,4686,169,271,55,0,131,69,7,20,232,7,212,1479,77,2406,45,46,12,0,30,16,4,10,41,3,27,420,19,639,61,31,24,5,37,19,8,18,27,4,26,194,718,1058,2320,2159,736,199,1253,953,214,559,2547,288,1951,10186,1320,19557,554,289,173,166,254,268,91,196
2002,225,162,31,79,722,37,460,4128,208,6475,18,36,7,0,17,9,0,8,84,3,40,146,9,297,1440,575,440,73,616,734,129,389,839,192,740,1717,190,5204,67,28,10,13,14,26,5,15,47,7,27,54,820,1002,1935,1303,593,87,870,932,168,489,1687,242,1253,6047,1225,12979,93,69,28,3,39,38,5,19,109,13,75,433,26,765,149,142,59,18,99,76,15,45,198,27,111,553,40,1151,993,444,276,37,429,489,87,280,687,117,556,1420,148,3982,294,259,102,5,121,138,29,70,276,48,197,1319,81,2394,215,255,78,8,113,103,16,44,274,16,198,1511,90,2502,51,54,18,0,31,22,0,8,56,7,58,518,12,770,18,20,10,0,13,9,6,6,14,4,12,142,10,230,114,53,20,19,30,49,6,31,74,10,46,139,821,1188,1935,1303,593,87,870,932,168,489,1687,242,1253,6047,1225,12979,427,218,133,79,181,252,69,148
2003,1802,1104,219,442,7145,180,4212,31728,1823,52182,156,365,29,0,97,50,12,38,639,10,298,1371,67,2603,7885,4235,2683,666,3731,3883,729,2165,6041,1056,5000,10276,1033,31297,296,114,68,167,112,116,31,80,184,52,217,242,3954,4866,11716,10781,3845,852,5750,5156,1000,2726,14003,1300,9726,43621,6877,90958,519,728,186,46,271,207,54,114,921,78,684,3497,234,6262,864,994,262,47,441,380,66,214,1392,103,916,3771,284,7590,5645,3425,1691,381,2679,2601,508,1549,5106,722,3698,8535,763,24111,1856,1877,634,96,852,802,137,359,2482,163,1551,8089,510,15542,1572,2303,585,19,834,629,123,250,2634,99,1630,11619,662,19730,589,994,247,5,323,212,42,79,908,31,730,5558,270,8908,195,233,88,14,126,107,11,34,215,25,178,1895,92,2878,472,232,140,246,219,223,53,124,352,77,343,661,4056,5942,11716,10781,3845,852,5750,5156,1000,2726,14003,1300,9726,43621,6877,90958,2628,1504,859,703,1318,1448,368,950
2004,1560,968,207,355,6404,145,3727,29333,1682,47758,162,284,37,0,94,40,14,31,590,18,217,1070,76,2144,8085,3842,2512,782,3376,3649,889,1684,5657,990,4554,9143,1216,29351,193,105,50,55,84,124,25,52,157,32,139,198,3720,4392,11887,9467,3573,850,5114,4784,1136,2128,12809,1193,8637,39743,6688,83646,513,575,139,27,266,215,58,85,891,57,560,2843,221,5287,956,867,317,42,401,347,88,189,1332,115,863,3524,262,7139,5709,3101,1684,520,2341,2444,612,1228,4726,654,3263,7647,704,22284,1914,1719,549,79,798,680,139,263,2243,166,1344,7970,491,14826,1622,2003,507,41,757,581,130,188,2331,98,1548,10937,617,18433,607,810,209,4,269,195,37,48,818,22,648,4935,246,7954,141,183,62,3,86,86,9,30,154,14,152,1296,80,2029,421,205,106,138,199,223,54,94,315,70,253,591,4065,5702,11887,9467,3573,850,5114,4784,1136,2128,12809,1193,8637,39743,6688,83646,2457,1308,780,732,1094,1313,414,724
2005,109,104,28,36,601,26,401,2811,143,4557,17,25,10,0,3,0,3,0,45,0,17,98,5,185,987,384,370,44,314,441,85,193,556,110,546,1281,649,4255,70,31,20,40,25,39,7,12,48,6,92,23,571,745,1402,861,511,85,443,579,123,245,1245,143,1056,4216,1368,9742,54,44,20,3,10,19,9,7,72,6,44,290,21,525,113,79,49,0,51,41,8,17,134,12,97,381,22,785,705,291,224,34,214,285,60,137,460,70,378,979,81,2686,202,136,68,3,64,88,16,34,200,20,165,787,52,1504,168,165,78,4,48,60,16,22,199,22,180,1011,43,1744,60,86,24,0,26,25,7,10,100,5,71,518,23,844,17,25,16,0,6,5,0,0,21,0,20,166,5,250,86,43,32,39,30,52,8,14,61,12,103,86,1120,1408,1402,861,511,85,443,579,123,245,1245,143,1056,4216,1368,9742,210,84,80,32,75,112,30,53
2006,209,119,28,37,551,25,380,3900,247,5923,18,25,3,0,10,9,0,6,39,0,8,100,9,182,1038,432,329,138,511,505,124,258,630,150,523,1222,165,3937,42,11,14,0,19,17,7,8,14,9,9,32,432,543,1486,1006,432,142,747,645,162,311,1232,179,917,5253,852,10580,68,64,20,19,45,34,9,6,94,8,57,366,26,680,135,84,47,9,67,58,14,30,146,20,112,446,57,941,760,349,220,91,354,335,86,191,497,99,387,1047,102,3021,216,192,61,4,114,91,20,37,212,22,147,1210,80,2051,166,219,45,0,89,65,12,27,202,9,134,1552,113,2371,44,49,15,0,27,23,5,9,37,4,39,457,24,666,17,15,3,0,11,8,3,0,9,3,11,91,3,153,74,32,13,14,37,32,12,14,35,15,22,86,450,703,1486,1006,432,142,747,645,162,311,1232,179,917,5253,852,10580,383,150,124,131,184,187,64,122
2007,375,237,49,73,976,42,616,6617,376,10162,23,49,6,0,22,6,0,5,84,3,30,207,19,380,1902,789,671,177,852,890,233,455,940,255,942,2372,271,6991,75,19,23,23,23,47,13,16,46,10,63,67,1002,1220,2735,1834,894,200,1271,1173,307,549,2044,311,1651,9259,1668,18753,132,105,45,6,62,46,11,27,135,14,103,658,46,1170,207,183,79,13,106,89,28,37,192,26,169,803,77,1593,1374,634,471,103,633,628,168,343,816,182,672,1913,190,5270,427,360,127,19,180,160,38,66,359,30,215,1846,118,3282,312,357,100,13,173,127,19,46,351,25,265,2493,130,3916,109,132,28,7,46,40,8,8,105,7,98,1051,46,1553,49,29,6,6,20,14,5,4,26,4,36,291,24,456,123,33,39,42,50,69,20,25,67,18,87,208,1037,1519,2735,1834,894,200,1271,1173,307,549,2044,311,1651,9259,1668,18753,547,244,180,150,248,273,92,162
2008,4186,2538,619,834,15552,518,9852,91303,4546,139894,313,742,87,4,213,131,37,66,1322,25,548,3627,225,6263,17560,8763,6216,2240,8552,9117,1975,4172,12362,2462,11845,29246,3577,79452,442,180,122,307,230,253,75,98,437,94,389,640,9624,11512,25730,24059,9043,2595,13178,12036,2707,5170,29673,3106,22636,124819,17973,237121,1264,1660,509,118,757,582,155,262,2194,158,1594,9937,646,16832,2116,2198,730,154,1082,957,222,455,3028,246,2165,10853,737,20142,11671,6693,3769,1337,5738,5642,1310,2802,9855,1582,7975,23155,1695,57024,3922,3907,1386,176,1914,1744,356,677,4811,411,3347,21245,1182,37345,3570,5373,1406,64,1999,1503,294,471,5725,292,3938,32865,1604,52354,1540,2840,610,28,849,626,135,159,2370,129,1972,18261,772,27631,604,941,283,12,294,292,69,65,613,53,616,6511,318,9720,1036,457,353,707,534,695,165,285,1068,232,1032,1993,11016,16069,25730,24059,9043,2595,13178,12036,2707,5170,29673,3106,22636,124819,17973,237121,5322,2683,1822,2063,2800,3156,946,1700
2009,313,255,43,62,1022,36,793,7312,402,11174,16,37,5,0,9,11,6,9,54,4,31,231,9,356,1107,499,414,109,443,545,129,255,530,125,693,2132,157,5106,35,7,15,49,10,32,11,5,48,0,50,48,640,804,1807,1594,700,158,775,841,181,334,1656,166,1565,9718,1214,17437,143,146,54,47,60,65,11,27,160,7,169,1003,62,1660,139,133,67,10,66,72,20,31,185,14,143,876,64,1526,628,334,220,37,254,282,75,141,367,71,385,1347,88,3070,279,215,104,3,113,133,16,50,263,29,220,1286,86,2333,295,353,119,6,132,135,25,29,324,22,284,2252,127,3646,168,270,73,0,80,70,12,25,212,9,201,1851,88,2796,81,115,41,0,48,43,6,15,88,6,93,938,43,1382,70,29,26,50,30,41,11,16,55,8,66,171,661,1019,1807,1594,700,158,775,841,181,334,1656,166,1565,9718,1214,17437,250,125,105,140,124,150,47,78
