SUA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
2010,13,0,21,50,87,8,183,0,0,5,3,36,0,44,6,0,15,12,109,0,142,7,0,21,11,51,0,96,3,3,12,23,427,5,472,7,3,20,12,78,3,123,9,4,15,26,121,11,176,0,0,7,16,59,3,87,0,0,8,15,91,5,113,0,0,10,3,12,0,31,3,0,11,19,10,3,46,0,0,9,6,13,0,28,22,4,33,13,19,0,98,0,0,0,12,38,8,57,23,8,45,55,87,0,213,17,12,67,11,26,3,141,28,4,65,46,85,0,232,0,0,6,5,12,0,26,7,3,10,7,111,0,137,0,0,13,10,48,17,84,143,56,390,349,1513,80,2520,0,3,13,19,23,0,58,0,0,0,0,0,0,0,0,0,7,4,21,0,33,3,5,12,13,14,0,40,0,0,7,18,24,0,50,0,0,10,9,20,0,45,10,4,26,27,117,6,188,0,0,5,18
2011,546,123,1424,872,1697,184,4849,468,75,887,264,791,71,2556,8153,1424,21184,11767,30422,1967,74927,2284,390,4532,1659,3696,255,12822,5401,1061,19967,15008,85718,3019,130168,4052,796,10619,4836,9113,816,30229,7548,1246,20592,10323,15559,1729,56999,3264,452,11107,9692,10150,1273,35951,7206,1205,16166,12243,17070,2193,56091,4192,882,10084,3192,2883,474,21713,11137,2928,26838,6757,3642,1011,52310,1986,478,5574,2495,4151,506,15184,29554,5300,62625,11314,7142,1920,117854,3307,683,8746,4843,7830,825,26237,9192,3337,18586,10307,11041,1105,53568,19440,5380,19953,4342,4154,695,53968,16390,3905,27714,8237,8808,1530,66591,1688,567,6358,2582,3381,335,14912,2641,597,5651,4679,17781,772,32116,5783,810,12799,6136,13473,5388,44389,144243,31642,311399,131567,258498,26078,903422,341,99,1044,688,772,159,3099,171,36,376,79,85,17,766,4241,1032,12649,6069,6671,1048,31701,1311,363,2699,896,922,150,6339,2492,737,7585,4904,5580,695,21988,2530,653,7755,3512,3320,509,18284,5994,1846,25626,14211,15332,2255,65261,3081,631,12039,8161
2012,23,4,128,107,341,50,657,3,3,13,10,98,5,140,13,8,71,46,394,27,553,7,3,13,39,136,3,210,4,4,25,47,961,30,1072,3,0,30,26,155,4,224,9,0,53,58,298,34,451,5,6,42,62,190,16,318,7,4,24,59,257,21,367,0,0,11,7,36,3,61,5,3,31,25,23,3,87,0,0,14,14,50,5,85,28,15,142,49,77,6,322,3,3,36,30,123,4,193,37,18,107,166,192,14,544,57,56,178,55,97,5,442,92,32,208,99,156,14,604,0,0,13,17,39,3,71,4,0,23,32,283,14,356,4,4,28,30,198,68,335,319,179,1187,994,4092,321,7091,8,7,94,81,85,33,305,0,0,3,0,8,0,16,3,8,48,48,89,8,209,8,3,15,10,27,0,56,3,0,26,41,70,8,148,3,0,22,29,49,4,101,6,7,88,92,307,25,528,4,4,66,77
2013,0,6,13,9,70,4,101,0,0,0,4,67,3,77,0,0,16,23,266,8,312,3,0,27,49,265,6,352,3,0,0,24,546,10,589,0,0,4,6,45,3,57,0,0,20,25,102,4,157,0,0,6,13,38,3,67,0,0,5,10,91,0,107,0,0,8,0,16,0,23,0,0,4,4,9,0,22,0,0,6,3,24,0,33,9,0,31,15,35,0,89,0,0,6,8,53,0,69,6,4,29,33,82,7,165,14,10,40,19,37,0,121,18,8,42,36,88,6,195,0,0,3,6,19,0,26,0,0,8,0,142,4,153,0,0,4,13,104,31,157,61,34,272,316,2102,91,2881,0,4,9,5,16,5,39,0,0,7,0,9,0,7,0,0,5,14,32,5,50,0,0,14,0,23,0,46,0,0,6,20,40,5,67,0,0,0,6,13,0,22,4,0,25,43,120,13,204,0,0,6,15
2014,0,0,7,8,58,10,82,0,0,0,3,5,0,4,6,5,25,17,266,6,318,0,0,0,3,28,0,38,0,0,7,3,198,7,216,0,0,8,7,19,0,36,0,0,4,15,28,0,55,0,4,5,3,24,0,45,0,0,6,17,94,8,123,0,0,0,0,3,0,9,0,0,0,3,0,0,5,0,0,0,0,14,0,18,0,3,17,8,17,0,37,0,0,3,3,22,3,28,3,4,26,30,33,4,91,3,13,44,8,18,0,83,9,9,37,14,33,4,105,0,0,4,3,9,0,16,0,0,4,3,54,5,70,0,0,8,5,34,9,52,33,30,206,146,950,62,1422,0,0,11,4,12,0,25,0,0,0,0,0,0,0,4,0,7,11,25,4,58,0,0,6,0,0,0,6,0,0,0,4,7,0,13,0,0,3,3,5,0,13,0,5,9,15,58,3,88,0,0,4,20
2015,3,0,12,13,50,4,88,3,0,21,21,75,5,130,0,0,10,20,108,3,136,3,0,11,6,38,0,58,4,3,18,25,301,3,352,0,0,0,0,27,0,31,0,0,18,13,75,5,118,6,0,13,11,54,0,82,3,0,11,13,38,0,74,0,4,0,0,7,0,20,0,0,7,9,4,0,18,0,0,4,7,14,0,27,8,10,37,26,42,0,122,0,7,9,3,29,0,47,39,17,148,129,106,11,454,31,16,63,15,13,0,140,40,10,68,19,48,5,197,0,0,6,6,0,0,14,0,0,12,6,57,3,81,4,0,9,7,43,17,80,168,74,466,361,1131,68,2261,0,0,14,3,13,4,30,0,0,8,0,4,0,11,3,0,4,5,17,5,38,0,0,8,0,6,0,18,0,0,4,13,25,0,49,0,0,0,3,7,0,5,6,7,18,31,76,6,140,0,4,9,20
2016,14,0,78,63,146,29,335,0,0,0,7,16,0,27,31,14,115,115,619,29,921,29,6,34,26,129,4,225,17,10,81,89,991,23,1200,0,0,18,27,131,7,186,22,7,61,74,268,20,454,14,3,53,59,129,6,257,10,0,31,63,196,13,313,5,4,18,13,20,3,69,7,4,32,37,18,3,94,6,0,9,11,41,3,78,33,28,161,69,101,7,400,3,4,13,32,113,15,171,33,14,76,83,145,6,350,67,74,202,48,86,4,475,181,58,249,112,166,21,790,0,0,10,11,32,0,57,8,4,29,38,302,7,387,8,0,32,35,183,57,317,491,227,1296,1005,3821,269,7107,17,11,65,40,54,22,213,0,0,0,0,0,0,0,12,6,72,58,115,6,265,13,5,16,28,30,0,98,8,4,24,40,84,6,173,0,3,16,9,24,5,60,20,9,80,110,280,29,534,7,6,53,54
2017,0,5,26,43,85,8,164,0,0,0,0,7,0,9,3,0,22,19,103,14,161,0,0,3,0,27,0,28,3,0,14,7,247,4,279,0,0,13,11,55,0,74,0,0,16,9,63,0,88,0,0,12,17,26,5,59,0,0,5,8,60,0,70,0,0,0,0,12,0,11,0,0,3,13,3,0,25,0,0,3,0,5,0,7,5,4,39,16,14,0,79,0,0,3,6,11,0,19,3,3,19,37,24,0,86,8,17,53,9,31,3,116,14,8,40,26,22,4,115,0,0,0,3,10,0,20,3,4,0,8,80,0,94,0,0,3,5,47,16,75,46,45,262,246,914,62,1576,0,0,18,17,18,7,57,0,0,0,0,0,0,0,0,0,15,8,23,0,47,0,0,0,0,3,0,5,0,0,3,3,9,0,22,0,0,0,7,15,0,18,0,0,11,16,71,4,103,5,0,23,14
2018,3,0,11,15,80,12,121,0,0,15,16,114,0,150,37,0,67,60,512,16,691,18,8,102,87,410,11,645,7,9,46,56,850,32,996,0,0,12,7,85,5,112,14,4,56,47,196,8,328,6,4,28,29,133,8,205,6,0,24,25,142,14,209,7,0,25,10,55,4,102,4,5,24,33,9,0,71,0,0,12,8,50,0,71,26,15,110,48,73,12,282,0,0,21,15,73,11,120,27,17,118,109,170,9,447,53,19,97,35,43,6,258,90,23,201,68,140,20,544,3,0,9,12,19,0,41,7,0,15,15,198,5,239,8,4,22,15,164,36,249,310,118,1007,714,3510,221,5888,0,3,12,9,28,3,54,0,0,3,5,7,0,13,7,0,21,12,42,3,89,11,5,43,21,57,0,133,0,0,27,38,60,0,126,0,0,8,11,17,0,37,9,5,65,64,218,21,387,10,0,31,49
2019,0,0,5,15,56,5,83,0,0,0,3,4,0,8,10,6,42,48,250,16,380,0,0,4,0,24,0,29,11,0,23,23,404,15,475,0,0,8,11,27,0,44,7,5,19,20,127,9,175,5,0,16,25,70,6,125,0,0,13,18,87,13,136,0,0,9,0,12,0,28,5,0,15,17,4,0,44,0,0,5,3,14,6,26,10,7,51,22,33,0,125,0,0,4,11,54,3,73,11,6,51,60,84,7,213,14,32,79,12,32,6,168,49,28,130,55,86,10,358,0,4,3,9,23,0,37,4,4,13,17,109,0,140,0,0,6,5,64,25,110,135,87,506,366,1565,117,2786,0,0,3,7,11,0,28,0,0,0,0,0,0,0,9,0,32,18,47,0,117,0,0,0,0,0,0,0,0,0,5,25,27,3,56,0,0,5,3,7,0,21,4,0,42,34,147,9,238,3,0,25,28
