SUA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
2000,325,184,2178,2498,9020,877,15080,42,8,160,120,1007,42,1375,282,126,1202,1134,7017,363,10128,82,45,332,332,1695,59,2548,145,80,909,1192,16878,519,19718,59,39,344,400,1805,134,2782,109,53,716,625,2891,245,4643,130,53,581,683,2016,187,3648,92,52,414,651,3453,257,4922,78,23,257,162,286,27,840,162,82,544,338,235,35,1395,37,35,174,194,532,49,1022,798,288,2351,864,962,107,5372,75,43,335,388,1356,102,2301,487,306,1497,1859,3023,198,7371,1004,779,2098,564,898,96,5441,757,405,1714,1009,1650,156,5689,82,62,429,278,682,43,1577,117,59,279,306,4018,106,4881,131,47,474,402,2710,717,4476,4979,2776,16980,14009,62144,4321,105203,256,321,1947,1788,2369,517,7200,12,14,62,38,73,7,207,146,117,905,734,1456,200,3556,59,35,203,137,190,18,639,70,82,497,629,1087,108,2480,33,32,256,296,519,72,1209,132,152,1195,1365,3296,432,6570,142,120,932,1104
2001,0,0,7,12,36,9,63,0,0,0,10,25,0,36,10,6,44,60,214,3,339,3,0,14,19,59,0,93,13,0,53,74,894,18,1049,7,0,24,14,64,3,123,12,5,41,30,123,4,215,10,0,17,24,33,3,76,21,0,47,70,256,13,399,3,0,23,12,19,5,61,11,4,43,25,15,5,97,0,0,9,11,33,0,50,44,6,117,46,43,3,264,0,0,8,8,56,3,80,24,13,67,88,156,10,356,42,29,91,24,28,0,209,25,0,50,25,29,3,140,5,0,22,11,23,4,59,7,5,17,21,162,8,212,7,0,22,22,117,26,189,233,75,712,601,2373,111,4113,0,0,6,11,13,0,32,0,0,0,0,3,0,4,8,0,20,24,33,3,84,0,0,4,6,15,0,31,5,0,24,44,69,6,149,0,0,7,18,16,4,49,16,3,47,60,111,16,249,8,6,20,30
2002,0,0,17,9,38,0,71,0,0,0,3,13,0,21,4,0,22,21,155,11,209,4,0,16,6,29,0,56,4,0,9,15,338,14,376,0,0,6,7,45,3,61,3,0,21,19,102,7,157,3,0,9,14,37,10,70,5,0,3,14,71,6,98,0,0,0,0,12,0,23,0,0,3,13,0,0,25,0,0,0,8,16,0,21,8,4,38,13,19,3,85,0,0,9,8,28,0,45,3,9,31,44,38,8,130,12,3,40,22,25,0,105,33,13,63,35,46,5,193,0,0,8,6,8,0,24,0,0,11,6,105,3,126,3,0,5,15,57,9,82,87,38,317,269,1185,82,1971,4,0,11,8,13,0,40,0,0,0,0,0,0,0,0,0,14,15,41,6,83,0,6,7,0,4,0,12,0,0,9,10,34,0,49,0,0,0,8,11,0,20,0,6,24,27,91,4,155,0,0,0,13
2003,9,6,74,65,177,14,348,15,0,60,26,129,3,239,100,21,283,238,1087,40,1775,35,11,55,39,168,0,313,35,20,214,253,2486,43,3046,11,7,59,65,231,4,385,72,21,235,156,548,32,1066,53,11,154,139,368,24,748,64,4,127,113,376,26,714,13,17,92,48,110,7,294,49,25,148,105,50,5,376,6,5,68,49,111,5,234,203,77,708,187,163,17,1351,27,11,82,52,201,12,388,129,81,354,337,452,24,1384,358,193,668,112,152,11,1490,373,183,696,245,396,42,1937,15,3,112,45,108,4,281,38,9,82,68,468,11,672,27,9,107,77,322,72,610,1636,718,4382,2406,8090,413,17650,5,0,30,30,41,0,109,12,3,9,4,6,0,35,41,18,146,94,190,16,502,8,6,31,25,30,0,107,10,11,82,90,172,9,371,0,0,30,29,63,5,132,39,31,323,243,628,54,1314,48,15,156,151
2004,8,4,63,45,166,15,299,21,3,94,32,378,8,539,57,23,236,208,1152,36,1709,18,4,78,54,160,6,329,13,5,124,167,2277,47,2636,8,3,47,48,187,9,304,24,24,179,144,513,30,920,20,8,110,111,304,25,564,19,8,82,98,358,22,575,8,6,57,29,78,13,192,33,39,277,137,97,12,598,6,3,36,36,90,7,181,94,54,443,144,145,15,900,14,0,50,43,190,3,301,91,77,280,300,438,28,1217,187,152,514,90,136,13,1091,340,130,632,278,373,43,1786,14,8,45,38,69,4,178,35,15,72,75,520,8,724,25,6,71,53,328,64,549,1050,576,3485,2119,7958,403,15592,3,0,28,15,39,8,103,7,3,28,10,26,4,77,30,9,159,95,246,37,575,6,8,32,20,37,6,111,10,10,59,73,170,13,339,0,0,26,30,48,9,111,34,26,257,210,548,47,1129,29,12,126,156
2005,3,5,5,3,5,0,21,0,0,0,0,3,0,10,8,5,35,39,98,6,180,0,0,3,3,8,0,23,0,0,17,30,168,4,226,3,0,4,9,14,5,24,8,0,19,13,40,0,87,4,0,19,5,28,0,53,7,0,7,7,26,4,50,3,0,11,3,0,0,27,5,0,15,7,6,0,29,5,0,3,0,8,0,18,34,12,77,33,10,0,162,5,0,16,8,15,0,37,28,12,44,29,45,3,156,63,29,53,6,5,0,163,35,16,62,18,24,3,158,11,7,23,10,13,3,55,9,0,11,7,40,0,67,13,6,17,4,14,6,58,223,98,434,233,567,35,1593,0,3,3,4,0,0,13,0,0,0,0,0,0,4,5,3,24,20,27,0,89,0,0,3,0,0,0,7,4,4,7,3,12,0,22,0,0,8,6,5,0,13,4,3,42,23,25,8,105,3,0,18,18
2006,3,4,11,10,69,10,105,0,0,0,0,15,0,12,9,10,50,57,246,16,377,0,0,0,4,35,0,41,0,0,7,17,256,3,287,0,0,3,3,21,0,32,4,0,3,9,71,6,96,0,0,6,7,37,3,55,0,0,3,6,61,4,75,0,0,3,3,13,0,19,0,0,7,9,5,0,27,0,0,5,3,8,0,12,4,0,23,13,5,0,49,3,0,5,7,42,0,57,4,0,21,23,30,0,79,8,12,33,5,7,0,68,17,4,23,24,29,5,101,0,0,3,0,5,0,12,0,0,5,6,85,4,94,0,0,0,0,35,13,52,60,36,220,204,1078,66,1664,0,0,11,17,17,0,50,0,0,0,0,0,0,0,6,4,39,24,91,9,173,0,0,0,0,3,0,7,0,0,4,10,10,3,27,0,0,4,4,12,0,19,4,0,18,20,82,5,126,0,0,10,13
2007,4,0,45,13,88,3,152,0,0,3,0,17,0,21,7,8,58,34,304,9,418,4,0,9,10,40,0,58,5,3,46,38,623,11,724,0,0,6,12,68,5,96,6,0,26,26,124,6,189,5,0,28,41,137,8,224,0,0,5,15,82,6,107,0,0,5,0,5,0,13,4,5,19,15,6,0,51,3,0,8,9,19,0,34,4,9,59,27,22,3,133,0,0,4,5,50,4,66,10,6,43,51,81,6,201,16,24,93,12,21,0,171,41,13,64,27,71,6,225,0,0,11,11,34,0,63,5,0,12,4,109,3,140,4,0,7,7,81,20,124,124,68,552,367,1988,100,3202,0,0,12,10,11,6,34,0,0,0,0,0,0,0,9,7,31,32,53,5,129,0,0,8,4,4,0,20,0,3,14,17,29,4,75,0,0,3,6,13,0,26,3,0,55,47,123,12,238,8,6,43,50
2008,44,18,157,119,246,19,600,20,0,40,25,106,4,196,332,56,863,534,2183,78,4050,67,17,233,136,422,19,889,187,60,947,916,7685,187,9984,96,25,364,271,782,35,1568,286,58,889,523,1284,88,3125,174,22,509,453,773,66,1991,262,51,505,483,1179,88,2563,70,31,224,107,142,11,577,211,89,756,314,189,25,1582,39,10,215,114,251,23,641,694,206,2155,617,498,64,4234,104,37,281,204,556,32,1211,327,195,1096,885,1130,94,3726,1020,412,1604,394,389,51,3876,779,317,1761,594,854,87,4394,71,25,263,154,242,22,776,90,36,241,219,1125,49,1769,161,19,394,224,876,241,1923,5022,1680,13485,7297,20918,1291,49693,12,20,79,54,81,11,259,4,0,3,5,12,0,27,100,33,370,266,423,36,1229,46,12,108,86,89,15,348,74,39,346,300,457,32,1243,35,20,198,142,225,17,625,174,88,1164,949,1486,149,4008,122,47,539,430
2009,10,5,17,13,13,4,50,0,0,10,0,10,0,19,16,5,62,32,197,7,323,7,0,21,5,46,0,83,16,9,79,73,793,11,989,14,3,34,25,59,4,136,7,3,48,26,72,4,160,4,4,19,14,17,0,63,14,13,53,101,176,12,365,9,11,17,15,14,0,65,15,16,58,24,17,0,132,0,0,22,9,25,0,61,72,17,189,68,53,8,407,3,0,28,14,60,6,113,40,20,104,126,102,4,391,70,38,91,24,35,4,262,39,12,74,23,27,10,175,5,5,28,13,22,6,77,5,4,15,12,113,0,155,12,3,33,20,77,13,161,344,176,994,640,1924,105,4189,7,0,9,7,11,4,38,0,0,0,0,0,0,0,3,3,44,28,28,4,113,0,4,14,9,7,0,33,0,8,31,44,47,6,138,0,0,12,13,9,0,46,9,4,58,53,71,12,205,7,3,29,13
