SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
2000,3758,2746,1232,2144,1844,644,321,780,197,13664,4104,3271,2061,5732,3245,1181,549,1442,302,21878,14056,3078,28104,10506,7135,4225,7118,9447,1430,85100,691,218,446,682,806,599,297,834,48,4620,968,324,470,893,819,448,401,644,91,5067,267,298,138,148,161,63,59,159,38,1327,1401,648,733,866,630,624,564,1213,755,7436,39012,47407,35625,26698,19934,9448,9866,16795,3608,208400
2001,73,83,64,83,92,26,26,20,5,480,126,137,112,266,197,49,48,52,10,996,310,129,1237,421,395,165,303,264,63,3289,16,3,16,19,30,26,9,22,0,148,31,14,28,35,35,20,15,11,0,181,5,8,7,10,14,0,4,0,0,49,17,18,25,26,23,19,15,22,33,193,953,1892,1608,1137,1049,397,477,450,141,8112
2002,33,47,13,47,35,22,8,14,5,228,68,103,28,136,82,30,11,24,13,500,182,68,569,284,208,142,137,178,26,1789,17,4,10,10,17,12,10,20,0,95,6,12,6,20,18,10,3,16,3,96,0,7,3,4,0,0,0,5,0,34,14,9,14,22,15,3,6,27,13,121,459,990,687,643,474,250,186,336,75,4090
2003,349,431,189,331,305,123,62,89,21,1894,474,558,392,1076,683,239,102,175,43,3734,1189,506,4079,1920,1390,812,770,1089,150,11909,61,41,59,106,144,131,49,110,0,705,65,65,58,161,124,95,40,66,6,675,25,62,20,32,25,11,7,20,6,200,64,96,71,105,83,72,47,75,90,706,4457,11266,5441,5154,4143,1940,1288,1957,451,36096
2004,232,384,171,300,243,73,47,65,18,1539,453,609,299,1085,536,222,107,204,40,3553,1136,546,3849,1967,1210,729,865,1188,178,11674,53,22,70,97,138,101,40,136,14,657,70,49,61,140,144,61,45,84,7,672,25,63,18,26,23,10,6,27,3,202,48,107,68,113,79,69,62,83,95,720,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
2005,34,60,17,35,24,17,3,13,6,211,54,58,42,81,36,12,7,15,6,319,65,47,287,118,81,38,50,74,11,780,7,0,7,10,9,3,0,11,0,45,8,7,8,14,13,4,0,0,0,57,0,3,3,3,3,0,0,0,0,12,9,16,12,9,9,5,3,8,6,72,453,1334,464,432,300,132,80,177,52,3426
2006,35,28,16,63,27,10,3,19,10,204,51,35,27,96,45,21,8,34,0,331,163,63,495,304,125,90,135,262,29,1668,10,0,4,11,15,11,6,24,0,82,16,0,9,22,11,6,8,15,0,89,0,3,4,9,0,0,0,8,0,25,7,8,11,21,12,9,15,29,18,120,379,615,606,598,293,171,195,478,60,3389
2007,58,74,32,57,46,18,5,12,5,314,103,100,78,208,107,49,8,40,10,694,370,93,1014,408,247,163,205,288,39,2824,14,0,18,16,19,16,0,18,7,115,22,10,12,31,33,17,14,11,0,148,6,6,6,8,3,0,0,5,0,34,23,18,18,29,20,19,15,29,14,187,919,1595,1241,951,609,348,268,455,83,6472
2008,1017,1492,677,1039,927,319,183,276,91,6030,1506,1589,1299,2801,1719,703,398,546,111,10683,2940,1304,11084,4906,2969,1799,1998,2757,507,30251,126,91,163,238,260,221,131,253,14,1490,253,163,175,416,362,220,133,194,26,1946,76,168,61,97,75,34,38,52,23,626,182,258,206,330,209,156,121,232,303,2001,13193,31040,15643,13862,10557,5116,3851,5607,1537,100407
2009,88,150,48,88,93,29,14,17,6,540,126,147,103,191,163,57,23,29,10,851,328,117,1061,228,247,100,162,163,46,2440,17,9,12,17,21,11,7,7,3,96,21,26,14,31,48,15,18,16,3,189,10,18,4,11,7,4,0,5,0,55,18,27,13,20,24,14,11,10,22,166,1396,2586,1388,836,901,323,259,304,116,8117
