SUA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
2000,87510,69194,23753,2084,182545,67902,5740,256181,1614,454,685,62,2820,6171,234,9224,322,148,112,13,592,366,49,1006,1935,603,800,80,3415,6540,282,10236,254,75,116,13,460,1264,53,1772,16,5,10,0,28,37,5,65,11,7,0,0,17,19,0,38,8,4,3,0,19,4,0,24,14,18,0,0,40,40,0,83,309,110,131,12,560,1364,56,1980,197,53,30,4,284,703,29,1008,264,69,51,7,384,636,42,1065,28,13,8,0,50,51,7,101,153,109,37,5,304,213,24,543,635,239,125,19,1021,1605,101,2723,182,95,34,0,314,261,51,617,90573,70241,24837,2194,187845,77667,6225,271738
2001,2220,3067,1003,71,6361,1503,146,8012,111,45,67,8,236,376,18,634,29,12,27,4,72,48,0,116,147,62,93,9,311,432,20,754,0,0,0,0,0,39,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,15,3,0,0,0,8,71,0,74,0,0,0,0,3,8,0,9,9,0,0,0,11,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,0,0,3,16,16,0,38,0,4,0,0,9,0,0,8,2382,3128,1103,84,6698,2023,167,8888
2002,1694,1384,695,54,3820,1475,152,5448,113,28,46,3,195,478,24,696,0,8,13,0,18,7,3,29,112,38,55,3,210,490,23,723,13,5,7,0,20,47,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,0,20,53,4,75,0,0,0,0,0,0,0,3,6,0,0,0,5,9,0,13,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,10,8,0,0,0,13,10,3,28,3,0,0,0,6,0,0,11,1825,1428,754,56,4070,2029,181,6280
2003,10243,10942,4908,377,26469,9484,1429,37386,850,408,501,58,1816,2789,204,4802,110,54,85,5,248,247,48,540,959,463,584,59,2068,3029,244,5345,129,39,85,8,263,717,36,1021,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,8,6,0,14,152,40,92,8,302,775,44,1121,0,0,0,0,8,8,0,12,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,8,6,9,0,26,17,3,47,19,12,7,0,31,30,4,70,19,9,5,0,34,34,5,73,11387,11473,5591,445,28905,13354,1734,43993
2004,9855,10313,4790,403,25364,9589,1221,36178,389,191,266,33,882,1793,121,2801,104,45,61,9,221,189,47,454,494,233,328,43,1100,1982,170,3252,68,27,44,4,136,250,13,399,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,15,77,25,44,4,154,265,13,429,6,0,0,0,9,18,0,27,12,0,0,0,16,12,0,22,0,0,0,0,0,0,0,0,10,9,0,3,18,14,0,32,30,7,0,4,40,41,6,84,22,13,4,0,43,29,8,77,10474,10599,5173,452,26704,11908,1417,40027
2005,1345,919,530,32,2833,1498,135,4471,22,11,12,0,42,169,8,218,0,3,0,0,3,6,0,15,26,11,10,0,49,175,5,234,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,11,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,0,14,6,3,3,0,5,11,0,21,0,0,0,0,0,5,0,7,1374,936,548,32,2892,1701,147,4737
2006,1298,1182,502,59,3040,1296,175,4516,51,19,27,10,109,409,17,534,0,0,0,0,0,4,0,11,52,19,33,10,113,417,17,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,22,0,23,3,0,0,0,5,6,0,12,3,4,0,0,10,0,0,11,9,7,0,0,13,40,5,56,4,0,0,0,5,5,0,8,1354,1211,538,62,3169,1758,199,5127
2007,2581,2147,829,60,5614,1770,178,7564,226,45,80,8,358,620,33,1015,6,3,8,0,14,17,0,32,232,49,79,8,374,636,33,1044,4,4,0,0,8,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,15,0,21,5,0,0,0,9,6,0,13,30,0,4,0,36,61,0,96,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,6,40,4,4,0,45,69,6,122,8,5,5,0,13,10,0,26,2872,2206,915,72,6065,2496,215,8772
2008,27174,31113,10751,955,69993,21265,3468,94723,1724,720,719,88,3249,5365,346,8960,672,350,270,23,1320,828,163,2306,2394,1071,991,114,4564,6189,510,11267,336,142,148,17,642,1223,90,1959,36,10,12,0,55,128,15,202,66,19,13,3,93,188,23,309,57,4,4,5,68,59,7,134,6,0,0,0,12,12,0,22,503,174,173,26,878,1608,135,2616,14,3,0,5,17,52,3,73,56,7,17,5,85,246,13,349,0,0,0,0,0,0,0,4,37,39,8,0,87,51,10,143,104,55,29,4,192,352,24,566,26,24,7,0,59,68,10,137,30204,32435,11951,1102,75691,29484,4136,109315
2009,2120,3087,599,36,5849,1025,75,6949,98,45,56,0,207,226,12,446,12,0,5,0,20,3,0,26,112,50,67,0,228,234,12,473,4,3,3,0,12,10,0,16,0,6,0,0,7,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,8,0,9,6,9,6,0,19,14,4,41,7,0,0,0,7,4,0,6,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,17,0,24,0,0,0,0,0,0,0,4,2250,3149,669,39,6106,1295,86,7487
