SUA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
2000,0,0,6,25,11,8,4,0,0,48,16375,39199,31793,57796,37168,43966,40636,19121,5238,291296,0,5,9,38,6,0,0,0,0,61,0,0,0,10,8,5,17,10,3,44,0,3,4,30,10,4,0,5,0,59,0,12,18,38,16,12,8,5,0,99,0,27,24,112,73,72,71,26,0,404,0,0,6,28,22,18,21,11,0,105,0,33,100,211,63,71,47,10,6,543,0,0,0,16,24,87,79,88,17,315,0,0,3,19,8,24,52,37,4,157,18,157,245,932,1303,2502,3079,2041,500,10779,0,4,4,64,30,29,20,7,0,167,0,9,19,81,33,30,45,18,8,234,0,18,14,116,112,210,568,370,86,1492,0,0,0,17,25,87,158,96,32,421,0,4,15,57,16,13,19,0,5,131,5,67,101,940,121,98,77,56,19,1493,0,12,21,72,25,18,17,13,7,176,0,10,4,37,9,10,13,0,0,78
2001,0,0,0,3,0,0,0,0,0,3,810,1701,1232,2656,1196,943,770,326,79,9703,0,0,0,9,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,11,0,0,0,3,7,0,0,0,0,7,0,0,3,3,0,0,0,5,0,11,0,0,0,6,0,3,0,9,0,15,0,0,0,0,0,0,0,0,0,4,0,7,14,39,51,88,75,43,21,336,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,3,9,6,22,12,6,54,0,0,0,3,0,3,8,11,0,23,0,0,0,3,3,0,0,0,0,9,6,20,30,282,8,10,12,3,0,364,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,5
2002,0,0,0,0,0,0,0,0,0,0,434,811,750,1263,680,744,769,485,149,6087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,0,6,7,24,25,36,47,53,16,210,0,0,0,0,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,6,0,0,0,0,0,3,14,11,4,31,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,6,0,4,0,35,6,0,0,0,0,52,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4
2003,0,0,4,5,4,0,0,0,0,13,3129,6809,6048,11324,5351,5132,4196,2229,743,44960,0,0,8,30,11,0,0,0,0,49,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,0,0,0,0,14,0,0,0,4,0,0,0,0,0,3,0,0,0,24,9,16,14,4,0,65,0,0,0,3,3,3,0,3,0,17,0,22,33,151,28,33,19,8,0,296,0,0,0,4,4,10,18,22,9,59,0,0,11,4,3,0,4,6,0,32,0,62,45,188,151,215,280,177,51,1177,0,3,5,9,3,3,6,0,0,31,0,3,5,12,0,8,5,0,0,29,0,4,3,9,14,11,60,26,5,138,0,0,0,0,0,0,11,12,5,39,0,5,4,10,8,3,5,0,0,36,6,40,173,653,98,15,17,9,0,1012,0,6,4,14,9,0,3,4,0,38,0,0,0,16,9,0,0,0,0,30
2004,0,6,5,23,3,0,0,0,0,48,2942,6187,5352,10278,4796,4786,4351,2347,886,41928,0,3,5,22,6,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,14,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,3,3,8,7,3,7,3,0,37,0,0,0,0,0,0,0,0,0,3,0,7,10,69,20,8,4,4,0,133,0,0,0,0,0,6,6,3,0,18,0,3,8,15,7,5,3,5,0,44,0,18,32,99,120,156,195,128,33,785,0,0,4,9,6,3,0,0,0,23,0,0,5,8,0,0,8,0,0,22,0,0,3,12,9,11,29,22,6,95,0,0,0,0,3,9,5,5,3,28,0,3,3,9,3,0,0,0,0,30,0,55,72,423,59,19,16,6,0,649,0,0,4,3,7,3,0,4,0,21,0,12,3,10,3,0,0,0,0,29
2005,0,0,0,0,0,0,0,0,0,0,246,546,401,1013,539,607,617,322,106,4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,5,0,6,0,29,36,46,54,45,9,235,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,4,9,4,3,23,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,24,3,0,4,0,0,31,0,0,0,6,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,6
2006,0,3,0,17,0,0,0,0,0,16,335,710,638,1181,609,646,595,395,140,5250,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,52,11,0,3,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,7,12,19,28,15,0,83,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,574,1214,1095,1805,1143,1250,1250,736,224,9294,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,5,4,11,19,36,61,59,14,210,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,5,5,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,7,0,51,0,0,3,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2008,0,35,72,186,47,19,4,0,0,360,8267,16353,14526,28534,13422,12003,10190,4925,1616,109838,0,0,11,62,12,9,0,0,0,90,0,0,7,75,17,67,31,28,5,225,0,0,8,43,8,4,3,0,0,63,0,0,4,3,4,4,4,0,0,21,4,18,16,75,50,25,16,3,4,213,0,0,0,22,11,3,0,6,0,41,0,58,115,343,80,69,71,27,4,770,0,3,4,62,49,136,138,158,71,627,5,16,12,41,8,10,22,14,3,119,16,176,223,706,695,914,921,692,227,4571,0,3,8,35,20,7,11,0,0,85,5,7,8,66,28,20,8,0,4,139,5,12,15,56,66,44,214,145,70,631,0,4,7,3,22,30,65,64,24,222,0,25,32,30,10,13,18,0,0,119,22,111,485,2181,137,53,46,29,10,3077,3,8,16,55,19,7,11,0,0,123,3,32,48,129,38,26,10,6,5,280
2009,0,0,0,0,0,0,0,0,0,0,615,1711,1258,1913,1292,1114,779,385,84,9146,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,24,0,0,0,0,4,0,0,0,0,5,0,3,0,3,0,0,3,0,0,13,0,0,0,0,0,5,5,5,0,18,0,0,0,0,0,0,9,4,0,10,4,9,12,55,70,110,87,66,12,420,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,8,0,0,16,0,0,0,3,3,13,20,22,3,59,0,0,0,0,0,3,0,0,0,6,0,5,3,3,0,0,0,0,0,13,0,0,0,27,0,15,3,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
