SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
2000,45,208,49,330,254,16,888,48,266,77,252,116,11,772,513,1532,263,1528,592,68,4484,1736,680,297,2184,436,64,5389,1706,294,79,2072,312,25,4490,4245,254,99,2281,439,32,7356,5931,124,65,2320,324,41,8810,5092,37,16,1352,155,20,6672,1224,12,0,353,43,5,1643,283,3,6,89,21,3,402,103,0,0,41,9,0,153,39,0,0,23,15,0,72,28,0,0,19,4,0,54,71,0,0,106,30,4,219,395,263,77,1085,721,139,2681,21455,3684,1024,14035,3468,433,44091
2001,0,7,0,0,0,0,14,0,13,0,0,0,0,16,6,68,7,3,4,0,96,4,42,20,14,7,4,89,23,16,5,23,0,0,67,96,10,17,53,7,0,180,339,24,8,96,15,5,493,584,3,0,83,6,0,679,71,0,0,18,0,0,88,7,0,0,0,0,0,12,5,0,0,5,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,12,0,35,14,3,92,1183,194,68,333,47,15,1837
2002,0,5,0,4,0,0,14,0,6,4,0,3,0,18,9,84,7,12,3,3,122,28,42,16,40,7,0,134,41,16,13,51,0,0,125,219,32,28,82,3,0,370,342,15,22,94,10,0,481,233,5,0,49,4,0,292,34,0,6,0,0,0,37,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,6,17,4,10,65,926,235,102,354,29,20,1666
2003,12,64,6,17,8,0,112,6,80,6,15,6,0,112,99,554,70,125,13,6,873,486,219,94,222,20,10,1053,428,137,48,224,17,3,857,1739,167,64,441,19,17,2442,3608,42,32,543,23,7,4259,2898,17,3,264,23,0,3199,477,9,0,56,9,0,542,58,0,0,23,0,0,80,26,0,0,10,0,0,34,20,0,0,3,0,0,23,3,6,0,0,3,0,6,8,0,0,10,3,0,26,150,90,12,99,42,29,426,10006,1393,338,2055,192,73,14054
2004,8,70,12,12,4,0,103,3,79,12,13,6,0,105,49,505,27,124,10,9,728,280,230,87,248,15,9,876,317,105,45,272,16,6,761,1353,172,71,452,37,10,2094,2891,79,58,614,32,9,3689,2221,10,11,297,22,0,2561,428,4,0,65,3,0,509,55,3,0,15,7,0,81,18,5,0,8,0,0,27,3,0,0,0,0,0,4,0,0,0,3,0,0,3,7,0,0,5,0,0,18,101,80,17,119,27,17,364,7726,1344,354,2250,183,62,11914
2005,0,4,0,3,0,0,17,0,8,0,0,0,0,11,6,67,0,17,0,0,93,6,12,10,24,5,0,53,14,3,9,19,4,0,43,47,7,3,36,7,0,99,189,8,3,71,0,0,276,163,3,6,52,4,0,229,47,0,0,21,0,0,71,9,0,0,0,0,0,14,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,11,4,0,32,497,138,35,261,24,3,947
2006,0,9,6,4,0,0,17,0,3,0,3,0,0,7,10,82,5,30,12,4,138,28,38,7,21,18,0,119,47,22,6,37,11,0,121,151,34,12,55,13,6,274,255,3,8,61,4,0,332,170,5,3,33,3,0,207,20,4,0,6,0,0,24,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0,9,10,3,59,697,224,43,269,72,17,1323
2007,0,10,12,8,5,0,38,4,26,5,0,0,0,31,10,151,11,15,10,0,197,45,53,3,38,16,0,164,59,22,3,47,4,0,135,204,47,0,73,10,0,339,382,15,3,103,13,0,519,384,15,4,75,9,0,480,145,4,3,23,3,0,173,12,0,0,0,0,0,16,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,11,21,23,6,22,11,6,88,1279,361,56,417,80,9,2197
2008,30,154,6,42,7,4,242,13,143,19,18,13,0,212,116,1018,72,217,32,11,1470,346,418,246,384,81,18,1502,543,171,76,372,70,11,1247,1661,252,105,589,79,19,2706,4971,168,110,1169,112,25,6549,8183,74,67,1066,105,24,9527,3322,11,11,381,37,3,3762,963,6,0,128,14,0,1108,335,0,0,65,3,0,408,122,0,0,24,4,0,159,48,0,0,7,6,0,58,88,0,0,19,5,0,110,318,172,35,257,111,60,955,21073,2588,763,4744,676,171,30018
2009,0,0,0,0,0,0,4,0,6,0,0,0,0,7,0,14,4,6,5,0,24,0,6,11,18,3,0,35,0,4,0,12,0,0,21,5,6,5,14,7,0,35,55,3,0,65,4,0,122,188,0,3,71,0,0,261,174,0,0,48,0,0,224,105,0,0,5,0,0,107,23,0,0,0,0,0,25,5,0,0,0,0,0,8,3,0,0,0,0,0,3,7,0,0,0,0,0,7,15,7,0,21,3,0,44,584,41,20,269,24,4,940
