SUA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
2000,284,15984,1303,17570,2651,37205,3442,43298,976,17567,1557,20096,656,13911,1379,15950,1048,29756,3552,34352,1123,32482,4058,37663,1770,40122,4234,46126,3045,48359,4418,55812,4222,45942,3961,54129,4165,20876,2162,27203,2851,3852,827,7533,22789,306057,30899,359738,186,15343,1196,16730,1314,35897,3215,40416,580,16405,1468,18448,384,12498,1085,13966,824,31005,2751,34580,1101,34841,3253,39196,2010,42008,3360,47378,3140,50108,3702,56946,3953,44044,3244,51245,4760,19737,2035,26527,5247,4387,1245,10876,23495,306267,26551,356315,473,31330,2496,34298,3959,73102,6656,83716,1549,33967,3026,38547,1044,26409,2461,29910,1873,60755,6305,68929,2219,67324,7314,76856,3781,82130,7593,93509,6185,98465,8116,112766,8179,89985,7209,105370,8923,40613,4200,53737,8102,8241,2071,18413,46288,612325,57447,716050
2001,18,793,44,846,154,1606,85,1849,41,622,32,696,28,631,23,684,38,1622,68,1735,46,1576,74,1692,68,1379,67,1510,71,1135,49,1260,132,942,54,1134,128,378,26,526,63,74,5,145,782,10754,530,12067,10,751,37,797,86,1507,75,1661,33,620,36,690,20,651,32,697,38,1721,72,1830,45,1647,58,1750,70,1488,59,1620,90,1250,66,1407,153,1034,55,1245,167,455,36,659,169,112,14,293,879,11228,542,12651,29,1541,79,1646,242,3109,158,3513,73,1245,69,1388,43,1288,52,1376,76,3343,147,3571,85,3221,132,3442,136,2872,126,3135,163,2381,119,2664,288,1976,114,2371,299,834,57,1187,233,186,14,431,1663,21986,1072,24717
2002,8,416,37,463,98,739,69,906,42,373,28,442,30,341,31,404,38,778,55,865,30,650,58,738,45,727,53,826,62,791,58,916,78,856,57,993,119,497,61,674,66,124,31,226,612,6293,539,7449,0,397,29,432,46,777,79,894,22,357,27,396,22,353,24,393,28,858,63,946,51,733,59,841,60,844,56,960,78,954,63,1091,98,965,63,1124,158,593,56,805,126,135,82,339,676,6951,601,8232,11,819,70,892,142,1518,147,1809,57,727,55,842,50,689,55,795,63,1637,113,1807,77,1379,121,1580,105,1571,110,1787,140,1747,122,2010,173,1824,119,2117,282,1083,118,1477,195,260,118,567,1287,13247,1143,15684
2003,82,3055,149,3289,578,6495,427,7499,217,3062,170,3449,174,3134,210,3513,251,6971,400,7627,237,5998,305,6541,315,5778,345,6439,438,5389,302,6124,583,4506,259,5345,617,2172,183,2967,444,477,93,1015,3933,47033,2841,53805,42,3022,179,3244,302,6389,306,6992,136,3033,193,3367,125,3290,197,3611,241,7124,408,7775,262,6734,344,7337,380,6448,299,7125,484,6148,267,6896,656,5387,275,6325,771,2674,213,3662,957,708,171,1834,4366,50954,2844,58167,126,6073,328,6523,881,12881,728,14490,353,6097,366,6815,303,6425,402,7130,493,14095,808,15403,497,12733,647,13881,694,12227,647,13566,921,11533,567,13020,1245,9890,537,11670,1390,4845,393,6629,1398,1188,263,2851,8299,97984,5686,111973
2004,81,2867,170,3118,631,5828,394,6860,223,2621,138,2984,150,2866,180,3196,237,6069,421,6723,206,5456,314,5982,272,5167,321,5766,343,4993,312,5649,497,4465,256,5212,563,2165,186,2909,441,504,130,1081,3640,43001,2825,49462,39,2848,183,3074,295,5721,332,6351,144,2683,166,2996,89,3057,143,3295,197,6650,409,7259,235,6026,344,6600,298,5779,293,6367,458,5795,311,6563,590,5060,239,5887,727,2510,215,3449,883,621,223,1728,3954,46751,2866,53577,120,5717,353,6186,922,11556,725,13209,366,5302,307,5980,243,5926,320,6489,440,12717,827,13979,434,11487,659,12582,567,10948,619,12136,801,10785,630,12212,1083,9521,492,11096,1287,4673,399,6354,1327,1129,351,2812,7596,89754,5689,103034
2005,6,237,12,260,38,523,34,597,9,226,28,260,10,152,47,202,16,371,229,615,12,518,174,713,25,587,126,746,35,661,73,771,36,709,67,819,44,358,50,457,39,70,56,169,277,4416,906,5598,3,202,10,216,16,493,38,546,4,227,11,245,7,121,10,128,7,411,21,442,14,608,34,657,24,715,49,788,31,783,40,856,61,845,62,967,83,450,76,605,75,100,126,303,337,4947,481,5759,9,439,23,469,53,1016,72,1140,21,454,33,510,10,270,53,334,22,778,247,1057,34,1125,211,1365,54,1299,176,1533,63,1444,118,1631,102,1552,127,1779,125,805,126,1064,118,174,185,472,607,9363,1384,11352
2006,7,319,28,356,53,675,48,777,16,331,16,358,8,334,13,356,39,758,61,852,31,649,33,714,45,647,35,727,53,643,41,736,71,598,38,708,109,345,33,492,84,78,15,173,519,5375,363,6256,0,319,19,336,27,627,48,706,12,325,10,347,12,308,7,326,30,729,40,799,25,629,36,698,44,692,30,767,51,733,28,819,89,693,45,826,120,415,31,561,191,114,19,327,602,5586,318,6503,11,634,47,690,84,1309,93,1483,30,657,23,704,16,638,18,677,71,1486,99,1657,57,1276,74,1409,88,1337,72,1489,106,1375,66,1553,155,1293,86,1536,226,762,66,1056,276,193,28,502,1117,10961,678,12756
2007,8,570,35,611,86,1160,83,1325,36,609,37,679,28,448,33,510,35,1018,77,1136,46,967,56,1066,41,1189,88,1314,70,1301,78,1446,144,1296,97,1532,159,717,78,949,82,159,46,290,732,9431,703,10860,9,529,31,563,44,1198,70,1311,23,570,22,608,16,496,26,542,25,1123,72,1214,41,1137,63,1240,47,1335,67,1449,96,1465,78,1644,137,1415,79,1634,185,749,100,1034,184,176,107,466,813,10186,706,11712,21,1092,63,1175,124,2358,152,2632,54,1173,54,1284,45,949,61,1051,64,2141,150,2351,86,2105,116,2308,85,2524,152,2763,165,2764,156,3085,286,2708,178,3166,345,1466,179,1985,270,331,153,753,1542,19621,1410,22568
2008,160,8171,358,8681,1316,16060,890,18260,485,7484,379,8352,326,8269,600,9198,469,18157,1464,20094,394,16697,1172,18266,583,15627,982,17197,798,14246,819,15871,1195,12585,715,14489,1422,5920,472,7821,1099,1390,243,2727,8258,124599,8089,140950,81,7824,351,8255,654,15811,846,17313,273,7324,363,7959,222,8195,451,8867,419,18764,898,20083,503,18166,885,19555,715,17041,767,18523,1042,16187,679,17905,1399,14207,755,16358,2046,6844,555,9450,2404,1613,383,4403,9768,131983,6929,148681,235,15991,707,16936,1971,31867,1735,35571,766,14812,740,16313,546,16472,1050,18066,888,36923,2370,40178,895,34861,2052,37815,1299,32673,1748,35719,1847,30436,1500,33780,2594,26787,1469,30849,3473,12765,1027,17271,3510,3005,627,7134,18028,256585,15016,289630
2009,5,616,20,641,109,1646,81,1832,32,767,40,835,15,492,22,522,21,788,32,837,16,1348,55,1423,23,1508,73,1603,37,1374,68,1476,50,1014,47,1113,88,480,25,587,65,59,4,127,449,10086,470,11006,11,620,22,645,46,1540,58,1638,26,653,36,711,10,407,34,448,17,842,26,887,17,1559,67,1638,34,1657,84,1776,43,1378,47,1475,70,1086,58,1210,104,455,20,581,121,68,14,192,491,10250,453,11198,15,1238,42,1294,155,3180,139,3477,56,1423,70,1544,27,892,52,970,34,1631,54,1727,41,2903,122,3066,52,3161,160,3378,74,2752,119,2951,120,2097,110,2322,187,939,46,1172,179,126,18,319,944,20339,924,22200
