SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2000,47,8,11,17,5,20,4,9,12,130,7,265,11,5,0,9,0,7,0,11,4,31,0,91,7,0,0,16,0,13,0,30,9,50,0,137,9,6,3,8,6,17,0,23,8,45,0,112,30,9,7,26,4,22,3,46,11,128,4,287,20,32,6,42,9,64,7,100,17,147,0,444,65,71,11,114,14,136,17,205,31,396,7,1074,119,129,26,198,33,342,31,290,52,458,17,1700,166,272,37,527,73,744,65,417,117,701,20,3148,345,412,70,1388,203,1112,114,448,144,650,26,4914,345,348,75,1718,236,1124,121,310,98,447,22,4845,665,386,94,2119,281,948,122,249,87,328,15,5303,2096,693,156,4784,688,1580,234,409,145,459,36,11286,2248,536,134,4033,596,676,190,219,81,223,26,8957,2107,284,94,2884,415,575,126,120,46,112,13,6769,1653,162,67,1622,296,233,85,55,22,64,4,4264,3893,296,109,3130,501,907,137,139
2001,0,0,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,5,0,7,0,5,0,4,0,20,0,6,0,5,0,15,0,4,4,10,0,49,0,9,0,9,0,30,0,14,5,22,0,93,6,19,0,29,7,76,5,14,4,10,0,171,4,3,3,53,11,60,4,16,7,20,0,187,19,3,0,75,7,46,0,9,3,5,0,181,92,21,9,182,40,103,8,22,3,18,0,507,111,16,5,203,31,43,7,11,4,19,0,441,106,11,9,145,37,53,6,0,6,6,0,372,105,3,4,117,21,9,0,3,0,7,0,275,272,11,8,156,28,74,5,8
2002,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,6,0,10,0,16,0,0,0,6,0,17,0,3,0,16,0,38,0,7,0,6,0,23,3,14,4,19,0,80,6,8,0,40,6,36,0,20,0,17,0,140,7,8,0,58,5,26,0,6,0,12,0,121,16,6,0,41,3,25,0,10,0,9,0,118,48,25,5,108,17,26,7,11,4,13,0,262,58,12,0,89,7,11,5,5,3,3,0,204,42,5,4,64,0,7,0,6,0,0,0,132,21,3,0,31,3,4,0,0,0,0,0,66,55,0,3,39,7,12,3,0
2003,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,3,0,7,0,14,0,0,0,0,0,5,0,7,0,15,0,32,0,0,0,0,0,6,0,15,0,19,0,43,6,6,0,9,3,25,0,30,7,64,0,144,3,19,0,20,3,36,3,62,10,73,0,230,13,34,0,47,15,132,5,73,18,113,6,451,25,61,3,191,24,199,21,87,21,97,3,733,32,55,5,245,38,198,9,62,11,67,0,726,57,67,9,312,43,184,14,53,17,51,0,803,283,112,7,737,86,328,33,72,11,77,0,1757,390,91,23,717,104,127,28,34,6,32,5,1553,376,43,8,631,91,125,25,20,4,28,0,1352,341,30,9,313,49,41,14,11,10,13,4,830,804,52,20,722,113,193,11,26
2004,3,0,0,0,0,6,0,3,0,9,0,26,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,8,0,12,0,6,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,10,0,13,0,26,0,53,0,6,0,4,0,22,0,38,7,54,0,134,0,22,3,15,5,58,0,46,12,77,4,249,7,41,5,42,3,123,4,78,7,91,0,397,23,65,3,156,26,182,11,87,13,112,3,682,26,39,3,230,30,174,10,46,15,59,0,639,87,63,7,290,54,161,7,42,11,49,3,777,346,113,22,745,87,300,34,63,32,66,4,1810,376,84,17,720,91,115,30,37,7,38,0,1511,345,57,18,559,88,110,28,16,11,22,0,1254,296,31,4,292,53,40,19,12,0,13,0,759,628,41,14,544,71,150,20,17
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,7,0,4,0,16,0,3,0,0,0,4,0,6,0,6,0,21,0,11,0,5,0,7,0,7,0,11,0,34,3,7,0,12,5,11,4,15,0,3,3,68,6,10,0,31,0,7,4,5,0,9,0,71,4,16,0,26,0,3,3,4,0,0,0,69,23,26,5,61,4,24,8,8,0,4,0,153,21,23,0,63,6,16,10,5,0,0,0,141,13,15,0,44,5,10,0,0,0,4,0,92,13,0,0,24,4,4,0,6,4,0,0,53,32,8,0,45,3,18,6,4
2006,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,8,0,7,0,17,0,0,0,0,0,7,0,0,0,0,0,18,0,5,0,5,0,20,0,7,5,12,0,54,3,6,0,36,6,23,5,10,0,5,0,96,3,4,0,45,3,29,3,0,0,0,0,99,12,7,0,40,4,14,0,4,3,12,0,99,45,11,0,119,14,13,6,5,0,12,0,230,37,9,0,92,12,7,4,0,0,3,0,168,44,3,5,48,6,14,3,3,0,3,0,117,28,4,0,24,5,6,0,0,0,0,0,65,61,0,4,45,4,8,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,0,6,3,7,0,14,0,3,0,4,0,4,3,3,0,3,0,30,4,8,0,14,0,19,0,13,3,17,0,71,9,8,0,42,0,31,5,12,3,22,0,139,12,13,4,51,12,26,0,10,8,10,0,127,25,15,3,64,4,31,0,5,3,13,4,168,71,23,8,166,23,40,10,5,3,12,0,373,79,11,0,148,25,22,6,6,7,3,0,298,84,10,0,114,8,16,0,3,0,7,0,251,84,7,0,56,18,3,3,0,0,0,0,173,123,12,0,125,16,27,0,3
2008,8,0,0,10,0,6,0,0,0,67,0,99,0,0,0,0,0,3,0,3,4,14,0,23,0,0,0,4,0,3,0,9,4,23,0,45,0,0,0,0,0,0,0,9,5,23,0,33,0,0,0,3,0,11,3,15,5,50,0,86,8,12,0,3,0,24,0,37,4,61,0,155,0,8,0,18,3,48,7,65,10,145,0,305,6,32,0,35,12,130,6,115,21,150,3,502,19,69,3,99,14,279,11,192,28,261,9,985,35,168,16,343,58,428,42,189,33,248,6,1554,58,156,9,557,72,422,35,158,30,170,4,1682,150,130,25,662,108,421,43,109,28,154,8,1838,677,319,57,2021,267,949,89,198,55,257,4,4900,838,251,45,2196,289,403,100,118,25,114,4,4387,987,188,37,1942,282,403,74,79,22,78,10,4106,926,96,32,1102,171,170,46,39,6,46,0,2637,2592,209,62,2520,406,770,79,106
2009,0,0,0,3,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13,0,0,0,0,4,0,0,0,0,3,0,9,4,0,0,6,0,3,0,6,0,6,0,22,3,9,0,8,0,16,0,19,3,3,0,59,5,9,0,25,0,17,0,9,3,11,0,74,6,6,0,20,8,24,0,12,0,10,0,89,14,17,0,55,12,30,3,15,0,4,0,150,47,23,3,133,23,85,8,16,5,23,0,364,63,17,0,204,27,33,3,5,4,13,0,383,90,9,3,195,25,45,10,6,4,5,0,393,113,15,3,135,16,21,6,10,3,4,0,319,419,36,10,330,55,113,9,15
