SUA_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
2000,417,996,648,358,625,560,94,269,1247,5221,11305,33412,26791,17932,23202,19813,5086,11438,3286,152261,1270,4540,3847,2684,4071,7222,2401,14403,1014,41454,227,108,83,72,209,404,226,970,55,2358,1047,2270,1622,1323,5201,6050,2197,3138,284,23129,213,206,239,196,969,1344,362,690,50,4274,1322,2505,1987,1850,5253,10535,2639,6148,613,32848,265,711,546,437,1435,1820,604,1136,85,7041,1635,7409,4229,2397,4089,3205,902,1787,395,26049,2511,7462,2671,1199,1857,1517,372,1620,378,19583,762,1426,1385,778,1748,2485,906,2965,238,12690,130,346,246,158,444,451,136,248,21,2174,276,381,581,384,1000,1095,277,621,40,4645,161,392,339,235,642,648,126,445,43,3019,518,2029,1806,1256,2125,2762,797,1898,127,13319,609,2440,1299,752,1213,1046,275,579,168,8371,1458,1516,1628,1270,4801,5073,1122,1786,178,18831,1393,4271,3839,2654,4709,3370,1501,3135,236,25108,3378,7156,8773,7527,6341,5873,1237,2235,522,43048,532,983,634,433,981,763,173,482,71,5058
2001,13,29,18,18,37,26,3,9,50,193,380,1106,892,644,1158,942,223,375,121,5835,3,18,21,18,29,60,10,21,3,187,4,6,5,0,0,11,6,44,0,70,19,44,31,30,160,184,71,131,3,675,8,8,11,10,40,53,17,30,3,170,53,98,100,81,302,626,189,343,37,1823,8,27,9,18,73,94,28,54,3,315,79,297,190,77,186,132,34,57,10,1058,62,306,83,32,61,24,12,14,12,615,56,66,84,45,173,242,85,212,15,979,3,10,10,4,34,31,14,17,3,121,19,19,22,13,75,93,18,40,5,299,3,17,18,9,39,45,9,24,4,166,24,60,67,51,137,181,41,68,5,625,14,77,39,24,62,44,9,30,7,309,58,47,55,57,246,307,55,94,8,937,59,174,143,149,270,165,89,161,11,1221,73,199,232,219,268,218,39,72,21,1341,23,40,20,16,48,24,3,13,0,177
2002,10,20,20,11,18,4,0,5,27,114,190,689,620,439,611,369,96,157,66,3239,18,28,38,23,42,45,14,50,6,265,3,0,0,0,4,3,0,16,0,28,18,44,75,59,172,121,39,58,11,592,5,6,7,3,31,24,7,5,6,91,17,41,34,33,104,214,64,128,12,649,5,19,12,19,55,51,9,18,4,192,34,208,111,51,145,93,30,44,10,726,41,184,57,26,49,33,9,28,11,433,6,16,19,18,39,38,16,47,0,209,4,3,3,0,8,11,0,6,0,38,5,8,8,10,17,18,3,4,0,68,3,4,11,8,16,18,7,16,3,81,5,44,36,15,36,44,16,27,0,225,10,42,50,26,44,20,4,3,3,203,21,22,28,26,106,82,26,31,6,344,25,79,97,97,115,63,37,54,4,570,72,174,212,190,197,179,38,58,13,1146,3,16,3,3,18,10,0,3,0,62
2003,47,104,62,45,107,69,16,25,135,607,1834,5494,4578,3170,4960,3336,934,1448,307,26067,32,112,60,42,117,149,56,136,11,715,26,24,12,5,30,71,41,169,6,393,138,339,245,188,911,1056,373,492,24,3760,13,22,22,24,115,169,60,109,4,533,134,300,310,223,931,1682,445,886,51,4966,30,80,79,47,250,263,91,114,6,961,300,1496,910,498,931,634,202,282,41,5292,407,1649,599,228,401,241,64,173,44,3795,93,172,170,129,351,376,123,322,14,1750,50,70,68,32,197,149,89,66,0,729,45,43,73,59,219,260,74,115,3,902,15,55,54,35,158,146,53,103,5,622,85,274,319,218,597,785,182,356,13,2830,106,359,251,133,268,166,38,82,21,1423,217,217,270,213,1044,874,202,303,15,3359,263,886,767,574,1232,808,381,739,32,5674,655,1390,1846,1657,1948,1549,336,578,62,10016,96,251,122,78,161,144,31,92,7,984
2004,30,104,74,50,99,63,3,27,135,592,1659,4950,4185,3008,4858,2962,781,1279,292,23978,29,99,74,42,158,158,55,133,10,751,61,27,30,19,49,182,82,416,6,873,151,319,247,205,1139,1105,346,444,27,3981,30,15,37,51,120,205,48,86,3,597,135,272,222,238,834,1504,368,758,43,4372,21,69,52,49,222,203,74,105,9,807,300,1364,845,427,887,512,150,232,49,4776,305,1518,525,244,348,233,57,159,39,3433,79,134,149,89,280,285,107,334,28,1480,23,62,39,29,161,87,30,34,3,461,76,83,154,104,578,377,117,174,6,1676,12,52,31,18,156,94,29,84,4,481,82,255,204,152,508,440,137,251,7,2028,70,347,214,146,306,159,32,74,20,1368,200,187,240,232,930,736,195,238,18,2986,193,655,596,423,1011,556,290,505,23,4238,626,1248,1704,1676,1839,1418,319,549,51,9427,73,208,102,45,115,65,15,42,4,677
2005,3,19,12,8,13,9,3,0,4,71,156,593,472,310,313,270,79,133,21,2349,0,8,4,9,5,12,5,3,0,58,0,0,4,0,3,3,0,3,0,12,23,44,52,34,87,127,36,51,0,443,0,4,3,3,6,15,6,3,0,32,12,41,44,28,52,106,22,58,3,365,0,8,3,4,3,15,7,12,0,58,25,160,67,22,45,36,26,35,10,413,23,105,49,22,26,25,4,17,0,261,6,16,21,8,8,25,5,13,4,119,0,16,9,16,14,12,4,6,0,77,4,8,6,10,18,14,3,3,0,63,0,15,3,4,3,8,3,5,0,46,13,53,49,40,54,68,13,37,0,326,6,40,15,12,10,9,3,4,0,105,28,24,50,42,89,102,15,31,7,390,27,112,81,65,71,65,38,61,3,532,48,151,193,140,103,102,20,35,8,799,13,31,28,25,23,21,0,18,0,153
2006,10,13,3,8,12,4,0,5,20,78,219,635,495,345,542,346,89,150,49,2868,13,58,16,13,65,75,21,61,5,323,0,5,0,0,0,4,0,8,0,25,59,64,59,42,364,341,120,124,4,1174,3,0,0,4,15,23,8,8,0,64,18,38,19,22,76,153,66,81,11,483,4,3,13,3,17,22,11,22,3,100,27,197,92,55,107,61,27,33,11,606,35,173,56,21,42,24,10,25,8,386,16,14,17,5,26,26,19,74,0,199,4,12,13,12,12,10,3,4,0,72,5,9,8,3,12,20,3,12,0,66,5,5,4,6,6,13,6,6,0,45,7,17,23,7,35,36,7,25,0,165,10,55,48,12,42,30,10,7,0,218,10,22,20,16,74,62,11,13,4,239,21,70,67,69,60,44,14,49,0,405,58,139,177,147,159,101,20,48,10,853,5,14,8,0,13,5,0,9,0,60
2007,7,30,15,9,16,15,0,4,31,127,389,1068,932,613,898,656,172,272,77,5081,15,33,19,13,47,92,22,87,5,336,7,0,0,0,0,0,4,19,0,30,33,76,59,57,238,218,92,165,6,941,7,3,6,6,24,29,9,23,0,99,35,62,65,60,219,393,109,241,26,1200,3,15,16,14,56,64,12,41,8,229,78,238,198,106,205,133,34,68,11,1062,119,383,156,76,134,70,20,81,15,1055,11,26,45,30,36,59,25,83,6,310,8,7,8,0,15,8,0,0,0,45,9,15,14,9,55,40,8,13,0,156,11,14,10,4,27,20,4,14,0,114,7,38,33,32,71,79,20,44,4,342,22,63,46,19,60,34,7,15,4,267,32,31,35,23,166,135,34,33,4,484,48,123,95,77,148,126,80,82,3,777,121,213,333,293,319,260,58,98,5,1699,29,67,33,24,30,30,0,5,3,224
2008,110,343,265,159,271,244,43,101,385,1920,4967,15131,12345,7911,12604,9323,2370,3787,896,69346,53,254,165,110,246,290,79,245,21,1458,40,16,15,16,21,81,28,128,0,333,267,786,569,383,1977,2463,686,1129,74,8339,75,66,100,75,479,459,152,256,12,1672,409,984,915,834,2662,5496,1404,2919,175,15812,142,240,236,182,857,985,337,465,25,3476,945,4240,2348,1190,2514,1971,521,826,123,14676,1083,4341,1470,539,908,658,174,406,101,9680,348,535,549,317,838,1228,437,1037,84,5377,79,167,135,83,287,311,86,167,13,1317,181,190,365,312,1126,1141,267,518,19,4126,60,180,140,121,422,416,118,264,18,1731,297,1017,941,647,1814,2260,571,1190,49,8787,232,1161,633,327,650,538,139,243,37,3973,642,657,766,540,2392,2529,653,806,58,9052,700,2221,1983,1246,3075,2196,903,1603,88,14009,1520,3793,4700,3923,4484,3301,808,1270,171,23966,269,593,280,166,363,318,81,177,18,2285
2009,4,38,28,20,20,20,4,16,21,166,362,1218,899,617,836,810,231,399,88,5453,7,24,18,8,13,33,13,32,4,148,4,0,0,0,0,8,3,9,0,27,25,84,38,37,121,156,57,105,7,636,5,4,3,13,38,48,10,13,3,132,45,102,82,85,233,514,134,349,25,1571,5,18,12,20,56,69,26,53,7,266,46,304,111,69,93,100,31,54,15,824,53,249,55,27,40,32,8,17,10,496,65,72,59,50,155,171,45,111,15,738,8,17,15,9,39,32,6,23,3,153,10,21,43,32,73,124,36,67,0,396,7,19,15,10,27,30,9,26,0,145,28,97,113,71,144,207,70,159,7,891,13,72,31,24,51,56,15,23,3,288,66,71,79,63,193,250,84,127,3,938,49,215,159,110,224,174,101,168,16,1218,113,222,280,203,178,191,39,71,11,1301,24,46,21,11,41,35,5,19,3,210
