SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,3,25,10,4,6,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,10,0,5,0,0,3,0,0,34,6,27,7,0,0,0,0,0,0,0,0,0,0,0,6,38,4,0,3,10,9,18,14,9,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,10
2011,1058,1047,953,1061,354,297,290,20903,0,3,57,175,352,4747,6512,4720,2494,1934,932,2100,570,58,359,25023,71,503,1282,1245,2006,932,2886,2693,416,454,594,793,292,69,256,14496,1763,20571,21168,3694,1273,910,1569,2558,478,424,420,395,134,30,2293,57681,18,69,76,236,612,1364,2634,1283,334,327,411,494,262,105,190,8421,0,0,15,186,792,1481,6274,3029,590,610,602,586,252,55,224,14708,29,223,1812,4476,3211,2288,2850,1385,294,309,289,290,140,90,606,18302,39,214,1333,3754,9608,5303,13650,9012,3153,3314,3183,2583,1012,181,889,57228,0,0,4,11,42,392,4405,3178,1165,2061,3002,3080,801,48,302,18500,417,5115,1278,702,786,496,929,469,131,136,139,139,54,27,294,11116,213,484,2139,5940,10061,12021,20464,15314,2561,2552,2723,2813,1103,1110,2100,81598,56,412,4277,5172,2916,2026,1449,651,133,125,129,103,34,26,466,17980,8,13,66,192,681,1516,6307,9377,1964,2373,2374,2240,1022,451,439,29021
2012,0,0,0,3,0,0,0,26,0,0,0,0,0,7,16,13,0,0,0,4,8,0,0,50,0,3,9,5,3,0,8,0,0,5,0,0,0,0,4,41,40,228,153,18,8,0,0,16,4,0,0,3,0,0,37,510,0,0,0,0,0,0,9,3,4,0,0,3,0,0,0,20,0,0,0,0,0,7,22,10,4,3,0,8,4,0,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,55,155,162,177,174,184,41,0,62,1012,0,0,0,0,0,0,9,12,18,11,7,12,0,0,0,70,3,40,10,8,0,0,4,0,0,0,0,0,0,0,0,74,0,0,18,60,90,93,60,65,6,6,15,3,4,7,17,440,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,9,13,5,8,16,0,5,0,0,55
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,4,0,0,0,0,0,0,0,0,0,5,28,8,38,9,5,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,9,3,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,132,27,9,23,3,3,0,0,0,0,0,0,0,6,210,0,0,15,42,43,23,32,20,0,6,0,0,7,0,5,178,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2014,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,4,0,0,0,0,0,0,0,0,6,0,8,3,4,0,0,0,0,0,0,0,0,5,0,3,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,5,4,5,7,3,0,0,0,0,27,0,41,6,0,4,0,0,0,0,0,0,0,0,0,0,56,0,7,4,28,40,22,23,12,4,3,0,0,0,0,6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,9,4,0,4,0,4,0,3,6,0,0,0,0,3,0,0,26,3,23,13,0,0,0,0,0,0,0,0,5,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,3,4,4,5,0,4,0,0,0,55,0,0,0,0,0,0,0,4,3,3,4,0,0,0,0,18,0,65,0,3,0,0,3,0,0,0,0,0,0,0,0,81,0,0,12,26,20,27,34,20,0,0,6,0,0,0,4,152,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,11,0,0,3,0,0,0,0,24
2016,18,5,0,5,3,0,3,116,0,0,0,0,0,149,159,83,19,29,15,21,0,3,9,494,0,0,8,8,3,7,6,11,3,0,7,0,0,0,0,58,28,280,171,36,3,10,0,0,4,0,0,0,4,0,31,575,0,0,0,0,0,4,5,0,0,4,0,6,0,0,0,14,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,4,5,10,4,53,108,101,136,93,75,11,0,28,633,0,0,0,0,0,4,27,8,11,6,24,10,8,0,0,104,0,90,6,0,12,3,3,0,0,0,0,0,0,0,6,120,0,3,22,54,48,87,128,79,12,23,18,7,4,5,20,513,4,15,26,9,7,4,0,4,0,4,0,0,0,0,0,71,0,0,0,0,0,5,39,124,22,22,21,10,14,3,10,278
2017,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,8,3,55,31,6,0,0,0,0,0,0,0,0,0,0,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,48,15,26,44,27,5,0,11,184,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,9,4,11,11,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,0,0,0,0,0,0,34
2018,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,10,15,15,16,4,6,9,0,0,0,0,0,0,4,79,16,150,196,31,8,6,3,6,0,0,0,0,0,0,31,441,0,0,0,0,0,0,3,0,0,0,0,3,7,3,3,24,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,4,7,21,37,7,3,10,4,0,0,0,110,0,0,0,0,0,0,6,4,6,8,9,4,3,0,0,37,12,206,21,17,21,5,4,0,0,0,0,3,0,0,16,307,3,3,19,70,92,55,82,51,9,4,11,13,0,4,22,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,11,16,3,9,6,6,0,0,0,51
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,3,0,0,19,9,109,68,5,3,0,0,0,0,0,0,0,0,0,17,217,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,6,7,4,6,6,6,0,0,4,56,0,0,0,0,0,0,10,16,17,8,12,5,0,0,4,67,3,57,4,4,0,0,3,0,0,0,0,0,0,0,0,77,4,0,10,29,13,15,27,8,5,0,4,5,0,0,7,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,6,0,0,0,19
2020,5,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,4,22,4,14,5,4,12,0,0,0,0,0,0,0,71,8,55,30,7,3,0,3,0,4,0,0,0,0,0,5,120,0,0,5,0,0,0,6,6,0,3,0,0,6,0,0,24,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,4,12,3,4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,20,197,36,14,32,7,3,9,0,0,0,0,0,0,0,313,6,0,35,61,104,92,130,38,11,8,7,0,0,4,24,513,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,7,11,7,7,0,4,0,0,0,35
2021,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,8,7,13,5,22,7,0,0,4,0,0,0,0,83,0,9,9,0,0,3,3,0,0,0,0,0,3,0,3,33,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,21,0,0,0,0,0,3,12,3,3,0,0,9,3,0,5,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,6,0,8,14,6,0,0,0,3,0,4,57,0,0,0,0,0,0,6,7,5,4,6,0,0,0,0,34,7,63,10,0,10,8,4,0,0,0,0,0,0,0,4,105,0,3,14,55,59,81,90,42,8,6,7,11,3,6,14,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,4,0,9,0,0,13
