SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
2000,3,0,8,5,0,7,8,118,0,0,6,0,0,40,28,12,0,4,0,0,0,0,5,103,15,81,189,179,195,74,224,154,7,5,13,27,17,11,34,1226,179,1162,734,152,57,23,41,66,6,8,15,15,4,0,217,2685,0,9,9,26,29,53,92,42,4,10,10,14,9,0,10,310,3,0,0,0,16,10,46,29,3,3,5,18,0,0,4,145,5,7,33,35,19,6,20,9,7,0,0,0,0,0,13,150,3,19,89,87,114,56,180,231,194,224,219,183,52,17,108,1777,0,0,0,0,0,5,43,91,46,60,55,40,16,0,4,369,123,1900,412,212,235,114,159,68,18,9,8,20,3,6,112,3400,36,111,558,1361,1648,1375,1637,711,110,49,90,73,52,48,458,8324,0,12,57,52,20,12,12,6,0,0,0,0,0,0,10,187,0,5,6,3,4,6,54,51,11,15,23,14,11,4,7,206
2001,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,9,10,5,12,0,0,0,0,0,0,0,0,56,0,34,30,7,3,0,0,4,0,0,0,0,0,0,8,81,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,7,0,9,4,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,44,11,8,10,5,15,4,0,0,0,0,0,0,0,101,0,4,8,42,56,70,88,51,4,3,4,4,0,0,8,353,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,31
2002,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,0,0,0,0,0,0,0,0,17,4,28,18,0,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,9,11,0,5,7,7,0,0,0,47,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,15,0,42,11,3,4,0,0,0,0,0,0,0,0,0,4,72,0,6,13,35,26,25,13,3,0,7,7,0,3,0,11,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,18
2003,0,0,9,4,4,0,0,72,0,0,0,0,0,3,21,10,6,11,3,0,0,0,0,51,3,10,23,23,26,20,29,20,8,6,3,4,0,0,3,175,8,79,33,14,0,3,4,7,0,3,3,0,0,0,10,167,0,5,3,0,4,14,32,18,0,3,0,0,0,0,3,87,0,0,0,0,11,12,23,15,0,0,0,0,0,0,0,66,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,14,4,0,13,20,37,15,70,45,15,8,8,14,4,0,0,251,0,0,0,0,0,0,20,36,20,42,37,43,10,0,6,212,16,357,38,19,16,10,15,3,0,4,0,0,0,0,17,488,3,18,46,149,178,170,173,115,15,12,27,15,11,9,28,962,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,3,52,56,17,11,19,16,8,0,9,184
2004,6,0,4,0,0,0,0,56,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,25,0,13,15,16,17,11,21,12,0,0,0,0,0,0,5,113,9,49,35,9,4,3,3,6,0,3,0,0,0,0,6,123,0,0,0,0,5,4,10,6,0,0,3,6,0,0,0,30,0,0,0,0,7,6,9,17,3,4,12,0,0,0,3,68,0,0,0,0,6,4,6,0,8,0,0,0,0,0,0,19,0,0,15,24,35,19,50,28,18,22,25,26,5,0,7,276,0,0,0,0,0,0,22,25,22,19,13,15,11,0,0,127,14,119,27,14,9,6,5,9,0,0,0,3,0,0,5,205,3,9,43,119,136,108,160,55,5,26,11,10,9,9,25,722,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,29,39,18,4,14,4,0,0,0,116
2005,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,5,0,0,8,0,0,0,0,0,0,0,6,23,0,4,0,0,0,0,0,5,0,0,0,0,0,0,4,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,3,4,3,0,0,0,3,0,0,0,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,3,0,3,0,0,0,0,0,0,0,42,0,3,11,26,26,25,22,13,3,0,0,0,0,0,30,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,9,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,8,5,0,0,0,17,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,14,0,24,4,0,4,0,0,0,0,0,0,0,0,0,0,32,0,0,5,15,21,15,32,16,0,0,6,5,0,0,6,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
2007,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,6,8,0,0,0,0,0,0,0,39,3,23,6,5,0,0,3,0,0,0,0,3,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,3,7,3,4,3,0,0,0,29,0,0,0,0,0,0,4,10,3,4,4,4,0,0,0,30,3,28,0,3,3,0,0,4,0,0,0,0,0,0,6,55,0,4,12,28,32,50,49,15,4,0,4,3,6,3,10,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,9
2008,24,26,31,32,12,4,12,529,0,0,0,0,0,21,34,62,92,16,17,23,8,0,13,280,3,44,88,64,107,61,176,146,14,14,11,15,5,0,20,768,88,630,505,95,26,21,56,60,10,0,7,14,5,3,77,1600,0,0,0,9,11,29,82,36,6,5,4,3,5,0,13,204,0,0,0,0,18,18,77,48,11,21,5,3,0,4,3,209,0,0,17,34,23,15,20,5,0,3,0,4,0,0,6,132,3,13,29,62,93,58,147,106,45,50,42,36,18,0,21,719,0,0,0,0,0,3,76,83,41,56,46,33,12,0,0,355,31,959,118,54,43,34,60,25,12,8,16,13,0,0,35,1411,15,32,156,385,527,480,676,427,64,45,50,65,32,18,133,3099,0,31,292,200,78,31,31,12,3,0,3,0,0,0,8,699,0,0,0,9,10,9,86,324,41,69,65,121,34,6,20,802
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,4,0,0,7,10,14,3,18,8,0,0,0,0,0,0,5,74,4,37,41,3,0,5,0,3,0,0,0,0,0,0,5,102,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,23,4,5,5,5,0,0,0,4,0,0,0,0,0,55,0,3,7,38,59,48,97,25,12,0,9,0,0,0,10,313,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,9
