SUA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
2000,1139,7,5,7,1145,120,6,1270,22990,2768,565,195,26516,210,72,280,26795,1324,36,28154,38693,5584,888,459,45624,223,97,318,45943,1665,53,47660,4597,705,745,98,6136,32,0,32,6167,207,12,6387,541,110,17,723,1393,14,6,17,1409,75,45,1532,66820,9164,2216,1479,79675,471,172,644,80316,3275,142,83731,280,64,15,6,364,59,4,66,428,58,5,489,607,116,29,21,773,33,23,61,824,61,0,894,886,174,43,28,1130,96,25,122,1252,123,7,1382,67706,9341,2258,1504,80808,566,200,767,81571,3395,152,85119,13111,2212,624,581,16528,320,91,410,16939,2805,57,19801,123,22,15,67,221,5,0,5,228,30,389,652,80944,11571,2895,2151,97561,892,288,1183,98745,6224,597,105570
2001,85,0,0,0,88,9,0,91,1177,120,36,14,1348,10,3,13,1361,80,0,1442,1562,165,35,15,1779,7,0,10,1790,31,0,1819,213,24,34,6,274,8,0,8,280,6,0,285,36,0,5,31,75,0,0,0,75,6,11,89,2992,306,107,66,3475,21,5,28,3500,130,11,3637,29,4,5,4,41,3,0,3,48,0,0,48,70,11,0,0,78,0,0,0,80,0,0,84,95,10,5,4,121,4,0,4,128,0,0,126,3089,319,111,74,3591,31,5,33,3622,136,11,3768,704,70,20,23,814,8,4,15,825,75,0,907,4,3,5,9,18,0,0,0,18,0,19,31,3791,391,128,104,4420,37,9,49,4469,207,27,4707
2002,13,0,0,0,13,5,0,18,376,66,0,6,448,5,0,3,451,39,0,491,773,129,15,13,930,4,0,4,932,57,0,990,71,8,21,0,101,0,0,0,101,5,0,99,4,5,0,12,25,0,0,0,25,0,0,30,1231,203,32,37,1501,5,0,10,1509,99,0,1605,3,0,0,0,3,0,0,0,5,0,0,5,7,10,0,0,14,0,0,0,14,3,0,19,9,10,0,0,15,0,0,0,15,3,0,16,1234,212,32,37,1512,10,0,13,1523,100,0,1623,298,66,14,4,376,16,0,16,396,58,0,454,3,0,0,0,3,0,0,0,3,3,5,13,1534,274,44,42,1894,24,0,27,1925,165,6,2093
2003,242,0,4,4,244,24,0,271,3869,516,68,14,4469,45,20,65,4530,244,0,4784,6711,878,126,33,7748,54,40,99,7845,242,5,8097,837,92,85,16,1033,12,0,7,1039,31,4,1076,61,0,0,44,98,0,0,0,98,9,14,122,11466,1490,281,103,13348,110,62,173,13520,530,27,14071,66,5,0,5,80,15,5,16,100,9,0,109,162,28,0,5,193,10,3,21,216,5,0,222,229,34,0,6,276,31,9,35,313,12,0,331,11701,1527,281,113,13622,143,69,210,13831,539,28,14404,2317,420,77,41,2853,88,8,100,2953,477,5,3433,11,5,0,5,21,0,5,5,23,4,45,70,14024,1949,362,164,16497,228,83,310,16806,1024,80,17908
2004,254,5,0,8,254,33,0,293,3549,500,88,10,4148,46,17,63,4209,222,5,4440,5936,878,124,48,6988,46,12,60,7038,212,10,7262,712,109,102,13,929,13,0,20,941,37,0,978,54,0,0,50,110,0,0,0,106,25,5,136,10245,1486,313,118,12166,108,32,141,12310,494,17,12819,48,5,0,0,54,8,0,8,65,6,0,75,138,30,4,3,174,13,0,13,188,10,0,199,185,36,4,3,228,25,0,25,256,14,0,271,10437,1525,321,120,12399,134,32,162,12564,508,17,13091,2133,408,105,32,2676,66,11,76,2749,521,0,3267,14,0,0,3,25,0,0,0,25,5,49,75,12586,1929,431,154,15103,198,39,239,15335,1034,67,16439
2005,6,0,0,0,6,0,0,11,191,61,4,0,260,3,7,9,265,24,0,293,450,187,18,8,655,9,0,8,662,38,0,700,42,16,8,0,67,0,0,0,67,0,0,68,0,0,0,3,5,0,0,0,5,0,0,5,689,263,22,11,989,9,10,16,1004,68,0,1069,5,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,11,0,0,0,11,0,0,11,14,5,0,0,17,0,0,0,17,0,0,17,694,267,24,11,999,9,10,16,1024,68,0,1085,130,34,9,4,187,4,0,4,185,22,0,215,6,0,0,0,5,0,0,0,5,0,4,12,836,299,33,22,1191,11,11,19,1211,88,5,1306
2006,20,0,0,0,20,4,0,23,385,54,9,0,446,6,0,6,448,21,0,469,802,82,13,9,903,0,0,0,903,13,0,920,89,4,4,5,106,0,0,0,106,0,0,108,14,0,0,4,15,0,0,0,15,5,0,21,1292,143,26,13,1474,3,0,3,1478,37,0,1519,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,9,0,3,13,13,0,0,0,13,0,0,0,13,0,3,13,1304,143,26,13,1483,3,0,3,1489,37,0,1535,217,33,9,9,265,7,0,7,276,44,0,316,0,0,0,0,0,0,0,0,0,0,0,4,1521,174,36,26,1759,9,0,9,1765,83,3,1858
2007,30,0,0,0,30,0,0,30,844,115,17,10,979,11,6,13,995,19,5,1016,1353,147,26,14,1538,0,8,11,1547,40,3,1586,148,24,23,0,192,0,0,0,196,0,0,196,16,0,0,10,27,0,0,0,27,5,5,36,2353,290,67,28,2737,20,10,26,2764,67,10,2838,0,0,0,0,3,0,0,0,3,3,0,10,25,3,0,6,29,4,0,4,32,3,0,34,25,3,0,6,31,7,0,7,35,9,0,43,2377,292,67,33,2770,25,10,37,2804,68,10,2884,339,54,7,15,413,6,3,4,415,42,5,455,6,0,0,0,6,0,0,0,6,0,8,13,2721,346,73,50,3189,25,9,38,3226,110,20,3353
2008,982,19,3,22,1002,105,8,1111,10323,1593,220,48,12187,145,40,179,12369,664,21,13054,18978,2559,414,98,22050,156,37,196,22253,554,26,22828,2324,328,322,16,2991,21,0,25,3015,67,0,3085,168,23,3,173,369,5,0,4,372,6,21,405,31792,4498,963,343,37597,328,83,412,38004,1295,68,39368,164,45,17,0,225,26,0,24,254,23,0,279,538,76,3,12,631,32,11,41,674,20,0,690,708,120,19,12,862,52,13,68,926,44,0,973,32502,4615,981,355,38458,377,91,475,38932,1335,67,40340,6204,1074,205,155,7636,128,41,171,7802,1124,18,8950,43,4,0,20,69,0,0,0,69,3,90,162,38751,5697,1184,525,46161,507,142,646,46805,2471,179,49450
2009,101,0,0,0,105,11,0,111,1379,131,51,12,1571,22,3,25,1592,62,3,1662,1989,237,44,19,2281,21,0,20,2304,41,6,2350,217,19,16,5,257,0,0,0,261,4,0,266,27,6,0,23,48,0,0,0,51,0,0,55,3609,389,102,60,4158,43,7,45,4205,113,4,4322,13,0,0,0,13,0,0,0,13,0,0,13,51,6,0,0,53,8,0,10,61,0,0,65,63,6,0,0,69,8,0,10,78,0,0,80,3674,393,102,60,4232,48,3,56,4284,113,4,4402,533,79,17,19,642,8,6,10,656,41,5,701,5,0,0,0,8,0,0,0,8,0,10,19,4217,472,123,76,4887,56,10,64,4953,153,18,5121
