SUA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
2000,673,4666,31835,127261,72620,11958,2779,4392,256181,70,1771,5236,1576,212,34,17,308,9224,8,28,240,534,135,30,11,23,1006,79,1793,5476,2119,342,63,31,336,10236,25,604,816,206,38,9,6,68,1772,6,17,35,6,0,0,0,0,65,0,12,8,8,4,0,0,0,38,0,3,6,6,3,0,0,0,24,0,23,22,19,16,0,0,0,83,31,657,888,240,63,16,9,74,1980,264,953,686,372,162,31,31,220,2723,20,110,139,167,74,27,38,44,617,1063,8174,39028,130162,73266,12090,2881,5064,271738
2001,6,33,398,3465,3475,436,100,92,8012,0,67,332,205,16,0,0,11,634,0,6,29,74,7,0,0,0,116,0,77,360,278,21,0,0,13,754,0,36,6,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,55,20,0,0,0,0,3,74,4,19,9,0,3,0,0,0,38,0,0,0,0,4,0,0,0,8,17,181,790,3750,3509,435,102,108,8888
2002,9,42,618,2906,1553,176,49,98,5448,0,129,420,117,9,0,0,28,696,0,0,13,18,4,0,0,0,29,0,129,431,134,7,0,0,24,723,0,13,49,8,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,49,8,5,0,0,0,75,0,11,6,4,5,0,0,0,28,0,0,4,3,5,0,0,0,11,11,198,1106,3053,1569,176,50,125,6280
2003,29,275,3938,18957,12184,1391,201,409,37386,6,755,2236,1398,266,18,6,108,4802,8,39,182,224,67,5,0,9,540,18,799,2418,1622,340,27,12,124,5345,5,283,506,192,8,0,0,19,1021,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,14,12,300,555,211,12,3,0,28,1121,0,16,24,19,7,0,0,0,70,3,17,10,17,22,4,0,3,73,59,1405,6942,20827,12561,1425,219,561,43993
2004,28,349,4294,18426,11157,1306,203,413,36178,15,432,1698,537,49,3,0,66,2801,0,42,153,212,33,0,0,6,454,13,475,1853,751,80,4,0,70,3252,9,88,211,68,5,0,0,14,399,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,9,94,222,76,10,3,0,15,429,8,18,24,22,7,0,0,0,84,3,10,20,20,22,3,0,3,77,61,949,6415,19294,11276,1317,206,503,40027
2005,19,127,1041,2148,965,96,26,57,4471,0,81,104,24,0,0,0,6,218,0,0,3,4,4,0,0,0,15,0,81,111,32,4,0,0,6,234,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,11,0,3,7,4,0,0,0,0,21,0,0,0,0,0,0,0,0,7,15,213,1161,2186,969,103,26,66,4737
2006,6,42,456,2586,1191,138,28,70,4516,3,124,280,98,5,0,0,28,534,0,0,6,3,0,0,0,0,11,10,124,281,101,5,0,0,30,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,32,3,6,3,0,0,3,56,0,0,0,8,0,0,0,0,8,23,193,740,2708,1205,135,31,104,5127
2007,11,58,767,3636,2589,310,52,132,7564,3,134,649,162,10,0,3,39,1015,0,0,7,20,0,0,0,0,32,3,138,659,183,11,0,3,39,1044,0,6,12,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,21,0,31,53,29,3,0,0,4,122,0,0,6,5,6,6,0,3,26,21,239,1495,3856,2608,314,58,182,8772
2008,74,722,9555,47224,31154,4186,745,1066,94723,40,1697,4836,1845,315,23,9,193,8960,7,166,749,1096,236,20,7,26,2306,48,1861,5584,2943,551,47,15,221,11267,20,525,1005,344,18,0,4,39,1959,5,64,111,16,0,0,0,0,202,5,81,183,26,0,0,0,4,309,0,20,68,44,6,0,4,0,134,0,10,8,4,0,0,0,0,22,25,706,1377,430,28,0,3,51,2616,37,177,204,91,36,4,3,12,566,3,25,33,43,22,4,10,9,137,188,3488,16759,50726,31791,4246,768,1348,109315
2009,13,63,284,2467,3283,668,122,48,6949,0,39,194,182,21,3,0,5,446,0,0,10,15,0,0,0,0,26,0,42,202,201,23,3,0,5,473,0,5,3,13,0,0,0,0,16,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,9,0,5,9,24,7,0,0,0,41,0,14,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,9,126,494,2693,3311,667,123,57,7487
2010,3,46,634,3458,1781,175,27,84,6220,0,79,206,38,0,0,5,9,341,0,0,0,8,0,0,0,0,6,0,79,210,48,3,0,5,11,348,0,75,237,29,3,0,5,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,237,29,3,0,5,12,366,0,5,3,0,0,0,0,0,11,0,0,0,6,0,0,0,0,6,3,208,1085,3540,1793,175,38,112,6953
2011,1071,6750,88749,534832,434758,81671,13514,13874,1175219,335,11017,79365,54363,10648,1055,244,2502,159534,193,3530,35676,64190,19736,2275,352,1348,127297,526,14546,115042,118551,30387,3333,588,3853,286829,959,18997,46711,16268,1876,202,125,1376,86516,855,15926,30280,4689,277,48,34,670,52787,1014,20326,35425,4960,251,24,26,691,62717,1306,24154,40356,7254,254,23,38,933,74315,21,277,291,170,116,50,22,27,985,4152,79687,153068,33337,2775,351,248,3699,277316,202,1781,2156,887,211,50,20,141,5445,60,348,495,441,238,41,36,134,1793,6014,103108,359499,688052,468368,85447,14410,21697,1746604
2012,22,169,1658,9216,4766,607,130,324,16888,9,159,814,481,20,4,0,49,1541,0,0,22,42,6,0,0,0,71,9,161,834,521,32,4,0,54,1616,8,198,720,125,4,0,3,50,1104,0,4,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,8,203,733,125,4,0,3,50,1125,22,100,54,16,9,0,0,25,230,0,12,12,20,4,0,0,10,59,59,640,3297,9906,4812,612,132,463,19921
2013,7,88,963,4454,1781,263,55,158,7776,14,255,486,81,9,0,0,41,885,0,18,8,4,6,0,0,0,31,16,270,492,85,9,0,0,41,916,0,96,144,4,0,0,0,12,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,144,4,0,0,0,12,254,6,16,0,0,0,0,0,9,37,0,4,0,4,0,0,0,0,10,30,467,1599,4543,1793,271,62,222,8993
2014,10,40,448,2421,977,125,26,61,4105,0,78,228,40,7,0,0,8,361,0,3,27,0,0,0,0,4,35,0,82,258,41,6,0,0,13,398,0,6,29,5,0,0,0,3,45,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,10,0,0,0,5,55,3,7,14,3,5,0,0,0,34,0,0,0,0,0,0,0,0,7,15,136,748,2479,990,123,23,79,4596
2015,11,32,483,2605,1806,215,32,75,5260,0,38,238,69,3,0,0,6,356,0,50,26,16,0,0,0,0,95,0,86,263,86,3,0,0,10,452,0,85,205,64,0,0,0,11,371,0,0,20,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,222,69,0,0,0,11,396,9,20,4,0,0,0,0,0,35,0,0,3,8,0,0,0,0,17,20,228,978,2771,1816,215,40,89,6156
2016,17,103,1614,8892,5289,629,111,314,16961,5,361,1300,192,41,6,3,67,1979,0,9,34,38,17,0,0,5,96,5,373,1337,228,62,6,3,68,2076,0,25,11,3,0,0,0,5,41,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,36,19,3,0,0,0,5,58,24,110,257,20,9,0,0,18,438,0,6,7,7,8,0,0,4,33,43,631,3229,9149,5363,632,110,409,19573
2017,8,20,298,2075,1018,108,35,50,3609,0,55,241,50,7,0,0,17,363,0,3,0,0,0,0,0,0,6,0,56,238,51,7,0,0,17,368,0,123,170,25,0,0,0,15,329,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,125,172,25,0,0,0,13,337,0,13,0,10,3,0,0,0,27,0,0,0,5,0,0,0,0,9,5,209,714,2159,1025,113,35,88,4348
2018,13,103,1381,8290,4166,481,75,244,14753,11,150,443,121,5,0,0,23,756,0,5,58,32,0,0,0,0,103,11,157,502,155,5,0,0,28,860,19,301,908,117,0,0,0,50,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,4,19,299,911,117,0,0,0,50,1405,7,23,43,10,3,0,0,0,82,3,7,3,7,9,0,0,0,30,52,583,2842,8570,4188,486,79,321,17127
2019,14,44,680,3814,2034,210,38,144,6979,8,190,631,107,10,0,0,131,1070,0,18,17,14,0,3,0,0,55,4,202,643,119,7,3,0,131,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,3,12,5,5,4,0,0,0,29,0,0,6,4,0,0,0,0,9,21,265,1333,3938,2051,218,39,277,8146
2020,15,89,1057,6162,5855,737,131,175,14220,0,41,477,176,17,3,0,15,721,0,21,9,9,0,0,0,0,39,0,58,487,187,17,5,0,15,761,0,57,373,117,3,5,0,11,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,61,375,117,3,0,0,11,575,12,68,191,10,0,0,0,9,289,0,0,3,9,5,0,0,4,20,27,285,2115,6480,5875,742,127,209,15861
2021,9,87,1318,6208,3383,541,91,136,11775,16,142,891,143,20,0,0,25,1248,0,18,169,123,20,0,0,8,339,15,164,1064,271,35,0,0,29,1589,3,128,362,45,10,0,0,16,565,0,32,8,5,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157,371,54,6,0,0,16,619,3,12,44,32,17,4,0,0,107,0,3,5,0,7,0,0,4,19,35,434,2808,6565,3446,546,90,189,14111
