SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
2000,0,4,17,73,343,231,528,744,230,172,221,335,112,77,145,3231,37,35,59,49,145,38,41,10,6,0,0,0,3,4,21,453,0,3,24,54,27,30,54,30,10,4,3,0,0,10,11,273,3,23,78,231,200,244,490,171,57,28,19,58,30,8,42,1687,10,32,76,67,53,46,99,101,29,42,20,28,15,3,21,637,0,0,0,6,5,13,43,85,33,37,86,141,30,3,15,503,0,0,3,13,40,89,337,327,69,66,63,78,48,10,87,1234,929,3693,7849,4151,2704,1350,2550,1006,163,138,142,198,92,43,1263,26255,15,19,123,297,207,231,340,226,46,35,36,47,37,24,49,1736,0,0,0,56,89,88,146,108,23,23,37,59,44,5,160,847,296,1079,1529,1300,1028,811,1347,778,166,172,209,434,132,180,581,10045,2213,9643,13185,9164,7933,5595,10200,6230,1520,1477,1718,2396,891,548,3886,76593
2001,0,0,0,0,23,10,33,36,6,3,5,0,0,0,4,118,0,0,4,0,13,0,8,4,0,0,0,0,0,0,0,25,0,0,0,3,0,3,10,6,4,0,0,0,0,0,0,33,0,4,0,0,14,4,31,16,0,0,0,0,0,0,0,76,0,0,4,6,6,3,6,29,3,4,7,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,5,0,0,0,0,0,0,19,23,95,293,159,100,43,146,51,6,5,3,0,0,0,24,962,0,0,0,5,6,7,19,18,5,3,5,0,0,0,0,68,0,0,0,8,10,3,15,8,0,5,0,4,0,0,0,48,13,65,104,95,78,52,105,96,21,11,5,7,10,3,7,681,72,300,539,386,375,249,794,550,137,93,105,119,43,16,87,3875
2002,0,0,0,4,17,21,18,34,11,13,10,10,4,4,4,150,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,4,3,4,15,9,4,0,3,3,0,4,5,50,0,0,5,0,0,0,3,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,12,0,0,0,0,0,0,4,11,8,4,6,7,0,0,0,45,29,71,146,75,44,23,65,25,0,3,0,3,0,0,23,510,3,0,7,3,0,5,7,5,0,0,0,0,0,0,0,31,0,0,0,0,0,13,15,7,3,0,0,8,0,0,6,53,11,30,31,11,17,10,16,29,3,0,9,11,7,0,4,196,63,216,254,153,137,129,230,238,44,57,56,63,33,10,71,1772
2003,0,0,0,21,43,62,127,177,43,30,37,66,16,0,15,635,8,0,0,4,18,7,3,6,0,0,0,0,0,0,0,57,0,4,0,11,13,4,19,5,3,3,5,8,0,0,3,76,0,3,6,19,23,39,85,29,3,7,7,12,13,8,8,263,0,0,3,6,14,20,75,70,14,21,15,8,8,0,0,249,0,0,0,0,0,10,12,13,0,10,3,0,3,0,0,54,0,0,0,3,4,19,43,33,22,8,4,7,3,0,0,154,101,381,760,434,279,177,318,228,23,35,44,33,30,9,104,2952,4,6,10,44,31,38,89,55,0,4,8,8,4,0,13,308,0,0,0,14,19,9,27,44,7,11,13,10,7,0,9,163,37,110,132,151,141,98,374,190,68,50,66,42,26,13,34,1527,249,1152,1224,1035,962,860,2604,1868,446,437,563,624,286,57,356,12729
2004,0,0,3,12,49,55,118,147,40,50,56,64,16,5,13,638,0,7,3,0,8,3,0,0,0,0,0,0,0,0,3,30,0,0,0,5,4,6,7,10,0,0,4,0,0,0,0,45,0,0,0,17,16,36,82,49,0,9,15,5,14,0,8,255,0,0,3,11,13,23,68,60,9,20,15,26,8,5,0,263,0,0,0,0,4,0,11,21,3,3,3,12,3,0,0,62,0,0,0,0,10,6,251,215,67,57,81,37,8,3,5,749,67,262,538,315,190,125,235,93,30,13,20,16,13,4,72,1995,0,0,11,23,15,18,52,26,3,4,6,5,3,0,4,169,0,0,0,9,6,18,21,40,12,13,6,3,0,4,3,131,37,63,77,86,69,63,555,317,105,107,125,86,25,10,42,1767,173,598,870,736,653,615,2406,1722,506,481,567,468,191,52,273,10319
2005,0,0,0,0,4,3,8,4,0,0,0,0,0,0,0,23,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,9,0,0,3,0,0,0,0,0,40,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,6,14,60,114,75,67,41,65,24,0,3,3,5,0,6,46,520,0,0,8,18,3,9,13,3,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,50,9,10,20,21,23,7,45,11,0,5,3,0,0,0,58,217,38,126,205,168,171,138,216,97,14,20,19,20,14,0,275,1511
2006,0,0,3,0,9,0,19,12,0,0,8,11,0,0,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,9,0,9,10,0,5,0,0,29,0,0,0,0,0,0,5,9,14,14,37,42,15,0,0,134,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,14,18,41,74,23,12,8,13,6,0,0,0,0,0,0,7,210,0,0,0,4,0,0,3,5,0,0,3,0,0,0,0,21,0,0,0,0,3,3,3,4,0,0,0,0,0,0,0,8,0,11,12,7,9,18,43,26,4,0,3,13,0,23,7,177,33,106,116,59,72,65,207,148,45,85,130,114,33,28,34,1269
2007,0,0,0,0,10,10,21,42,14,17,18,23,4,0,5,160,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,3,8,0,0,12,5,0,0,3,0,4,0,3,42,0,0,0,0,0,0,17,19,3,4,7,11,7,0,0,73,0,0,0,0,0,0,0,7,0,0,3,5,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,13,31,97,174,74,43,27,35,13,4,0,4,0,4,0,28,551,0,0,0,0,3,0,3,8,0,0,0,0,0,0,0,24,0,0,0,0,5,0,10,10,0,0,0,3,0,0,3,33,9,31,28,14,3,10,18,25,0,5,9,6,6,0,9,174,62,211,244,156,138,121,247,234,58,61,86,104,44,7,84,1851
2008,0,5,3,49,248,209,540,334,107,90,170,195,42,9,50,2031,42,47,59,34,128,50,20,14,6,8,0,6,0,0,18,414,0,5,15,41,42,27,108,32,5,5,7,12,13,3,14,327,0,13,32,102,137,140,348,158,31,29,27,37,21,10,14,1098,0,8,26,26,49,30,151,226,33,58,61,83,52,6,17,832,0,0,0,0,6,13,19,30,7,12,7,6,0,0,0,106,0,0,3,13,29,54,281,200,63,46,62,52,16,5,25,841,351,1361,3072,1556,1134,640,1689,928,161,131,116,126,46,21,397,11716,3,9,33,97,93,107,245,173,28,41,16,42,21,16,19,942,0,0,4,61,133,75,106,97,24,42,35,37,24,3,62,698,177,656,963,734,566,697,1395,1020,262,250,242,259,95,28,298,7643,1055,4641,6559,4047,3925,3462,8782,6988,1674,1711,1865,2353,914,209,1586,49762
2009,0,0,0,0,5,7,5,8,0,4,0,3,0,0,0,27,0,0,0,5,14,0,4,0,0,0,0,0,0,0,0,23,0,0,0,0,7,0,12,6,3,0,0,0,0,0,0,26,0,0,0,7,15,10,32,7,0,0,0,0,0,0,4,80,0,0,0,0,9,3,0,9,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,9,4,0,0,0,0,0,0,8,25,19,95,262,186,122,91,186,63,3,3,6,3,0,0,40,1083,0,0,3,16,8,10,19,11,0,5,6,0,4,0,6,90,0,0,0,0,0,7,4,3,0,0,0,3,0,0,0,15,15,55,74,75,56,31,55,24,9,0,0,0,14,4,22,436,69,287,465,398,347,261,536,215,52,33,35,24,20,16,108,2863
