SUA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
2000,3177,3342,3527,2984,893,133,16779,203,1610,2570,3055,3291,2848,689,74,14349,2149,11542,13188,12142,11104,10143,3524,665,64465,1678,6543,8868,10794,11779,10166,3904,794,54511,8354,20479,20773,23167,24808,16466,6192,1326,121562,1212,1211,1271,1124,1360,918,266,51,7420,458,826,1165,1613,2076,1976,816,211,9146,10031,22511,23204,25902,28250,19359,7277,1587,138128,96,266,303,349,474,658,434,146,2720,6843,6497,7571,8825,10892,11769,8623,4188,65213,21153,51549,58884,64408,69314,57936,25355,7581,356178
2001,198,123,77,44,18,0,685,17,98,123,101,57,71,9,0,474,143,652,615,396,213,174,83,18,2297,109,422,496,405,293,227,102,27,2073,334,1067,927,751,617,391,133,29,4253,45,49,50,32,32,24,7,0,240,21,36,62,61,61,47,19,4,309,400,1151,1039,842,708,463,162,34,4803,6,16,20,11,20,9,6,4,90,148,185,165,169,158,177,148,40,1199,836,2728,2662,2049,1531,1162,525,125,11615
2002,61,49,41,28,13,0,280,0,39,47,51,51,54,17,0,265,39,259,211,196,180,167,94,21,1161,27,168,194,219,206,211,120,40,1184,207,537,433,470,416,340,174,37,2618,24,34,37,19,26,26,3,0,180,8,18,35,29,39,30,20,8,184,244,588,504,515,488,397,202,51,2984,3,10,4,7,13,12,15,3,73,124,142,134,141,184,213,219,159,1324,449,1283,1158,1182,1158,1081,683,276,7269
2003,1129,887,682,477,177,27,4584,36,455,642,629,554,483,134,23,2964,770,3505,3361,2437,1577,1327,529,111,13627,426,1439,1620,1620,1425,1167,497,132,8327,1656,3863,3179,2871,2549,1646,716,209,16692,259,272,194,156,120,111,29,11,1153,83,158,175,216,243,216,114,36,1237,1995,4291,3546,3245,2916,1973,855,259,19080,24,57,54,66,61,75,61,24,415,872,940,759,815,800,966,907,624,6682,4214,11809,11106,9704,8016,6463,3161,1206,55681
2004,714,544,435,354,131,15,3131,57,443,587,522,449,373,88,13,2546,673,3000,2720,1931,1340,1101,425,125,11312,365,1303,1421,1404,1325,1146,527,130,7623,1422,3688,3088,2892,2594,1682,789,231,16387,229,218,208,150,162,125,21,3,1121,96,137,178,220,245,229,98,39,1233,1748,4039,3475,3259,3001,2033,916,275,18746,10,68,41,52,54,63,48,25,362,726,920,786,783,851,907,953,687,6616,3673,10608,9745,8505,7461,5980,3087,1276,50332
2005,163,172,157,157,75,8,802,0,30,86,108,118,101,38,3,482,17,186,362,362,270,307,158,23,1683,15,92,131,171,207,199,123,20,953,79,202,188,215,254,200,82,30,1243,13,15,8,12,17,16,5,0,87,5,11,11,26,36,22,20,3,130,96,224,204,251,305,235,109,36,1462,4,4,5,4,5,9,8,4,42,78,77,92,125,102,178,189,220,1048,205,673,1047,1191,1158,1184,698,309,6468
2006,38,41,26,26,11,4,179,3,26,27,30,18,31,12,0,150,24,232,184,131,101,125,59,24,877,20,144,132,150,157,131,56,18,811,217,507,440,359,353,223,95,23,2220,23,30,21,12,13,15,0,0,120,15,27,18,26,29,27,6,0,141,252,567,481,397,400,260,102,29,2483,0,13,5,5,4,5,8,5,47,58,107,105,96,97,150,145,82,836,366,1125,972,848,801,726,395,154,5386
2007,87,71,48,24,9,0,362,4,63,78,84,74,44,24,0,377,93,458,471,337,255,201,69,20,1901,51,213,267,307,294,231,117,21,1499,314,724,649,762,691,542,222,47,3960,31,37,26,28,26,16,10,0,165,13,27,36,55,57,54,16,3,259,360,790,709,850,772,612,249,56,4390,3,3,14,16,12,11,23,11,87,148,170,136,188,251,313,322,208,1746,663,1805,1773,1853,1706,1440,807,317,10359
2008,3183,2201,1601,1147,430,47,12847,134,1395,1697,1498,1289,1074,298,39,7417,2605,10718,9879,6739,4749,3869,1428,338,40319,1354,4194,4741,4834,4082,3512,1627,399,24742,3712,8908,8100,7466,6892,4575,2010,630,42293,493,425,455,363,309,252,83,11,2398,234,400,498,606,634,656,325,107,3453,4440,9726,9050,8437,7839,5488,2417,747,48145,90,152,178,151,174,212,208,75,1229,2015,2361,2108,1994,2003,2438,2268,1430,16611,10920,32491,30831,25856,21731,17737,8675,3067,151309
2009,248,244,206,112,44,0,997,5,56,172,205,166,108,24,7,736,112,446,849,706,481,300,127,18,3034,76,202,411,451,393,330,139,16,2021,190,463,695,722,599,352,159,25,3206,24,16,29,24,33,21,6,0,160,17,23,40,66,83,61,23,9,318,236,507,769,808,700,435,189,30,3686,3,8,10,20,15,23,25,4,110,140,70,135,193,170,175,127,100,1114,578,1422,2595,2631,2133,1485,666,175,11693
2010,89,68,42,19,4,6,355,10,55,61,49,52,33,15,3,281,88,389,299,238,170,150,55,18,1404,44,205,239,250,243,177,78,25,1275,276,676,550,463,473,287,106,25,2861,42,50,25,25,24,15,3,0,183,11,19,30,39,41,36,14,3,205,332,745,608,527,533,341,120,34,3251,3,5,5,8,8,17,12,7,62,158,154,112,115,137,162,171,96,1113,655,1677,1420,1262,1181,893,458,189,7735
2011,108146,57606,35554,20664,7632,1413,351486,2456,22599,28381,26129,20095,13066,3912,641,117283,65483,247760,213452,138802,86059,54858,21543,5953,833899,27171,80703,88636,76957,57326,38307,17537,5297,391937,43626,103725,92950,92123,78050,45472,22742,7129,485821,6445,6372,5890,5257,4558,2816,929,210,32468,3763,7401,9823,12320,11821,8574,4408,1557,59677,53834,117496,108660,109701,94434,56861,28079,8897,577965,1739,4786,5105,3632,3423,3389,2246,961,25280,31803,51925,42166,33671,29386,28343,25395,17349,260035,189775,638445,594546,446493,326279,215484,106348,40510,2557875
2012,214,142,124,54,25,4,840,14,154,156,197,148,97,20,4,778,193,1180,969,741,538,343,124,34,4125,176,585,675,730,690,453,167,27,3501,729,1868,1507,1507,1298,777,301,73,8059,125,156,113,102,78,41,13,0,633,57,71,93,149,103,84,36,11,601,909,2099,1707,1751,1485,904,360,84,9294,8,37,33,30,24,24,28,11,199,633,753,682,682,657,708,531,299,4944,1948,5057,4440,4275,3656,2591,1253,464,23684
2013,46,47,46,34,17,6,245,10,48,47,40,55,44,10,0,247,77,268,237,175,200,170,63,13,1202,52,244,241,270,279,199,93,19,1385,359,995,804,793,828,533,212,64,4592,49,46,56,21,26,22,5,0,238,16,25,29,45,41,56,22,6,246,422,1069,885,868,896,611,240,74,5070,4,5,7,4,10,19,19,4,76,224,238,224,248,296,345,217,104,1906,789,1930,1682,1654,1777,1425,659,225,10127
2014,29,25,22,25,11,0,142,6,14,27,34,37,36,5,5,173,25,170,148,132,125,113,37,4,760,17,97,150,135,147,132,48,15,738,141,326,345,418,411,283,92,17,2037,23,27,20,16,12,12,4,0,109,9,12,23,47,29,21,13,0,155,181,364,383,484,448,320,111,24,2304,4,0,9,8,10,9,11,0,39,90,84,112,101,137,150,120,68,867,323,765,860,923,930,785,336,116,5035
2015,110,73,57,43,8,0,405,4,59,64,69,43,39,14,3,294,72,388,328,266,170,171,60,14,1468,39,202,217,256,228,148,98,25,1213,198,485,473,445,411,313,134,31,2486,40,34,22,26,27,12,3,0,172,8,23,24,26,33,28,13,9,167,250,546,523,496,473,358,147,36,2821,0,6,8,3,11,7,12,4,61,125,141,140,146,129,161,142,141,1115,491,1449,1387,1310,1107,927,482,215,7379
2016,337,188,133,85,27,7,1221,13,206,222,212,168,108,26,7,969,253,1318,1029,652,519,389,127,32,4341,198,744,794,691,590,436,185,48,3688,790,1638,1379,1348,1229,753,344,81,7566,133,104,83,86,45,45,12,0,505,50,83,92,136,103,77,38,14,583,965,1831,1562,1565,1377,873,388,94,8657,16,48,42,21,28,24,8,9,193,563,712,587,546,574,575,589,396,4538,2061,5257,4574,3873,3398,2486,1354,597,23603
