SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2010,83,70,38,26,25,9,4,253,22,25,10,3,6,0,0,78,29,34,19,12,9,0,0,100,635,649,379,262,304,62,19,2307,4,0,0,0,0,0,0,9,770,776,446,308,345,83,19,2744,5,4,0,0,0,0,0,9,6,4,6,9,9,0,0,33,0,4,0,3,4,0,0,11,184,211,139,104,99,30,3,772,3,3,7,0,0,0,0,11,195,226,156,111,109,27,5,837,966,1001,596,413,459,114,29,3580
2011,103806,108618,55118,32794,41581,27689,16598,386193,21350,20314,11837,7785,10268,5491,2882,79932,22740,21023,10998,6820,8384,4715,2427,77113,96934,93812,56884,38377,50697,26865,13075,376650,1048,1096,538,320,209,79,50,3339,245876,244861,135372,86094,111144,64847,35030,923226,7247,12587,8849,6852,9811,7065,4599,57011,3336,4704,3367,2512,3474,1720,996,20110,1827,3351,2312,1763,2493,1297,715,13758,12018,19123,13659,10352,14058,6555,3359,79128,1031,1205,640,448,337,149,77,3892,25467,40962,28829,21922,30174,16799,9754,173897,271340,285823,164202,108015,141318,81641,44781,1097123
2012,339,326,171,105,142,38,19,1137,113,100,59,33,36,16,0,350,119,89,38,35,35,5,0,323,1743,1784,1081,725,826,212,58,6438,18,9,7,5,3,0,0,51,2335,2311,1361,904,1044,265,79,8300,41,41,39,17,29,15,6,185,37,48,18,18,20,9,3,152,11,27,17,14,15,9,0,89,451,657,420,305,363,77,22,2296,20,22,15,19,3,0,0,81,557,787,515,373,434,105,31,2803,2897,3107,1873,1272,1482,374,105,11102
2013,21,31,11,5,16,5,0,92,30,33,22,20,29,3,0,134,39,33,22,21,24,9,3,154,682,673,426,291,321,83,26,2506,3,4,4,0,3,0,0,13,777,770,484,344,394,111,33,2900,9,12,16,3,8,6,0,48,14,13,16,8,14,0,0,67,4,9,5,0,8,3,0,32,239,315,187,113,131,32,10,1024,12,14,6,3,4,0,0,45,275,365,229,134,163,43,8,1218,1047,1132,713,473,555,155,43,4122
2014,14,15,16,8,7,3,0,69,8,9,17,8,8,3,0,55,14,16,17,12,3,6,0,69,337,355,180,158,175,25,6,1247,0,0,0,0,0,0,0,0,373,401,230,186,198,36,11,1440,0,3,5,0,4,0,0,12,4,22,9,6,7,0,0,45,3,5,5,3,0,0,0,18,86,116,73,73,80,9,0,444,5,10,6,0,0,0,0,27,101,154,93,87,100,15,0,547,475,554,322,272,300,54,9,1985
2015,64,61,39,19,26,6,0,222,28,40,20,20,16,0,0,124,46,49,25,17,18,7,0,155,547,495,315,213,240,65,16,1885,0,8,7,0,0,0,0,19,684,649,399,267,302,82,17,2399,3,5,0,0,4,4,0,25,5,9,15,8,16,0,0,59,6,8,7,0,6,0,0,28,130,208,118,88,105,29,5,678,6,10,3,0,0,0,0,22,150,238,139,107,127,30,9,810,836,890,542,373,426,116,30,3204
2016,912,905,500,297,366,137,59,3169,103,75,39,41,45,16,5,322,126,94,50,43,32,9,7,367,1401,1377,863,598,720,202,54,5216,19,21,3,4,4,0,0,46,2566,2474,1454,979,1160,356,126,9117,56,91,50,32,56,25,15,318,49,53,32,19,23,7,4,184,22,28,18,11,17,0,0,95,440,651,422,294,326,86,23,2231,32,30,19,13,15,4,0,106,581,850,541,365,433,113,38,2931,3151,3325,1993,1352,1586,476,169,12054
2017,91,101,40,23,22,9,0,279,9,12,6,0,4,0,0,27,32,30,10,3,8,0,3,81,433,359,218,138,156,42,16,1361,0,0,3,0,0,0,0,0,565,502,269,160,185,46,20,1753,7,5,10,4,4,4,0,43,12,14,0,3,6,0,0,34,3,3,0,3,0,0,0,17,87,142,85,75,74,22,5,492,5,0,6,0,0,0,0,22,118,166,116,86,84,27,5,604,682,666,385,249,268,81,27,2354
2018,229,236,120,71,73,25,11,753,59,64,43,32,47,14,4,268,92,75,34,21,25,6,3,259,1350,1353,814,539,644,208,55,4965,11,7,5,3,0,0,0,34,1737,1737,1014,673,786,256,73,6283,29,28,27,16,29,9,0,139,30,41,25,20,16,5,8,136,23,25,15,12,21,3,0,93,439,557,361,234,261,75,20,1952,30,32,18,8,7,4,0,100,543,683,445,287,336,95,32,2417,2284,2416,1463,965,1123,349,101,8699
2019,56,53,19,3,14,3,0,158,24,36,28,21,21,0,0,131,40,38,28,15,13,0,0,140,659,636,435,274,378,101,17,2500,7,5,0,0,0,0,0,14,781,775,513,316,428,108,16,2944,0,5,3,10,12,0,3,33,5,6,7,8,14,0,0,42,3,11,3,6,7,0,0,40,168,246,189,124,144,31,14,908,10,8,7,5,0,0,0,31,190,274,212,144,175,39,13,1049,972,1055,729,460,601,145,32,3991
2020,163,200,88,64,82,53,13,660,123,125,71,60,59,23,13,462,136,107,68,45,49,16,7,431,1799,1586,963,638,731,221,99,6046,4,14,8,3,0,0,0,34,2229,2033,1200,812,923,312,131,7630,6,15,18,10,15,10,0,72,39,43,32,26,38,10,3,186,18,20,17,17,22,6,0,106,292,402,272,233,239,71,29,1540,12,23,9,11,4,0,0,56,364,501,352,288,319,96,39,1952,2590,2536,1547,1098,1239,405,164,9583
2021,108,107,58,39,47,20,3,383,77,92,52,35,37,5,0,300,73,89,52,26,42,8,3,291,1189,1200,750,566,663,187,59,4606,0,4,5,8,0,0,0,16,1444,1487,921,671,789,223,63,5603,9,20,9,11,22,6,0,83,22,40,23,12,20,3,0,128,8,14,16,13,15,0,0,78,212,362,271,174,201,55,15,1286,8,17,3,0,5,0,0,30,266,454,322,213,261,64,11,1600,1715,1943,1249,888,1048,284,82,7202
