SUA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
2000,0,0,0,0,0,3,10,22,3,0,0,0,0,11,12,65,0,0,4,9,6,7,30,22,9,11,7,10,0,0,0,101,11,18,71,138,120,106,192,123,26,26,20,25,10,4,22,912,13,18,21,10,66,85,308,201,62,64,77,214,25,7,59,1227,10,81,252,92,18,33,17,4,0,0,0,0,0,0,29,536,13,62,70,19,7,17,26,7,0,0,0,5,0,0,15,240,6,8,17,23,63,52,56,42,9,15,10,14,16,0,14,345,440,1013,450,232,290,163,200,106,20,23,17,44,22,11,103,3136,8,173,318,96,19,12,8,7,3,0,3,0,0,0,61,714,5,7,13,28,35,34,36,42,5,9,9,22,6,5,19,264,41,33,115,94,85,84,700,507,131,182,231,224,76,46,134,2684,14,28,15,24,26,51,82,68,17,28,37,50,24,3,22,482,0,0,3,4,15,4,18,31
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,25,0,0,0,3,0,3,7,9,0,0,0,3,0,0,0,24,0,0,0,0,3,0,16,13,0,0,0,0,0,0,0,43,0,5,18,5,0,3,4,3,0,0,0,0,0,0,3,41,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,8,3,0,4,0,0,0,0,0,24,29,28,18,6,7,3,8,0,0,0,0,0,0,0,5,110,0,8,16,4,0,4,0,6,0,0,0,0,0,0,0,39,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,5,8,8,7,200,172,63,46,57,89,24,4,19,708,0,0,0,0,0,5,4,6,0,4,0,0,0,0,0,15,0,0,0,0,5,0,0,4
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,22,0,0,0,0,0,0,3,11,4,0,3,5,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,15,12,29,13,6,10,0,5,3,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,3,0,4,0,0,7,34,21,7,7,4,6,5,0,0,94,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7
2003,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,42,25,0,3,0,0,3,0,0,93,0,0,19,19,13,21,34,11,5,6,6,6,0,0,0,142,0,0,9,3,7,25,256,153,32,36,48,75,17,0,13,675,0,43,55,9,0,9,0,0,0,0,0,0,0,0,6,122,5,9,7,0,0,6,17,3,3,0,4,0,0,0,0,48,3,0,0,0,8,6,14,12,0,0,5,6,0,0,3,68,53,92,28,25,23,12,32,13,5,0,0,0,4,0,12,308,0,24,22,3,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,13,7,10,13,7,3,6,0,3,6,0,0,69,5,6,11,14,13,32,542,394,127,118,177,238,99,19,50,1846,0,3,0,3,8,12,22,28,3,3,0,4,3,0,0,90,0,0,0,0,7,0,23,19
2004,0,0,0,0,0,0,9,43,6,11,9,0,0,0,0,86,0,0,0,0,0,3,23,24,0,6,4,0,5,0,0,64,0,4,8,18,8,4,24,14,7,0,0,3,3,4,0,96,0,0,0,0,5,20,131,84,13,13,25,28,4,3,9,348,0,3,27,9,0,4,0,0,0,0,0,0,0,0,0,48,0,0,4,0,4,5,14,21,0,0,4,9,6,0,3,80,0,0,0,5,3,11,25,4,0,0,0,0,0,0,3,47,33,56,18,18,17,8,14,4,0,3,0,0,0,0,9,188,3,13,20,9,5,0,0,3,0,0,0,0,0,0,3,53,0,4,8,3,4,4,11,8,9,3,0,3,0,0,3,59,0,0,12,16,0,25,374,283,107,77,111,115,52,12,17,1202,0,0,0,3,8,7,21,18,7,0,5,3,4,0,0,81,0,0,0,0,0,0,18,25
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,14,3,0,0,0,0,0,0,5,33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,20,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,5,11,3,9,6,0,0,0,0,0,0,3,60,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,12,0,0,3,0,0,4,7,9,3,5,0,5,4,0,8,49,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,7,7,0,3,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,7,11,42,48,18,0,0,0,161,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,7,22,4,4,6,5,5,0,0,61,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,5,7,0,0,0,3,3,0,4,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,4,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,10,16,0,5,0,0,3,0,0,0,0,0,0,0,4,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,4,21,39,7,10,18,24,7,0,5,131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2008,0,0,0,0,5,10,52,364,59,31,9,59,17,10,3,611,0,0,0,0,0,8,56,50,4,26,12,15,4,0,0,169,0,13,26,42,41,62,127,89,22,17,14,33,12,5,13,522,9,9,79,15,48,108,523,370,94,118,122,144,42,13,34,1715,6,199,579,169,64,167,53,15,0,0,0,3,0,0,50,1304,8,17,27,9,3,15,39,18,7,3,12,13,11,11,7,219,0,0,4,12,26,24,35,45,6,0,0,6,6,5,4,186,281,486,146,61,81,56,112,58,21,18,12,9,6,0,57,1396,8,92,203,59,14,14,5,8,3,5,0,0,0,0,27,435,0,3,10,9,26,32,63,45,15,12,18,12,24,0,7,267,10,9,53,47,49,69,1164,1080,358,446,600,801,327,20,94,5118,0,16,9,5,27,55,79,49,9,16,26,22,22,4,11,333,0,0,3,3,35,32,63,254
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,11,0,7,13,4,0,0,0,0,0,0,0,45,3,0,0,0,0,8,8,10,3,0,0,0,3,0,0,45,0,4,17,9,5,5,0,0,0,0,0,0,0,0,0,34,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,21,40,16,12,8,5,7,4,0,0,0,0,0,0,7,118,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,14,4,0,5,4,4,9,29,12,4,4,3,0,0,0,5,96,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
