SUA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
2010,0,5,24,38,63,168,199,168,69,737,124,111,121,106,78,81,62,31,13,718,4,6,11,12,14,52,76,88,40,298,0,0,0,0,5,3,6,16,14,49,7,4,16,27,58,104,127,93,42,480,9,0,4,14,32,97,142,129,76,497,5,0,0,9,10,11,25,16,16,87,4,0,0,9,21,39,45,43,16,179,38,92,117,116,95,111,62,21,13,664,0,0,0,10,14,23,31,42,15,134,97,49,54,66,79,78,81,47,24,577,1227,657,733,558,530,467,316,146,37,4672,149,109,97,68,59,84,58,40,22,691,1625,1003,1099,921,900,1017,869,551,228,8217,0,12,30,50,121,257,322,279,179,1251,109,101,138,123,108,142,110,67,32,934,0,0,9,13,33,73,90,83,38,345,0,0,0,0,0,4,4,18,21,45,3,7,20,38,56,96,111,81,50,462,3,4,0,10,28,52,93,116,71,381
2011,269,859,3334,6652,13144,23664,30709,24328,10345,113304,31285,24464,29483,27271,20899,16194,12599,7321,2494,172003,462,559,1338,2234,4459,10196,16962,14127,5380,55713,44,39,66,82,201,554,1836,4863,4850,12540,687,1418,3219,9268,16825,27112,31833,20710,6248,117314,850,648,1138,2739,7991,18869,29302,24549,10788,96859,573,383,730,1237,1956,3283,4926,4874,2508,20464,410,321,575,964,2176,4864,7732,7240,3100,27388,7690,19286,28937,26119,24033,19442,12223,6519,3163,147418,188,135,264,630,1658,3491,5867,6083,3053,21385,19437,13437,15797,19516,23110,26901,22657,13488,6556,160907,361128,228169,285022,254914,190701,129664,68760,27177,6876,1552410,31719,23006,30167,25335,22022,17235,11568,7372,3498,171933,447770,303588,385424,357794,299544,249970,184692,104673,37830,2371285,299,1403,4659,9954,23802,44582,59860,48935,25653,219150,19673,24153,35808,32558,28726,24358,21544,12975,5230,205019,343,472,1520,3825,8852,13713,17069,12308,5472,63585,22,21,47,66,175,520,1997,6531,10522,19903,590,1338,3489,7105,12610,20688,25713,18732,8155,98425,643,574,1065,1582,3778,8548,15711,17924,13155,62984
2012,4,10,43,85,200,418,618,418,139,1921,494,329,305,266,269,255,203,126,30,2272,8,3,10,24,51,164,291,185,66,799,0,0,0,0,7,9,24,64,43,152,3,19,55,75,203,353,489,323,77,1600,10,12,19,29,115,306,473,408,149,1507,12,4,7,10,25,49,86,92,42,323,6,6,6,15,48,115,203,168,40,604,102,234,356,288,346,365,230,113,26,2059,0,0,7,9,27,60,94,86,43,322,237,167,142,184,244,330,281,155,51,1787,3729,2132,2407,1890,1771,1503,947,384,88,14848,614,374,367,351,390,335,278,158,79,2957,5130,3159,3514,2997,3205,3292,2850,1593,515,26257,6,24,73,140,362,710,939,701,337,3284,334,331,423,372,426,433,375,212,77,2977,4,4,13,42,104,192,220,207,73,859,0,0,0,5,3,11,36,79,110,248,13,17,53,93,174,317,361,259,83,1366,13,12,15,19,94,165,284,272,174,1043
2013,0,13,25,43,101,265,344,202,72,1064,197,128,157,145,96,123,109,61,20,1037,3,0,3,12,39,73,156,112,33,427,0,0,0,0,0,0,19,39,28,86,9,10,18,34,93,197,277,165,41,844,4,4,5,16,41,150,269,191,74,747,0,0,6,6,5,22,54,41,19,152,0,9,3,9,30,67,121,81,34,353,89,132,156,149,189,187,131,51,27,1114,0,0,0,0,19,39,69,49,13,187,120,85,78,76,121,201,175,90,34,971,1256,809,838,660,667,634,424,147,45,5476,248,130,142,117,135,155,120,66,23,1136,1872,1228,1350,1136,1265,1571,1433,704,237,10799,0,10,36,104,219,390,533,356,185,1829,149,154,197,196,203,202,209,106,32,1455,0,3,6,19,38,74,115,69,48,374,0,0,0,0,0,7,17,31,57,120,0,13,16,42,100,168,232,147,55,771,8,6,6,8,42,78,151,164,97,559
2014,0,0,13,31,66,150,197,115,60,636,71,62,44,51,62,66,57,23,13,458,0,4,3,6,20,43,71,54,15,223,0,0,0,0,0,0,11,13,19,52,4,5,9,7,33,103,119,75,24,373,0,0,0,5,31,72,119,86,41,351,0,0,0,3,7,16,21,22,14,76,0,0,0,3,12,35,53,41,15,170,34,70,51,65,92,101,52,21,8,491,0,0,0,6,3,20,21,13,14,79,60,43,22,42,69,99,77,35,14,453,643,413,339,342,393,381,289,95,27,2910,102,67,55,65,74,67,69,31,6,541,892,629,506,565,723,867,822,384,130,5529,0,8,24,41,104,233,290,196,106,1007,47,62,72,86,88,103,85,57,15,611,0,0,3,11,27,67,61,42,23,233,0,0,0,0,0,4,11,27,25,64,3,0,6,22,32,94,102,62,32,359,5,3,0,6,15,43,53,70,46,237
2015,0,3,13,31,61,116,208,139,43,616,130,97,91,71,89,60,46,36,15,643,5,0,5,10,17,35,71,68,30,243,0,0,0,0,0,3,13,30,15,66,3,6,6,22,52,100,161,92,23,465,5,4,0,9,36,55,166,130,41,441,0,0,3,11,8,19,23,12,7,80,5,0,5,7,22,44,71,61,16,228,41,100,118,84,110,95,90,34,13,700,0,0,0,0,5,18,41,30,11,112,91,64,54,55,75,101,84,50,22,595,1096,556,591,526,460,426,268,115,16,4054,110,90,108,83,99,69,67,28,25,676,1444,866,934,837,855,890,843,492,171,7328,4,7,26,63,147,224,315,262,110,1152,106,112,140,120,146,139,138,73,21,999,0,0,3,14,39,50,79,63,18,279,0,0,0,0,0,3,10,31,36,82,5,5,5,26,61,90,121,87,16,425,0,0,0,14,26,39,90,88,75,334
2016,3,10,44,107,230,475,579,474,184,2099,487,310,299,265,239,272,226,128,44,2269,0,8,15,29,59,148,264,241,82,835,0,0,0,0,0,16,49,85,71,222,11,27,46,83,238,321,478,342,78,1621,18,12,24,24,118,271,432,384,172,1451,7,0,6,4,26,53,64,107,45,313,0,10,11,13,44,110,157,159,49,549,149,286,344,306,395,306,217,109,48,2157,5,4,0,3,29,63,76,104,46,330,290,160,143,201,294,319,287,175,88,1961,4074,2221,2398,2049,1755,1319,777,336,95,15035,610,394,363,326,317,314,210,171,67,2769,5519,3303,3503,3158,3184,3039,2570,1591,546,26422,8,36,85,190,468,802,1050,801,416,3853,347,318,423,392,363,418,396,220,114,2977,5,6,18,42,105,172,260,202,105,912,0,0,3,0,3,6,30,91,123,264,9,25,53,103,161,306,371,237,102,1368,11,3,12,19,66,170,308,321,251,1159
2017,0,0,13,18,36,98,119,90,56,423,116,70,74,62,60,66,51,35,14,556,4,0,0,10,11,25,46,52,18,158,0,0,0,0,0,0,9,16,15,41,0,4,15,22,36,62,72,64,12,288,4,4,0,4,13,48,76,86,35,268,6,0,0,0,5,15,21,13,11,65,0,0,0,0,8,19,32,29,12,104,32,49,71,48,62,61,35,16,11,383,0,0,0,0,4,11,16,23,10,60,53,26,23,38,37,58,58,33,12,337,748,441,540,428,312,312,197,84,34,3080,116,68,79,54,53,57,48,35,17,511,1049,641,774,638,559,653,531,334,153,5324,4,5,8,38,73,126,202,213,119,778,73,87,102,84,74,83,68,47,24,640,0,0,3,10,16,31,48,46,28,188,0,0,0,0,0,3,0,24,26,54,0,4,16,21,25,47,59,66,29,264,0,3,9,12,17,28,55,73,51,243
2018,9,13,58,103,212,391,539,401,121,1840,410,263,304,261,216,201,177,113,24,1978,0,7,8,13,52,114,211,180,59,638,0,0,0,0,0,13,31,55,32,136,9,21,36,70,162,306,457,284,71,1408,8,9,17,46,105,231,437,328,125,1304,3,3,15,16,13,47,74,71,33,293,6,7,9,17,44,129,204,129,59,612,127,274,326,331,332,317,214,81,32,2039,3,4,0,11,27,46,89,74,23,286,260,146,155,180,233,326,265,147,57,1770,2833,1603,1748,1447,1312,1084,714,244,69,11059,470,257,299,269,292,267,202,163,101,2317,4018,2451,2770,2468,2524,2619,2367,1335,457,21009,4,21,76,156,352,717,933,693,317,3269,284,303,450,370,359,398,319,189,53,2720,0,3,25,31,81,154,242,179,58,777,0,0,0,0,0,7,29,58,89,196,8,22,51,80,156,289,355,246,93,1289,7,15,10,30,68,176,287,273,148,1018
2019,0,3,21,40,82,156,266,206,80,863,222,127,124,134,113,108,99,72,19,1014,6,4,0,10,21,56,121,122,33,379,0,0,0,0,0,11,13,28,24,75,3,9,6,37,48,109,156,138,32,552,6,3,0,10,31,99,194,198,78,617,0,3,5,5,6,11,20,34,11,107,0,3,5,4,15,48,72,80,32,262,51,132,134,165,153,141,113,54,12,960,0,0,0,0,11,16,41,51,19,137,80,66,75,62,82,128,125,86,43,751,1241,722,700,612,611,521,350,157,43,4960,173,83,90,85,86,96,92,62,36,807,1749,1076,1086,1062,1102,1153,1115,755,285,9395,0,10,16,66,127,280,456,402,224,1592,136,152,171,198,169,176,173,107,64,1349,0,0,8,18,39,89,113,81,38,387,0,0,0,0,4,3,19,48,65,138,3,6,18,28,52,97,160,122,58,551,0,0,7,6,30,59,110,179,109,494
2020,3,14,41,73,161,372,523,395,141,1728,415,233,281,264,195,206,187,99,38,1920,3,0,5,26,47,130,268,226,65,772,0,0,0,0,5,9,31,65,54,157,7,24,27,48,132,243,392,284,66,1235,6,3,11,23,71,217,435,367,125,1270,8,0,12,11,18,44,82,77,24,265,8,6,6,17,28,90,153,143,46,487,132,220,284,278,284,262,195,111,51,1821,0,4,3,11,15,36,76,82,43,266,237,131,151,153,175,273,255,199,89,1661,3095,1526,1799,1463,1359,1110,803,317,80,11554,385,210,215,218,213,173,164,92,34,1726,4204,2267,2694,2378,2392,2468,2399,1416,411,20625,0,20,69,139,301,648,885,678,300,3042,265,228,369,317,317,335,298,174,54,2360,3,8,20,32,100,167,213,151,59,758,0,0,0,0,0,8,27,79,133,256,6,16,38,71,107,214,260,204,77,1006,6,6,14,20,35,129,210,238,192,857
