SUA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
2000,62,153,557,1296,3251,7698,11497,7439,2232,34178,5231,3299,3101,3519,3586,4080,4009,2025,499,29346,59,75,158,345,856,2581,5271,3844,1000,14191,6,10,10,14,55,162,451,921,740,2368,103,213,369,741,2149,4803,7579,4528,1071,21565,133,122,178,415,1387,4522,8714,6328,2113,23915,83,66,72,124,314,671,1213,1081,435,4060,84,53,104,226,631,1985,3359,2468,715,9618,1628,3048,3455,4018,5085,5499,4205,1644,438,29030,36,27,45,98,320,858,1619,1499,558,5049,2779,1757,1636,2257,3645,5606,5273,2562,933,26449,45594,24688,22391,22921,26123,26177,18830,6891,1430,195036,6341,4064,4291,4868,5359,5761,4969,2709,961,39319,60872,36044,34352,37663,46126,55812,54129,27203,7533,359738,60,214,776,1895,5308,11925,16269,10546,4524,51510,3621,3200,4322,4783,5471,6326,5963,2999,905,37594,56,82,171,524,1449,3151,4295,2664,983,13373,7,15,7,9,29,99,373,1005,1453,3006,113,200,390,803,1855,3691,4965,3319,1189,16521,91,90,155,269,748,2276,4160,3960,2449,14203
2001,0,12,27,53,101,167,229,144,54,793,257,130,188,164,132,76,80,47,7,1091,3,0,9,11,27,53,121,86,22,337,0,0,0,0,0,0,23,39,20,81,6,13,16,55,93,152,224,118,23,694,6,3,9,15,50,102,224,140,48,588,4,0,6,10,11,8,26,26,9,92,4,5,5,9,20,35,93,70,12,256,74,112,164,177,184,111,104,32,22,991,0,0,6,8,6,31,47,46,12,145,180,79,91,107,132,125,138,83,26,955,2018,988,1177,1124,876,601,334,110,21,7255,222,107,126,104,112,90,75,32,4,878,2695,1380,1735,1692,1510,1260,1134,526,145,12067,4,11,31,96,199,309,425,294,160,1527,176,150,266,264,202,166,161,90,31,1510,0,3,9,31,59,72,116,87,29,407,0,0,0,0,0,4,24,44,41,117,7,7,26,54,78,99,166,106,33,567,3,5,7,10,20,65,95,110,63,373
2002,0,3,21,25,57,117,211,180,74,681,110,70,82,65,79,72,70,41,15,596,0,0,5,4,7,42,90,80,40,279,0,0,0,0,0,3,0,19,17,42,0,10,8,9,48,88,161,96,29,460,0,0,9,3,30,93,179,156,69,532,0,3,3,9,12,11,23,18,5,85,0,0,4,6,12,40,78,60,19,218,50,100,103,96,90,109,84,48,16,691,0,0,0,0,5,18,37,41,16,130,87,46,54,47,82,97,105,75,19,612,1007,575,569,467,487,408,337,178,31,4056,148,77,82,66,77,89,83,67,38,726,1372,845,865,738,826,916,993,674,226,7449,3,3,20,37,95,239,390,337,127,1254,78,84,126,115,125,125,128,87,25,888,0,0,3,9,29,78,84,82,30,310,0,0,0,0,0,4,7,19,10,48,0,6,13,26,43,71,118,110,24,410,0,4,0,11,21,43,103,145,71,401
2003,11,32,148,264,494,815,1161,886,294,4093,1163,780,875,773,524,501,473,274,83,5447,8,19,36,67,122,308,607,474,150,1798,0,4,0,0,3,18,68,127,117,345,13,50,97,210,398,692,880,562,162,3056,27,28,33,66,229,580,968,788,335,3056,18,12,22,26,38,77,127,116,64,498,9,14,28,47,122,214,373,317,117,1234,412,788,1055,905,890,809,549,229,77,5714,3,5,17,21,55,124,202,180,90,696,640,408,445,518,610,731,600,376,149,4485,7866,4589,4878,3986,3494,2701,1706,622,160,30000,938,610,585,462,586,477,359,225,106,4344,10779,6963,7627,6541,6439,6124,5345,2967,1015,53805,15,59,205,375,840,1517,2247,1592,785,7638,812,936,1169,1058,969,876,820,480,193,7308,7,11,53,124,255,462,584,384,194,2066,0,3,0,0,3,18,57,167,261,513,28,53,93,197,323,537,765,530,218,2736,18,17,50,57,138,280,593,595,396,2149
2004,11,29,127,254,442,884,1267,918,335,4260,965,605,709,618,493,505,441,245,98,4675,8,16,17,62,131,284,547,474,195,1727,0,0,4,3,3,18,65,142,131,370,21,38,87,168,321,536,845,512,164,2697,27,18,35,69,183,497,876,757,368,2823,16,6,23,28,39,82,140,157,83,574,11,12,20,34,65,195,282,260,103,988,343,693,899,829,783,696,473,226,95,5029,9,12,12,16,36,92,179,188,100,627,611,344,407,425,535,638,610,322,146,4038,7361,4158,4312,3648,3188,2442,1636,620,149,27511,895,559,578,472,501,486,357,231,134,4205,9967,6180,6723,5982,5766,5649,5212,2909,1081,49462,14,57,149,374,825,1637,2214,1614,767,7646,610,757,1049,885,785,845,821,461,162,6369,13,16,37,83,199,416,523,433,161,1866,0,0,5,5,7,17,68,140,246,485,13,35,110,162,312,529,662,443,186,2457,17,20,33,54,99,273,567,530,417,2012
2005,7,5,4,16,31,102,141,112,43,461,62,42,47,54,54,67,59,31,9,427,4,0,5,3,15,44,71,91,21,251,0,0,0,0,0,0,0,8,10,29,0,0,0,8,22,38,79,59,28,235,0,0,0,4,21,53,113,97,34,326,0,0,0,5,4,11,15,17,6,56,0,0,0,3,10,24,42,24,17,113,23,44,50,91,83,103,56,21,9,477,0,0,0,3,3,8,30,31,10,85,46,18,28,56,54,100,98,49,23,473,663,299,266,343,375,339,298,112,27,2727,67,85,235,184,149,89,76,54,43,987,850,471,615,713,746,771,819,457,169,5598,0,4,4,23,79,164,316,235,120,949,36,39,39,79,66,100,90,60,24,532,0,0,3,7,26,42,79,72,19,263,0,0,0,0,0,3,11,16,28,51,0,3,0,11,19,38,66,54,15,209,0,0,0,5,0,30,70,83,63,256
2006,0,3,7,31,54,108,153,132,44,534,96,55,66,68,44,67,50,46,15,492,0,0,0,5,11,28,70,62,28,205,0,0,0,0,0,8,9,26,22,57,0,5,9,15,46,67,122,82,29,376,4,5,5,5,17,78,115,125,42,391,0,0,0,0,4,9,28,24,10,76,0,0,0,0,0,26,42,40,16,133,23,55,67,104,99,80,66,27,12,522,0,0,0,3,7,16,25,43,14,108,56,32,25,40,70,73,73,34,16,430,869,515,632,452,415,331,221,115,31,3581,105,68,80,56,65,59,47,39,23,538,1133,716,852,714,727,736,708,492,173,6256,0,3,21,34,86,188,252,221,142,947,58,73,91,95,96,71,90,63,31,663,0,0,4,0,22,46,70,53,33,231,0,0,0,0,0,0,9,31,40,85,0,7,8,24,40,61,111,83,46,377,0,3,0,0,17,28,59,67,77,255
2007,3,3,26,32,87,194,307,290,79,1023,164,124,111,96,107,100,108,75,21,901,0,4,6,12,22,60,152,138,40,433,0,0,0,0,0,6,9,48,24,92,0,8,23,27,66,128,216,179,26,679,0,0,9,10,34,105,240,212,76,691,0,0,0,0,7,20,43,61,22,154,8,6,0,7,10,38,99,81,24,264,51,105,107,100,131,110,118,81,24,831,4,0,4,0,11,18,53,59,14,158,89,70,52,61,87,108,179,91,38,778,1475,817,753,696,783,755,518,225,50,6086,180,110,112,89,129,124,129,85,48,1002,1937,1191,1136,1066,1314,1446,1532,949,290,10860,0,3,23,59,159,332,512,411,216,1707,146,124,146,159,148,177,185,115,38,1241,3,5,8,18,49,93,136,120,41,464,0,0,0,0,0,3,15,42,54,110,3,10,30,32,57,96,200,112,55,592,3,6,7,6,29,63,147,143,87,488
2008,27,67,229,471,1006,1914,2724,1913,749,9093,2399,1715,1827,1811,1450,1243,1181,560,185,12361,35,37,74,143,309,760,1454,1128,388,4328,4,0,4,8,11,39,172,407,352,996,37,107,209,392,853,1511,2173,1315,411,7016,55,32,73,137,501,1354,2389,1896,782,7227,27,31,38,67,114,187,318,329,164,1279,33,19,27,70,160,421,777,622,273,2403,802,1617,1978,1921,1911,1576,1135,540,276,11753,7,12,20,48,123,269,539,470,227,1728,1367,958,959,1041,1323,1602,1651,941,450,10295,20769,12158,13809,11834,10186,7674,5164,1983,511,84084,2023,1566,1856,1635,1465,1232,982,543,244,11535,26946,17551,20094,18266,17197,15871,14489,7821,2727,140950,22,114,326,679,1624,3425,4931,3741,1831,16686,1585,1890,2409,2436,2051,1922,1960,1040,393,15682,18,42,102,267,563,977,1400,964,435,4774,0,0,11,4,18,43,176,518,830,1603,35,103,214,373,753,1285,1689,1262,515,6235,40,40,67,105,271,635,1304,1382,1064,4910
2009,0,4,12,31,69,168,212,132,29,655,212,96,73,143,123,113,66,45,11,878,0,5,0,12,29,76,121,87,20,357,0,0,0,0,0,5,10,29,19,63,0,9,9,20,47,102,139,88,19,441,0,0,4,7,39,121,190,177,38,569,3,0,0,0,12,11,22,23,11,94,6,0,0,5,10,25,51,48,3,152,58,88,63,130,104,119,61,29,17,666,0,6,0,3,8,14,36,26,11,106,116,52,46,72,113,154,132,83,23,781,1924,1014,615,977,1040,751,418,143,19,6899,187,127,55,107,116,106,75,42,6,821,2481,1361,837,1423,1603,1476,1113,587,127,11006,4,6,10,54,150,242,358,252,82,1155,143,107,111,189,157,129,141,78,22,1077,3,0,4,18,39,90,120,59,16,349,0,0,0,0,0,4,9,38,51,98,0,3,3,20,35,75,106,65,24,343,7,0,0,9,15,34,83,81,47,281
