SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
2000,60,116,26,9312,1208,279,119,1273,161,517,112,253,108,467,2499,6999,117,13,89,112,30,41,23,20,29,93,270,837,15156,3945,1099,24027,3538,9083,1393,3350,1077,5050,3010,70727
2001,5,4,3,577,42,5,3,27,4,20,4,4,3,12,80,210,3,0,6,3,3,0,0,0,0,0,15,32,787,117,41,1015,190,529,40,119,52,157,100,3148
2002,0,0,0,127,15,0,0,24,3,7,0,6,0,7,41,106,3,0,0,0,0,4,0,0,0,0,4,12,257,81,20,524,56,194,29,87,21,122,43,1439
2003,6,23,0,1962,126,30,11,134,16,71,11,22,11,32,349,807,3,0,0,15,3,0,0,4,0,8,36,69,2456,597,101,4093,587,1665,173,580,130,741,409,11533
2004,9,18,5,1519,96,23,11,119,12,53,8,28,12,47,323,726,7,0,5,8,0,0,3,4,0,13,32,76,2243,571,113,3729,519,1523,183,521,145,737,378,10670
2005,4,0,0,116,15,6,0,7,5,3,0,3,0,7,28,83,0,0,0,0,0,0,0,0,0,0,3,6,143,122,10,324,39,109,28,68,16,49,35,937
2006,0,0,0,119,16,0,4,13,4,8,0,0,0,5,48,98,0,0,0,3,0,0,0,0,0,0,3,8,245,52,10,483,62,155,23,49,14,83,53,1216
2007,3,4,0,309,41,4,5,43,3,12,3,5,3,14,85,221,0,0,0,3,0,0,4,0,0,3,6,23,527,105,27,831,110,243,49,73,37,115,98,2218
2008,33,75,8,6872,341,76,28,380,53,170,29,61,41,157,829,2168,26,7,25,30,12,13,7,0,16,29,76,226,6666,1716,353,11922,1759,4640,577,1509,379,2126,961,32605
2009,4,11,0,1003,40,3,3,51,3,21,3,12,3,20,88,242,0,0,3,10,0,0,0,0,6,0,3,23,803,147,31,1171,169,412,53,110,35,130,97,3165
2010,0,3,0,181,28,5,4,31,0,11,3,8,0,10,49,147,0,0,0,3,0,0,0,0,0,0,4,12,392,87,16,679,82,199,29,84,17,93,62,1743
2011,703,2705,193,151387,4892,994,627,4876,858,3078,484,1437,793,2936,14681,35660,480,82,369,529,176,272,73,87,201,490,2251,5010,142308,29251,5507,172828,26965,106551,8043,35689,8406,54497,18567,608614
2012,3,10,4,619,78,11,12,83,12,29,3,9,5,35,252,534,5,0,5,3,0,0,0,4,0,9,20,58,1309,239,76,1596,233,691,89,242,77,473,294,5326
2013,8,4,0,258,24,3,5,32,4,15,7,10,9,17,85,205,3,0,3,3,3,0,0,0,0,6,7,24,347,87,31,674,98,293,38,135,51,212,98,2051
2014,3,0,0,96,10,3,0,18,0,5,5,0,7,5,48,104,0,0,0,0,0,0,0,4,0,0,3,9,167,59,11,335,46,143,28,56,23,95,49,1005
2015,4,0,0,239,15,3,0,24,3,9,0,0,0,8,68,131,0,0,0,0,0,0,0,0,0,5,7,14,309,73,17,511,54,228,19,73,18,106,79,1484
2016,0,14,0,678,66,12,8,70,15,24,3,14,5,45,146,396,3,0,7,10,0,0,0,0,0,13,30,71,1249,267,58,1737,226,756,83,302,85,642,198,5609
2017,0,0,0,132,16,0,0,20,0,5,0,0,0,4,24,73,0,0,0,3,0,0,0,0,0,0,5,7,263,37,11,414,51,154,13,38,9,63,31,1099
2018,5,6,5,658,47,7,3,52,4,19,5,8,4,28,174,348,7,0,3,3,0,4,0,0,0,5,15,45,810,171,33,1351,237,578,69,227,65,375,209,4127
2019,0,3,0,228,37,4,0,22,0,7,5,5,0,8,41,136,3,0,0,3,0,0,0,0,0,0,4,16,471,102,17,655,92,212,44,79,23,123,52,1871
2020,5,8,4,683,45,13,9,83,9,32,10,12,4,23,138,372,3,0,5,3,3,6,0,0,0,3,18,51,904,257,68,1728,279,730,83,224,68,295,174,4807
2021,4,7,0,543,38,13,4,48,0,14,0,8,4,14,101,260,4,0,3,9,0,0,0,0,0,0,7,27,754,207,36,1501,188,456,65,147,35,195,114,3702
