SUA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2010,0,0,0,7,4,0,0,0,0,10,0,0,0,4,0,0,0,3,0,9,3,11,18,61,20,9,10,4,0,124,0,0,0,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,0,38,0,0,0,3,0,0,0,0,0,3,0,10,0,11,4,0,5,0,0,39,0,0,0,15,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,10,0,6,16,20,4,0,0,0,0,50,0,5,5,3,3,0,0,0,0,19,0,3,3,9,5,3,0,0,0,24,0,0,0,11,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,3,0,0,0,12,0,10,3,41,16,20,13,12,8,111,37,91,128,224,97,114,102,100,51,953,1018,2139,1932,4168,1893,2136,1857,1245,589,16985
2011,439,3450,3750,17145,2378,1086,602,141,32,29021,4,49,118,529,731,371,132,30,9,1982,266,2739,5911,25994,10135,7607,4536,1141,289,58626,8,66,138,2628,1557,2389,3458,1534,1150,12935,22,433,879,2192,1566,1314,581,152,28,7169,28,325,671,3526,2620,3859,3920,2912,1139,18998,199,1865,2562,6010,2540,1879,1404,418,112,16990,138,1302,2474,8883,5753,3772,2684,1325,400,26728,225,2435,5835,27918,10277,8421,6166,2766,970,65006,79,331,585,5815,1036,697,676,107,21,9342,162,1326,2549,9491,2233,935,400,112,24,17230,50,341,503,4593,4330,4170,2201,1243,262,17695,625,2392,2514,7540,2733,2019,1445,534,106,19909,273,2122,6637,29298,19737,17970,10168,2975,1274,90464,3,76,146,874,616,675,568,391,154,3511,17,138,608,2381,966,548,240,67,12,4980,1200,8920,14833,68004,29210,25562,21509,14138,6158,189539,10477,22792,24050,69030,24613,20364,17265,13195,7715,209500,284845,587191,592184,1500482,615047,516353,393854,229530,98370,4817843
2012,0,16,15,27,6,4,0,0,0,55,0,0,0,0,7,4,0,0,0,6,8,18,30,189,47,34,21,3,0,348,0,0,0,0,0,5,0,0,3,12,0,3,4,13,11,9,5,0,0,47,0,0,3,14,16,29,14,22,4,103,0,0,5,10,3,0,0,0,0,15,0,7,26,39,22,14,4,0,0,116,4,6,0,37,16,4,4,3,0,74,3,0,9,97,3,0,0,0,0,116,3,8,11,101,26,22,4,0,0,180,0,4,4,46,66,68,42,31,5,261,0,6,5,25,11,4,3,5,0,59,0,19,31,125,47,68,31,7,0,330,0,0,0,3,0,4,8,3,0,28,0,3,0,20,4,0,7,0,0,35,9,53,61,311,111,99,88,58,29,809,208,571,499,1165,578,570,532,326,158,4611,3161,6874,6113,13450,6686,6775,5804,3359,1391,53620
2013,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,14,58,25,40,27,8,0,178,0,0,0,5,4,4,6,6,0,19,0,0,0,18,0,0,0,0,0,20,0,0,4,7,6,19,39,41,17,133,0,0,0,3,0,0,0,0,0,6,0,0,0,14,6,4,3,4,0,31,0,0,0,6,4,0,5,0,0,13,0,0,0,11,0,0,0,0,0,13,3,0,3,13,4,0,0,0,0,24,0,0,0,0,4,0,0,0,0,10,0,4,8,6,7,11,6,0,0,37,0,0,0,13,7,0,0,0,0,21,0,0,0,0,0,3,9,4,5,20,0,0,0,0,0,0,4,0,0,5,0,0,6,61,25,42,80,52,23,290,73,184,158,395,220,245,254,131,47,1705,1142,2536,2384,5087,2689,3141,2886,1515,602,21997
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,3,0,4,10,31,14,9,7,0,0,77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,12,5,5,40,0,0,0,0,0,0,0,0,0,0,0,0,5,12,7,4,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,8,0,4,0,0,0,20,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,4,3,0,20,0,0,3,5,0,0,0,0,0,12,0,0,0,0,3,0,4,0,0,6,0,0,0,9,0,3,0,0,0,12,0,0,3,18,14,16,19,8,3,97,24,82,60,156,97,115,115,71,31,751,510,1248,1171,2280,1474,1755,1622,816,346,11230
2015,0,6,0,13,3,0,0,0,0,24,0,0,0,0,4,3,0,0,0,5,0,3,8,40,12,22,12,0,0,102,0,0,0,0,0,8,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3,4,11,14,11,19,15,0,65,0,0,3,0,0,5,4,0,0,12,0,18,10,19,12,8,4,0,0,73,0,0,4,32,9,3,5,0,0,55,0,0,0,16,0,0,3,0,0,18,0,0,4,9,5,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,8,5,16,5,0,4,4,3,52,0,0,6,18,8,14,4,0,0,52,0,0,0,0,7,6,0,0,0,17,0,0,3,3,4,10,0,0,0,19,5,19,5,37,23,23,30,25,9,165,36,87,96,216,121,86,118,78,57,892,886,1913,1687,3653,1900,1899,1800,1098,465,15301
2016,5,64,49,135,13,5,5,0,0,278,0,0,3,8,3,5,5,0,0,23,3,50,60,314,80,55,40,5,0,611,0,0,0,3,0,3,5,0,6,16,3,13,28,47,30,11,8,0,0,129,0,0,3,7,10,21,31,20,5,101,0,0,0,8,9,6,0,0,0,26,0,11,14,33,18,10,3,8,3,102,5,19,14,84,39,21,6,0,0,188,0,0,9,109,3,6,4,0,0,129,0,8,8,54,25,11,5,0,0,113,0,0,4,42,62,50,30,9,0,208,0,12,5,24,3,11,9,3,0,64,0,6,0,37,18,0,5,0,0,65,0,0,0,0,3,5,4,4,0,16,0,0,5,9,10,3,0,0,0,34,29,167,213,524,165,148,105,63,32,1438,214,507,444,1044,427,472,402,329,169,4010,3387,7250,6420,13833,6425,6290,5443,3386,1406,53841
2017,0,6,0,21,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,10,68,26,12,4,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,15,0,0,0,3,0,0,0,0,0,6,0,0,9,10,10,6,3,0,0,45,0,6,0,11,4,0,0,0,0,22,0,0,0,8,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,11,0,32,10,84,8,6,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,18,5,5,5,28,17,6,4,0,0,72,49,95,77,192,65,93,74,68,33,738,747,1401,1253,2976,1133,1321,1116,813,417,11186
2018,0,11,0,33,3,0,4,0,0,51,0,0,0,5,6,3,5,0,0,13,9,23,30,170,50,65,30,13,0,397,0,0,0,6,3,8,25,0,7,51,0,0,0,0,0,4,0,0,0,9,0,0,5,10,10,56,92,69,22,267,0,0,0,8,5,0,0,0,0,14,3,7,14,22,30,15,8,4,0,110,0,9,16,61,24,7,13,0,0,134,0,0,0,0,0,0,0,0,0,10,0,16,24,33,15,3,0,0,0,95,0,0,0,7,4,3,0,3,0,14,4,3,15,21,5,8,12,0,0,69,0,4,0,37,13,16,7,0,0,75,0,0,3,0,5,6,4,0,0,25,0,0,4,10,11,0,0,0,0,29,6,33,63,138,75,92,95,88,38,629,172,391,344,860,387,441,350,297,182,3426,2494,5303,4876,10849,5134,5586,4902,2879,1221,43252
2019,0,3,0,15,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,11,5,12,5,94,11,10,17,6,0,160,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,3,0,0,0,11,0,4,0,6,12,16,12,19,0,69,3,0,0,0,3,0,0,0,0,8,0,4,9,12,16,4,0,3,0,50,0,4,4,17,13,4,4,0,0,45,0,0,4,9,0,0,0,0,0,13,0,0,0,10,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,6,0,12,3,3,7,4,0,35,0,0,4,14,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,4,0,0,0,10,0,0,4,0,0,10,0,5,6,34,19,32,35,30,11,173,46,119,98,244,120,145,161,145,104,1173,1039,2389,2165,4507,2388,2478,2399,1714,795,19882
2020,0,0,4,14,11,0,0,0,0,35,0,0,0,7,5,3,6,0,0,25,4,4,17,82,26,21,16,4,0,174,0,0,0,5,3,5,14,12,4,45,0,0,0,4,0,0,0,0,0,10,0,3,8,14,14,44,62,61,11,211,0,0,7,16,5,3,6,0,0,34,3,14,16,53,32,19,15,11,4,168,0,8,3,63,23,12,10,3,0,137,0,0,8,91,0,0,0,0,0,103,5,3,4,23,20,6,0,0,0,68,0,4,0,0,7,4,0,0,0,11,0,11,5,23,14,13,25,5,0,95,0,0,3,36,16,3,0,4,0,58,0,0,0,7,7,5,11,13,0,42,0,3,3,25,7,9,3,0,0,50,4,17,24,171,63,115,106,79,30,612,117,302,191,612,300,293,299,232,86,2424,2754,5561,4574,10611,5047,5318,4958,2949,1045,42827
2021,0,0,0,6,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,21,16,118,32,22,7,3,0,221,0,0,0,7,0,0,0,3,0,11,0,0,0,5,0,0,0,0,0,5,0,4,5,23,12,25,39,17,9,129,0,0,0,4,0,3,0,0,0,12,0,20,11,44,20,16,0,4,3,121,0,6,12,77,15,5,11,5,0,115,0,0,3,46,4,0,0,0,0,57,5,9,8,39,8,12,0,0,0,82,0,0,0,3,0,3,0,0,0,6,0,5,8,24,11,14,13,0,0,70,5,18,9,68,0,0,0,0,0,113,0,0,0,0,0,0,10,0,0,12,0,0,0,11,3,0,0,0,0,19,0,9,34,164,38,39,27,19,14,333,89,235,199,486,223,219,233,196,116,2000,1855,4397,3982,8827,4493,4622,4121,2376,1073,35743
