SUA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
2010,4,25,0,27,452,41,521,21,23,0,42,394,43,484,329,29,14,367,657,73,1099,517,24,18,557,316,51,921,269,30,11,313,551,37,900,47,81,0,127,844,51,1017,9,108,0,118,703,53,869,0,28,0,28,484,34,551,0,3,0,3,205,24,228,1199,342,45,1583,4608,401,6594,8,32,0,40,359,32,433,56,29,0,91,364,44,496,452,47,31,525,567,58,1152,612,28,44,690,261,44,988,261,69,14,335,611,48,999,21,240,0,268,804,47,1118,0,177,0,185,754,45,984,0,33,0,33,605,61,700,0,8,0,8,320,31,359,1416,661,94,2165,4653,416,7233,12,61,0,68,813,75,955,81,49,0,135,763,83,977,777,72,42,892,1223,138,2254,1135,52,62,1244,578,89,1913,533,95,26,651,1164,81,1893,68,315,0,390,1647,102,2136,9,288,0,297,1457,98,1857,0,60,0,60,1095,93,1245,0,9,0,9
2011,344,4123,35,4503,126279,6878,137659,1848,3382,62,5293,150401,10232,165928,61486,6047,902,68432,290521,26471,385424,179608,4083,2452,186144,151442,20211,357794,110318,4116,1410,115847,169050,14655,299544,20200,13522,337,34060,204728,11184,249970,3326,24874,171,28370,147676,8645,184692,568,6382,37,6982,90871,6814,104673,69,312,7,382,33557,3887,37830,377764,66848,5413,450022,1364518,108977,1923516,456,6979,43,7482,117084,6302,130864,4646,6680,224,11546,137789,8389,157732,103832,11486,2750,118070,252052,22476,392597,215298,7642,5828,228768,118729,17161,364658,108974,11069,2440,122481,180076,12944,315500,10440,40104,646,51182,204719,10479,266382,2803,43371,345,46516,153167,9475,209161,638,7421,80,8145,108320,8389,124858,113,355,8,475,52797,7269,60543,447199,135102,12369,594660,1324746,102887,2022295,793,11100,88,11984,243361,13181,268525,6491,10063,287,16841,288192,18620,323658,165321,17530,3650,186507,542571,48945,778028,394907,11727,8287,414917,270171,37365,722456,219288,15185,3842,238323,349130,27592,615047,30640,53622,980,85242,409443,21665,516353,6126,68247,516,74880,300847,18122,393854,1211,13805,118,15127,199190,15205,229530,178,669,11,860
2012,5,69,0,70,1351,193,1613,65,39,0,108,1304,139,1546,893,86,15,994,2178,348,3514,1421,45,52,1516,1179,302,2997,829,78,13,917,1982,301,3205,136,260,6,405,2624,272,3292,28,247,0,276,2324,252,2850,6,50,0,58,1400,134,1593,0,3,0,3,449,69,515,3380,874,88,4346,14782,2008,21133,10,134,0,140,1211,150,1502,134,100,5,243,1093,123,1455,1380,135,82,1600,1723,337,3663,1853,77,95,2029,950,295,3275,841,250,26,1112,2094,275,3482,78,632,13,718,2538,224,3480,13,400,5,413,2319,218,2951,10,71,0,74,1523,167,1766,0,0,0,7,763,110,873,4315,1801,222,6343,14210,1899,22449,11,198,0,213,2554,344,3114,201,144,5,355,2395,256,3004,2272,223,102,2594,3893,683,7176,3273,124,150,3547,2131,592,6274,1669,326,39,2033,4081,574,6686,212,887,14,1119,5158,494,6775,37,650,5,693,4642,475,5804,11,114,0,133,2923,306,3359,0,8,0,5
2013,0,23,0,22,549,59,635,33,23,0,54,499,41,598,350,34,14,400,840,106,1350,560,27,18,607,433,98,1136,292,50,4,348,815,100,1265,57,142,9,202,1249,115,1571,13,128,0,145,1177,110,1433,5,9,0,15,644,48,704,0,0,0,0,211,23,237,1309,441,43,1791,6432,705,8925,10,40,0,45,483,49,578,72,31,6,106,427,45,578,559,62,44,668,588,101,1354,660,41,46,749,406,95,1248,277,144,19,439,888,104,1426,23,328,3,353,1114,102,1574,9,177,0,183,1161,111,1457,0,26,0,28,691,82,808,0,0,0,0,337,33,365,1613,846,114,2569,6104,715,9391,10,59,0,69,1037,110,1212,103,53,4,160,926,83,1175,915,94,54,1066,1433,209,2703,1219,73,58,1359,840,192,2390,568,194,21,782,1704,208,2689,81,468,7,554,2367,220,3141,15,308,0,326,2344,221,2886,4,32,0,42,1339,136,1515,0,0,0,0
2014,0,16,0,18,295,33,340,10,10,0,23,247,20,294,153,15,3,173,298,44,506,256,7,6,276,242,41,565,181,20,3,205,470,46,723,28,52,0,88,730,49,867,4,65,0,70,694,60,822,0,14,0,14,344,29,384,0,0,0,0,119,14,130,641,202,21,862,3439,330,4636,6,21,0,22,258,14,298,36,15,0,53,180,13,243,256,24,5,284,255,35,570,347,22,22,386,200,48,640,166,50,5,227,492,31,742,14,163,0,185,664,43,887,3,98,0,102,666,33,803,0,20,0,16,366,42,426,0,5,0,7,197,20,219,826,417,29,1269,3282,282,4833,7,33,0,39,555,43,639,48,26,0,72,428,33,534,406,38,7,455,547,74,1080,600,28,33,666,440,94,1204,348,78,4,431,961,78,1474,45,218,0,266,1395,88,1755,10,163,0,172,1361,91,1622,0,27,0,29,712,73,816,0,3,0,9
2015,0,26,0,32,392,24,446,22,4,0,29,357,36,424,279,21,6,299,553,77,934,444,15,13,470,312,60,837,241,29,6,276,509,68,855,39,74,0,112,722,54,890,11,95,0,108,686,53,843,4,16,0,13,443,29,492,0,0,0,0,144,25,171,1042,280,29,1345,4111,423,5879,0,31,0,28,366,34,436,40,29,0,66,296,23,389,395,34,19,444,445,50,940,579,25,32,629,246,62,941,259,68,8,338,654,54,1045,25,192,0,217,743,41,1007,5,159,0,158,743,54,957,0,26,0,24,538,52,604,0,0,0,0,252,41,293,1303,549,60,1917,4283,419,6615,0,51,0,63,753,62,880,59,33,0,97,653,56,809,671,52,25,747,996,126,1869,1023,40,44,1107,558,120,1785,503,102,13,613,1158,127,1900,71,266,0,335,1465,98,1899,16,249,0,265,1429,106,1800,7,34,0,39,982,78,1098,0,0,0,0
2016,11,52,0,60,1455,162,1679,65,50,0,113,1352,153,1626,941,72,20,1030,2159,314,3503,1516,53,39,1607,1296,262,3158,864,85,20,965,1977,247,3184,172,175,4,352,2461,228,3039,33,241,0,278,2096,198,2570,5,63,0,63,1382,145,1591,0,4,0,4,469,72,546,3595,787,91,4468,14654,1779,20902,15,107,0,120,1320,133,1575,145,110,6,262,1154,126,1541,1485,160,57,1700,1770,323,3792,1915,87,75,2078,1045,255,3376,844,212,21,1073,1956,209,3236,84,571,8,663,2360,228,3250,28,378,4,406,2276,193,2874,4,51,0,54,1541,201,1797,0,5,0,5,745,108,862,4514,1673,173,6363,14171,1769,22300,24,161,0,184,2777,296,3248,211,160,8,382,2510,278,3166,2423,227,80,2726,3930,632,7295,3427,136,111,3684,2340,517,6540,1702,299,47,2040,3928,452,6425,254,745,6,1011,4822,458,6290,58,620,0,679,4367,393,5443,5,115,0,121,2922,344,3386,0,9,0,9
2017,0,11,0,17,257,32,300,17,6,0,25,295,20,339,233,15,3,253,458,63,774,332,5,3,346,259,40,638,131,12,0,149,371,41,559,26,69,0,93,512,47,653,6,49,0,60,443,32,531,0,5,0,5,291,35,334,0,0,0,0,127,23,153,746,188,12,944,3008,326,4281,3,17,0,22,218,21,261,25,27,4,56,265,32,353,343,40,19,408,403,59,866,391,17,21,430,221,46,698,135,38,5,176,374,25,575,16,177,0,191,439,36,673,5,104,0,101,443,38,588,0,14,0,14,423,39,477,0,0,0,0,237,25,266,919,431,54,1399,3027,338,4763,5,32,0,32,477,50,563,36,40,4,80,555,53,690,578,52,28,659,858,121,1643,720,27,26,772,479,86,1338,265,54,6,323,748,64,1133,40,245,0,285,951,81,1321,8,149,0,164,885,76,1116,0,25,0,25,711,80,813,0,0,0,0
2018,9,42,0,51,1100,97,1242,62,40,7,108,1003,96,1205,753,87,17,857,1661,242,2770,1226,57,31,1311,963,200,2468,657,79,12,747,1573,209,2524,124,229,9,358,2072,187,2619,16,218,0,230,1963,176,2367,4,41,0,40,1148,151,1335,0,0,0,0,368,88,457,2843,798,69,3709,11840,1451,16991,14,107,0,122,972,95,1198,146,79,6,234,895,101,1233,1179,111,74,1364,1386,241,3000,1451,88,91,1624,779,214,2616,604,196,18,824,1627,163,2607,60,580,0,642,2124,196,2968,14,362,6,380,1991,169,2538,13,40,0,49,1332,163,1539,0,0,0,5,617,143,765,3483,1571,190,5248,11726,1492,18460,21,147,0,174,2079,191,2434,211,120,10,344,1898,201,2440,1931,199,87,2228,3050,487,5760,2675,141,118,2933,1737,409,5089,1254,281,34,1569,3192,376,5134,181,816,8,1005,4201,381,5586,25,577,6,608,3953,342,4902,11,80,0,90,2475,313,2879,0,3,0,3
2019,4,22,0,26,549,38,610,25,17,0,43,400,21,463,332,39,4,373,641,72,1086,568,26,14,606,402,60,1062,337,42,3,383,671,49,1102,45,96,0,140,958,57,1153,11,134,0,141,898,75,1115,3,22,0,20,670,60,755,0,3,0,5,240,41,285,1323,394,23,1740,5427,477,7646,3,45,0,51,488,38,578,61,36,0,99,389,28,516,443,50,31,520,606,69,1192,686,37,36,757,346,54,1158,345,94,14,452,768,67,1285,25,282,0,311,945,67,1329,10,233,0,244,989,52,1284,5,40,0,42,835,81,959,0,4,0,4,437,69,509,1574,826,81,2481,5793,530,8806,6,67,0,73,1036,77,1188,91,49,0,140,783,51,980,778,87,33,898,1250,137,2282,1254,64,46,1365,755,108,2229,681,141,19,835,1434,114,2388,72,380,0,452,1903,126,2478,16,364,0,383,1889,127,2399,8,62,0,65,1500,146,1714,0,8,0,7
2020,0,53,0,53,1061,58,1173,42,35,0,83,952,64,1092,911,56,29,992,1554,148,2694,1372,37,46,1452,766,161,2378,742,62,13,819,1421,158,2392,142,203,5,347,1996,122,2468,31,239,0,273,1993,136,2399,7,51,0,58,1272,91,1416,0,3,0,3,363,43,411,3237,739,94,4071,11359,986,16419,7,112,0,117,990,81,1189,90,79,0,178,895,47,1121,1292,119,79,1489,1313,187,2988,1595,69,86,1756,653,147,2554,750,174,35,959,1558,138,2656,66,597,7,669,2044,140,2851,14,427,4,445,1984,123,2559,3,60,0,70,1342,125,1534,0,0,0,5,579,52,636,3819,1643,220,5681,11364,1045,18089,7,157,0,169,2052,141,2362,136,112,0,257,1847,117,2216,2201,171,111,2480,2867,337,5681,2971,103,129,3206,1416,310,4929,1486,240,53,1778,2979,295,5047,205,804,12,1017,4041,263,5318,50,664,4,719,3977,261,4958,10,114,0,126,2613,218,2949,0,3,0,5
2021,5,28,0,31,952,84,1073,32,22,0,54,790,73,918,584,57,19,658,1463,127,2255,1102,39,32,1178,725,158,2056,688,65,18,770,1216,120,2105,121,181,0,299,1734,95,2133,21,270,0,291,1554,99,1942,0,56,0,57,911,89,1046,0,0,0,4,337,54,386,2551,721,66,3339,9678,901,13915,3,60,0,68,920,66,1055,48,58,7,114,775,43,931,833,108,46,986,1181,121,2292,1404,76,69,1548,548,132,2228,681,151,26,862,1420,101,2383,69,482,6,561,1823,106,2497,25,404,0,432,1629,124,2179,6,75,0,77,1126,128,1329,5,4,0,6,559,118,681,3070,1424,154,4651,9983,934,15570,8,96,0,101,1875,153,2129,85,81,7,169,1572,114,1851,1419,169,60,1650,2643,249,4543,2504,119,103,2724,1266,291,4287,1370,217,46,1632,2636,226,4493,190,662,6,857,3557,205,4622,44,671,0,718,3182,222,4121,3,127,0,131,2032,213,2376,3,3,0,8
