SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
2000,2174,2974,5148,36142,42034,78167,0,0,3,3510,3853,7370,289,265,548,62787,67075,129859,508,644,1152,1843,1740,3585,784,1041,1823,355,373,731,2419,2748,5175,69,49,123,805,848,1653,1992,2249,4244,8243,8591,16840,537,742,1279,531,621,1155,16844,20451,37296,6492,7118,13609,223,261,490,144378,160710,305092,1012,851,1862,1336,1045,2385,248,249,497,43,30,77,560,491,1052,841,1306,2143,1449,1823,3269,169851,154674,324519,1050,857,1908,504,843,1353,171408,156372,327783,37734,32283,70019,359738,356315,716050
2001,60,96,155,892,1236,2127,0,0,0,106,135,239,17,7,27,2785,3122,5909,5,9,13,184,161,345,38,40,78,17,23,36,36,61,96,0,0,0,30,48,79,69,96,164,117,206,320,15,14,27,14,28,44,271,416,696,230,249,478,3,4,12,4845,5854,10700,201,161,360,112,91,208,8,4,6,0,0,0,268,243,511,26,46,73,291,291,587,5796,5444,11241,48,42,85,13,23,38,5857,5512,11371,693,636,1331,12067,12651,24717
2002,47,70,115,931,1118,2050,0,0,0,95,104,198,67,73,138,1090,1408,2505,4,4,13,15,14,33,25,41,69,14,14,25,12,20,30,0,3,7,14,8,24,77,99,170,143,176,324,18,27,47,22,30,56,246,355,601,143,161,306,3,3,9,2931,3644,6574,36,38,72,36,30,64,0,0,4,0,0,0,19,21,41,13,44,50,31,65,95,3662,3636,7296,19,27,46,13,15,27,3692,3680,7374,673,699,1378,7449,8232,15684
2003,387,470,859,3825,5032,8853,0,0,0,403,452,852,121,119,242,10845,13050,23888,333,457,792,224,229,458,121,164,287,41,72,108,207,253,458,44,33,77,120,149,264,357,409,771,936,1199,2130,88,139,224,73,103,178,2150,3117,5264,910,1084,1993,16,30,43,20808,26086,46896,731,585,1317,421,346,759,26,29,57,9,5,21,333,310,646,160,269,429,505,589,1092,27020,26253,53271,182,152,334,73,139,210,27274,26549,53819,3657,3512,7166,53805,58167,111973
2004,585,739,1326,4258,5603,9865,0,0,4,1098,1291,2384,85,89,178,8983,10622,19614,61,79,142,172,136,310,112,131,240,68,86,155,135,174,306,62,47,110,83,109,192,499,625,1125,729,858,1591,55,95,153,134,135,273,2081,2899,4983,1004,1220,2220,15,11,23,19651,24216,43865,432,371,804,389,345,741,22,22,48,9,4,18,215,177,391,113,201,315,338,380,714,24390,23895,48288,179,126,304,51,97,146,24621,24117,48734,3427,3376,6802,49462,53577,103034
2005,51,82,131,329,481,813,0,0,0,27,42,69,48,41,92,391,427,817,19,19,36,20,24,40,5,11,13,0,0,0,10,13,22,0,0,0,0,11,11,27,32,62,55,85,132,16,20,37,0,4,0,162,273,439,81,110,188,5,6,11,1198,1588,2787,10,15,26,9,9,17,10,17,30,4,4,9,10,10,18,28,50,76,41,56,100,3228,3406,6636,33,25,59,16,41,58,3283,3476,6753,999,519,1513,5598,5759,11352
2006,49,50,95,478,585,1057,0,0,0,48,62,106,0,0,0,1530,1656,3186,0,3,3,20,18,31,17,12,26,8,5,9,9,25,30,5,0,11,11,14,20,58,60,120,182,227,407,8,17,28,4,0,4,279,431,710,72,104,176,3,5,4,2719,3223,5939,23,18,45,44,22,71,3,0,5,0,0,0,12,6,21,8,15,24,23,22,41,2929,2737,5667,8,8,19,3,8,9,2943,2751,5696,455,413,867,6256,6503,12756
2007,71,84,159,1348,1616,2964,0,0,0,100,126,230,0,0,0,2402,2798,5202,7,23,30,28,30,57,11,25,34,10,8,19,42,45,86,9,5,9,18,18,39,62,77,141,266,321,588,21,27,46,4,5,12,571,840,1410,125,146,272,5,5,3,5018,6120,11136,60,48,110,23,20,44,0,9,9,0,0,3,19,14,38,13,23,29,36,37,71,4816,4586,9405,13,15,24,4,14,22,4835,4617,9451,821,773,1596,10860,11712,22568
2008,1214,1697,2907,10099,12962,23055,3,0,3,2280,2735,5016,90,86,174,29604,34294,63898,150,207,355,1978,2046,4027,349,474,823,126,139,263,737,973,1707,82,76,153,289,338,631,760,938,1698,2356,2962,5319,213,287,497,122,138,260,4267,6239,10511,3128,3816,6946,92,109,206,56722,68816,125548,2191,1480,3666,2301,1759,4057,103,98,205,9,10,19,1018,851,1867,332,479,814,1363,1338,2701,66061,63822,129887,506,357,862,163,381,546,66731,64551,131290,10321,8938,19260,140950,148681,289630
2009,56,68,125,948,1162,2108,0,0,0,52,72,120,0,0,0,2673,2717,5386,23,31,57,87,97,182,27,26,51,3,5,10,40,53,95,0,3,4,15,15,27,60,59,119,173,168,341,4,6,12,17,13,28,306,443,749,179,192,372,0,0,4,4607,5069,9677,20,24,49,52,36,87,11,5,11,0,0,0,23,26,44,10,21,31,38,44,80,5495,5247,10739,39,29,71,16,24,40,5545,5305,10852,680,637,1322,11006,11198,22200
