SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2000,6688,6065,12757,19072,17457,36529,6027,6007,12030,2021,1969,3992,27138,25454,52595,12760,12256,25020,5266,5533,10802,3285,3407,6696,21322,21210,42534,746,941,1685,466,1069,1535,2622,1421,4043,1930,3668,5595,66,43,117,5827,7147,12972,1649,3036,4677,666,1679,2339,314,672,982,1321,3899,5216,27,36,65,3968,9325,13290,9807,16479,26282,650,562,1215,962,1782,2741,57,51,109,1664,2401,4068,31436,27376,58817,98059,98987,197049
2001,306,317,617,931,788,1716,159,148,306,180,161,339,1280,1097,2374,431,424,854,166,161,322,206,255,461,806,848,1654,35,47,82,44,52,95,97,48,148,91,141,230,0,0,0,272,287,556,128,230,362,30,118,148,18,41,55,67,158,223,0,0,0,243,547,790,511,836,1347,50,48,101,46,81,129,0,5,5,100,134,228,487,500,986,3488,3722,7206
2002,177,154,331,380,372,757,140,134,274,53,55,109,569,566,1133,249,268,514,136,122,257,52,44,104,442,435,874,20,35,53,11,30,41,54,44,91,42,119,166,0,0,0,128,229,354,19,41,61,14,33,50,4,21,23,26,88,113,0,0,0,57,188,247,180,418,599,16,18,34,23,53,76,4,0,6,49,73,117,539,621,1155,1949,2261,4212
2003,1316,1207,2523,2864,2625,5487,1371,1366,2738,583,594,1178,4825,4589,9415,1710,1772,3480,1236,1164,2395,809,894,1699,3759,3828,7589,177,174,355,150,236,384,391,230,625,452,622,1075,0,6,8,1171,1272,2440,831,1313,2147,370,641,1004,114,182,300,482,935,1417,6,7,11,1803,3072,4875,2973,4346,7323,141,137,274,223,379,606,6,11,18,373,521,893,2829,2893,5723,16081,17391,33472
2004,1145,1107,2249,2794,2590,5387,1274,1187,2469,352,348,700,4430,4130,8559,2050,1953,4001,867,871,1742,419,459,876,3341,3285,6626,201,272,472,171,310,481,387,233,617,389,569,957,8,9,9,1150,1390,2545,571,1044,1615,228,379,601,90,130,222,295,687,981,6,0,6,1185,2248,3432,2342,3645,5988,156,147,305,202,320,514,3,0,11,364,470,830,2735,2872,5607,14344,15511,29853
2005,106,77,189,299,277,574,26,28,53,28,30,66,351,341,695,245,218,455,24,33,63,41,59,101,310,309,620,15,9,22,14,30,47,24,12,37,42,60,97,0,3,3,101,111,202,22,31,54,16,65,83,3,10,8,48,118,163,0,6,6,92,221,311,188,329,519,5,4,7,12,28,43,3,0,4,22,38,54,909,504,1411,1886,1599,3486
2006,139,130,274,260,237,495,247,223,470,3,0,7,508,454,970,150,148,301,237,219,459,10,8,17,400,374,772,12,17,30,18,24,44,46,23,72,35,58,94,3,4,3,112,128,236,19,48,64,12,28,43,6,13,16,22,52,70,0,0,0,59,141,194,166,264,440,20,17,35,22,32,49,0,0,0,44,51,95,346,346,689,1606,1628,3234
2007,215,210,431,487,479,965,287,280,563,114,89,197,882,842,1728,292,257,550,290,352,639,95,127,222,677,736,1413,24,26,51,22,34,60,94,67,159,64,139,199,0,0,0,206,271,478,40,112,149,14,45,55,5,9,20,35,101,142,0,0,0,91,274,364,300,543,842,15,16,23,32,54,96,0,3,3,49,70,118,707,737,1448,2833,3143,5978
2008,3511,3113,6632,8036,7534,15566,2742,2791,5533,1267,1181,2450,12058,11509,23569,4487,4039,8527,2421,2872,5293,2238,2015,4257,9157,8925,18086,492,566,1061,461,708,1166,1128,582,1715,1174,1508,2685,17,9,24,3274,3372,6644,2714,3712,6425,1169,1476,2646,382,564,949,1125,2254,3381,15,18,32,5405,8032,13437,8686,11414,20104,413,401,815,602,946,1549,15,8,20,1032,1361,2390,7890,6883,14780,42345,43207,85549
2009,310,266,579,844,785,1623,241,217,462,96,96,195,1185,1099,2285,379,372,757,335,288,619,276,222,497,990,882,1875,31,19,48,7,20,29,104,32,140,66,118,177,0,0,4,211,187,398,186,233,423,29,61,92,26,27,55,80,166,243,0,0,0,317,488,808,530,682,1211,17,22,41,44,52,95,0,0,0,54,79,129,475,483,955,3542,3494,7039
