SUA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
2000,376,373,779,895,1061,1014,465,205,47,5221,8954,9979,24775,28625,35151,33041,10074,1513,151,152261,1391,2176,5482,6018,7509,9130,6875,2520,353,41454,35,126,428,582,576,485,104,15,3,2358,1228,1629,3852,4294,5545,5118,1325,144,7,23129,31,127,670,936,1149,1129,217,13,0,4274,1846,3226,7033,6581,6743,5818,1473,122,3,32848,308,441,1046,1298,1701,1661,514,76,5,7041,4484,2675,3649,3908,4968,4732,1448,164,8,26049,5017,2315,2998,2495,2872,2776,984,115,8,19583,175,465,1519,2124,3168,3731,1338,159,6,12690,64,128,383,421,522,472,162,34,0,2174,35,200,771,1104,1270,934,274,50,4,4645,61,185,482,574,721,650,279,51,5,3019,178,653,2054,2975,3136,2757,1351,209,9,13319,204,458,1317,1665,2020,2015,606,75,9,8371,240,805,2976,4090,5134,4463,1047,73,0,18831,421,1106,4171,5666,6394,5629,1635,94,4,25108,612,2458,7333,7849,10342,11410,2890,156,4,43048,415,412,881,911,1068,956,355,53,0,5058
2001,18,17,42,38,44,17,10,0,0,193,340,561,1378,1315,1244,798,179,20,0,5835,3,23,40,34,34,40,11,9,0,187,0,3,8,14,16,20,5,0,0,70,33,33,115,147,186,128,26,0,0,675,4,5,40,49,40,26,7,0,0,170,78,221,549,443,297,189,44,4,0,1823,4,10,60,81,75,58,11,0,0,315,138,183,218,175,187,129,33,7,0,1058,256,122,96,67,39,27,15,0,0,615,8,41,216,262,218,179,55,0,0,979,0,11,31,31,31,25,0,0,0,121,0,14,70,96,77,30,11,0,0,299,5,13,44,31,38,22,6,4,0,166,6,35,179,175,118,77,35,3,0,625,8,25,80,58,76,43,13,3,0,309,5,28,210,237,261,155,35,0,0,937,31,91,310,294,288,167,34,3,0,1221,6,106,326,316,291,249,38,3,0,1341,15,24,44,37,33,24,8,4,0,177
2002,10,12,14,19,29,16,6,5,0,114,212,278,654,599,681,621,173,18,0,3239,9,17,64,36,37,46,29,25,0,265,0,3,4,9,8,8,0,0,0,28,34,66,125,109,112,115,37,4,0,592,0,4,24,21,23,19,0,0,0,91,48,65,166,129,114,102,32,0,0,649,9,16,40,31,42,32,13,3,0,192,130,84,127,115,122,106,29,0,0,726,156,54,77,47,31,47,17,0,0,433,0,6,33,17,61,60,27,3,0,209,0,0,10,7,7,11,4,0,0,38,0,4,9,14,12,19,3,0,0,68,0,5,14,16,22,14,8,0,0,81,0,11,40,52,43,45,33,0,0,225,6,16,44,38,38,30,19,3,0,203,6,6,61,99,82,69,24,0,0,344,9,46,122,111,140,107,29,3,0,570,16,67,244,217,262,270,62,5,0,1146,0,7,13,10,11,15,0,0,0,62
2003,36,64,131,110,116,93,30,13,9,607,1725,2675,5752,5539,5316,4096,888,66,14,26067,33,67,150,129,125,106,74,24,0,715,7,19,116,103,94,45,8,0,0,393,186,272,713,775,951,706,149,9,0,3760,3,22,131,135,129,105,15,0,0,533,292,688,1385,1059,748,646,145,5,0,4966,43,71,192,190,230,179,44,7,0,961,826,895,1138,761,798,675,180,20,0,5292,1265,755,657,469,321,252,70,3,0,3795,13,101,377,369,370,385,133,8,3,1750,26,63,185,181,173,83,28,3,0,729,3,50,188,239,248,133,36,5,0,902,8,45,154,135,114,111,37,12,0,622,28,189,740,775,593,370,112,19,0,2830,35,138,338,275,295,255,73,8,0,1423,16,143,698,927,873,575,109,11,3,3359,125,313,1220,1404,1339,1004,244,14,0,5674,139,878,2414,2155,2190,1848,380,17,0,10016,110,139,218,200,163,113,40,4,0,984
2004,42,62,122,126,106,99,24,11,4,592,1601,2427,5380,4987,4754,3890,865,70,7,23978,23,56,161,153,134,124,84,25,0,751,11,74,282,218,170,103,13,0,0,873,168,387,990,853,778,659,138,7,0,3981,7,39,125,143,139,124,17,0,0,597,250,569,1151,904,760,591,128,14,0,4372,20,61,151,165,189,176,41,8,0,807,850,755,929,707,742,596,169,19,5,4776,1179,595,601,405,318,257,72,7,0,3433,25,70,249,264,351,382,128,17,0,1480,12,61,128,91,98,59,21,0,0,461,14,96,364,525,416,214,40,11,0,1676,14,48,103,94,104,80,30,8,0,481,23,149,519,493,439,268,125,13,0,2028,36,115,286,273,300,277,80,6,0,1368,12,144,566,761,763,584,152,6,0,2986,88,281,954,1029,956,735,178,10,0,4238,115,818,2381,2029,1925,1727,412,18,0,9427,71,115,136,114,118,85,29,7,0,677
2005,7,4,8,13,17,17,7,0,0,71,121,85,331,506,596,535,170,10,0,2349,0,0,10,14,16,15,5,5,0,58,0,0,3,0,3,0,3,0,0,12,17,27,81,84,109,93,26,4,0,443,0,0,3,13,13,7,0,0,0,32,14,33,79,58,81,64,25,0,0,365,0,5,12,9,16,4,8,4,0,58,100,38,46,53,71,79,26,0,0,413,53,33,53,39,39,30,14,0,0,261,0,6,17,16,24,40,10,0,0,119,0,0,8,22,28,12,3,0,0,77,0,3,0,20,19,11,5,0,0,63,0,0,4,12,10,9,8,4,0,46,0,9,41,96,78,57,36,5,0,326,0,5,12,20,22,28,14,0,0,105,0,0,51,105,111,94,25,0,0,390,5,7,52,142,164,120,39,0,0,532,5,23,109,163,208,230,55,3,0,799,3,6,23,34,42,28,11,3,0,153
2006,11,4,14,12,20,12,7,4,3,78,231,263,595,542,587,499,140,8,3,2868,23,32,96,57,42,40,32,9,3,323,0,0,3,8,3,11,3,0,0,25,55,146,359,248,200,144,27,0,0,1174,0,3,11,17,17,15,9,0,0,64,32,57,134,90,78,69,20,0,4,483,3,3,20,18,17,24,12,0,0,100,112,67,110,89,103,90,33,0,0,606,114,39,83,48,46,38,12,0,0,386,0,11,21,38,64,49,13,3,0,199,10,6,16,9,16,12,0,0,0,72,0,6,15,17,19,12,3,0,0,66,0,3,7,9,5,10,4,0,0,45,5,22,26,31,41,31,12,3,0,165,8,15,30,52,52,44,10,3,0,218,5,11,30,59,64,46,21,5,0,239,14,24,80,94,85,79,16,0,0,405,15,49,163,158,214,206,56,0,0,853,17,4,11,10,10,7,6,0,0,60
2007,14,8,18,20,37,21,11,0,0,127,366,403,919,978,1167,984,245,24,6,5081,5,16,55,57,69,62,43,11,5,336,0,0,4,7,8,9,0,0,0,30,65,65,156,194,232,182,45,6,0,941,0,0,23,13,31,26,6,0,0,99,90,129,279,221,239,199,41,4,0,1200,3,14,27,54,54,57,13,5,0,229,163,125,173,151,203,184,60,4,3,1062,258,117,165,156,148,157,40,9,0,1055,10,7,24,34,84,100,42,6,0,310,12,3,3,7,4,3,4,0,0,45,3,11,14,29,53,36,12,0,0,156,0,5,17,20,39,22,10,4,0,114,4,16,76,82,86,51,27,11,0,342,5,11,47,54,54,64,23,0,0,267,9,17,68,139,130,89,27,4,0,484,21,49,156,180,196,152,32,0,0,777,21,129,359,311,391,392,95,6,0,1699,33,23,37,42,33,29,19,0,0,224
2008,92,173,462,429,379,258,91,27,8,1920,4178,6718,15686,15184,14309,10620,2441,194,24,69346,69,121,231,256,289,272,158,61,12,1458,0,17,67,62,83,69,27,0,0,333,362,634,1711,1749,2002,1499,337,30,4,8339,8,60,410,447,412,294,39,3,0,1672,689,1908,4487,3655,2762,1816,432,48,7,15812,75,238,607,788,903,684,163,15,0,3476,2189,2591,3027,2398,2227,1725,479,43,3,14676,3090,1966,1863,1065,841,625,197,27,3,9680,95,299,1087,1137,1152,1193,379,34,0,5377,53,103,269,369,295,170,52,3,0,1317,10,151,1013,1292,1025,499,123,10,4,4126,22,134,400,388,377,286,103,19,0,1731,57,558,2172,2213,1941,1225,554,69,7,8787,97,315,797,867,872,741,254,23,0,3973,44,306,1897,2391,2399,1621,347,42,3,9052,221,810,3055,3654,3201,2462,583,30,0,14009,247,1831,5945,5325,5151,4399,1006,64,0,23966,253,323,546,426,375,250,95,13,0,2285
2009,5,6,26,40,50,22,9,0,0,166,370,357,713,1357,1452,952,235,18,0,5453,9,12,18,23,34,26,17,8,0,148,0,0,3,7,11,3,0,0,0,27,39,33,59,130,190,140,41,4,0,636,0,8,18,41,38,30,0,0,0,132,92,162,285,402,340,240,38,4,0,1571,6,10,14,42,109,69,11,3,0,266,201,116,79,96,160,135,29,9,0,824,222,81,37,44,55,41,10,0,0,496,10,23,66,184,212,189,42,5,0,738,7,4,19,48,48,25,0,0,0,153,0,14,39,142,110,81,13,5,0,396,4,0,18,45,40,22,9,0,0,145,10,32,112,257,237,160,72,11,0,891,8,20,26,78,79,60,23,8,0,288,6,33,137,238,293,191,43,0,0,938,24,44,173,318,317,269,63,7,0,1218,30,89,187,328,365,228,71,3,0,1301,28,25,32,42,35,37,13,0,0,210
