SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2000,298872,299168,598038,116145,59544,175684,37025,78133,115158,12364,14590,26953,6728,5122,11847,172260,157388,329643,102181,118894,221080,3.9,3.3,3.6,57.6,52.6,55.1,55.4,50.9,53.1,7058,9731,16779,4236,10107,14349,23682,40781,64465,21003,33507,54511,82585,38978,121562,2566,4854,7420,3913,5235,9146,89068,49066,138128,284788,284101,568884,39334,40710,80045,199120,195952,395075,110275,114827,225106
2001,9369,10187,19557,4765,2685,7452,1115,2642,3753,381,505,888,243,259,510,6513,6101,12607,2470,3651,6123,3.8,4.3,4,69.5,59.8,64.4,66.8,57.3,61.9,283,400,685,118,356,474,871,1425,2297,815,1253,2073,2798,1450,4253,82,165,240,115,195,309,3000,1807,4803,9745,10220,19966,1671,1741,3413,6076,6239,12317,4639,5069,9704
2002,6081,6900,12979,2203,1236,3443,800,1752,2552,227,253,477,175,119,297,3406,3360,6770,2209,2996,5204,5.2,3.6,4.4,56.1,48.7,52.2,53.2,47,49.9,113,166,280,71,193,265,409,747,1161,429,756,1184,1648,967,2618,53,120,180,84,104,184,1785,1192,2984,5860,6470,12327,959,1057,2016,3665,4088,7750,2756,3061,5813
2003,43024,47933,90958,18489,10683,29176,6144,13240,19385,1486,2138,3622,1417,1187,2603,27542,27254,54790,13142,18157,31297,5.2,4.4,4.8,64,56.9,60.2,60.7,54.4,57.4,2093,2488,4584,987,1978,2964,5605,8022,13627,3399,4927,8327,10383,6309,16692,445,716,1153,486,746,1237,11315,7761,19080,41786,45435,87219,8542,9179,17723,25670,27896,53567,21877,23943,45821
2004,39492,44151,83646,16901,9879,26783,5547,12148,17692,1335,1948,3282,1183,960,2144,24967,24941,49903,12401,16948,29351,4.8,3.8,4.3,63.2,56.5,59.7,60.2,54.3,57.1,1379,1748,3131,775,1771,2546,4388,6927,11312,3088,4531,7623,10285,6103,16387,404,718,1121,484,756,1233,11172,7579,18746,39421,42483,81903,6718,7562,14282,24862,26415,51280,18634,20990,39629
2005,4743,4999,9742,1318,795,2111,763,1374,2133,128,176,311,96,87,185,2305,2436,4738,2124,2132,4255,4.3,3.5,3.9,48.6,48.7,48.7,46.5,47,46.8,333,469,802,153,329,482,692,995,1683,401,552,953,834,416,1243,35,53,87,57,69,130,919,540,1462,4025,4522,8545,617,705,1323,2635,2991,5624,1788,2056,3845
2006,5120,5461,10580,2243,1134,3375,630,1471,2101,185,267,451,118,62,182,3173,2935,6104,1675,2266,3937,3.7,2.1,2.9,61.9,53.7,57.7,59.6,52.6,56,74,105,179,51,101,150,322,559,877,294,519,811,1346,871,2220,50,75,120,56,81,141,1458,1030,2483,5061,5351,10415,750,734,1481,3410,3598,7005,2102,2190,4292
2007,8928,9829,18753,3626,2002,5625,1089,2616,3710,366,472,834,195,180,380,5278,5261,10540,3058,3934,6991,3.7,3.5,3.6,59.1,53.5,56.2,56.9,51.7,54.2,146,219,362,94,276,377,678,1220,1901,535,966,1499,2661,1301,3960,62,110,165,105,157,259,2824,1567,4390,8513,9207,17721,1515,1673,3188,5493,5964,11455,3994,4431,8424
2008,114008,123112,237121,49705,28084,77787,16758,35393,52150,4084,5868,9954,3429,2836,6263,73978,72183,146164,34373,45075,79452,4.6,3.9,4.3,64.9,58.6,61.6,61.9,56.3,59,6271,6574,12847,2287,5125,7417,16941,23376,40319,10336,14406,24742,27165,15126,42293,921,1475,2398,1369,2089,3453,29456,18692,48145,110458,117228,227694,20914,22725,43645,67742,72179,139914,56273,60758,117038
2009,8530,8914,17437,4220,2275,6495,1146,2735,3879,357,443,799,181,171,356,5907,5624,11525,2249,2858,5106,3,3.1,3.1,69.2,63.1,66.1,67.1,61.2,64.1,450,549,997,237,495,736,1228,1809,3034,902,1116,2021,2323,884,3206,59,100,160,131,185,318,2513,1171,3686,9322,9456,18782,1098,1138,2230,6499,6571,13073,3372,3478,6852
