SUA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
2000,657,887,216,102,104,57,73,130,33,2249,465,779,338,97,132,98,90,171,38,2199,5470,2501,14234,745,850,828,3948,3251,516,32335,3181,495,8171,300,227,261,1150,1800,277,15876,5797,951,1738,249,265,345,986,1625,184,12136,572,2200,228,910,103,69,113,185,38,4425,922,2676,257,424,119,80,175,175,46,4877,3875,2343,703,532,992,923,602,729,159,10849,1108,1642,366,1958,317,217,253,453,102,6421,377,782,367,191,129,167,111,289,26,2435,738,95,1765,268,119,235,451,718,60,4447,16,9,12,3,3,3,8,38,0,92,420,253,296,204,99,68,285,248,80,1966,985,183,1089,242,122,223,670,816,558,4891,24585,15794,29762,6231,3577,3591,8916,10622,2124,105203,494,815,305,254,354,117,16,136,28,2522,158,165,39,56,169,34,11,61,8,697,293,286,229,141,201,116,121,282,31,1705,144,290,160,77,125,71,12,60,15,959,1191,714,559,347,600,313,107,716,49,4583
2001,12,40,10,5,5,5,3,9,0,84,29,80,28,11,16,13,16,5,6,205,172,108,591,44,39,40,174,111,14,1296,67,18,477,7,19,11,48,75,12,727,24,11,38,11,7,3,13,21,3,126,14,52,6,28,7,9,3,6,5,121,25,118,8,12,9,3,6,0,3,181,153,118,45,39,87,39,69,28,4,583,36,48,17,98,27,15,16,12,3,284,15,28,19,8,12,13,10,11,0,119,14,5,50,14,12,10,20,18,0,126,0,0,0,0,0,0,0,0,0,5,12,8,24,7,5,4,15,16,0,88,22,3,44,7,11,6,22,18,32,162,590,639,1364,288,253,164,414,320,78,4113,15,32,22,18,22,11,0,4,0,115,9,27,8,9,13,5,0,4,0,76,7,19,11,3,14,4,12,0,6,75,8,16,10,7,14,9,0,0,0,59,4,9,17,4,15,3,4,3,0,60
2002,9,10,3,0,0,0,0,5,0,37,9,11,9,4,3,8,4,0,0,44,65,43,274,6,19,19,81,72,9,591,49,4,170,6,0,18,20,35,3,307,31,17,22,6,6,14,12,14,3,126,8,92,11,20,4,0,8,3,0,149,11,50,0,6,5,3,0,3,0,84,65,51,21,8,32,34,12,15,4,242,11,42,8,47,4,5,6,15,3,132,0,15,4,7,3,3,4,9,0,45,9,4,34,8,10,6,10,21,0,106,0,0,0,0,0,0,0,3,0,4,7,4,8,0,0,3,0,5,0,30,7,0,18,8,4,5,10,17,13,82,295,337,580,128,99,119,167,213,39,1971,7,17,5,0,9,0,0,0,0,31,3,3,0,0,4,0,0,3,0,15,9,0,5,5,10,0,6,0,0,28,0,6,4,7,4,0,0,0,0,15,3,14,0,6,11,5,0,5,0,50
2003,70,204,50,37,26,20,10,29,7,460,153,421,136,28,83,42,58,52,11,977,582,492,1773,121,139,138,418,354,44,4069,344,76,1471,43,36,50,135,211,32,2407,141,81,169,17,34,29,66,76,9,628,90,866,63,216,42,26,19,36,11,1372,154,706,36,94,43,23,23,17,12,1102,800,757,179,157,340,256,148,138,26,2808,152,465,64,477,115,64,69,91,15,1513,69,249,89,50,61,66,38,56,8,695,107,12,336,65,42,48,76,108,9,800,0,0,3,0,0,0,0,11,0,16,60,56,56,36,26,13,41,25,14,324,57,33,118,36,17,26,60,72,70,482,2777,4426,4547,1384,1007,806,1154,1281,267,17650,54,165,49,39,69,28,3,9,4,420,32,67,18,19,47,14,9,15,0,225,34,46,36,22,38,17,24,37,0,256,19,55,34,9,19,13,0,10,0,160,31,44,40,29,43,36,5,27,5,255
2004,50,160,36,24,25,13,17,23,3,340,112,288,107,19,45,29,24,40,10,682,454,475,1760,106,130,128,426,392,53,3936,364,79,1245,54,51,54,170,231,24,2274,130,77,161,26,23,26,65,109,6,617,79,850,46,210,34,28,25,35,12,1306,95,599,41,106,29,18,34,27,7,974,608,590,129,131,314,200,126,121,18,2238,136,369,54,476,75,51,50,88,25,1316,47,131,57,45,20,39,22,46,6,415,91,14,322,73,27,42,72,110,11,764,4,0,5,3,3,0,0,8,0,19,35,44,45,34,16,13,37,24,14,262,34,30,98,25,10,30,64,69,90,446,2249,3710,4094,1327,803,675,1142,1315,269,15592,44,124,60,28,55,13,4,18,0,347,17,45,8,8,37,11,0,14,0,140,29,61,27,24,37,11,28,51,0,272,19,39,36,12,22,13,0,3,0,144,35,43,39,22,43,28,4,37,0,257
2005,9,31,10,0,3,0,0,4,0,54,10,25,0,0,6,0,0,3,0,48,41,39,143,25,13,9,34,28,6,336,27,25,96,5,3,3,6,10,0,181,10,28,16,3,4,0,3,0,0,66,10,63,7,15,3,0,0,3,0,94,11,80,6,11,0,3,0,3,0,114,57,44,8,7,26,10,6,5,0,164,28,100,8,40,17,4,7,17,4,224,14,75,30,13,7,9,6,13,0,163,6,0,30,0,0,3,0,4,0,51,0,0,0,0,0,0,0,0,0,0,14,11,4,0,4,3,4,6,0,44,9,4,15,5,0,4,8,9,5,51,237,531,375,128,83,52,69,105,24,1593,6,20,6,3,6,4,0,3,0,43,4,0,0,0,0,0,0,0,0,7,6,3,3,0,5,0,0,6,0,22,10,20,9,0,5,0,0,0,0,42,10,15,9,5,3,0,0,3,0,44
2006,11,7,0,0,0,0,0,0,0,35,3,8,11,0,0,0,0,9,0,39,48,14,228,10,15,16,83,67,11,485,50,5,142,0,5,9,9,36,3,267,19,11,15,4,0,4,25,20,4,104,6,46,6,9,5,0,0,8,0,65,9,39,5,5,0,0,4,7,0,67,48,49,14,8,24,14,10,41,0,206,11,16,3,51,8,0,7,17,0,113,4,9,7,0,0,0,0,7,0,41,8,0,48,4,6,6,14,36,3,124,0,0,0,0,0,0,0,3,0,3,10,0,0,3,3,0,4,6,0,28,7,0,14,0,5,5,12,28,14,84,240,208,495,94,69,58,185,287,36,1664,6,6,9,6,5,5,0,4,0,26,0,0,0,0,0,0,0,7,0,6,0,4,0,0,0,0,4,10,0,23,0,6,3,0,0,0,0,0,0,12,7,5,3,3,0,6,0,10,0,38
2007,9,13,5,3,0,0,0,3,0,39,12,15,10,0,6,4,0,8,0,55,166,90,471,23,22,34,101,97,8,1021,102,6,308,3,9,8,27,50,8,529,73,31,60,6,11,10,32,31,0,259,16,96,5,35,0,0,5,4,0,158,22,101,7,16,3,3,5,3,0,165,127,101,30,15,21,37,18,16,11,374,20,35,11,84,11,3,3,17,0,187,3,10,10,3,5,6,0,3,0,39,26,0,101,12,0,10,19,27,0,200,0,0,0,0,0,0,0,4,0,9,10,9,11,3,0,0,9,9,0,50,17,5,21,4,3,7,24,26,17,125,613,503,1047,218,88,136,250,297,44,3202,13,26,7,8,7,5,4,6,0,66,0,0,0,0,3,0,0,3,0,14,5,7,3,0,0,3,0,7,0,31,0,12,9,0,4,3,0,6,0,24,6,13,7,5,7,11,0,4,0,49
2008,268,630,164,107,88,70,41,89,16,1480,385,946,291,65,141,101,126,127,36,2215,1566,2021,4731,416,398,351,1212,1075,159,11930,1126,476,4526,200,188,152,423,811,121,8007,291,195,530,39,78,71,129,174,35,1535,293,2092,190,604,111,73,90,102,27,3572,325,1657,114,261,65,49,76,69,18,2622,2389,2141,506,465,907,675,485,373,102,8041,514,1149,240,1218,290,184,177,262,61,4102,229,659,230,160,93,157,109,155,20,1811,262,43,900,144,76,117,217,275,23,2057,7,6,8,4,4,3,4,11,0,40,124,165,155,127,58,39,109,79,39,891,150,96,350,87,55,70,136,203,238,1387,7926,12274,12933,3902,2559,2088,3325,3805,888,49693,190,566,208,176,224,107,24,63,15,1567,64,174,50,71,94,26,14,40,6,535,97,260,87,82,103,70,59,112,21,888,95,302,161,65,121,85,15,49,5,901,81,141,97,67,107,65,13,71,3,640
2009,30,49,16,7,3,3,4,3,0,113,39,67,14,5,8,0,0,5,0,140,243,229,537,32,47,32,104,66,16,1310,111,39,413,12,7,4,32,49,8,670,32,21,45,3,7,7,11,18,0,139,14,99,13,39,3,0,4,6,0,169,39,119,10,17,11,4,6,8,3,213,287,161,43,26,75,41,28,30,10,692,43,105,15,92,18,13,7,10,5,310,20,48,16,15,10,10,7,6,0,126,19,5,33,0,3,4,7,15,0,87,0,0,0,0,0,0,0,0,0,3,14,21,12,19,7,8,11,0,0,97,18,3,33,4,0,3,10,11,20,106,913,973,1182,267,192,134,230,228,69,4189,27,60,20,13,24,8,3,3,0,157,10,14,0,0,7,3,0,0,0,40,7,25,12,10,10,5,0,0,0,83,11,25,16,5,12,6,0,0,0,65,14,17,15,6,15,3,4,4,0,80
