SUA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2000,673,691,1363,15813,15017,30829,1086,1018,2110,17570,16730,34298,736,667,1404,18542,17268,35811,1524,1391,2911,20806,19324,40125,724,697,1423,20110,18853,38961,1658,1547,3207,22496,21094,43590,583,564,1146,18073,16521,34597,1449,1363,2805,20096,18448,38547,445,443,892,14352,12558,26909,1145,966,2108,15950,13966,29910,400,376,778,14983,14740,29717,1184,1135,2316,16567,16245,32806,388,374,763,16131,16761,32899,1265,1198,2469,17790,18335,36126,371,341,710,16766,17880,34647,1450,1418,2866,18587,19641,38230,318,315,631,17291,17879,35171,1465,1362,2826,19076,19552,38626,325,300,628,19729,20372,40104,1640,1509,3155,21696,22183,43878,357,390,743,22228,23221,45452,1840,1595,3431,24430,25203,49630,343,349,698,24388,25519,49909,1957,1654,3617,26696,27521,54219,316,304,620,26826,27330,54155,1973,1794,3769,29119,29426,58544,535,527,1059,82137,82135,164274,6201,5989,12191,88872,88653,177520,6519,6327,12851,327376,326049,653428,25840,23935,49775,359738,356315,716050
2001,17,28,47,795,741,1542,35,25,60,846,797,1646,24,20,44,871,781,1651,39,31,69,937,827,1760,21,29,56,867,772,1641,23,29,56,914,835,1748,17,19,31,649,645,1291,28,32,62,696,690,1388,14,7,20,652,672,1320,21,21,40,684,697,1376,16,9,21,792,825,1621,36,29,68,849,864,1715,12,15,31,845,913,1763,32,36,64,886,966,1858,13,14,27,843,889,1729,35,28,63,892,927,1816,15,13,27,765,787,1549,23,24,47,802,821,1626,10,4,13,685,789,1476,35,27,59,728,819,1545,6,7,17,748,769,1514,29,28,51,782,799,1580,10,7,20,634,657,1294,27,33,56,671,700,1367,3,3,13,559,681,1245,20,20,42,586,704,1293,9,8,16,1723,2094,3819,63,87,150,1798,2195,3990,198,183,379,11431,12018,23450,442,444,887,12067,12651,24717
2002,40,49,90,392,365,752,28,22,51,463,432,892,49,48,93,382,369,745,39,31,69,463,447,912,58,41,95,359,378,735,29,41,67,442,452,899,51,32,84,366,346,709,24,20,47,442,396,842,30,34,61,347,337,682,28,23,49,404,393,795,27,23,47,372,431,804,24,23,45,424,479,901,28,20,48,385,416,805,26,32,57,446,464,909,24,14,38,339,360,704,24,23,45,394,396,789,15,17,33,301,395,700,25,32,63,343,449,792,14,23,36,370,411,778,23,33,52,412,463,874,13,24,33,375,457,831,28,19,47,416,501,908,16,14,28,377,485,858,19,25,43,409,530,934,5,9,15,460,525,985,44,29,67,508,569,1073,13,27,35,1775,2098,3875,108,147,252,1892,2273,4167,378,368,750,6601,7364,13966,472,496,968,7449,8232,15684
2003,143,135,279,3020,2965,5984,124,139,264,3289,3244,6523,118,126,248,3413,3201,6619,198,134,329,3733,3462,7198,122,121,245,3469,3274,6747,170,129,301,3764,3527,7294,104,89,194,3186,3115,6299,155,167,323,3449,3367,6815,85,107,192,3244,3335,6576,186,176,360,3513,3611,7130,101,98,196,3678,3708,7391,208,208,416,3989,4020,8004,55,63,113,3433,3547,6979,156,143,297,3643,3753,7395,54,52,108,3207,3544,6752,138,153,293,3401,3753,7160,28,55,85,2965,3380,6346,144,146,293,3141,3580,6720,42,48,91,3057,3404,6467,139,142,286,3243,3598,6842,33,38,76,3002,3355,6358,164,128,288,3194,3525,6724,40,37,76,2973,3288,6259,139,126,257,3155,3442,6600,26,34,61,2811,3309,6124,132,112,242,2971,3452,6423,47,57,106,8837,11225,20066,443,535,981,9333,11819,21146,1008,1072,2081,50315,54649,104963,2486,2447,4934,53805,58167,111973
2004,134,138,275,2847,2791,5636,138,144,279,3118,3074,6186,170,160,339,3050,2938,5979,179,159,345,3404,3256,6661,155,122,274,3132,2836,5971,168,126,301,3454,3092,6545,92,111,206,2760,2727,5491,130,154,289,2984,2996,5980,105,126,228,2935,3039,5974,152,132,285,3196,3295,6489,104,113,224,3157,3324,6476,186,190,376,3449,3631,7077,73,89,160,3036,3385,6421,162,158,320,3277,3634,6903,54,63,121,2956,3231,6184,149,165,310,3153,3459,6611,52,47,92,2639,2945,5587,136,153,293,2823,3145,5965,40,63,107,2711,2997,5709,150,152,305,2901,3209,6112,57,49,108,2667,2996,5668,136,110,250,2863,3156,6020,45,50,93,2627,3044,5670,121,146,271,2795,3241,6037,40,29,65,2675,3163,5839,141,134,275,2853,3324,6176,57,76,137,8712,10466,19174,427,527,955,9203,11061,20264,1181,1239,2416,45902,49874,95777,2386,2461,4842,49462,53577,103034
2005,7,6,8,236,200,440,13,7,18,260,216,469,8,6,12,263,252,512,14,20,30,277,282,560,6,5,10,286,245,536,26,21,39,313,268,582,8,6,19,229,229,459,23,7,38,260,245,510,6,3,12,185,119,303,13,9,17,202,128,334,18,4,15,249,172,429,13,4,21,275,179,460,9,0,14,319,241,560,12,15,24,338,258,595,10,0,13,335,308,650,16,12,33,361,330,690,3,0,3,331,312,643,17,15,28,348,329,679,6,6,6,332,362,695,25,25,43,360,389,755,7,8,11,365,370,727,17,25,40,385,395,778,4,0,6,337,403,741,10,23,29,352,428,781,8,4,5,394,408,803,22,21,38,420,429,847,6,10,12,1321,1700,3019,115,175,286,1445,1878,3321,92,55,153,5189,5329,10515,314,372,684,5598,5759,11352
2006,3,9,15,331,308,639,21,22,40,356,336,690,18,19,34,360,300,659,14,24,37,390,346,730,12,5,13,363,340,698,21,17,37,392,358,751,15,7,22,335,326,661,9,10,21,358,347,704,8,4,15,336,310,646,13,7,18,356,326,677,14,7,19,415,387,801,22,19,42,454,409,858,4,6,11,380,371,749,25,20,40,407,391,800,10,5,12,356,339,694,18,18,33,382,361,741,3,4,7,317,319,632,10,12,30,336,336,673,4,4,7,343,330,669,13,10,30,358,344,705,0,11,12,349,396,746,19,14,31,367,415,786,8,3,10,335,374,709,11,18,32,355,390,746,0,8,5,371,406,775,12,14,23,382,424,809,6,13,17,1297,1611,2909,73,90,157,1372,1714,3087,95,101,197,5876,6114,11994,284,287,568,6256,6503,12756
2007,48,36,79,534,506,1040,31,23,53,611,563,1175,48,50,95,558,544,1101,28,30,60,642,616,1256,53,64,119,587,591,1179,46,33,83,685,692,1377,43,47,89,598,544,1137,33,26,55,679,608,1284,31,42,72,455,473,927,31,24,51,510,542,1051,24,30,51,518,514,1028,40,33,77,584,573,1156,30,28,56,490,584,1070,38,31,67,555,641,1197,20,17,32,516,581,1093,25,30,57,563,626,1189,13,11,31,462,566,1032,25,33,59,503,612,1116,25,22,47,587,636,1226,44,24,68,654,683,1341,17,27,46,609,702,1315,35,36,72,661,765,1424,17,19,34,594,712,1305,34,43,78,641,774,1416,10,27,39,753,799,1549,42,40,84,805,864,1670,22,37,64,2567,2880,5448,175,218,394,2770,3132,5907,401,457,857,9829,10626,20457,629,626,1255,10860,11712,22568
2008,181,172,353,8224,7815,16036,286,269,557,8681,8255,16936,212,201,412,8684,8210,16891,401,387,785,9296,8798,18097,189,200,380,8387,7946,16333,393,367,760,8965,8514,17481,159,186,348,7859,7454,15313,334,319,658,8352,7959,16313,180,182,357,8569,8291,16864,449,396,844,9198,8867,18066,188,135,323,9634,9258,18891,466,431,898,10287,9827,20112,128,120,244,9253,9770,19025,432,369,799,9810,10261,20067,110,101,216,9146,9804,18948,376,391,773,9630,10304,19936,97,106,201,8170,8752,16929,360,390,749,8629,9248,17881,85,100,180,8454,9064,17520,397,349,744,8933,9513,18450,94,86,184,7837,8607,16443,332,313,644,8260,9005,17270,71,65,136,7632,8566,16199,318,282,608,8023,8914,16936,44,58,102,7498,8640,16136,303,292,601,7844,8995,16839,91,110,199,23822,28773,52598,1122,1329,2454,25038,30215,55253,1820,1821,3639,133162,140956,274120,5977,5896,11871,140950,148681,289630
2009,11,14,22,609,622,1231,21,12,33,641,645,1294,15,13,26,854,775,1629,36,14,49,907,805,1712,19,10,26,867,791,1656,46,36,86,932,834,1763,7,6,14,793,670,1466,33,33,65,835,711,1544,9,9,14,495,421,909,20,26,43,522,448,970,5,3,9,353,367,720,15,13,34,372,386,760,6,0,6,443,485,932,14,10,24,461,498,964,7,3,8,623,776,1400,21,28,47,650,807,1461,11,5,15,726,788,1515,39,32,72,774,834,1604,4,4,13,775,849,1620,33,41,74,811,895,1710,9,10,13,753,836,1589,32,37,67,791,878,1668,8,0,3,715,759,1475,43,19,68,764,780,1542,5,0,4,688,661,1350,23,30,51,716,691,1406,4,3,15,1742,1895,3638,76,85,162,1826,1981,3809,113,84,196,10438,10691,21137,449,423,871,11006,11198,22200
