SUA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
2000,2238,44,14,62,2299,529,15,2839,21,5,0,10,35,0,0,0,40,4,73,111,13816,1995,454,367,16631,160,62,224,16855,1164,110,18128,3612,393,74,39,4115,27,12,36,4150,182,7,4334,4175,655,104,62,4999,29,13,43,5040,258,3,5301,213,44,63,3,314,3,0,3,323,21,0,342,54,12,0,101,169,0,0,0,169,10,4,186,8055,1100,237,207,9601,58,21,82,9680,472,19,10168,35,8,3,0,49,7,6,6,56,9,0,72,56,9,0,0,72,3,0,8,77,13,0,88,93,14,10,4,126,13,6,15,136,23,0,162,8156,1120,248,209,9724,75,26,96,9820,493,19,10323,1014,205,44,45,1309,27,15,41,1350,352,9,1705,19,5,3,11,33,0,0,0,33,0,54,90,9178,1326,294,259,11057,97,39,135,11194,843,83,12117,4570,488,104,45,5203,38,14,45,5249,266,10,5522,4950,873,137,81,6043,30,16,48,6089,292,6,6389
2001,111,0,4,0,114,6,0,128,0,0,0,0,0,0,0,0,0,0,3,9,604,66,22,25,708,4,4,5,710,23,8,745,169,15,4,0,183,4,0,4,189,13,0,203,156,16,0,0,174,0,0,0,174,0,0,172,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,4,8,0,0,0,8,0,0,9,332,27,3,7,370,4,0,4,377,18,0,400,7,0,0,0,6,0,0,0,10,0,0,10,7,0,0,0,5,0,0,0,5,0,0,5,12,7,0,0,13,0,0,0,16,0,0,16,343,31,9,7,387,5,0,5,393,18,0,411,45,3,0,0,53,0,0,0,53,8,0,65,0,0,0,0,3,0,0,0,3,0,5,8,393,32,8,6,445,5,0,4,446,29,4,481,170,22,8,0,198,0,0,3,204,13,0,215,151,16,3,0,175,0,0,0,175,8,0,182
2002,45,0,0,0,45,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,239,49,6,4,298,0,0,3,300,33,0,331,46,6,0,0,52,0,0,0,52,9,0,60,66,16,4,4,87,0,0,0,87,8,0,101,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,117,27,0,7,150,0,0,0,150,17,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,27,0,7,148,0,0,0,148,17,0,162,30,0,0,0,40,3,0,3,37,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,148,25,3,7,188,3,0,3,191,21,0,210,76,9,0,3,88,0,0,0,88,6,0,94,89,19,4,0,109,0,0,0,109,15,0,121
2003,376,13,0,11,388,69,0,462,0,0,0,0,4,0,0,0,4,0,9,12,2275,311,55,19,2657,33,8,40,2693,166,14,2875,546,69,14,0,630,0,6,3,639,30,0,669,660,87,7,3,754,5,4,10,770,38,0,805,45,3,6,0,52,0,0,0,52,4,0,56,3,0,0,0,11,0,0,0,11,0,7,14,1263,160,22,9,1448,7,10,16,1469,75,6,1548,6,0,0,0,6,8,0,8,10,0,0,12,23,4,0,0,23,0,0,0,20,0,0,26,30,4,0,0,28,5,0,5,37,3,0,36,1292,159,22,11,1484,13,10,24,1501,74,6,1583,172,36,5,8,217,11,0,11,221,60,0,282,0,0,0,0,0,0,0,0,0,0,7,5,1461,198,29,13,1694,22,10,29,1721,136,8,1869,741,87,14,3,839,3,0,7,845,44,0,892,745,116,16,6,882,15,8,13,895,36,0,933
2004,333,10,0,10,343,80,0,423,3,0,0,0,7,0,0,0,7,0,7,15,1940,246,53,29,2269,30,5,39,2305,163,14,2488,494,54,11,0,560,7,0,10,570,27,0,595,590,98,12,5,697,6,0,6,708,24,0,736,30,3,4,0,36,5,0,5,35,4,0,44,8,0,0,6,13,0,0,0,13,5,3,22,1119,151,26,12,1315,17,3,20,1332,62,5,1392,4,5,0,0,9,0,0,0,10,0,0,10,22,4,0,0,25,0,0,0,26,3,0,32,26,3,0,0,33,0,0,0,39,3,0,41,1146,156,26,12,1340,17,3,24,1367,65,5,1437,153,28,5,0,188,4,0,8,198,68,0,268,0,0,0,0,0,0,0,0,0,0,5,13,1303,187,32,17,1532,23,7,32,1566,131,12,1707,684,82,19,0,777,4,5,7,790,36,0,826,673,110,13,0,803,4,0,3,802,32,0,838
2005,24,0,0,0,24,5,0,29,0,0,0,0,0,0,0,0,0,0,0,6,122,50,6,4,180,0,0,3,184,12,0,200,34,11,0,0,44,0,0,0,47,10,0,49,53,18,4,0,71,3,0,3,78,5,0,81,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,85,30,4,0,120,3,0,6,124,11,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,34,4,0,122,3,0,6,126,11,0,132,7,0,0,0,11,0,0,0,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,96,32,0,0,133,3,0,6,131,12,0,148,48,10,0,0,60,0,0,0,60,3,0,57,53,33,0,0,84,0,0,0,86,8,0,94
2006,30,0,0,0,30,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,257,33,3,4,289,0,0,0,289,13,0,308,65,3,0,0,68,0,0,0,70,4,0,71,73,10,6,0,88,0,0,0,88,0,0,89,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,140,13,3,0,159,0,0,0,162,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,144,13,3,0,162,0,0,0,159,0,0,165,11,0,0,0,15,0,0,0,15,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,157,14,5,0,175,0,0,0,184,8,0,191,89,12,3,0,101,0,0,0,101,3,0,99,82,8,3,0,99,0,0,0,97,6,0,108
2007,60,0,0,0,62,9,0,72,0,0,0,0,0,0,0,0,0,0,0,0,459,48,9,8,525,0,4,8,535,19,3,564,127,12,0,0,144,0,0,3,148,4,0,151,132,11,0,3,150,0,0,0,149,5,0,156,6,0,0,0,5,0,0,0,8,0,0,8,0,5,0,0,6,0,0,0,6,0,0,6,261,30,0,3,303,3,0,3,303,13,0,319,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,6,0,0,6,260,30,0,3,305,3,0,4,306,13,0,316,24,5,0,0,31,0,0,0,31,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,286,36,0,10,333,3,0,4,336,16,0,352,183,23,3,0,213,0,0,0,209,3,0,212,175,23,0,0,207,0,0,0,209,6,0,210
2008,947,19,9,21,972,193,0,1169,4,3,0,3,5,0,0,0,5,0,17,28,5816,916,154,73,6957,66,23,87,7050,413,27,7491,1338,181,27,5,1553,27,0,26,1581,78,4,1664,1827,227,35,8,2095,30,3,35,2130,56,0,2183,83,14,13,0,105,0,0,5,110,9,0,123,13,0,0,22,37,0,0,0,37,0,0,37,3252,421,76,38,3793,54,10,64,3855,145,4,4000,17,3,10,0,27,4,0,4,35,3,0,40,42,3,0,0,47,3,0,3,49,0,0,52,62,9,10,0,78,8,0,8,78,11,0,93,3309,435,79,38,3866,59,10,70,3932,147,4,4089,466,86,14,13,584,10,0,11,593,126,3,725,5,0,0,4,8,0,0,0,8,0,10,21,3784,522,90,57,4457,72,11,82,4538,280,14,4839,1775,240,34,9,2057,33,6,39,2097,103,0,2201,2127,290,41,8,2474,22,4,25,2500,82,3,2587
2009,98,0,0,0,98,10,0,110,3,0,0,0,3,0,0,0,3,0,0,3,698,84,9,13,801,12,0,12,817,25,0,839,173,17,5,0,196,0,0,0,194,7,0,204,219,24,6,0,253,5,0,5,257,0,0,257,14,0,0,0,12,0,0,0,12,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,403,38,14,4,465,11,0,11,476,7,0,482,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,0,3,11,0,0,10,9,0,0,0,9,3,0,3,11,0,0,10,410,38,14,4,472,8,0,8,483,8,0,497,32,8,0,3,43,3,0,3,44,3,0,50,0,0,0,0,0,0,0,0,0,0,7,4,444,50,12,10,517,11,0,11,529,13,7,547,239,24,7,0,269,3,0,3,273,11,0,286,272,32,7,3,317,0,0,0,319,6,0,326
