SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2000,306,188,487,438,274,718,55,17,67,25,28,55,82,60,138,103068,84613,187683,6039,6007,12048,3027,91,3118,853,162,1014,993,374,1367,1338,613,1957,7597,6346,13939,123818,98782,222602,41,23,67,0,0,0,14,23,30,146,70,217,28,22,51,33,8,36,264,141,399,0,0,0,4,0,4,43,32,72,28,50,82,20,18,32,93,97,195,1149,490,1638,1505,728,2234,70,43,116,9,5,22,95,23,119,180,74,256,25290,29434,54724,13025,21749,34774,1707,1503,3210,165532,152261,317796
2001,102,68,168,4,14,17,0,4,4,0,0,0,0,5,5,4172,3033,7203,269,202,475,98,0,107,19,5,16,14,5,23,18,18,33,81,100,175,4774,3449,8229,10,3,15,0,0,0,9,7,13,18,16,35,4,6,13,0,0,3,40,36,72,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,5,15,37,17,54,79,61,135,9,13,23,0,0,0,3,0,0,11,14,27,853,1406,2258,514,881,1396,27,24,59,6266,5835,12099
2002,4,0,4,3,7,9,4,0,4,0,0,0,6,9,17,2288,2077,4364,169,178,349,47,0,50,8,0,8,38,11,50,22,9,30,96,106,206,2683,2405,5089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,5,24,20,50,20,31,47,0,0,0,0,0,0,5,0,5,5,0,5,234,363,598,262,416,673,27,33,60,3233,3239,6475
2003,94,43,142,114,166,283,12,0,15,3,0,3,78,82,159,17187,14977,32161,1186,1325,2512,202,8,208,71,8,86,243,64,305,94,40,134,601,631,1229,19898,17352,37247,3,9,11,0,0,0,10,8,21,35,13,48,0,0,3,13,0,12,64,31,90,0,0,0,0,0,0,6,4,8,9,26,34,7,16,22,24,41,66,171,117,285,259,187,445,18,17,32,7,10,11,12,0,12,32,25,57,3609,4415,8025,2181,3966,6143,139,123,262,26116,26067,52182
2004,44,29,68,149,193,338,6,4,14,7,0,5,34,31,62,16246,14231,30482,1084,1245,2328,245,5,250,117,17,137,220,98,314,83,52,137,553,557,1113,18788,16457,35246,7,0,7,0,0,0,0,0,3,9,5,12,4,4,4,10,0,11,22,16,38,0,0,0,0,0,0,8,10,14,21,29,54,8,9,14,36,48,82,148,101,244,210,161,370,3,7,14,8,9,13,6,4,7,24,15,34,2654,3622,6273,1989,3636,5620,119,89,206,23776,23978,47758
2005,22,26,53,3,0,10,5,0,5,0,0,0,0,6,10,1123,1047,2173,72,81,159,30,0,30,9,0,9,52,34,88,11,0,16,107,90,193,1441,1302,2740,5,5,6,0,0,0,3,0,3,0,0,3,0,0,0,8,4,16,19,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,10,31,11,41,0,0,0,0,0,0,0,0,0,0,5,0,513,656,1174,205,371,577,11,11,23,2209,2349,4557
2006,0,5,4,4,3,7,0,0,0,0,0,0,19,4,27,2256,1763,4017,160,222,381,20,0,16,10,0,10,34,11,41,12,9,23,128,135,268,2643,2157,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,36,24,15,40,0,0,0,0,0,0,3,0,3,3,4,9,126,244,367,234,441,670,21,20,35,3057,2868,5923
2007,3,0,3,8,4,11,0,0,0,0,0,0,3,11,13,3649,3213,6857,259,264,522,61,0,62,22,5,27,76,24,102,23,11,40,136,171,307,4237,3704,7940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,7,5,3,10,38,20,61,43,24,72,0,0,0,0,0,0,4,0,4,4,0,4,331,553,885,421,756,1176,47,42,91,5083,5081,10162
2008,448,270,721,403,642,1047,35,5,40,4,4,16,153,147,302,44595,36381,80977,2529,2939,5469,574,15,587,238,31,276,660,232,890,291,173,455,1269,1495,2759,51198,42330,93527,32,47,79,0,4,4,20,21,43,158,82,234,10,17,26,40,9,50,259,178,442,5,0,5,0,0,0,24,23,51,34,62,101,28,29,58,90,116,206,429,245,675,782,544,1324,70,67,136,23,23,45,17,7,22,114,97,208,12183,15344,27525,5940,10743,16685,342,292,634,70550,69346,139894
2009,72,37,109,3,5,4,3,0,3,0,0,0,5,0,7,3330,2508,5837,175,204,375,89,0,89,9,4,8,10,3,12,12,21,30,67,82,151,3766,2860,6633,3,4,6,0,0,0,4,3,6,14,11,27,0,0,0,0,0,3,27,16,37,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,3,19,7,33,48,26,75,3,8,10,0,0,0,0,0,0,3,8,10,1332,1669,2999,535,857,1397,28,28,58,5725,5453,11174
