SUA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
2010,..,6,299,478,515,591,527,370,114,2908,..,100,261,155,95,67,31,9,4,718,..,0,19,37,40,20,15,6,3,138,1529,..,..,..,..,..,..,..,..,1529,..,309,..,..,..,..,..,..,..,309,..,299,123,43,37,22,6,0,0,527,..,36,23,5,6,11,8,13,0,118,..,27,24,14,9,4,0,0,0,78,..,79,92,16,18,20,19,3,0,241,..,42,138,94,120,201,160,95,60,912,19,30,22,18,7,17,8,7,0,118,1542,917,1006,866,850,951,775,498,182,7588,..,10,381,525,532,596,512,311,57,2924,..,137,273,143,88,59,27,6,0,734,..,36,124,152,148,74,33,23,26,626,1457,..,..,..,..,..,..,..,..,1457,..,289,..,..,..,..,..,..,..,289,..,163,64,20,19,10,0,0,0,280,..,39,23,9,6,30,17,7,9,137,..,25,15,0,0,5,3,0,0,44
2011,..,2155,93306,210233,181248,154464,120584,68408,18113,848512,..,11943,80355,44931,29334,18519,8323,2673,406,196486,..,320,1708,5969,11308,8921,3946,2202,1513,35880,426026,..,..,..,..,..,..,..,..,426026,..,131639,..,..,..,..,..,..,..,131639,..,78709,64502,19466,13091,5674,880,19,0,182348,..,13395,15942,5539,4706,5590,4550,2504,1361,53589,..,7871,13804,4471,2808,2002,881,271,64,32180,..,25662,50115,12697,7315,6343,4221,1639,329,108320,..,8384,34917,31082,30924,31948,26246,16090,7940,187533,3823,5208,6646,4086,3283,2624,1877,933,296,28785,429852,285290,361296,338482,284016,236088,171506,94738,30022,2231297,..,5611,132739,217839,180816,147418,110033,50245,8120,852809,..,17385,84405,41510,27266,15444,6418,1551,201,194186,..,2109,15051,34609,47952,28370,12434,9041,5918,155482,403358,..,..,..,..,..,..,..,..,403358,..,136095,..,..,..,..,..,..,..,136095,..,54173,44403,10314,7221,4246,957,50,0,121363,..,11623,10774,3462,4271,10567,12057,8219,4827,65809,..,6829,8860,2274,1402,1054,532,178,76,21200
2012,..,26,845,1430,1561,1754,1676,956,239,8483,..,223,798,420,344,292,162,51,5,2295,..,6,36,100,155,98,42,25,14,468,4679,..,..,..,..,..,..,..,..,4679,..,942,..,..,..,..,..,..,..,942,..,1067,519,180,148,68,8,0,0,1994,..,170,121,41,48,64,44,29,12,533,..,94,134,66,40,26,10,3,0,383,..,157,315,131,107,94,75,26,0,913,..,87,297,270,408,556,487,316,127,2547,61,79,84,45,59,44,57,16,3,429,4737,2852,3154,2685,2877,2992,2557,1410,403,23666,..,65,1093,1615,1717,1800,1551,702,115,8662,..,333,814,418,375,287,111,33,5,2374,..,72,403,531,554,280,101,109,51,2098,4462,..,..,..,..,..,..,..,..,4462,..,1015,..,..,..,..,..,..,..,1015,..,676,257,59,55,44,7,0,0,1110,..,132,70,24,67,96,109,83,28,598,..,87,97,28,21,12,6,0,5,255
2013,..,13,281,478,545,762,715,394,92,3273,..,106,370,187,188,132,77,21,4,1070,..,7,21,49,64,52,28,7,7,233,1725,..,..,..,..,..,..,..,..,1725,..,355,..,..,..,..,..,..,..,355,..,496,252,93,55,21,6,0,0,932,..,32,35,5,20,24,28,10,6,170,..,30,22,20,16,4,3,3,0,99,..,40,75,31,41,43,40,6,0,278,..,45,154,155,216,372,368,171,72,1549,25,22,38,20,18,20,26,7,7,191,1743,1143,1243,1045,1161,1443,1292,619,180,9875,..,15,369,516,643,759,681,296,40,3313,..,147,365,210,177,113,60,11,0,1085,..,44,194,225,229,122,64,33,24,937,1647,..,..,..,..,..,..,..,..,1647,..,397,..,..,..,..,..,..,..,397,..,306,122,57,21,5,7,0,0,514,..,25,16,5,16,46,41,30,8,192,..,27,19,8,6,4,6,0,0,64
2014,..,0,113,222,317,437,461,218,54,1834,..,56,141,116,101,91,44,12,4,562,..,0,12,22,28,22,10,7,0,100,822,..,..,..,..,..,..,..,..,822,..,188,..,..,..,..,..,..,..,188,..,223,75,48,27,18,0,0,0,389,..,21,19,12,14,11,18,5,3,101,..,22,13,7,6,3,3,0,0,57,..,37,38,14,20,18,18,9,0,145,..,19,50,60,139,178,151,75,35,714,21,21,7,14,14,16,11,12,0,115,841,583,472,512,670,798,721,341,97,5027,..,9,155,277,349,449,405,181,21,1851,..,86,158,99,101,77,47,7,0,577,..,18,68,113,132,57,25,22,12,452,804,..,..,..,..,..,..,..,..,804,..,177,..,..,..,..,..,..,..,177,..,121,44,25,19,13,0,0,0,218,..,17,9,0,3,6,22,11,8,80,..,14,4,4,4,3,0,0,0,28
2015,..,8,249,444,417,498,483,293,60,2464,..,76,237,116,90,73,45,6,0,640,..,0,14,30,34,24,16,8,3,127,1358,..,..,..,..,..,..,..,..,1358,..,274,..,..,..,..,..,..,..,274,..,280,103,44,28,16,3,0,0,476,..,42,19,7,10,13,10,9,3,122,..,25,21,12,8,0,5,0,0,72,..,51,64,18,25,16,11,7,0,184,..,34,122,92,135,160,147,90,42,823,16,26,22,16,23,14,11,3,0,136,1371,807,845,770,769,823,740,417,120,6662,..,12,302,496,482,514,471,204,28,2505,..,105,237,109,100,59,28,10,0,649,..,22,105,142,202,80,32,32,21,631,1279,..,..,..,..,..,..,..,..,1279,..,297,..,..,..,..,..,..,..,297,..,176,58,16,14,13,3,0,0,284,..,26,15,8,17,29,25,22,6,139,..,19,21,5,7,3,0,3,0,54
2016,..,37,962,1687,1664,1695,1527,943,241,8744,..,203,748,348,283,214,109,44,8,1960,..,5,48,68,159,96,42,26,13,456,5099,..,..,..,..,..,..,..,..,5099,..,1086,..,..,..,..,..,..,..,1086,..,1132,509,209,127,56,8,0,0,2032,..,151,149,51,54,64,50,19,13,541,..,77,128,54,50,22,13,3,0,342,..,150,276,158,128,88,94,18,4,905,..,88,311,280,438,523,425,295,124,2485,59,73,106,57,63,34,36,19,7,458,5161,3000,3233,2917,2955,2785,2288,1365,406,24108,..,94,1301,1796,1676,1654,1444,731,100,8797,..,298,781,339,286,204,96,25,8,2023,..,73,414,547,542,279,120,68,59,2104,4722,..,..,..,..,..,..,..,..,4722,..,1141,..,..,..,..,..,..,..,1141,..,717,291,71,58,47,18,0,0,1195,..,120,62,23,56,105,122,64,29,574,..,80,89,37,22,7,3,5,0,232
2017,..,6,240,360,286,376,323,210,71,1876,..,65,192,54,57,41,19,0,6,435,..,0,7,21,19,13,10,8,4,85,977,..,..,..,..,..,..,..,..,977,..,178,..,..,..,..,..,..,..,178,..,192,85,27,25,7,0,0,0,338,..,24,30,9,10,10,6,3,0,93,..,14,29,21,6,3,0,0,0,78,..,48,48,28,33,24,11,3,0,193,..,40,69,57,73,108,91,53,35,534,10,14,13,12,13,13,4,0,0,82,992,584,718,601,511,596,471,287,120,4870,..,16,304,375,326,367,308,172,28,1894,..,102,179,73,35,36,14,7,0,445,..,3,97,105,98,60,22,13,10,418,1000,..,..,..,..,..,..,..,..,1000,..,197,..,..,..,..,..,..,..,197,..,113,45,11,8,11,0,0,0,195,..,23,16,4,6,20,27,12,7,109,..,19,18,14,3,3,0,0,0,62
2018,..,16,608,1130,1139,1283,1338,764,171,6438,..,191,763,391,299,222,98,33,7,2004,..,7,41,100,147,87,42,17,11,437,3666,..,..,..,..,..,..,..,..,3666,..,802,..,..,..,..,..,..,..,802,..,840,398,159,135,44,12,0,0,1590,..,102,83,46,44,43,33,18,7,375,..,62,64,27,20,25,12,3,0,209,..,116,176,64,75,94,60,25,5,606,..,79,342,308,395,535,486,268,114,2531,64,60,47,46,39,39,22,11,9,334,3733,2270,2527,2272,2284,2366,2106,1136,318,18996,..,29,834,1218,1212,1403,1229,570,76,6566,..,321,772,374,280,193,92,28,0,2051,..,82,403,445,453,252,110,92,56,1900,3449,..,..,..,..,..,..,..,..,3449,..,775,..,..,..,..,..,..,..,775,..,575,201,85,49,44,9,0,0,958,..,74,62,11,39,71,53,44,23,377,..,59,44,15,12,6,4,0,0,142
2019,..,12,289,521,563,601,629,455,116,3175,..,89,293,164,135,99,54,16,0,845,..,3,15,33,58,37,15,14,6,186,1634,..,..,..,..,..,..,..,..,1634,..,386,..,..,..,..,..,..,..,386,..,345,135,67,62,24,4,0,0,640,..,40,27,20,14,21,21,13,11,160,..,32,32,11,11,3,0,4,0,88,..,36,78,27,24,31,21,11,7,231,..,48,104,129,168,250,215,141,63,1125,26,32,29,25,21,21,12,6,4,177,1658,1021,996,991,1052,1074,985,663,204,8645,..,30,363,565,582,639,632,352,64,3222,..,152,286,165,147,93,31,11,0,884,..,29,128,218,232,101,55,58,27,843,1581,..,..,..,..,..,..,..,..,1581,..,390,..,..,..,..,..,..,..,390,..,237,87,37,39,25,0,0,0,421,..,28,16,10,9,32,35,21,10,156,..,31,23,7,3,6,8,0,0,86
