SUA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
2010,1800,1538,580,80,816,778,174,347,1685,224,1189,8379,587,14773,13,12,3,0,9,4,3,4,22,0,15,50,6,99,64,23,22,5,23,22,3,14,16,8,28,79,5,214,16,3,9,3,15,14,3,10,9,4,15,40,3,92,20,8,7,4,24,20,8,0,10,3,10,47,0,108,3,7,0,0,0,5,0,0,0,0,5,32,0,40,6,17,4,0,11,7,0,0,6,0,15,206,6,268,0,3,0,0,3,0,0,0,0,0,3,36,0,50,5,8,0,0,10,4,0,0,3,0,8,220,3,251,5,3,0,0,0,0,0,0,4,0,8,33,0,56,0,3,0,0,3,0,0,0,3,0,6,61,0,81,131,94,51,12,99,76,18,38,84,15,106,809,30,1257,54,26,11,0,22,26,5,11,20,3,23,98,734,957,1984,1653,640,96,937,883,202,396,1787,241,1312,9289,1348,16985,605,814,191,4
2011,194286,284285,72701,14332,88881,84334,20085,36112,293643,20483,235064,1848944,106164,2865912,6837,10250,2521,382,6480,3546,957,1226,8086,898,7579,69366,3670,106670,23725,14456,8917,2569,11008,11445,2240,5095,15750,2792,16330,82281,4904,157197,8175,3906,3335,1354,3997,4798,933,1657,4636,1180,6149,35932,1910,62197,46896,11937,13441,8152,32096,24754,5932,6259,21189,6697,29029,105786,8115,228523,11133,6797,2734,1088,11389,5997,1845,1361,8999,1352,13468,86336,4586,131396,11947,16410,4793,1284,18776,6581,2309,1318,9964,2010,22893,217038,8024,296197,4927,5009,3213,833,8816,4077,1245,836,5252,1045,12775,183964,3495,223890,10736,12293,2916,896,23713,7926,1982,1147,8273,1313,16327,318630,8470,391091,4385,4773,1561,299,2816,1622,448,472,5980,416,5530,46371,1596,67439,4309,4662,1591,358,4805,2132,534,536,4285,498,5439,50962,2310,73742,133070,90479,45025,17210,123890,72894,18417,19904,92418,18196,135513,1196664,47088,1738350,5095,2256,1572,905,2961,2615,689,1063,3025,780,2793,15959,184104,213578,332452,377024,119301,32441,215732,159839,39186,57081,389080,39455,373371,3061566,337358,4817843,99601,203886,39033,551
2012,4367,4793,1415,303,2290,2098,549,1000,4762,467,3467,23995,1766,41683,68,57,17,3,75,37,18,17,37,13,50,563,24,836,179,83,63,16,90,80,28,53,104,28,110,355,26,828,54,22,16,3,29,30,9,14,17,9,32,166,18,302,251,78,59,40,170,123,36,35,75,37,121,301,40,895,45,23,8,3,60,29,10,4,63,15,50,221,14,411,35,60,10,4,65,15,7,0,38,6,68,1697,85,2019,3,6,0,0,9,3,0,0,12,0,10,423,11,468,14,9,6,0,53,18,3,0,23,6,47,884,40,1061,17,12,4,0,12,7,0,4,18,0,15,81,3,132,8,17,4,0,16,11,4,0,13,0,17,282,9,353,668,359,193,73,568,352,123,135,407,117,514,4973,278,7321,165,99,47,23,104,100,29,45,111,16,79,379,3807,4619,5201,5252,1662,395,2963,2555,695,1186,5279,599,4068,29348,5850,53620,1427,2393,480,15
2013,2203,2188,604,132,1166,950,240,592,2469,252,1858,9423,777,17698,46,31,17,5,35,15,6,12,39,3,22,125,6,245,253,101,76,21,143,124,44,80,115,24,136,246,31,819,121,38,44,19,63,71,18,32,43,17,68,160,14,447,127,32,24,14,93,80,14,25,71,19,75,140,7,436,3,0,0,0,0,6,0,0,0,0,0,28,3,38,24,30,10,0,31,3,0,3,12,0,25,199,9,291,7,6,0,0,3,5,0,0,3,0,10,61,0,86,4,3,0,0,4,3,0,0,6,0,4,47,6,62,9,10,4,0,18,4,4,5,11,0,14,49,4,97,14,3,0,0,11,4,0,0,8,0,6,36,5,66,601,252,179,64,401,305,83,157,313,65,348,1097,84,2589,85,51,21,10,47,49,13,21,50,10,34,143,1350,1712,2893,2490,804,205,1609,1306,333,767,2834,323,2236,10661,2210,21997,697,979,167,3
2014,1418,964,383,98,600,491,135,264,1187,143,944,4993,416,9423,28,20,6,0,17,8,4,11,15,0,13,82,7,158,94,26,33,5,43,43,8,36,39,11,34,123,12,334,29,8,3,3,15,12,3,5,5,0,7,47,0,111,17,3,3,0,15,7,3,0,8,0,7,33,6,81,0,3,0,0,0,0,0,0,0,0,0,23,0,22,11,14,4,0,11,3,0,0,4,0,4,96,4,132,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,71,0,81,7,7,0,0,4,3,0,0,3,0,4,33,0,47,6,3,4,0,5,0,0,0,4,4,3,37,0,58,183,81,51,13,111,81,19,52,81,14,83,568,33,1046,38,23,13,3,25,16,4,16,23,3,15,77,578,756,1645,1068,449,116,733,593,159,328,1291,162,1043,5631,1027,11230,449,443,127,0
2015,1429,1475,422,101,706,618,135,391,1699,179,1216,6837,545,12460,26,32,3,0,15,13,0,5,26,0,11,99,3,188,138,59,42,14,48,54,3,38,76,22,74,222,20,533,36,9,10,8,18,29,11,13,26,5,18,86,6,192,38,7,11,9,32,24,3,10,16,4,15,65,8,162,0,0,0,0,3,3,0,0,5,0,11,35,0,47,17,14,7,0,26,6,0,0,26,4,23,187,6,277,0,0,3,0,0,0,0,0,0,0,10,53,0,68,3,11,0,0,10,0,0,0,4,0,9,221,4,254,9,7,6,0,7,3,0,3,12,0,8,54,0,96,12,10,7,0,6,7,0,4,6,0,9,83,3,125,279,149,83,28,161,133,23,74,187,42,193,1103,63,1938,55,16,11,25,22,23,3,14,48,8,35,54,715,899,1769,1647,522,147,888,772,166,477,1930,227,1448,7996,1322,15301,447,702,127,0
2016,4879,4656,1478,331,2126,2081,512,980,4973,516,3895,21817,1727,39347,73,76,19,8,59,27,14,6,47,7,67,513,29,785,196,82,77,36,106,111,32,56,111,30,106,344,23,845,77,29,28,13,37,29,12,19,34,10,48,157,5,338,320,61,64,70,225,163,45,46,132,44,152,520,60,1260,99,81,17,5,118,49,6,7,87,9,126,794,54,1207,40,76,8,0,58,13,6,0,29,4,52,1271,42,1540,15,15,6,0,10,3,0,3,4,0,8,381,8,435,75,58,8,3,144,47,22,7,62,4,141,2705,76,3230,10,9,5,5,11,7,0,5,17,0,15,105,0,159,14,10,7,0,20,9,0,0,17,4,38,532,14,637,923,506,239,131,783,455,135,147,548,109,743,7328,309,10437,153,85,35,23,78,74,23,36,84,25,47,306,3397,4053,5954,5245,1747,482,2992,2609,666,1163,5602,645,4684,29445,5433,53841,1708,2280,456,9
2017,1052,1109,304,82,452,449,117,207,904,102,678,5113,416,8967,8,5,5,0,5,0,0,0,10,0,0,44,3,65,27,12,6,0,10,10,0,5,13,0,18,49,4,116,9,0,0,0,0,0,0,0,3,0,3,15,4,45,47,13,10,11,28,17,4,6,12,6,17,24,12,118,0,4,0,0,0,3,0,0,0,0,3,26,3,30,3,13,4,0,13,4,0,0,8,0,14,456,16,512,0,3,0,0,0,0,0,0,0,0,0,97,5,107,4,12,0,0,17,6,0,0,0,0,9,297,11,351,0,5,0,0,3,0,0,0,0,0,7,14,0,33,3,3,0,0,10,0,0,0,0,0,3,62,3,81,112,73,33,8,79,46,8,19,54,9,78,1096,50,1467,45,20,9,3,14,15,10,10,14,6,13,70,603,744,1203,1203,342,96,556,509,133,231,966,113,770,6277,1067,11186,329,582,92,0
2018,3921,4180,1092,207,1954,1701,420,1000,4659,422,3404,18335,1539,33851,55,58,14,4,41,38,5,21,56,9,52,278,13,513,424,157,124,32,193,205,50,126,177,40,192,463,70,1399,193,57,50,25,103,97,26,49,68,13,65,233,36,672,255,70,61,38,195,127,26,55,81,34,104,322,64,939,5,9,4,6,9,5,0,6,9,4,11,137,8,180,44,42,5,6,58,16,9,3,43,3,69,607,33,847,3,4,6,0,4,5,0,0,4,0,11,184,0,225,30,21,6,0,39,20,4,0,19,5,33,606,15,733,23,19,3,0,13,13,0,0,26,3,30,104,5,200,8,11,4,3,15,6,5,0,30,4,22,193,0,268,1051,446,283,109,663,535,133,260,509,118,585,3130,245,5976,135,74,39,11,78,81,29,41,91,22,71,199,2881,3431,5107,4700,1416,330,2699,2319,583,1301,5257,567,4064,21662,4669,43252,1252,2087,338,0
2019,2079,2144,651,167,900,912,213,441,2177,229,1631,8875,704,16758,14,16,5,0,12,11,0,3,18,3,12,76,12,149,113,66,23,15,41,49,5,28,53,6,58,171,11,436,48,18,15,3,21,34,5,15,22,8,23,87,4,194,96,35,33,12,57,63,10,18,36,19,55,84,13,320,0,0,0,0,3,0,0,0,3,0,0,13,0,22,9,13,0,0,16,3,0,0,11,0,7,229,11,294,0,4,0,0,0,0,0,0,0,0,0,52,4,63,7,8,6,0,8,0,3,0,0,0,4,255,3,292,10,15,8,0,3,4,3,0,8,0,8,37,0,85,11,11,0,0,3,3,0,0,7,0,9,45,0,80,298,183,91,34,168,171,28,72,163,40,182,1057,58,1943,72,30,17,14,27,35,11,23,40,12,36,125,881,1177,2453,2360,760,212,1103,1114,248,539,2376,284,1849,10060,1643,19882,606,1095,188,4
2020,3825,3804,1228,300,1696,1641,386,861,4419,399,3388,19947,1336,34941,66,61,23,7,33,44,14,13,66,12,48,344,22,604,419,170,139,51,193,180,41,96,211,49,233,766,58,1793,167,60,55,23,75,103,19,43,75,22,97,253,17,665,96,23,25,14,58,43,9,14,58,11,67,217,8,480,8,7,6,0,8,3,3,0,8,0,4,72,8,106,18,20,5,5,20,5,0,5,26,5,24,322,16,433,8,6,0,3,0,0,0,0,10,0,12,237,6,271,20,30,10,4,45,16,3,3,11,4,29,372,14,494,25,26,13,0,17,10,0,3,34,3,37,135,4,242,25,30,8,5,27,5,3,4,26,3,25,245,4,354,846,425,281,103,487,424,88,181,512,113,569,2977,159,5443,99,50,27,8,59,62,14,27,58,15,43,181,2009,2440,4769,4284,1527,415,2243,2127,486,1075,4990,528,3995,23106,3507,42827,1391,2086,449,11
2021,3062,3300,1077,231,1527,1519,333,637,3442,379,2637,17308,1328,30331,40,53,16,0,17,24,5,15,40,8,42,245,29,448,168,83,63,13,85,76,10,36,94,29,88,353,20,779,50,20,19,3,23,29,3,5,22,6,23,164,13,308,14,3,6,0,18,17,0,5,15,4,10,69,5,129,5,3,0,0,8,0,4,6,6,0,7,58,0,79,10,15,6,0,19,10,3,4,12,5,22,513,19,602,4,4,0,0,5,0,0,0,3,0,3,337,5,362,3,11,4,0,23,7,0,0,4,0,9,311,5,367,9,4,5,0,3,3,0,5,9,0,16,101,3,143,15,16,0,0,11,4,0,0,11,0,16,134,5,182,316,214,126,26,203,176,23,63,211,51,233,2290,112,3401,77,32,23,14,44,48,11,16,40,19,23,161,1650,2014,3457,3545,1232,264,1779,1744,365,721,3703,448,2896,19765,3089,35743,952,1792,348,11
