SED_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED20106,155,36,78,22,289,51,11,28,3,91,30,18,32,5,85,30,15,58,5,103,103,11,82,0,202,77,34,121,11,236,303,51,120,21,490,284,68,157,30,535,453,111,173,52,789,617,141,178,50,985,437,143,152,30,768,569,171,151,37,925,1411,484,272,74,2243,1185,387,80,55,1715,1121,452,108,33,1714,865,376,32,19,1290,3076,2825,253,52,6199,435,349,167,11,968,65,38,18,6,128,11277,5712,2263,523,19768
SED20207,403,98,125,10,638,75,20,35,0,129,80,32,64,3,175,53,40,74,11,168,214,60,148,3,430,132,99,229,8,472,702,237,323,17,1280,464,314,389,26,1200,530,558,458,39,1583,631,818,398,39,1888,375,798,341,41,1555,398,904,294,33,1630,1080,2404,484,63,4029,829,1951,214,23,3015,662,2014,137,17,2830,442,1276,52,10,1787,897,3873,134,21,4926,287,885,267,13,1450,142,117,61,12,331,8395,16491,4216,406,29509
SED20302,346,65,78,0,496,103,14,29,0,144,87,17,53,5,156,82,20,106,0,210,323,59,203,10,595,231,94,337,7,671,1327,219,456,15,2014,889,358,558,47,1849,1001,747,543,49,2335,1052,1112,429,45,2636,578,1112,312,33,2038,796,1241,266,23,2324,1603,2702,368,48,4725,1044,2126,172,25,3367,622,1500,95,17,2237,312,860,41,5,1220,570,1489,65,6,2130,410,935,299,10,1662,252,135,76,7,479,11632,14795,4486,371,31288
SED20401,148,24,51,0,218,60,6,20,0,81,42,17,24,0,80,27,13,64,6,104,153,22,107,8,288,106,46,150,9,303,609,112,233,18,970,445,152,312,27,936,516,261,368,36,1181,583,437,331,43,1400,378,450,269,19,1109,359,527,197,24,1106,874,1266,293,37,2474,612,1199,162,17,1992,474,1022,96,18,1615,288,635,62,3,987,468,1420,65,9,1965,168,443,199,13,828,108,50,31,8,197,6418,8090,3034,296,17836
SED20508,215,16,28,4,268,98,5,11,0,122,57,3,35,3,92,52,5,44,0,103,291,14,79,4,387,214,28,165,6,417,1135,77,200,9,1410,851,89,313,13,1273,997,201,315,33,1541,1057,338,283,27,1695,472,425,209,12,1121,531,448,152,13,1144,1043,1173,278,28,2526,739,1087,109,8,1949,493,979,62,13,1549,308,617,37,3,960,762,1511,72,10,2362,363,595,219,14,1193,165,57,39,11,272,9865,7674,2644,210,20388
SED20604,94,12,31,0,139,55,15,11,5,84,38,5,27,3,76,29,7,77,0,111,205,22,140,6,370,130,27,251,9,420,929,56,307,12,1311,660,109,358,32,1157,735,259,390,21,1410,873,472,338,27,1705,476,470,212,19,1173,573,508,179,17,1276,1202,1361,259,32,2858,720,1087,86,13,1906,448,772,56,12,1294,241,543,13,7,805,430,966,43,4,1445,318,636,208,11,1172,150,59,63,10,273,8307,7382,3048,229,18971
SED20704,108,13,26,11,160,51,11,11,0,73,32,12,25,0,71,25,8,70,0,99,171,17,148,11,346,132,33,259,9,431,862,82,291,21,1260,632,154,426,32,1244,704,257,408,34,1408,785,466,364,30,1650,452,466,286,14,1217,502,574,211,13,1299,1024,1338,329,32,2729,675,1142,102,17,1932,472,956,68,6,1505,252,619,30,9,906,413,1258,47,7,1732,291,566,179,8,1047,119,52,41,8,221,7707,8029,3322,267,19324
SED20804,84,17,25,0,124,60,7,15,3,88,43,5,33,5,88,34,5,85,0,121,187,14,161,14,375,154,36,262,13,462,937,91,331,18,1380,630,156,407,43,1234,690,248,380,30,1353,752,440,324,39,1552,411,419,221,29,1078,433,458,160,17,1065,918,1063,252,22,2246,565,859,104,19,1548,382,669,57,7,1119,198,378,25,0,597,370,743,34,0,1144,258,467,218,23,965,147,56,55,9,267,7238,6143,3141,286,16807
SED20906,164,46,101,8,315,61,4,38,5,108,44,6,49,0,108,25,20,49,0,89,134,33,73,9,244,103,34,134,7,282,487,72,124,8,697,322,115,249,30,713,378,198,246,28,846,464,299,262,26,1049,229,305,230,13,777,289,339,180,17,822,586,916,365,45,1912,534,935,139,17,1626,437,1004,145,18,1600,354,842,39,8,1243,869,3921,199,19,5004,177,486,187,7,858,71,58,30,3,163,5715,9633,2840,260,18448
SED21001,313,70,191,19,592,94,14,39,9,161,82,36,67,10,185,51,15,64,5,136,168,53,119,5,341,134,56,145,12,353,501,147,146,20,809,438,188,190,42,864,525,256,271,34,1094,654,326,220,65,1265,347,308,186,39,886,469,317,180,19,986,848,838,301,55,2041,604,778,154,31,1572,493,846,99,20,1453,332,657,55,10,1055,897,3481,171,15,4567,216,572,176,9,969,78,50,18,0,147,7258,9011,2792,419,19481
SED21106,99,34,78,5,220,47,3,19,5,75,27,10,28,3,72,14,8,33,0,60,69,16,61,11,157,73,22,69,6,161,231,43,92,10,373,209,41,113,14,379,291,84,158,20,547,419,109,154,24,706,264,132,158,3,560,316,142,130,13,597,680,389,258,29,1365,660,397,99,17,1170,523,544,129,11,1205,377,416,32,4,833,1841,4668,291,18,6808,236,579,169,3,991,86,58,17,0,163,6460,7701,2090,195,16445
SED21203,163,159,128,14,463,47,26,32,6,110,41,66,92,5,207,34,51,139,0,229,191,179,210,14,587,146,245,280,11,676,865,465,353,17,1704,427,600,454,70,1543,329,809,452,44,1629,393,933,382,39,1742,195,686,254,34,1174,228,636,181,35,1075,453,1198,278,41,1973,314,756,181,21,1273,183,561,73,16,826,127,310,41,6,491,150,607,60,8,830,165,545,219,21,948,99,156,98,16,374,4555,8983,3907,415,17860
SED21303,107,23,38,11,186,34,4,13,8,57,22,11,29,3,68,28,8,43,8,85,138,23,59,12,227,80,32,97,14,225,483,70,129,21,697,275,99,202,42,619,332,156,234,46,764,533,218,172,46,962,390,211,175,37,812,423,193,162,35,818,1084,648,327,73,2132,986,611,114,52,1765,910,755,70,35,1765,704,553,41,14,1316,1597,2627,112,40,4383,263,302,134,13,713,59,40,28,3,133,8427,6588,2185,525,17726
