SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED20106,9925,18551,3493,4227,5719,3156,932,2127,945,49076
SED20207,7205,13797,5966,5225,7302,4177,3791,3799,1233,52488
SED20302,6382,9279,8378,6866,6273,4798,4426,5804,1077,53279
SED20401,3792,7737,5076,3706,4518,2840,1786,2825,530,32811
SED20508,4302,7273,4910,4133,3783,2797,1446,2672,575,31894
SED20604,4878,5996,5064,4458,3673,2748,2409,3794,604,33619
SED20704,3994,7750,4623,4525,4044,3000,2026,3671,516,34145
SED20804,3242,6166,3996,3742,3179,2465,1639,3463,495,28396
SED20906,6314,11117,3229,3060,4584,3074,843,1672,541,34435
SED21001,5519,12939,3130,3441,4472,3083,962,2134,698,36381
SED21106,7710,11829,1935,2645,3560,2723,416,926,575,32320
SED21203,1896,4301,3849,3222,2729,2068,2865,3220,783,24934
SED21303,6776,18986,3719,4310,5264,2813,1036,1943,664,45504
SED21401,5221,9538,3077,2726,4175,3087,825,1656,647,30955
SED21503,3717,7728,4060,3399,4232,2613,1552,2235,565,30094
SED21608,3784,6165,5027,4150,3909,2749,2141,3296,532,31749
SED21706,6183,12495,2577,3153,4126,3110,828,1758,589,34815
SED21805,4706,6718,5899,4168,5035,3326,2418,3244,687,36195
SED21906,6679,14490,2674,3442,4200,2668,710,1448,729,37041
SED22005,3866,8930,4509,3770,4433,3012,2715,4263,902,36388
SED22105,5681,9656,9367,7857,7665,5067,6752,7182,1367,60596
SED22201,4056,7654,4642,3564,4250,2652,1405,2482,590,31286
SED22305,2236,4412,5434,3392,3294,2316,3803,4770,843,30497
SED22404,4529,4531,5575,3568,3192,2087,1858,3170,538,29046
SED22501,5285,9182,3934,3048,4339,2449,810,1535,410,30999
SED22607,6638,13454,3198,3517,5415,2933,1022,2059,660,38901
SED22704,4954,4272,4742,3701,3243,2177,2382,4008,673,30154
SED22802,4122,5793,6017,3770,4351,2760,1641,2921,538,31903
SED22901,3818,7425,4015,3010,4271,2752,1574,2290,556,29718
SED23007,5111,11763,4315,4458,5421,3226,3235,4060,954,42531
SED23101,4113,8986,2954,2659,3855,2535,1054,1912,508,28573
SED23205,3550,6108,4552,3716,3473,2631,1654,2820,507,29018
SED23308,4093,8978,4560,4433,3777,2804,1706,3044,530,33927
SED23402,5605,8374,6929,4825,5912,3842,2800,3736,760,42787
SED23502,3870,3944,3835,3537,2683,2171,1773,3479,569,25851
SED23602,4636,4422,3824,3172,2528,2124,1552,3039,544,25848
SED23702,4149,5392,7556,4654,4711,3311,2226,3822,645,36460
SED23806,6789,15073,1982,2794,4129,2656,498,1181,508,35617
SED23901,5464,12596,3263,3205,4337,2424,971,1758,517,34533
SED24006,6187,12312,1851,2390,3845,2773,490,1167,617,31629
SED24105,3690,6255,4488,3528,4123,3037,3658,5554,913,35242
SED24207,4106,8201,5748,5015,6058,3640,5471,5138,1267,44643
SED24308,2842,4929,4830,4264,3396,2740,3094,4130,683,30895
SED24408,6077,4218,3380,3097,2612,2098,1680,3373,487,27007
SED24504,5264,7418,4852,3504,3725,2185,1433,2632,543,31554
SED24606,6664,12816,1828,2508,3809,2652,483,1123,580,32462
SED24703,9167,29371,5745,8449,7876,5218,1798,4581,1340,73549
SED24808,3690,5676,6325,5629,5682,3742,5401,4527,928,41595
SED24904,4834,4492,3739,3324,2933,2554,2112,4579,762,29343
SED25003,3582,6458,5002,4133,5226,3650,2786,3401,777,35022
SED25102,4603,7245,5119,3447,3830,2289,1318,2293,530,30670
SED25205,5644,9576,4317,3493,4845,3082,1142,1891,501,34496
SED25302,5489,7295,4029,3416,3674,2893,802,2002,476,30087
SED25402,2896,4826,4838,3754,3989,2725,2175,3322,582,29100
SED25501,4730,10483,2688,2539,3945,2604,992,1847,650,30470
SED25605,3421,7039,3430,2871,3735,2448,2055,2970,659,28634
SED25704,5187,4124,4155,3485,2810,2533,2018,4249,551,29106
