SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED20106,577,745,157,15,1494,394,64,1948,1288,1288,373,46,2993,1301,199,4492,1296,1454,459,61,3268,1127,291,4689,2579,2741,834,108,6260,2434,491,9180,442,156,102,18,718,1213,125,2054,942,314,213,42,1512,2320,318,4151,1548,411,330,50,2346,2862,250,5465,4933,1287,589,289,7094,7160,1636,15891,5,5,5,0,17,9,0,28,7876,2177,1236,400,11690,13567,2330,27585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,123,28,17,7,167,227,45,434,123,28,17,6,172,229,45,443,22,15,5,0,41,46,6,97,11183,5704,2243,525,19655,16660,2935,39252
SED20207,6267,14830,3475,336,24911,4538,856,30306,520,641,193,12,1373,812,62,2243,634,726,290,35,1682,516,89,2284,1155,1371,480,52,3057,1324,150,4532,252,132,97,15,490,488,22,1006,3,0,0,0,6,61,0,66,68,18,26,7,114,172,13,298,0,0,0,0,0,0,0,0,3,3,0,0,8,4,0,15,328,155,125,14,618,721,37,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,15,7,0,25,8,3,0,0,15,7,0,25,4,0,0,0,4,9,0,15,7759,16355,4079,405,28602,6602,1046,36253
SED20302,10061,14188,4029,335,28615,7550,875,37043,563,179,138,16,894,1143,30,2061,264,173,114,7,562,252,38,851,823,353,251,22,1456,1395,70,2915,71,41,47,4,164,236,19,417,12,0,0,0,13,30,0,46,4,0,0,0,6,6,0,13,0,0,0,0,0,0,0,0,6,0,0,0,4,10,0,13,87,41,46,10,186,288,20,490,4,0,0,0,7,42,0,46,35,4,3,3,49,123,0,170,0,0,0,0,0,0,0,0,4,4,0,0,6,3,0,13,44,4,8,3,63,172,0,234,17,14,4,0,28,19,0,51,11037,14599,4339,367,30340,9420,959,40725
SED20401,4884,6989,2281,209,14367,3901,522,18788,655,584,364,53,1644,1399,103,3147,396,362,217,34,1003,486,79,1568,1048,946,572,81,2652,1883,180,4714,117,77,62,4,260,326,16,598,49,16,20,0,85,141,11,237,12,0,15,0,27,33,0,58,0,0,0,0,0,0,0,0,3,3,4,0,12,11,0,21,181,94,102,9,384,509,27,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,10,3,0,0,0,3,3,4,10,5,8,0,0,13,12,0,22,6117,8036,2960,296,17409,6311,733,24446
SED20508,9152,7495,2418,189,19254,5930,495,25676,285,71,102,19,475,706,23,1197,155,53,53,0,267,133,9,407,440,121,153,15,735,836,34,1603,40,8,7,0,59,84,5,144,0,3,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,11,47,11,7,0,62,90,5,160,4,0,0,0,9,13,0,22,24,0,3,0,30,103,4,136,0,0,0,0,0,0,0,4,7,3,0,0,10,7,0,20,37,10,8,0,47,122,8,176,12,3,0,0,10,11,0,24,9680,7638,2586,206,20116,6987,536,27642
SED20604,7749,7212,2756,198,17914,5959,546,24419,201,88,157,23,470,1111,63,1636,15,10,27,5,48,39,4,86,213,98,181,24,515,1151,58,1730,40,14,39,5,96,229,10,341,3,0,0,0,3,4,0,7,0,0,0,0,0,3,0,3,0,0,3,0,9,0,0,9,5,0,0,0,7,4,0,10,50,12,42,5,109,237,12,363,15,3,3,0,17,55,0,77,5,0,0,0,5,10,0,17,0,0,0,0,0,0,0,6,15,12,6,0,34,23,0,55,37,17,7,0,62,89,6,156,24,12,0,0,38,18,4,62,8066,7350,2990,231,18636,7455,636,26732
SED20704,7088,7802,3043,245,18177,5845,763,24791,255,122,159,15,550,1110,75,1737,57,25,34,4,123,86,24,239,313,144,196,20,676,1203,102,1976,22,5,10,0,39,59,3,94,9,4,0,0,10,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,24,13,10,0,54,64,3,120,3,4,0,0,6,7,0,16,8,3,0,0,14,7,0,27,0,0,0,0,0,5,0,4,0,6,0,0,9,11,4,22,19,11,0,4,30,34,4,65,20,8,5,0,31,25,3,57,7463,7980,3255,270,18967,7169,877,27006
SED20804,6750,5972,2879,262,15867,6901,748,23510,163,85,129,19,387,870,58,1319,46,24,27,5,100,110,16,230,206,106,152,22,487,984,80,1549,49,14,31,5,102,204,9,309,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,10,0,14,53,17,30,5,103,212,11,329,3,0,0,0,4,34,0,37,8,0,0,0,9,4,0,17,0,0,0,0,0,0,0,0,7,8,6,0,22,17,3,41,20,8,6,0,36,55,4,95,7,4,4,0,17,29,0,45,7045,6111,3072,293,16515,8173,845,25534
SED20906,3543,7275,1764,155,12744,2686,360,15796,476,479,251,23,1226,754,69,2057,458,1108,316,18,1898,290,64,2252,934,1584,560,42,3128,1050,134,4310,555,540,295,41,1431,1136,108,2674,155,67,62,4,291,222,45,561,265,125,100,5,490,522,41,1054,19,9,8,0,36,44,9,91,0,8,0,0,8,6,0,11,994,738,471,52,2256,1938,204,4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,7,0,35,34,9,77,19,9,7,0,35,32,9,73,13,0,3,0,17,12,4,32,5502,9614,2805,260,18181,5713,705,24604
SED21001,3650,6686,1517,193,12041,2610,537,15190,1185,948,449,57,2636,1945,235,4812,624,818,361,45,1854,572,168,2596,1810,1768,816,103,4492,2512,403,7400,325,220,132,41,719,653,125,1489,328,85,87,27,527,488,91,1104,323,94,89,25,529,671,87,1288,482,114,126,28,752,567,195,1513,0,0,0,0,5,5,0,7,1463,511,430,123,2529,2377,496,5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,17,9,0,27,8,6,0,0,17,9,0,27,7,6,0,0,16,13,0,34,6938,8973,2761,417,19097,7532,1435,28061
