SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED20106,276,749,1024,91,170,265,81,425,504,97,780,876,183,1111,1298,219,935,1154,468,892,1361,514,1187,1707,739,1701,2438,943,1631,2571,747,1650,2395,898,1426,2325,2223,3111,5332,1723,307,2036,1731,952,2682,1300,166,1464,6318,1710,8028,981,374,1351,127,315,444,19655,19594,39252
SED20207,381,328,707,104,76,182,133,209,338,143,418,555,365,913,1287,426,601,1031,1123,442,1565,1065,607,1670,1423,703,2131,1744,653,2395,1453,573,2029,1552,447,2006,3967,763,4732,3072,90,3162,2876,195,3069,1832,46,1879,5158,221,5380,1488,138,1625,289,224,521,28602,7652,36253
SED20302,306,344,649,126,141,271,137,268,400,165,672,838,515,1870,2384,560,1243,1802,1853,779,2631,1691,969,2657,2183,966,3146,2474,723,3199,1949,557,2512,2232,422,2653,4608,503,5111,3412,68,3476,2324,118,2444,1286,39,1320,2383,175,2560,1710,120,1826,429,427,852,30340,10386,40725
SED20401,156,228,385,67,82,141,67,186,257,90,392,486,254,1051,1298,261,671,929,884,516,1393,854,635,1489,1106,712,1816,1318,580,1897,1076,460,1536,1066,377,1446,2450,535,2978,2006,85,2091,1633,101,1736,1028,26,1054,2084,107,2190,842,71,919,178,226,401,17409,7044,24446
SED20508,254,262,511,115,90,204,77,203,279,85,445,538,370,1275,1641,393,1006,1400,1347,656,2000,1223,654,1879,1500,679,2175,1644,439,2084,1084,433,1514,1114,285,1400,2493,448,2940,1933,46,1981,1584,94,1677,959,16,979,2455,179,2637,1213,61,1271,261,262,523,20116,7532,27642
SED20604,112,233,350,77,97,170,61,257,315,91,561,652,328,1468,1796,368,909,1280,1259,639,1893,1084,804,1886,1345,802,2149,1637,563,2203,1146,434,1582,1248,318,1570,2815,370,3185,1902,53,1952,1308,91,1397,853,18,867,1551,94,1641,1185,59,1248,264,329,588,18636,8092,26732
SED20704,136,230,370,63,100,165,63,225,295,82,496,577,302,1356,1659,378,926,1303,1167,607,1779,1161,736,1903,1340,811,2153,1589,515,2106,1184,463,1646,1248,370,1616,2700,470,3166,1956,80,2039,1531,90,1622,931,29,955,1868,131,1999,1055,142,1193,212,255,466,18967,8044,27006
SED20804,110,225,338,83,109,191,76,291,368,99,670,773,327,1750,2075,397,1086,1486,1303,726,2028,1151,876,2026,1299,776,2076,1512,546,2061,1061,432,1496,1037,326,1360,2220,438,2658,1553,67,1625,1170,77,1250,637,15,649,1239,133,1371,994,109,1104,251,346,595,16515,9023,25534
SED20906,258,273,533,100,92,191,101,186,287,78,372,452,223,886,1108,255,563,816,636,423,1059,666,528,1192,813,506,1319,998,464,1461,762,395,1158,805,322,1126,1871,608,2484,1634,67,1706,1609,165,1772,1247,29,1278,5107,268,5371,863,82,945,158,189,345,18181,6422,24604
SED21001,457,511,969,138,174,312,173,300,474,116,479,601,309,971,1281,321,803,1125,750,614,1364,793,712,1501,1027,838,1868,1207,675,1887,869,541,1412,946,441,1383,2016,817,2833,1592,117,1713,1462,226,1689,1100,53,1154,4679,310,4990,1003,169,1171,138,201,336,19097,8964,28061
SED21106,194,272,469,64,121,187,69,199,272,53,334,393,141,695,835,160,568,726,353,473,834,364,605,972,530,720,1254,686,628,1314,553,603,1153,589,563,1151,1328,1051,2381,1152,88,1241,1196,322,1516,842,43,887,6862,702,7565,1000,114,1109,159,205,366,16290,8305,24592
SED21203,377,319,696,97,81,177,175,289,459,188,534,719,493,1179,1673,593,471,1064,1514,336,1851,1393,486,1880,1503,414,1909,1622,336,1956,1097,280,1372,1036,202,1242,1931,317,2246,1332,86,1416,898,75,967,565,33,597,986,130,1120,968,102,1074,331,259,595,17080,5939,23021
SED21303,166,383,546,52,123,173,68,339,404,77,676,753,198,1212,1403,197,789,988,642,703,1342,568,919,1487,709,1190,1903,881,1227,2111,764,1249,2016,777,1119,1894,2091,1975,4063,1743,399,2141,1804,571,2376,1358,229,1589,4587,846,5432,730,639,1371,126,197,322,17534,14772,32306
SED21401,422,314,739,156,116,268,130,197,320,117,344,465,382,875,1258,348,543,889,1034,410,1445,912,508,1422,1099,519,1613,1235,403,1643,911,364,1272,1000,302,1308,2077,463,2543,1580,58,1639,1425,146,1568,990,26,1014,3768,191,3963,1003,81,1079,225,193,420,18813,6058,24872
SED21503,204,290,493,73,68,140,88,198,283,82,361,444,289,946,1237,292,570,864,844,458,1299,824,516,1337,990,527,1515,1148,433,1584,891,425,1314,916,336,1252,1927,495,2416,1705,95,1801,1454,126,1576,977,41,1012,2370,133,2496,792,148,943,188,181,372,16054,6342,22395
SED21608,146,231,377,74,70,139,56,231,288,93,511,604,291,1371,1665,443,843,1285,1179,564,1743,1058,714,1768,1270,702,1966,1501,525,2024,1097,402,1505,1165,292,1466,2427,414,2845,1788,70,1853,1343,81,1421,779,20,800,1660,123,1782,1061,109,1168,244,271,510,17676,7534,25214
SED21706,253,370,624,91,108,203,112,250,365,105,455,559,240,890,1133,256,620,879,602,443,1042,650,538,1185,774,532,1307,908,467,1379,767,442,1207,725,357,1078,1660,611,2267,1384,140,1529,1352,208,1556,1041,73,1115,5580,331,5909,905,177,1075,135,187,326,17546,7193,24735
SED21805,181,298,481,54,100,156,82,195,279,64,467,536,248,1331,1583,313,896,1202,913,550,1461,878,686,1566,1153,813,1969,1308,683,1987,1140,596,1738,1201,415,1616,2786,610,3396,2314,59,2373,1782,132,1911,1087,20,1106,2331,142,2468,1016,90,1106,250,317,563,19109,8399,27508
SED21906,204,421,626,66,120,188,69,252,326,59,442,501,181,848,1028,170,715,884,455,585,1042,463,789,1251,686,974,1664,814,886,1697,643,831,1470,718,716,1439,1806,1300,3105,1462,197,1659,1440,355,1800,1044,84,1129,5513,577,6091,911,226,1139,235,237,467,16945,10555,27499
SED22005,358,388,751,113,121,239,125,264,383,124,501,631,366,1263,1627,339,638,978,1159,465,1619,989,578,1567,1204,601,1809,1352,484,1829,1087,402,1489,1107,346,1450,2396,569,2964,1841,188,2025,1517,194,1705,1050,94,1146,2597,259,2859,982,218,1204,200,212,411,18906,7783,26692
SED22105,262,262,526,72,67,137,116,121,236,108,354,462,366,936,1303,475,596,1073,1316,406,1716,1503,678,2174,1897,811,2709,2568,632,3200,2293,542,2836,2405,347,2757,5530,445,5980,4031,93,4123,2784,94,2880,1569,40,1611,2693,105,2801,1749,114,1862,338,239,574,32089,6880,38971
SED22201,177,221,401,62,69,133,54,170,226,68,364,438,237,1074,1313,286,756,1046,806,551,1359,846,584,1427,1034,575,1608,1204,492,1696,921,419,1339,968,287,1261,2294,478,2767,1961,54,2012,1517,104,1613,1023,20,1044,2468,114,2580,857,79,931,179,232,412,16951,6649,23606
SED22305,321,376,696,91,89,178,126,271,399,163,561,718,444,1370,1811,481,681,1157,1311,461,1774,1295,674,1974,1524,650,2175,1699,484,2183,1219,395,1609,1207,251,1457,2339,376,2724,1561,128,1692,1050,117,1163,612,106,722,983,265,1245,1020,164,1184,284,280,561,17733,7688,25423
SED22404,188,254,442,90,108,195,76,230,304,100,482,585,322,1312,1631,305,727,1033,1070,503,1573,953,582,1535,1199,672,1871,1364,375,1743,986,322,1309,1092,234,1328,2224,281,2514,1514,32,1548,1126,69,1193,650,9,662,1634,120,1752,1235,85,1318,285,293,583,16424,6695,23120
SED22501,162,150,311,59,64,119,55,109,163,45,196,245,166,589,752,177,416,593,575,347,922,601,356,958,786,386,1173,1008,302,1305,767,247,1012,822,226,1043,1956,356,2307,1698,28,1724,1663,83,1746,1242,11,1254,4251,107,4360,861,33,893,153,118,268,17039,4118,21158
SED22607,174,319,490,68,113,181,107,324,430,80,588,672,238,1023,1266,225,647,871,580,568,1145,583,840,1420,794,1012,1805,867,940,1805,697,878,1573,779,764,1543,1785,1277,3064,1614,182,1803,1543,338,1886,1180,77,1256,5385,464,5852,814,206,1021,188,217,409,17699,10784,28479
SED22704,202,274,474,88,121,206,93,312,405,102,639,745,405,1807,2213,396,992,1385,1491,694,2185,1258,716,1971,1421,754,2175,1535,510,2045,1105,380,1487,1113,265,1382,2282,371,2657,1571,47,1616,1137,78,1213,685,9,694,1387,120,1511,1325,73,1400,385,483,871,18001,8645,26647
SED22802,149,182,333,66,64,131,65,132,192,58,225,280,222,818,1047,233,475,709,795,336,1129,758,421,1171,967,425,1397,1140,320,1461,903,284,1184,994,213,1215,2491,349,2837,2067,40,2108,1648,66,1713,1046,5,1049,2126,64,2199,977,44,1024,193,136,332,16906,4609,21514
SED22901,211,206,413,94,67,170,79,148,228,87,324,409,242,937,1180,278,519,804,860,373,1234,781,449,1232,1061,480,1542,1184,331,1515,948,298,1247,974,236,1205,2176,371,2552,1805,46,1848,1499,73,1574,955,17,976,2297,95,2397,881,50,928,141,179,316,16568,5215,21784
SED23007,271,411,681,105,104,215,134,333,469,154,752,908,382,1261,1640,400,732,1137,1068,611,1676,1028,857,1880,1141,1006,2145,1444,953,2399,1121,860,1980,1158,739,1893,2546,1205,3752,2054,272,2324,1798,345,2146,1206,112,1316,3108,415,3521,991,304,1291,243,277,517,20362,11536,31895
