SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED20106,328,1213,260,144,42,3285,1267,365,1990,471,276,99,4472,179,69,544,230,163,19,1204,168,40,337,229,316,35,1124,364,61,728,224,190,149,1721,9525,2231,18377,5097,4620,1057,40901
SED20207,411,1425,443,350,56,3608,886,438,2011,892,788,111,5135,67,30,237,127,143,10,612,121,40,235,255,533,27,1213,308,36,460,257,371,233,1664,7529,1850,14198,6227,8460,1196,39463
SED20302,498,1399,514,507,52,3547,778,470,2568,1562,1751,189,7313,35,27,179,157,254,20,678,65,30,195,292,914,47,1541,105,22,301,282,609,222,1550,3551,1550,9748,7444,13606,1317,37214
SED20401,396,1153,310,283,33,2770,508,329,1438,818,947,91,4132,24,9,110,65,96,6,310,87,29,163,201,545,22,1041,97,25,264,169,350,103,1010,2762,1224,7415,4167,7399,616,23586
SED20508,377,1194,368,386,43,2879,508,447,1619,895,1094,113,4676,26,18,133,78,103,12,367,33,25,144,192,565,17,986,43,21,151,131,279,100,724,1933,1336,6512,4130,8481,638,23030
SED20604,410,977,371,486,19,2638,399,417,1433,931,1369,107,4656,22,15,74,42,94,4,249,18,15,64,129,633,24,877,18,20,88,87,359,99,675,1365,1265,5088,3991,10510,713,22939
SED20704,446,1273,325,394,36,2862,689,548,2005,986,1319,140,5691,19,6,99,50,100,9,288,37,28,134,149,590,19,960,30,13,95,77,322,82,626,1755,1482,6568,3695,9281,662,23445
SED20804,354,899,208,311,29,2221,620,412,1462,849,1076,111,4527,40,41,120,63,86,13,355,45,17,99,135,523,11,829,32,27,107,77,277,98,617,1796,1243,5035,3092,7615,590,19368
SED20906,412,1190,295,215,33,3049,766,342,1713,629,465,105,4026,51,16,214,63,71,11,429,88,25,225,158,343,18,850,166,35,369,150,152,117,986,4888,1635,11396,3929,4318,703,26867
SED21001,358,1265,259,175,41,3223,1147,412,2322,579,459,108,5025,72,34,193,57,68,4,422,109,60,304,166,249,19,925,187,29,419,152,151,129,1072,6550,1798,12481,3710,3467,660,28675
SED21106,305,1073,215,122,32,2593,936,290,1729,402,223,94,3675,103,44,315,83,76,7,634,87,23,251,122,200,18,704,187,54,464,158,127,109,1099,5082,1625,12330,3237,2941,653,25871
SED21203,199,609,218,199,31,1669,368,171,838,547,554,83,2572,13,4,65,31,50,6,172,41,5,120,131,331,33,667,111,21,246,159,279,166,977,2378,662,5157,2870,4371,724,16168
