SED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,19,133,481,298,223,186,39,5,0,1380,20,154,763,532,339,243,80,19,3,2164,883,3863,16825,11572,8238,5599,1800,290,12,49076
SED20207,53,126,380,431,346,201,38,0,0,1577,76,213,651,720,470,246,58,10,0,2445,2137,3821,11507,16969,11007,5837,1125,85,4,52488
SED20302,83,185,594,454,392,235,70,7,0,2008,115,211,708,664,465,314,120,29,8,2623,2587,4274,13629,13786,9739,7002,1961,263,27,53279
SED20401,39,119,311,311,267,233,52,11,4,1340,30,110,374,382,351,273,67,4,4,1588,1488,2708,7446,8017,6783,4983,1230,139,14,32811
SED20508,46,124,269,282,238,202,71,7,0,1239,58,59,184,243,245,196,85,26,8,1105,1906,2266,5259,6742,7199,6283,1972,242,24,31894
SED20604,61,125,276,229,213,182,65,5,0,1162,81,102,215,228,233,198,72,33,6,1180,2306,2700,6446,6670,7040,6095,1977,350,40,33619
SED20704,64,118,290,242,219,219,70,5,0,1220,74,96,241,216,199,193,55,19,0,1098,2284,3294,7335,7081,6819,5649,1490,179,17,34145
SED20804,36,89,255,229,200,189,59,9,0,1076,64,105,193,229,202,209,64,29,4,1096,1647,2322,5738,5765,5946,5252,1541,177,14,28396
SED20906,41,82,196,214,269,196,48,6,0,1050,42,90,272,368,344,170,44,12,7,1354,1689,2738,6120,8368,8616,5327,1397,158,11,34435
SED21001,20,114,261,236,259,199,50,11,0,1153,34,185,429,329,297,206,61,13,8,1564,1622,3849,8261,7697,7744,5409,1562,222,25,36381
SED21106,27,87,163,156,212,154,68,8,0,880,36,96,269,286,340,232,122,26,8,1413,1396,2420,5625,6508,8038,5826,2088,390,32,32320
SED21203,14,97,241,229,191,135,35,3,0,943,67,247,564,403,290,205,44,3,3,1827,939,3131,7367,5465,4294,3131,553,46,5,24934
SED21303,25,141,496,318,203,153,41,8,0,1389,21,149,658,366,247,139,32,9,5,1625,1061,4550,16519,10938,7094,4217,1015,105,11,45504
SED21401,33,87,213,224,238,190,65,15,0,1064,30,102,317,334,303,204,86,23,0,1396,1247,2752,6307,6751,6601,5237,1696,347,22,30955
SED21503,26,108,224,233,247,182,53,6,0,1078,37,140,339,264,256,195,49,12,0,1289,1320,3099,7079,6598,6409,4317,1162,105,6,30094
SED21608,61,146,297,221,254,187,58,6,0,1228,59,113,227,225,243,214,61,25,0,1178,1940,2914,6583,6660,6738,5337,1379,180,24,31749
SED21706,33,120,195,185,203,174,70,8,0,989,46,138,365,320,267,190,57,14,6,1396,1721,3945,7265,7237,7715,5213,1521,185,18,34815
SED21805,38,128,368,343,314,210,75,5,0,1489,59,125,387,428,451,341,74,13,7,1885,1665,2752,7757,8568,8028,5786,1483,142,11,36195
SED21906,24,90,321,232,219,143,61,14,7,1113,48,137,475,420,278,170,119,22,8,1656,1102,3167,10320,8303,6765,4754,2250,335,50,37041
SED22005,36,146,355,345,313,195,56,10,0,1447,46,224,752,495,383,295,76,16,0,2292,1246,4003,10594,8136,6619,4516,1179,109,8,36388
SED22105,50,224,602,633,375,232,44,3,0,2164,123,353,1020,988,661,426,76,7,3,3661,2620,5619,15882,17960,11158,6089,1174,77,14,60596
SED22201,35,126,282,269,263,217,65,5,0,1267,36,125,371,330,277,203,65,13,7,1425,1517,2726,6968,7253,6335,4956,1354,160,16,31286
SED22305,27,111,323,301,214,154,38,8,0,1168,55,275,772,597,425,314,58,10,0,2503,996,3144,8981,7346,5173,3803,952,95,10,30497
SED22404,59,123,263,241,292,253,85,3,0,1324,61,97,199,240,338,285,128,33,10,1396,1550,2077,4841,5336,6552,6197,2122,336,36,29046
SED22501,37,103,161,220,239,224,59,10,0,1050,45,67,143,243,254,183,80,15,0,1034,1658,2486,4503,6828,7545,5887,1856,218,8,30999
SED22607,17,82,298,214,198,162,65,12,4,1056,38,117,394,342,306,189,56,10,0,1445,1489,3708,10228,8706,7789,5343,1487,140,4,38901
