SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED20106,0,0,0,0,9,0,18,9,4,40,0,0,15,36,4,9,6,0,4,67,0,0,8,8,4,0,4,0,0,20,0,0,16,49,5,0,0,0,0,68,0,3,7,38,21,10,18,9,5,107,0,17,93,512,220,146,70,26,7,1093,0,0,7,15,9,8,5,4,0,37,0,0,3,30,3,3,0,0,0,31,0,0,3,9,14,0,3,0,0,37,0,0,48,301,37,31,20,3,0,434,0,0,0,63,22,31,40,16,0,174,0,0,0,0,4,0,0,0,0,5,0,0,11,69,34,31,27,20,6,196,0,12,36,148,38,18,9,5,0,257,0,3,14,140,50,31,30,3,0,272,0,0,16,85,13,15,9,0,0,144,0,4,9,115,8,4,11,0,0,154,0,6,24,214,24,18,0,0,0,288,0,0,4,50,21,16,9,0,0,105,11,36,36,207,69,53,44,14,0,461
SED20207,0,0,0,8,21,74,173,116,45,453,0,3,13,96,16,17,22,10,0,178,0,0,12,45,25,19,10,6,5,116,0,6,33,96,4,6,6,0,0,142,0,6,5,23,13,9,15,13,3,79,38,282,264,630,263,138,66,19,6,1709,0,3,0,54,57,84,76,26,6,319,7,78,34,330,25,15,10,0,0,499,0,0,0,13,10,4,3,0,0,34,4,58,93,537,249,190,127,24,6,1295,0,6,0,54,31,22,53,12,9,182,0,3,19,46,33,18,6,0,0,124,0,6,12,37,41,57,56,35,26,274,6,68,60,103,60,29,10,3,0,345,6,61,64,204,115,61,23,17,8,557,0,11,27,161,67,35,23,6,4,330,0,0,5,62,11,9,6,0,0,99,6,37,39,152,47,18,13,0,0,309,0,4,0,14,19,11,0,0,0,54,8,53,26,75,27,12,7,0,0,213
SED20302,0,0,0,3,0,3,27,8,0,48,3,3,22,124,41,52,27,8,3,291,0,9,16,84,15,0,3,0,0,129,0,6,6,65,4,0,0,0,0,83,0,0,4,13,14,23,114,79,37,277,19,120,147,356,150,138,93,39,12,1074,0,0,0,6,7,6,0,0,0,16,5,49,31,186,19,15,13,0,0,317,0,5,0,5,13,6,3,0,0,24,0,57,109,428,159,79,31,8,0,885,0,0,0,18,12,10,18,3,3,74,0,12,8,19,29,17,3,3,0,86,0,0,3,28,30,64,89,47,14,282,0,21,14,24,12,6,6,0,0,81,3,21,30,90,59,54,26,14,3,297,3,126,137,954,229,114,87,21,6,1673,0,5,6,50,3,0,3,0,0,67,0,9,5,107,27,17,7,0,0,168,0,0,0,14,13,5,9,0,0,34,0,16,12,46,21,18,16,6,0,134
SED20401,0,0,0,0,0,6,10,4,0,20,0,0,4,17,6,12,14,4,0,58,0,3,20,56,23,9,6,0,4,123,0,3,7,39,6,0,0,0,0,63,0,0,0,6,15,19,59,46,22,171,4,12,29,116,76,61,43,20,8,373,0,0,0,0,0,3,0,0,0,13,0,0,0,30,0,5,4,0,0,48,0,0,0,5,6,4,0,0,0,17,4,12,28,183,75,49,33,11,5,408,0,0,0,10,11,19,17,14,26,100,0,0,0,0,3,4,3,0,0,14,0,0,6,17,17,35,44,28,19,164,0,10,21,50,23,27,10,4,4,138,0,5,6,64,27,24,22,10,3,160,0,13,20,203,40,47,41,18,6,390,0,5,0,35,10,10,0,0,0,58,0,10,12,95,34,10,0,0,0,175,0,0,0,4,0,0,0,0,0,10,3,10,9,41,12,10,14,0,0,106
SED20508,0,0,0,0,3,13,46,38,6,108,0,0,5,7,4,4,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,6,9,0,0,0,0,0,12,0,0,4,6,11,14,73,55,18,183,0,10,17,108,61,84,84,32,7,398,0,0,0,0,0,4,3,4,0,13,0,0,0,5,0,0,0,0,0,12,0,0,0,4,7,3,5,0,0,22,0,11,11,63,32,27,24,4,0,173,0,0,0,12,3,9,8,3,3,37,0,0,0,0,0,0,0,0,0,3,0,3,0,21,16,48,70,43,16,213,3,5,0,11,4,0,3,0,0,23,0,6,7,34,26,34,18,10,3,135,0,0,0,11,0,8,7,0,0,19,0,0,4,3,4,0,0,0,0,10,0,6,0,28,16,6,0,0,0,59,0,0,0,0,0,4,0,0,0,11,3,5,7,45,24,21,20,5,0,141
SED20604,0,0,0,0,0,3,3,0,0,14,0,0,0,3,5,0,0,0,0,10,0,0,0,4,3,0,0,0,0,11,0,7,20,32,0,0,0,0,0,55,0,0,0,4,5,16,53,29,7,122,4,21,19,79,80,94,59,18,9,380,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,0,0,3,8,0,0,0,0,15,3,21,19,102,34,30,28,3,0,246,0,0,0,0,4,4,4,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,23,24,24,10,104,0,0,0,0,9,0,0,0,0,12,0,0,6,25,13,14,4,5,0,78,0,4,0,19,7,7,5,0,0,35,0,0,3,14,5,0,0,0,0,20,0,12,4,19,21,9,0,0,0,59,0,0,0,0,0,0,0,0,0,4,0,8,3,32,8,19,14,3,0,84
SED20704,0,0,0,0,0,0,6,0,0,5,0,0,0,8,3,0,0,3,0,17,0,8,11,121,36,20,9,5,0,220,0,0,3,26,0,0,0,0,0,32,0,0,0,3,0,3,21,25,6,67,0,14,25,85,49,53,30,16,0,270,0,0,0,0,0,0,0,0,0,3,0,3,4,22,5,0,0,0,0,33,0,0,0,3,10,3,0,0,0,24,0,10,16,115,38,19,21,3,0,221,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,24,26,25,9,99,0,0,0,7,0,0,3,0,0,15,0,4,18,38,22,10,0,0,0,106,0,9,10,42,9,5,6,4,3,93,0,0,0,15,0,0,0,0,0,22,0,46,95,81,11,3,4,0,0,244,0,0,0,0,0,0,3,0,0,5,0,3,14,19,14,9,8,6,0,73
SED20804,0,0,0,0,0,3,3,0,0,9,0,0,0,5,0,0,0,0,0,7,0,0,21,105,28,19,16,6,0,198,0,0,3,24,0,0,0,0,0,26,0,3,3,6,3,10,36,20,7,86,0,8,8,64,49,84,40,20,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,7,14,4,0,0,0,26,3,11,19,99,47,35,14,4,0,228,0,0,0,0,5,0,0,0,4,15,0,0,0,0,0,0,0,0,0,3,0,0,0,5,10,15,21,21,8,93,0,0,0,4,3,5,3,0,0,12,0,0,8,10,17,12,10,9,0,58,0,3,0,15,3,7,9,0,0,41,0,0,0,16,0,0,0,0,0,20,3,54,60,56,6,11,0,0,0,191,0,0,0,3,0,0,0,0,0,3,3,4,6,28,7,10,11,7,0,87
SED20906,0,0,0,0,0,4,7,7,11,31,0,0,0,22,3,14,7,5,3,57,0,0,5,8,3,3,0,3,3,21,0,0,15,12,0,0,0,0,0,28,0,3,6,7,9,7,6,6,0,50,0,30,41,140,110,81,34,14,3,452,0,0,0,8,3,5,3,0,0,23,0,0,0,15,0,0,0,0,0,17,0,0,0,0,9,0,0,0,0,12,0,4,7,105,30,46,29,4,0,227,0,0,0,43,32,49,67,24,16,226,0,0,0,0,0,0,0,0,0,0,0,6,5,39,22,24,23,17,11,151,0,16,20,41,27,12,15,9,0,148,4,29,57,183,158,99,51,30,20,634,0,0,8,72,43,55,51,30,24,284,0,3,0,43,7,0,4,0,0,61,0,12,9,74,25,8,3,0,0,133,0,3,3,11,9,6,9,8,0,56,8,28,29,67,36,15,11,6,0,200
SED21001,0,0,0,0,0,6,5,11,3,22,0,0,4,20,6,6,5,0,0,46,0,0,0,8,10,4,0,0,0,26,0,0,33,55,0,0,0,0,0,91,0,0,0,0,11,6,16,15,10,57,0,32,57,110,63,63,39,27,13,397,0,0,0,0,0,4,4,3,4,21,0,7,0,32,3,3,3,4,0,62,0,0,0,0,8,10,0,0,0,15,0,16,32,198,41,28,23,6,3,337,0,0,0,12,8,16,5,17,14,74,0,0,0,0,0,3,0,0,0,8,0,0,3,8,16,13,23,30,17,110,6,35,37,89,65,41,37,21,4,328,0,11,22,44,40,20,16,11,0,164,5,11,53,145,43,32,42,13,16,357,0,19,28,183,56,42,37,3,0,362,0,5,17,78,49,16,7,5,0,175,0,0,0,7,4,8,5,0,0,26,4,19,34,38,19,21,8,5,0,152
