SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED20106,586,597,1536,1141,884,793,492,301,102,6428,8228,8083,20445,14274,10699,8793,6174,3277,977,80946
SED20207,1679,903,1153,1303,925,625,391,212,110,7309,25512,11469,15432,21413,14192,9594,6750,3072,1101,108534
SED20302,2009,912,1234,1200,987,898,855,527,260,8880,25362,11786,17584,17368,12615,11993,11190,5951,1961,115817
SED20401,794,487,569,591,561,462,329,215,194,4201,11394,6915,9122,9776,8567,7481,6116,3635,1681,64685
SED20508,898,471,404,542,556,698,792,561,235,5151,11976,6489,6395,8042,8775,10130,11357,6074,2100,71339
SED20604,1155,751,678,717,738,733,592,367,163,5889,13209,7810,8156,8401,8863,9520,8557,4341,1548,70404
SED20704,1227,747,683,669,713,752,529,360,237,5908,14204,8831,9251,8796,8677,8905,7723,4031,1692,72117
SED20804,1013,633,883,772,732,697,573,433,306,6046,10697,6592,7756,7601,7935,8535,8112,4646,1885,63757
SED20906,632,453,428,499,545,438,293,203,120,3619,12876,7992,7389,9999,10398,7677,5335,3287,1821,66780
SED21001,570,664,700,480,529,460,352,296,320,4362,11095,10270,10761,9698,9907,8367,6507,4236,2597,73444
SED21106,651,435,440,562,636,494,384,266,147,4010,10069,7079,6717,7941,9907,8397,6281,3892,1930,62206
SED21203,1761,1112,1357,1190,883,726,426,305,148,7913,15492,10213,12275,10099,8487,7743,5074,3476,1506,74380
SED21303,491,497,1165,706,552,407,258,175,91,4339,8952,8780,19609,12828,8825,6521,4457,2848,1476,74300
SED21401,502,373,407,432,472,419,370,337,231,3534,10071,7563,8038,8607,8605,8350,7052,6010,2811,67111
SED21503,562,649,587,486,490,387,293,196,91,3733,9745,8117,9138,8248,8100,6821,5654,3621,1477,60935
SED21608,1213,761,685,600,765,607,559,287,137,5610,12970,7983,8598,8516,8797,8458,7281,3554,1266,67425
SED21706,600,617,687,477,493,425,312,198,130,3948,11373,10300,9361,8892,9474,7897,5877,3599,2091,68864
SED21805,991,552,659,723,719,561,401,278,147,5039,13127,7389,9544,10452,10031,8795,6645,3498,1360,70841
