SED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED21805,9,19,0,0,0,19,22,21,60,1215,934,135,2283,62,72,132,2415,1218,38,3670
SED21906,0,8,0,0,0,8,16,8,28,743,476,52,1270,27,27,51,1316,645,16,1973
SED22005,6,7,0,0,0,14,16,26,52,790,639,114,1534,58,54,105,1649,1545,50,3237
SED22105,9,19,0,0,0,19,29,35,85,1704,1107,227,3034,90,110,204,3245,1837,68,5151
SED22201,8,14,0,0,0,14,7,18,35,1038,721,104,1867,25,43,71,1939,956,35,2922
SED22305,11,16,0,0,0,16,28,38,82,775,581,121,1479,89,98,191,1665,1878,76,3620
SED22404,5,13,0,0,0,13,19,13,49,626,686,126,1438,29,42,65,1499,870,30,2408
SED22501,4,7,0,0,0,7,0,4,15,869,541,59,1480,25,36,60,1538,639,11,2186
SED22607,4,9,0,0,0,10,6,22,35,777,451,66,1295,56,33,87,1386,926,30,2338
SED22704,8,20,0,0,0,15,27,25,73,734,684,128,1543,41,53,95,1635,1215,46,2900
SED22802,4,4,0,0,0,4,14,8,32,826,677,110,1610,28,32,65,1672,786,22,2483
SED22901,3,16,0,0,0,16,5,4,26,863,586,100,1553,43,45,91,1640,935,11,2590
SED23007,4,11,0,0,0,8,16,40,65,1024,649,129,1798,104,105,206,2010,1769,63,3838
SED23101,0,10,0,0,0,10,10,6,23,724,484,57,1267,27,41,69,1330,1010,11,2354
SED23205,5,19,0,0,0,19,30,30,83,1061,890,141,2090,68,59,124,2214,1440,52,3705
SED23308,10,11,0,0,0,11,27,19,55,899,783,115,1791,47,49,97,1885,1051,29,2962
SED23402,8,14,0,0,0,14,13,16,48,1226,812,157,2200,42,62,102,2307,1029,34,3368
SED23502,11,19,0,0,0,19,27,37,81,575,648,124,1350,41,58,100,1447,963,58,2466
SED23602,3,16,0,0,0,11,21,9,44,588,607,92,1287,47,54,101,1386,879,31,2289
SED23702,6,11,0,0,0,9,22,20,54,972,938,154,2061,49,35,86,2143,1067,46,3264
SED23806,0,3,0,0,0,3,6,3,13,673,373,49,1102,32,28,56,1153,594,13,1764
SED23901,5,5,0,4,5,10,14,16,34,848,585,85,1516,35,39,74,1593,1029,23,2651
SED24006,0,6,0,0,0,6,6,10,25,768,531,63,1366,36,41,81,1444,985,24,2446
SED24105,3,14,0,0,0,14,12,21,49,964,682,119,1758,66,76,144,1901,1566,54,3521
SED24207,8,16,0,0,0,17,23,45,83,1188,889,196,2271,122,148,265,2540,1834,73,4440
SED24308,0,20,0,0,0,18,22,29,69,932,902,159,1996,82,108,184,2178,1675,65,3919
SED24408,0,9,0,0,0,9,22,22,51,557,562,86,1206,28,38,66,1271,867,43,2178
SED24504,4,10,0,0,0,10,8,16,34,669,593,86,1348,26,38,63,1413,746,38,2197
SED24606,0,5,0,0,0,6,10,8,18,641,429,49,1119,34,33,67,1186,673,6,1862
SED24703,3,6,0,0,0,8,14,18,45,794,515,83,1392,52,66,120,1515,1041,35,2581
SED24808,10,22,6,0,0,28,38,23,90,1281,1029,216,2530,142,153,291,2823,2264,48,5137
SED24904,8,24,0,0,0,22,34,26,81,856,653,112,1615,55,63,121,1738,1186,56,2983
SED25003,0,13,0,0,0,13,15,24,58,953,698,96,1750,58,74,131,1880,1204,47,3128
SED25102,4,6,0,0,0,6,9,4,23,750,624,97,1466,25,27,51,1517,680,13,2210
SED25205,4,6,0,0,0,6,10,6,31,987,707,102,1799,33,30,60,1859,881,13,2754
SED25302,5,4,0,0,0,4,14,5,33,801,658,95,1554,23,32,48,1602,731,18,2351
