SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED20106,37,2167,1261,430,2961,1,2076,1.9
SED20207,35,2002,895,387,2336,0.8,2123,2.9
SED20302,36,1907,758,356,1903,0.8,1604,2.7
SED20401,39,1950,818,376,2126,0.8,1738,2.5
SED20508,48,1733,754,380,1973,0.7,1535,2.4
SED20604,42,1452,782,280,1910,0.7,1471,2.4
SED20704,39,1495,771,300,1955,0.7,1557,2.5
SED20804,43,1369,701,285,1734,0.7,1318,2.3
SED20906,40,2500,945,481,2732,0.9,2191,2.6
SED21001,39,2383,814,411,2369,0.9,1836,2.5
SED21106,44,3000,1222,480,3500,0.8,2425,2.4
SED21203,34,1563,486,346,1409,1,1281,3
SED21303,34,2123,1062,411,2721,0.9,2036,2.2
SED21401,44,2400,745,462,2159,0.8,1816,2.6
SED21503,38,2000,749,381,2140,0.8,1754,2.6
SED21608,39,1517,732,290,1889,0.8,1487,2.5
SED21706,38,2600,866,436,2778,0.8,2155,2.6
SED21805,39,1900,853,380,2182,0.8,1744,2.5
SED21906,37,2389,1114,420,2956,0.9,2135,2.3
SED22005,37,2037,700,396,1926,0.9,1686,2.7
SED22105,32,1950,812,383,2022,0.9,1920,3.1
SED22201,39,2000,832,391,2217,0.8,1780,2.5
SED22305,35,1650,606,325,1508,1,1358,2.8
SED22404,46,1704,713,305,1856,0.8,1456,2.4
SED22501,43,2200,963,430,2681,0.8,2302,2.7
SED22607,37,2200,1055,370,2852,0.9,2053,2.3
SED22704,47,1400,673,265,1694,0.7,1302,2.3
SED22802,38,2000,825,392,2227,0.8,1964,2.7
SED22901,41,2000,766,411,2127,0.8,1809,2.7
SED23007,35,1950,801,355,2079,0.9,1738,2.4
SED23101,42,2275,721,438,2181,0.8,1833,2.7
SED23205,40,1800,754,346,1985,0.8,1466,2.3
SED23308,39,1733,820,330,2152,0.8,1526,2.2
SED23402,36,1950,871,371,2231,0.8,1986,2.8
SED23502,50,1300,616,260,1465,0.7,1155,2.3
SED23602,47,1300,652,260,1635,0.7,1248,2.3
SED23702,40,1800,795,351,2084,0.8,1713,2.6
SED23806,38,2600,1187,421,3324,0.9,2313,2.3
SED23901,40,2208,954,396,2646,0.8,2055,2.5
SED24006,42,3010,991,500,3010,0.8,2412,2.7
SED24105,37,2000,675,371,1845,0.9,1737,3
SED24207,34,1900,721,378,1956,0.9,1864,3.2
SED24308,38,1556,677,300,1768,0.8,1408,2.5
SED24408,46,1057,710,210,1710,0.7,1268,2.2
SED24504,45,1950,822,371,2283,0.8,1883,2.6
SED24606,40,2810,1223,426,3457,0.9,2386,2.3
SED24703,30,2000,898,390,2329,1,1609,1.9
SED24808,34,1647,727,330,1819,0.8,1581,2.8
SED24904,41,1213,686,250,1678,0.8,1324,2.4
SED25003,37,1800,753,371,2046,0.8,1849,2.9
SED25102,41,2000,864,385,2402,0.8,2111,2.7
SED25205,41,2167,939,406,2605,0.8,2048,2.5
SED25302,47,2167,822,440,2399,0.7,1900,2.5
SED25402,41,1270,677,240,1742,0.7,1329,2.3
SED25501,40,2562,759,477,2278,0.8,2000,2.8
SED25605,41,2000,693,380,1921,0.8,1647,2.7
SED25704,45,1257,676,230,1636,0.7,1270,2.3
SED25802,42,1582,704,300,1849,0.7,1431,2.5
SED25905,37,1800,717,361,1962,0.8,1780,2.9
SED26005,34,1860,757,386,2074,0.9,2010,3.3
SED26102,52,1900,717,371,1813,0.7,1376,2.2
SED26207,42,2167,805,406,2357,0.8,1923,2.6
SED26303,37,2200,1101,411,2930,0.9,2120,2.3
SED26406,35,2167,858,400,2408,0.9,1873,2.4
SED26504,47,1354,696,260,1677,0.7,1286,2.3
SED26603,36,2058,884,392,2338,0.9,1947,2.5
SED26708,45,1501,745,260,1879,0.7,1440,2.4
SED26806,35,2100,1330,412,2985,0.9,2042,1.8
SED26903,37,2000,776,366,2088,0.9,1623,2.4
SED27003,34,2300,1348,450,3135,1,2267,2
SED27101,38,2100,869,391,2361,0.8,1888,2.5
SED27208,47,1192,625,240,1533,0.7,1166,2.3
SED27305,41,2080,838,426,2404,0.8,2198,2.9
SED27406,44,2500,1053,440,3043,0.8,2220,2.4
SED27504,40,1300,702,260,1731,0.8,1373,2.5
SED27608,36,1900,886,411,2361,0.8,2051,2.7
SED27708,44,1346,733,277,1839,0.7,1408,2.4
SED27807,37,1600,548,331,1457,0.9,1331,2.7
SED27907,38,1800,819,370,2152,0.8,1812,2.6
SED28007,36,1942,780,381,2237,0.9,2107,3.1
SED28107,31,1924,828,376,2062,0.9,2023,3.2
SED28203,35,1900,631,361,1671,0.9,1516,2.9
SED28301,43,2400,784,462,2438,0.8,2134,2.9
SED28408,40,1478,745,300,1879,0.7,1416,2.3
SED28507,34,1733,784,340,1990,0.8,1746,2.8
SED28607,38,2473,1115,438,2991,0.9,2315,2.5
SED28704,34,1993,893,381,2277,0.8,2116,3
SED28803,32,1950,714,390,1943,0.9,1890,3.3
SED29494,0,0,0,0,0,0,0,0
SED29797,50,0,2200,0,0,0,0,0
