SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED24207,108,279,275,134,375,305,76,121,30,1698,80,272,240,149,681,522,87,164,591,2773,2168,5856,5119,3399,11439,10022,2087,3410,1136,44643
SED24308,79,196,151,58,226,222,38,87,10,1076,70,150,123,102,270,325,53,124,293,1504,1652,4559,3757,2474,6661,6560,1602,3013,623,30895
SED24408,48,132,95,73,164,214,53,99,11,890,47,130,65,54,150,149,37,88,229,943,1404,3873,3101,2390,4457,5379,1488,4361,556,27007
SED24504,83,202,146,102,164,214,59,160,20,1163,76,183,95,69,174,234,63,150,160,1213,1902,5187,3658,2672,4907,6422,1980,4276,546,31554
SED24606,54,156,109,45,139,101,38,70,3,715,51,171,129,83,204,280,81,206,172,1384,1491,4838,3530,2242,5309,6970,2175,5542,373,32462
SED24703,158,373,398,154,327,276,70,127,14,1903,147,390,393,144,479,537,88,220,549,2953,4137,12009,9837,4616,14608,16672,3687,6910,1092,73549
SED24808,114,232,206,94,388,328,73,150,10,1592,87,195,150,129,471,431,72,147,444,2121,2164,5438,4484,3205,9806,9003,2274,4267,966,41595
SED24904,64,146,122,87,226,217,47,104,22,1032,79,177,127,77,261,207,54,105,413,1501,1377,3933,3224,2465,6278,5671,1604,3920,868,29343
SED25003,101,199,177,90,338,213,62,92,6,1295,72,176,143,91,460,337,49,103,329,1757,1664,4771,4209,2772,8840,7613,1684,2814,665,35022
SED25102,102,228,148,107,217,243,74,158,7,1287,59,144,93,73,250,277,68,128,158,1254,1837,4838,3715,2558,5453,6435,1924,3530,369,30670
SED25205,93,189,164,87,213,181,62,105,12,1106,49,125,116,84,283,331,64,163,153,1372,1773,4949,3872,2731,6563,7921,2279,4047,365,34496
SED25302,106,201,139,86,139,179,41,99,11,1006,60,173,97,74,204,229,64,149,162,1201,1811,5148,3700,2566,4565,6091,1824,3987,402,30087
SED25402,73,178,129,76,238,248,53,112,13,1122,67,115,84,59,190,208,50,130,237,1138,1681,4384,3511,2507,6083,5451,1796,3114,577,29100
SED25501,58,164,132,69,181,148,41,73,7,873,35,181,147,87,298,297,53,88,244,1442,1156,4661,3816,2191,6765,7281,1492,2680,437,30470
SED25605,78,205,170,90,231,194,49,75,16,1110,50,187,177,103,504,328,51,97,319,1811,1151,4242,3600,2228,7008,6024,1351,2443,581,28634
SED25704,69,184,151,85,211,249,70,155,19,1201,72,152,86,73,218,217,51,128,293,1283,1532,4135,3452,2441,5182,5596,1712,4332,728,29106
SED25802,93,241,174,123,312,349,79,196,26,1582,89,188,117,57,243,271,82,158,303,1511,1964,5432,4211,2891,6433,6590,1895,4695,768,34878
SED25905,104,213,169,84,283,281,58,94,9,1298,60,170,151,98,487,392,66,144,310,1870,1406,4398,3674,2504,7852,6955,1622,2741,629,31779
SED26005,118,228,201,98,386,339,86,117,13,1581,56,227,180,121,684,564,98,169,419,2510,1746,5690,4744,3225,10620,9027,2176,3319,787,41339
SED26102,117,186,154,78,147,148,41,78,11,960,87,225,123,81,148,225,55,108,269,1318,2189,5090,3721,2427,4227,5186,1386,2915,648,27795
SED26207,94,178,136,79,179,180,55,134,23,1055,61,129,122,67,265,271,57,126,236,1338,1649,4199,3327,2149,6070,6758,1718,3722,475,30060
SED26303,105,214,159,117,245,179,43,92,10,1161,41,134,119,90,233,298,74,143,178,1313,2057,5270,4370,3408,7605,8684,2601,4753,354,39103
SED26406,91,173,194,90,242,171,54,84,18,1112,72,177,183,96,385,362,59,127,314,1768,1882,5926,4638,2886,8377,9024,2184,3780,576,39269
SED26504,69,146,97,63,187,215,52,113,12,948,62,129,103,57,167,166,38,92,217,1032,1644,4132,3307,2524,4984,5021,1525,3445,564,27146
SED26603,110,170,192,113,311,244,49,99,13,1306,59,161,162,78,359,349,54,134,285,1643,2148,5267,5068,3325,9239,9302,2291,4001,596,41242
SED26708,63,176,101,62,172,212,46,116,18,966,70,176,97,64,171,203,63,125,279,1244,1912,5186,3611,2581,4859,5704,1759,5020,731,31367
SED26806,125,192,216,100,285,218,51,106,7,1301,66,177,143,89,350,501,112,248,247,1939,2024,4977,4348,2882,9777,12194,3324,6838,549,46917
SED26903,105,185,179,85,243,234,55,80,23,1181,65,172,160,99,331,308,56,110,315,1623,1779,4634,4407,2922,7917,7476,1912,2936,638,34618
SED27003,110,199,188,108,260,238,74,128,11,1310,61,175,123,104,320,438,95,257,241,1810,2116,4973,4173,3258,9810,12302,3805,7552,483,48476
SED27101,86,196,167,88,250,225,67,113,7,1203,35,156,116,73,339,300,67,103,202,1389,1573,4783,3886,2697,7504,7739,1938,3337,434,33878
SED27208,46,165,123,61,167,189,48,108,17,932,71,133,74,61,189,191,46,109,228,1101,1622,4358,3273,2575,5048,5401,1489,3861,585,28218
SED27305,88,190,162,83,231,234,61,133,0,1186,42,133,113,82,360,321,66,116,184,1416,1315,4325,3394,2240,6679,6828,1752,3042,362,29943
SED27406,71,193,145,89,152,173,61,101,7,984,49,177,124,67,202,333,81,200,148,1387,1646,5218,3641,2421,5362,7440,2187,5048,331,33284
SED27504,70,224,164,101,323,290,84,149,19,1424,60,160,119,61,241,264,75,139,338,1449,1607,4616,3577,2856,6638,6744,2025,3939,706,32725
SED27608,130,305,249,122,264,260,62,123,13,1528,59,196,125,87,237,317,60,194,202,1486,2744,8185,5848,3920,8929,9725,2805,5175,537,47863
SED27708,68,195,157,97,226,225,38,117,10,1137,65,153,87,53,146,208,40,108,252,1121,1812,5157,3807,2667,5604,6126,1745,3860,614,31391
SED27807,124,236,289,104,286,217,36,69,15,1374,77,255,273,141,539,310,71,105,478,2253,1401,4415,4255,2383,7490,5824,1316,2031,906,30023
SED27907,117,204,160,84,235,272,75,128,16,1285,51,149,99,60,292,266,52,130,229,1328,1869,4230,3596,2469,7390,7433,2013,3460,483,32936
SED28007,107,218,187,105,334,276,66,117,17,1430,72,191,157,101,446,413,92,134,407,2006,1933,5524,4532,2990,9740,9069,2068,3645,844,40335
SED28107,112,268,273,140,455,319,89,120,30,1800,112,310,374,217,786,648,91,178,886,3591,2614,7461,7876,4648,15952,14248,2623,4435,1741,61610
SED28203,88,218,205,89,280,250,57,80,25,1293,82,223,198,136,540,414,58,108,434,2179,1478,4570,4454,2800,9140,7259,1487,2403,909,34515
SED28301,74,213,166,82,174,220,54,103,14,1098,60,195,146,82,255,258,55,145,181,1375,1447,5419,3791,2296,5499,6676,1612,3699,340,30778
SED28408,60,162,125,72,192,172,53,94,11,936,55,109,78,50,163,164,49,99,183,942,1612,4638,3643,2516,5832,5610,1753,3087,382,29079
SED28507,96,207,175,102,333,260,64,105,19,1372,69,178,193,124,488,462,73,137,423,2146,1971,5107,4570,3247,10599,9757,2126,3482,848,41710
SED28607,100,186,160,106,212,204,72,139,10,1187,52,115,134,88,258,327,78,186,197,1440,2092,4645,3992,3008,7329,9289,2805,5755,388,39304
SED28704,166,319,283,122,402,416,112,204,18,2041,82,184,162,119,505,497,114,224,340,2209,2676,7012,5755,4023,11290,11648,3135,5529,806,51874
SED28803,158,297,329,123,490,401,83,129,30,2039,97,334,300,179,773,637,108,179,699,3304,2538,7701,6967,4346,14634,12403,2696,4572,1482,57338
SED29494,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
