SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED20106,839,3051,3999,60,5,7958,635,2615,5539,93,15,8900,335,2267,14333,234,37,17205,3,457,870,0,3,1333,0,38,370,4,0,410,81,504,1592,45,14,2244,3,21,100,0,3,132,4,4,46,0,0,57,436,3295,17312,283,55,21378,21,138,439,5,3,604,12,85,290,5,10,401,1948,9180,27585,443,97,39252
SED20207,7452,1000,268,0,3,8726,13524,1641,277,0,0,15449,7418,1516,494,14,4,9445,194,40,65,0,0,302,22,14,34,0,0,71,842,158,67,5,0,1072,176,30,4,0,6,213,41,7,4,0,0,52,8697,1764,668,17,13,11152,258,77,140,4,0,485,369,50,22,0,0,446,30306,4532,1378,25,15,36253
SED20302,10612,882,110,153,13,11770,17509,529,65,5,17,18128,5951,779,179,0,10,6925,189,152,53,0,0,400,37,56,23,0,0,116,1464,91,29,0,3,1584,155,22,9,35,3,223,43,4,3,4,0,52,7841,1102,298,47,13,9297,457,318,12,10,4,804,624,87,12,14,0,735,37043,2915,490,234,51,40725
SED20401,6560,1036,131,3,7,7726,8102,1654,271,0,7,10030,2693,1418,254,4,6,4374,292,186,132,0,0,614,37,43,47,0,0,128,658,208,40,0,3,912,54,22,0,0,0,79,12,13,0,0,0,30,3747,1894,478,7,11,6134,160,71,19,0,0,251,219,62,19,0,4,309,18788,4714,914,10,22,24446
SED20508,11386,609,69,93,11,12171,9136,247,14,9,3,9408,3212,423,43,14,5,3694,58,46,0,0,0,99,32,14,0,0,0,51,861,111,15,8,0,993,76,6,0,39,0,134,24,5,0,4,0,29,4267,604,63,65,8,4999,520,106,5,7,0,643,374,43,7,9,0,422,25676,1603,160,176,24,27642
SED20604,9085,277,42,63,14,9479,9069,169,30,21,19,9311,3241,750,173,14,3,4179,665,236,56,0,0,961,57,33,6,0,0,96,1134,121,32,9,9,1300,303,15,3,11,4,341,30,15,0,0,0,39,5436,1167,271,29,15,6919,427,27,9,3,12,475,405,94,10,38,7,554,24419,1730,363,156,62,26732
SED20704,8847,403,20,32,23,9329,9837,224,17,11,16,10107,3667,828,37,10,3,4547,418,207,23,0,0,647,135,69,8,0,0,207,1155,146,4,5,9,1318,93,16,0,9,0,112,24,11,0,0,0,37,5482,1278,73,14,13,6865,348,29,4,0,0,384,269,39,0,3,0,316,24791,1976,120,65,57,27006
SED20804,9293,259,33,53,18,9652,8298,170,26,10,11,8515,3162,611,129,11,5,3920,511,278,63,0,0,858,114,66,14,0,0,189,1366,96,35,14,9,1525,114,8,8,8,4,141,28,0,3,0,0,33,5303,1059,247,42,15,6663,283,19,4,0,0,312,339,37,12,3,0,396,23510,1549,329,95,45,25534
SED20906,6394,1032,761,12,6,8206,6024,1627,1304,16,9,8980,2376,1205,1500,36,8,5122,95,79,245,0,0,414,26,12,115,0,0,154,515,208,215,10,0,948,28,14,26,3,0,71,10,5,10,0,0,25,3046,1517,2111,49,12,6732,198,78,144,0,4,421,138,42,77,0,0,260,15796,4310,4392,73,32,24604
SED21001,6796,2211,772,3,6,9784,5354,1777,942,8,3,8083,1996,2360,2816,14,9,7198,35,95,87,0,0,216,41,66,45,0,4,157,523,412,408,9,5,1357,72,68,85,0,0,227,9,13,16,0,0,40,2676,3024,3457,16,16,9186,236,255,163,0,4,658,132,135,78,0,0,343,15190,7400,5405,27,34,28061
SED21106,5658,1898,1433,24,4,9019,4352,1366,1609,20,0,7340,1274,1190,3605,53,11,6128,48,119,99,0,0,269,3,13,78,0,0,100,325,219,431,10,0,995,18,10,24,5,0,57,4,4,15,0,0,27,1677,1558,4250,70,13,7565,137,97,185,4,0,412,115,47,85,0,0,249,11939,4963,7558,114,19,24592
SED21203,6229,402,122,9,4,6765,6223,1113,204,0,6,7551,2716,1149,322,9,11,4205,926,270,193,0,0,1393,50,35,45,0,0,126,1110,210,72,6,5,1397,369,74,30,93,3,571,53,11,3,5,0,74,5224,1751,659,112,25,7768,283,67,22,0,0,366,462,74,22,7,5,565,18416,3405,1029,127,37,23021
SED21303,5348,1490,944,30,12,7828,3945,2102,2648,34,4,8737,2121,3203,6501,112,7,11938,56,302,411,0,0,770,13,34,125,0,0,175,679,589,711,31,0,2008,29,20,27,0,3,78,5,10,24,0,0,44,2899,4155,7802,151,10,15014,165,110,124,4,0,404,144,71,100,7,3,325,12506,7928,11617,217,31,32306
SED21401,8598,1516,721,0,3,10839,5243,1469,832,0,4,7546,2213,1004,1208,5,6,4435,31,24,29,0,0,79,12,13,41,0,3,65,521,173,160,0,0,854,53,18,10,0,3,87,11,0,6,0,0,18,2842,1231,1454,5,16,5548,243,154,237,0,3,637,187,58,55,0,0,298,17106,4428,3306,5,25,24872
SED21503,7210,695,140,0,4,8049,6514,963,266,0,0,7745,2398,1144,762,3,4,4312,268,160,20,0,0,443,49,14,25,0,0,95,640,168,85,0,0,891,110,20,18,0,0,155,11,5,0,0,0,23,3485,1514,912,3,8,5928,252,80,25,0,0,361,251,41,20,0,4,311,17710,3300,1366,6,20,22395
SED21608,7943,452,64,21,0,8473,9612,389,26,15,9,10053,2964,830,118,9,4,3928,321,187,35,0,0,542,67,53,17,3,0,146,913,167,19,6,3,1115,94,9,0,10,4,114,28,10,0,0,0,37,4387,1259,190,29,13,5878,362,73,3,0,0,441,306,53,0,0,3,362,22607,2220,285,65,32,25214
SED21706,6562,1370,488,13,7,8444,5786,1578,746,6,8,8120,2308,1500,1157,33,4,5008,366,278,304,0,0,954,35,50,155,0,0,241,561,250,145,11,0,963,64,34,31,0,0,128,10,14,12,0,0,39,3349,2125,1811,43,11,7335,258,213,75,0,0,550,169,54,53,0,3,289,16120,5337,3183,68,30,24735
SED21805,5720,1602,292,98,10,7717,9395,2166,309,9,4,11887,2998,1788,302,5,3,5097,208,130,61,0,0,402,53,67,5,0,0,129,677,264,57,6,0,1006,127,40,13,126,0,307,13,21,5,4,0,47,4076,2317,438,140,10,6986,171,252,94,5,0,525,250,106,35,14,0,404,19604,6445,1165,267,27,27508
SED21906,4501,2241,1320,29,9,8104,3501,2124,2272,28,0,7935,1004,1983,5545,88,12,8632,3,87,131,0,0,218,4,39,88,0,0,137,347,491,723,31,0,1588,31,23,56,0,0,107,7,16,29,0,0,56,1402,2627,6564,118,16,10730,121,129,153,4,0,409,107,88,122,4,0,323,9634,7207,10439,188,26,27499
SED22005,7384,1138,324,3,6,8854,5494,1720,554,3,0,7773,3058,2635,1031,6,15,6744,233,224,56,0,0,512,64,35,6,0,0,111,795,451,111,0,4,1369,157,103,28,0,0,283,22,18,0,0,0,43,4331,3468,1241,11,20,9066,247,118,198,0,0,564,279,123,37,0,0,441,17739,6567,2349,16,23,26692
SED22105,5373,762,139,0,0,6278,20190,1388,72,0,13,21655,6465,1104,144,4,18,7733,268,61,31,0,0,361,47,26,24,0,0,91,1121,136,21,0,0,1280,190,31,0,0,0,235,34,10,0,0,0,45,8129,1375,217,0,17,9748,367,242,104,0,0,714,483,80,12,0,0,580,34541,3844,551,0,36,38971
SED22201,7196,560,98,0,3,7854,8675,740,214,0,9,9638,3177,639,193,4,3,4022,252,94,62,0,0,405,55,41,14,0,0,104,650,97,24,5,0,781,55,9,8,0,0,69,9,3,0,0,0,20,4202,885,296,10,4,5396,343,122,3,0,0,470,203,27,8,0,0,245,20611,2328,624,12,22,23606
SED22305,5639,885,247,12,0,6778,5760,1456,460,8,3,7687,3008,2152,1350,13,12,6533,550,539,167,0,0,1258,43,80,76,0,4,205,955,337,142,4,9,1443,288,108,40,34,9,476,50,18,10,0,0,81,4890,3238,1788,58,30,9999,224,98,34,0,0,359,352,147,90,0,4,595,16861,5821,2618,75,47,25423
SED22404,9364,221,41,203,22,9856,9230,116,22,19,11,9399,1376,209,21,8,0,1611,132,74,0,0,0,206,26,14,6,0,0,54,861,46,9,5,4,930,147,0,7,40,3,204,19,11,0,0,0,28,2574,354,44,57,9,3033,409,31,7,12,6,459,342,15,4,7,3,375,21921,738,115,292,58,23120
SED22501,8167,438,244,3,4,8850,8463,579,219,0,3,9257,1275,427,180,0,0,1885,88,32,9,0,0,130,8,37,19,0,0,65,368,84,33,0,0,483,22,12,7,0,5,44,6,12,0,0,0,17,1768,604,250,7,9,2625,162,52,29,0,4,244,134,25,14,0,0,174,18693,1692,748,6,17,21158
SED22607,5719,1320,1081,11,9,8145,4782,1695,2056,15,0,8552,1493,1799,4700,44,8,8045,49,170,1341,0,0,1562,31,21,135,0,0,190,375,272,517,17,4,1185,36,10,40,0,4,94,14,7,23,0,0,38,1993,2290,6758,61,11,11112,144,62,118,0,0,329,112,51,177,0,0,342,12758,5421,10190,91,25,28479
SED22704,10720,415,11,113,12,11266,8845,132,12,21,10,9015,2113,505,23,14,8,2664,394,194,0,0,0,595,68,34,0,0,0,105,1062,107,4,8,6,1186,387,31,5,62,5,488,35,12,0,4,0,51,4063,885,34,89,23,5092,495,113,0,8,0,619,546,61,4,49,4,661,24667,1599,61,274,46,26647
SED22802,6778,436,9,25,4,7256,9971,364,7,8,7,10354,1872,363,7,0,7,2256,116,59,6,0,0,181,44,21,0,0,0,67,645,58,0,0,6,715,44,4,0,32,3,85,18,0,0,0,0,20,2749,518,18,36,14,3329,247,104,0,0,0,354,202,19,0,3,0,225,19946,1438,37,69,30,21514
SED22901,6956,716,114,9,0,7796,7396,863,136,8,0,8405,2777,584,152,9,3,3521,175,104,23,0,0,302,31,43,45,0,0,121,526,73,32,0,0,631,37,26,0,0,0,63,15,12,0,0,0,22,3556,835,251,7,4,4662,214,419,20,0,0,655,163,84,10,0,0,262,18288,2916,541,26,12,21784
SED23007,5799,1154,613,18,5,7584,5316,2667,1862,18,7,9874,3063,2371,4017,22,14,9490,472,791,266,0,4,1533,53,66,117,0,0,239,924,451,398,14,6,1784,137,76,56,15,3,291,43,18,23,0,0,84,4691,3778,4868,55,25,13424,263,121,60,5,0,448,307,134,122,4,6,565,16372,7854,7527,99,44,31895
SED23101,7867,1177,135,3,0,9192,6136,911,235,0,0,7283,2344,700,206,10,0,3253,161,179,17,0,0,358,34,49,54,0,0,137,547,155,51,5,0,755,76,18,53,0,0,141,11,14,14,0,6,34,3173,1120,382,14,9,4692,199,303,74,0,0,571,177,80,28,0,0,287,17551,3587,859,15,7,22018
SED23205,6089,828,89,23,3,7037,7484,912,143,0,5,8544,3910,1510,566,9,15,6005,479,271,50,0,3,802,61,48,36,0,0,149,808,253,66,5,0,1132,50,21,10,9,0,97,25,13,9,0,0,44,5335,2116,737,25,22,8232,176,253,48,0,0,477,286,86,26,0,0,403,19379,4194,1045,49,30,24697
SED23308,7457,901,304,72,4,8750,7569,670,231,9,8,8494,4061,1846,1021,26,18,6971,454,335,81,0,0,872,84,177,58,4,9,324,1047,351,107,17,13,1536,88,48,18,78,3,236,33,28,6,0,0,60,5766,2789,1294,126,39,10008,235,56,17,10,4,318,252,70,31,4,0,354,21276,4494,1878,228,57,27930
SED23402,6901,709,27,53,8,7695,13481,593,5,7,7,14092,4113,698,14,0,9,4835,78,23,11,0,0,106,13,38,0,0,0,58,675,94,6,5,5,780,47,15,0,25,0,96,20,7,0,0,0,24,4948,877,33,31,13,5904,266,305,15,4,0,593,279,74,0,0,0,362,25880,2558,84,96,31,28642
SED23502,11392,411,67,217,21,12119,7362,109,25,8,14,7518,1971,379,136,16,3,2500,309,147,76,0,0,535,100,62,17,0,4,186,1162,80,17,14,8,1281,154,24,10,48,6,235,30,16,4,0,0,52,3723,703,259,83,26,4790,444,77,10,6,0,550,484,48,13,22,12,571,23410,1354,378,336,78,25541
SED23602,10043,267,110,105,21,10544,7336,113,28,18,10,7502,1958,307,246,10,0,2523,277,95,48,0,0,423,65,23,46,0,0,137,926,49,29,3,8,1021,288,16,6,35,0,351,31,8,0,0,0,41,3546,494,384,56,7,4488,453,35,22,3,0,513,416,27,13,10,0,468,21790,938,559,185,40,23521
SED23702,7497,989,46,51,4,8585,10947,999,37,5,5,11995,1819,1057,30,4,0,2915,258,113,0,0,0,377,19,41,0,3,0,61,721,207,10,3,3,943,251,29,3,118,0,403,15,5,0,3,0,24,3087,1457,41,127,9,4728,291,170,5,3,3,469,242,68,0,12,0,324,22062,3677,134,206,24,26102
SED23806,5328,1776,1638,12,14,8767,3619,1326,2191,5,6,7149,1042,1309,5372,46,9,7774,5,5,131,0,0,136,0,33,59,0,3,99,271,284,657,16,5,1226,14,14,55,5,0,87,4,5,13,0,0,31,1345,1646,6285,64,19,9352,136,76,231,0,3,451,86,33,113,0,0,225,10508,4850,10462,81,39,25939
SED23901,7232,1053,571,7,8,8862,6105,1491,612,9,0,8209,2286,1610,1577,12,13,5499,506,464,109,0,4,1089,35,83,94,0,0,214,566,264,187,11,0,1030,172,34,10,0,0,220,12,9,5,0,0,28,3580,2472,1980,28,21,8074,227,102,113,0,4,454,181,68,29,0,0,278,17328,5181,3308,31,32,25879
SED24006,7236,1708,761,11,8,9724,5034,1121,689,7,5,6848,1700,1212,1593,30,4,4529,24,7,31,0,0,60,11,11,12,0,0,30,385,226,187,4,0,803,36,6,5,0,0,50,13,4,9,0,0,24,2162,1459,1837,32,6,5503,246,87,101,0,0,432,147,33,39,3,0,226,14826,4413,3418,55,17,22728
SED24105,7305,727,180,25,0,8238,7936,1082,270,3,3,9298,2562,898,468,5,13,3935,231,93,57,0,0,379,31,22,9,0,0,58,845,130,71,5,0,1057,229,39,16,27,0,314,28,9,8,0,0,48,3922,1195,622,40,15,5790,222,87,9,5,0,321,302,65,26,3,0,392,19691,3164,1110,66,17,24037
SED24207,7190,366,68,36,6,7666,13865,718,120,0,14,14711,3930,574,196,0,4,4712,285,54,12,0,0,349,61,41,3,0,0,113,1015,109,20,0,0,1147,207,12,5,59,5,284,43,4,0,3,0,50,5539,796,238,68,14,6652,319,106,10,3,0,442,514,63,5,8,0,593,27432,2051,439,108,32,30068
SED24308,7776,492,82,53,4,8405,7990,409,82,9,4,8493,4275,958,207,9,11,5459,908,411,25,0,0,1344,156,72,19,0,0,248,950,133,49,0,4,1139,125,27,7,35,3,199,42,8,0,0,0,54,6457,1623,311,44,13,8446,282,35,3,35,0,355,389,60,10,4,0,463,22895,2612,485,138,24,26159
