SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED20106,18,34,7,9,5,0,71,10,94,7,12,0,0,114,39,617,37,51,0,3,750,65,181,98,76,4,0,423,74,99,132,75,4,4,395,366,74,69,138,6,3,658,2349,55,29,312,15,3,2766,5341,38,16,427,22,13,5851,3625,10,5,406,21,8,4075,1946,3,0,260,7,0,2219,1112,3,0,111,6,0,1231,682,4,0,58,0,0,745,463,0,0,43,3,0,511,848,0,0,106,11,0,958,267,116,19,169,20,27,618,17205,1333,410,2244,132,57,21378
SED20207,13,13,0,11,0,0,37,11,20,0,9,0,0,43,14,74,3,34,5,0,134,29,40,9,56,11,0,140,36,45,27,42,4,0,158,139,36,11,68,51,0,304,1450,22,8,274,53,7,1825,5483,23,5,326,32,4,5869,1447,9,0,88,18,0,1563,408,0,0,29,0,0,442,106,0,0,10,0,0,121,33,0,0,3,0,0,40,23,0,0,0,0,0,23,58,0,0,7,0,0,73,185,21,5,110,35,29,394,9445,302,71,1072,213,52,11152
SED20302,12,17,3,19,5,0,57,5,26,0,10,6,0,40,18,162,14,71,14,3,286,48,54,24,123,20,6,275,73,36,21,130,12,0,270,379,18,14,235,37,5,690,1740,28,17,415,32,8,2242,3617,8,0,362,39,4,4034,684,3,4,76,3,0,777,90,0,0,27,0,0,122,34,0,0,6,0,0,45,16,0,0,0,0,0,19,8,0,0,4,0,0,17,36,0,0,8,6,0,51,147,36,9,113,36,17,364,6925,400,116,1584,223,52,9297
SED20401,4,21,11,12,0,4,48,7,34,0,9,0,0,51,11,241,13,28,12,3,308,22,91,25,53,3,0,198,19,39,16,49,0,0,124,105,39,19,71,3,0,242,700,45,23,228,19,0,1015,2413,28,10,304,22,0,2775,768,0,5,65,3,0,844,129,0,0,15,0,0,148,35,3,6,7,0,0,48,12,0,0,3,0,0,14,12,0,0,0,0,0,15,22,0,0,6,0,0,30,100,62,4,72,13,12,266,4374,614,128,912,79,30,6134
SED20508,0,4,0,14,0,0,20,3,7,3,0,5,0,26,7,36,0,48,5,0,109,35,23,9,58,17,0,144,38,5,5,64,20,4,141,144,5,6,116,17,0,285,706,14,12,246,13,6,998,1845,0,6,260,13,7,2138,633,3,0,88,7,0,726,133,0,0,25,3,0,165,48,0,0,10,0,0,65,20,0,0,3,0,0,27,11,0,0,0,0,0,12,20,0,0,6,0,0,24,47,11,0,51,20,13,141,3694,99,51,993,134,29,4999
SED20604,3,52,0,14,6,0,77,8,65,6,12,0,0,90,38,371,13,97,11,0,531,213,165,35,167,21,12,612,248,72,7,194,15,5,538,741,108,14,249,167,9,1288,1228,36,12,311,55,4,1643,1306,8,0,144,16,6,1484,256,0,0,30,7,0,290,39,0,0,6,0,0,48,12,0,0,0,0,0,13,6,0,3,0,0,0,8,4,0,0,0,0,0,4,9,0,0,10,0,0,19,76,67,6,73,35,9,272,4179,961,96,1300,341,39,6919
SED20704,6,34,6,6,7,0,53,0,42,13,8,0,0,64,17,244,11,86,12,3,378,131,104,50,132,9,8,433,149,51,33,150,14,0,404,732,78,44,257,21,7,1138,1651,41,28,348,17,5,2095,1440,7,6,185,16,0,1659,302,0,0,40,8,0,346,37,0,0,10,5,0,56,8,5,0,4,0,0,18,4,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,0,0,8,53,44,9,69,16,10,201,4547,647,207,1318,112,37,6865
SED20804,9,46,3,12,0,0,75,0,55,7,11,4,0,71,31,346,21,93,12,0,505,159,138,53,187,22,3,566,191,61,21,184,9,0,470,711,104,26,272,29,0,1140,1502,41,30,414,22,7,2017,1018,3,15,198,11,0,1247,194,4,4,61,0,0,262,36,0,0,8,3,0,45,13,0,0,0,0,0,13,5,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,4,5,0,10,60,54,9,83,20,12,238,3920,858,189,1525,141,33,6663
SED20906,3,23,5,8,0,0,42,4,17,3,0,0,0,31,13,166,16,27,5,0,229,15,54,47,47,3,0,166,16,31,25,31,5,0,108,47,35,30,54,0,0,169,336,23,9,111,11,0,491,1139,21,8,188,14,0,1363,1299,5,0,167,10,0,1483,763,0,0,104,3,0,874,511,0,0,50,4,0,567,410,0,0,51,4,0,472,279,0,0,16,3,0,299,203,0,0,26,4,0,226,79,24,4,64,15,16,205,5122,414,154,948,71,25,6732
SED21001,9,14,4,14,0,0,43,3,8,7,12,0,0,30,19,89,26,42,10,0,182,64,23,29,91,18,5,234,105,24,19,62,10,0,223,171,24,12,93,13,0,315,818,12,12,211,19,0,1080,2865,9,11,345,53,3,3294,1608,9,13,197,28,6,1861,663,0,0,70,11,3,749,377,0,0,39,8,0,419,193,0,7,20,3,0,217,71,0,0,6,0,0,86,114,0,0,19,3,0,135,111,13,16,133,32,14,320,7198,216,157,1357,227,40,9186
