SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED22404,87,87,63,45,88,25,16,404,117,186,150,93,88,40,10,690,154,173,135,61,79,22,9,627,2036,2147,1334,849,1044,311,117,7838,8,18,10,7,8,0,0,52,2408,2605,1684,1061,1304,396,151,9610,3,15,12,8,13,6,3,58,34,41,47,27,46,11,5,211,3,19,21,17,33,9,11,113,263,415,324,244,289,97,26,1655,15,17,9,10,5,0,0,60,323,500,416,311,386,122,51,2105,2732,3103,2098,1372,1685,522,206,11719
SED22501,431,500,253,180,202,146,63,1771,338,403,267,144,197,95,44,1485,311,350,177,105,150,98,53,1251,1912,2196,1361,896,1208,701,355,8635,4,14,0,0,0,0,0,21,2989,3460,2054,1327,1764,1045,512,13158,20,38,35,20,36,15,21,189,20,47,51,28,39,23,16,223,17,37,33,28,34,21,16,190,123,226,225,194,246,118,69,1205,0,0,5,3,3,0,0,13,182,350,351,278,360,177,116,1818,3176,3816,2409,1605,2127,1220,634,14980
SED22607,699,663,313,216,225,188,80,2379,327,285,150,127,178,121,58,1237,383,367,163,92,99,101,54,1260,1506,1763,1133,750,1049,730,357,7281,5,9,0,4,3,0,0,28,2923,3092,1759,1183,1553,1134,543,12195,126,144,102,68,111,76,43,676,23,37,42,30,42,28,14,219,21,35,29,26,24,20,10,157,89,177,144,120,154,94,58,839,20,20,10,3,4,3,0,62,287,414,331,241,335,217,130,1954,3205,3508,2084,1432,1890,1356,672,14151
SED22704,142,144,90,59,75,26,18,558,116,138,87,56,64,28,10,498,140,175,89,58,67,21,8,559,2111,2090,1306,896,1094,307,89,7896,13,23,7,5,0,0,0,47,2521,2566,1585,1077,1296,385,123,9567,8,23,15,8,11,6,0,80,41,53,32,30,31,15,5,194,8,28,14,18,18,7,7,92,407,595,406,277,362,75,30,2158,29,26,22,13,8,0,0,98,493,716,486,340,427,114,40,2617,3014,3290,2074,1416,1729,493,163,12183
SED22802,353,398,240,130,208,130,66,1520,226,220,126,108,152,80,39,943,249,228,108,75,118,49,28,847,2637,2328,1269,859,1121,473,189,8879,7,13,7,3,0,0,0,32,3466,3177,1745,1178,1600,725,322,12224,16,27,23,24,36,21,10,153,38,58,44,36,47,13,10,240,14,29,29,20,32,21,11,159,208,403,284,202,314,105,48,1558,3,8,3,3,0,0,0,24,278,531,378,293,420,162,78,2134,3744,3703,2124,1464,2023,887,403,14353
SED22901,1205,1458,729,435,614,507,319,5279,181,183,102,80,106,50,26,733,266,246,108,86,96,68,27,894,1123,1123,673,463,617,327,142,4466,13,15,4,4,3,0,0,30,2790,3027,1610,1072,1436,953,522,11409,57,115,77,50,94,77,51,518,30,50,45,31,43,24,14,235,27,47,36,25,35,13,13,187,171,288,210,147,238,95,59,1201,12,10,9,8,3,4,3,32,294,501,365,252,411,209,139,2169,3078,3532,1980,1318,1842,1168,662,13577
SED23007,1704,1588,836,528,749,538,335,6271,389,315,159,81,111,50,27,1129,515,340,133,66,89,51,26,1227,1213,883,444,282,298,157,66,3339,15,16,12,9,3,5,0,64,3831,3145,1588,970,1245,799,450,12029,225,338,261,191,288,242,140,1676,65,80,43,43,46,15,14,301,47,62,44,13,38,18,3,230,164,249,171,104,147,60,40,923,21,28,13,13,3,9,4,91,520,746,530,364,523,339,201,3226,4356,3890,2122,1338,1764,1138,652,15255
SED23101,1503,2054,918,583,715,551,382,6711,142,177,126,78,119,78,33,748,219,241,129,82,107,84,47,902,600,810,657,447,731,439,191,3870,7,3,3,0,0,0,0,22,2473,3281,1833,1198,1667,1150,652,12250,68,160,134,99,169,138,111,876,18,21,22,26,32,17,12,154,12,39,30,17,43,27,7,167,53,108,114,76,160,87,43,641,3,4,0,6,0,0,0,18,157,338,301,218,399,268,177,1859,2624,3622,2138,1413,2067,1417,824,14108
SED23205,336,409,275,174,244,134,62,1632,284,274,159,103,143,56,27,1043,305,308,165,98,129,51,22,1068,1771,1577,810,524,637,260,120,5695,7,14,3,7,0,0,0,32,2709,2577,1411,895,1156,497,230,9468,35,56,52,45,107,47,21,357,69,94,75,78,82,33,7,438,34,87,48,34,63,35,19,319,381,638,419,277,319,118,57,2220,23,24,19,8,8,4,0,82,539,903,614,447,574,225,103,3411,3255,3482,2027,1343,1732,717,336,12879
SED23308,367,306,123,84,85,54,16,1042,244,252,111,78,97,56,19,863,269,241,117,69,78,30,15,830,2270,2086,1123,767,957,399,190,7781,4,10,11,4,0,0,0,28,3153,2898,1486,999,1210,543,236,10534,26,42,32,20,32,13,9,173,23,77,59,36,56,19,7,270,17,45,22,21,26,17,10,158,280,479,340,260,344,132,64,1904,22,21,11,7,7,4,0,72,364,664,460,345,461,190,90,2576,3521,3563,1950,1346,1675,728,328,13113
