SED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED20106,0,0,0,0,0,5,0,4,0,25,0,36,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,3,0,8,0,11,0,0,0,0,0,6,0,7,0,21,0,34,0,4,0,0,0,0,0,6,8,29,0,51,6,0,0,3,0,13,0,14,4,21,0,68,6,7,3,9,4,24,6,16,0,37,0,111,10,8,0,17,5,39,6,26,0,33,0,141,0,16,4,26,9,55,4,7,7,21,0,143,11,14,0,32,6,62,8,10,0,24,0,171,63,35,6,84,11,182,6,35,7,44,4,484,80,25,5,138,25,62,8,19,7,23,0,387,104,29,9,147,36,71,12,20,6,22,0,452,125,13,4,127,36,31,11,16,0,12,0,376,1124,78,13,808,178,511,18,38
SED20207,0,0,0,4,0,8,0,6,7,69,3,98,0,0,0,0,0,0,0,0,4,10,0,20,0,4,0,0,0,0,0,3,3,22,0,32,0,0,0,0,0,0,0,13,0,21,0,40,3,3,0,0,0,0,0,13,3,33,0,60,0,3,0,5,0,11,0,35,6,39,3,99,4,15,0,10,0,46,3,54,10,85,5,237,5,23,0,16,5,101,0,68,8,85,5,314,17,35,6,41,5,195,3,114,25,111,3,558,37,80,13,147,17,301,10,79,16,110,7,818,41,64,13,183,21,274,19,79,23,89,0,798,90,62,7,232,25,321,9,67,11,81,6,904,423,100,25,650,97,819,33,100,31,113,8,2404,577,74,16,767,112,237,27,56,20,62,3,1951,728,48,21,656,106,361,19,38,9,39,3,2014,600,38,10,408,87,82,11,22,4,17,0,1276,2034,67,33,909,199,503,23,53
SED20302,5,0,0,4,0,3,0,0,3,41,3,65,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,4,0,0,0,4,0,10,0,20,3,4,0,5,0,8,0,10,0,27,0,59,0,4,0,4,0,16,3,22,5,31,0,94,4,17,0,13,5,49,0,48,9,68,0,219,3,27,5,18,5,138,3,60,10,76,8,358,15,54,6,81,23,285,9,119,28,126,3,747,65,138,13,243,42,333,24,103,32,99,9,1112,76,101,20,326,52,355,17,80,23,62,8,1112,154,90,16,425,78,322,22,56,22,55,9,1241,596,174,29,988,152,504,51,87,30,81,9,2702,600,134,31,864,153,190,41,49,6,47,3,2126,537,54,15,561,95,154,25,29,8,25,0,1500,368,38,14,275,66,66,15,13,0,12,0,860,687,48,15,439,89,146,16,23
SED20401,0,0,0,4,0,0,0,0,0,17,6,24,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,5,0,0,0,3,3,9,0,17,0,0,0,0,0,0,0,8,0,8,0,13,0,0,0,0,0,0,0,3,0,12,0,22,0,0,0,0,0,4,0,9,5,21,0,46,0,4,0,12,0,19,0,39,4,31,0,112,4,19,4,12,0,38,3,27,6,39,0,152,4,17,3,29,0,79,5,54,10,64,0,261,15,42,3,95,10,120,5,47,16,68,4,437,27,26,5,140,18,120,11,42,12,42,0,450,49,36,4,181,20,141,14,26,4,47,0,527,190,75,12,479,74,275,22,48,11,72,4,1266,257,70,9,571,80,126,16,34,6,29,0,1199,306,27,5,473,49,111,10,17,5,22,0,1022,232,22,6,243,43,56,6,12,4,6,0,635,574,38,18,491,84,164,16,9
SED20508,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,5,0,0,0,0,0,0,0,6,0,7,0,14,10,0,0,0,0,4,0,3,0,9,0,28,3,3,0,9,0,4,0,20,3,32,0,77,0,8,0,4,0,28,0,13,4,23,0,89,3,20,0,19,3,43,4,40,7,54,0,201,12,42,5,79,10,80,14,43,7,51,0,338,13,39,3,146,24,97,9,33,10,48,3,425,32,38,9,188,24,91,13,16,3,35,5,448,143,92,10,507,67,190,29,47,23,75,0,1173,206,87,7,546,71,80,21,34,6,29,5,1087,243,57,7,476,67,78,16,12,4,18,3,979,207,31,10,260,34,37,18,13,4,10,0,617,570,50,26,545,85,160,25,23
SED20604,0,0,0,0,0,0,0,0,0,5,0,12,6,0,0,4,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,6,0,6,0,5,0,0,0,0,0,5,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,22,0,0,0,3,0,4,0,7,0,8,0,27,0,4,0,5,0,10,0,15,9,21,0,56,7,5,3,6,0,25,0,22,5,28,0,109,10,20,6,29,4,71,3,31,3,68,0,259,29,36,3,124,21,130,14,47,8,58,0,472,38,33,7,162,27,118,8,31,8,40,0,470,64,36,9,209,33,112,6,19,7,26,0,508,315,71,25,542,85,183,29,55,13,43,0,1361,339,42,12,468,63,87,20,28,11,23,0,1087,256,32,8,338,46,57,9,16,0,16,0,772,248,17,3,188,38,20,4,9,3,10,0,543,485,19,6,308,54,70,3,9
SED20704,0,0,0,0,0,6,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,8,0,20,0,33,6,4,0,3,0,21,0,24,3,32,0,82,3,12,0,9,3,40,0,30,11,40,0,154,10,23,3,31,3,83,4,53,0,51,0,257,27,46,5,97,22,127,5,52,15,73,0,466,19,35,3,163,19,129,6,32,16,38,0,466,71,40,6,221,45,110,6,36,10,31,3,574,249,102,16,542,77,212,30,51,19,51,4,1338,270,60,16,544,79,80,25,31,8,25,0,1142,265,48,15,428,65,83,18,13,11,17,0,956,236,26,4,236,37,39,17,12,0,9,0,619,534,42,7,440,61,123,19,15
SED20804,0,0,0,0,0,0,0,4,0,5,0,17,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,0,3,0,0,3,0,7,0,14,0,0,0,5,0,0,0,15,0,11,0,36,3,0,0,6,0,13,3,23,9,39,0,91,3,19,0,16,3,30,0,26,8,48,3,156,10,33,0,25,3,56,4,40,7,62,0,248,11,37,8,101,18,102,11,73,10,63,4,440,19,32,3,154,15,91,6,33,11,44,0,419,52,51,5,182,30,87,5,19,9,26,0,458,187,70,12,452,43,174,24,41,17,42,6,1063,205,57,9,397,56,75,21,17,4,23,0,859,171,44,9,310,45,53,18,9,3,7,4,669,139,18,8,143,22,12,11,3,9,4,0,378,298,27,11,259,39,79,9,7
SED20906,3,0,0,4,0,3,0,0,0,31,0,46,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,9,0,6,0,0,0,0,0,0,0,9,0,11,0,20,0,0,0,5,0,0,0,7,0,15,0,33,0,0,0,0,0,3,0,13,4,8,0,34,7,15,0,5,0,6,0,11,0,32,0,72,3,13,0,10,0,20,0,28,4,36,0,115,6,22,0,15,5,52,7,33,0,55,0,198,23,31,0,75,4,60,0,37,4,59,0,299,18,38,6,72,4,82,5,28,6,42,0,305,32,31,0,97,21,77,7,17,10,42,0,339,126,66,4,274,32,251,22,58,10,71,0,916,212,64,9,398,37,101,8,39,13,48,3,935,250,50,3,430,65,134,5,28,4,34,0,1004,311,30,5,347,56,50,12,12,0,14,0,842,1701,84,17,1292,189,501,30,53
SED21001,5,0,0,3,0,4,0,3,0,56,0,70,0,0,0,0,0,0,0,4,0,16,0,14,0,0,0,0,0,0,0,7,6,17,0,36,0,0,0,0,0,0,0,10,0,0,0,15,4,4,0,5,0,0,0,14,6,31,0,53,3,0,0,4,0,7,0,17,0,21,0,56,3,14,0,9,0,16,3,44,3,51,5,147,8,23,0,12,0,39,0,44,3,59,0,188,9,35,0,21,4,69,4,54,10,52,0,256,16,34,4,59,4,76,8,39,5,71,0,326,21,20,0,66,5,76,5,45,6,63,0,308,36,38,0,72,4,85,7,32,3,44,0,317,105,57,3,268,26,221,15,63,13,70,0,838,160,50,7,329,36,96,9,40,3,54,0,778,220,38,6,316,44,129,7,32,7,33,0,846,241,35,6,254,30,48,3,9,5,24,6,657,1445,104,11,1183,149,440,23,57
