SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,0,0,14,96,0,3,0,0,0,120,0,3,3,21,22,3,3,0,0,57,0,8,64,471,58,45,28,12,0,682,0,0,8,92,38,48,79,30,5,297,0,0,0,3,0,4,0,0,0,10,0,5,18,174,85,77,58,31,8,452,3,26,63,275,56,35,16,7,0,480,0,7,39,307,103,56,49,14,5,579,0,0,23,208,29,28,18,7,0,320,0,6,14,182,19,11,13,0,0,250,0,10,34,296,36,18,5,0,0,402,0,0,7,109,32,28,18,8,3,205,31,67,68,371,128,108,79,26,4,881,3,19,99,287,89,63,30,3,6,585,0,0,3,49,25,18,7,6,0,114,0,0,9,53,8,13,4,0,0,95,25,135,369,3101,513,344,327,236,93,5137,139,246,405,2089,634,563,381,263,85,4797,3086,5147,8083,34722,10699,8793,6174,3277,977,80946
SED20207,22,174,112,717,83,31,18,4,0,1159,0,8,8,26,30,5,3,0,0,69,7,123,202,905,431,291,207,35,8,2209,0,7,7,79,57,39,80,20,13,301,0,12,33,88,55,35,12,0,0,242,0,12,29,78,87,111,98,63,33,512,17,140,106,198,122,63,29,5,0,681,14,140,135,380,244,128,44,28,4,1127,4,34,59,323,151,69,42,16,7,696,3,8,12,97,17,13,10,0,0,162,6,74,83,204,53,19,16,3,0,459,0,4,7,42,33,21,9,0,0,121,18,98,52,126,54,36,14,4,3,406,6,32,56,437,344,271,170,37,8,1362,0,3,7,25,18,22,6,9,5,89,0,8,28,120,49,13,7,3,0,228,53,373,377,1765,874,608,446,258,92,4845,334,688,538,1706,541,386,261,153,59,4658,8201,17308,11469,36842,14192,9594,6750,3072,1101,108534
SED20302,11,92,76,389,45,22,25,9,0,656,0,4,0,8,17,6,3,0,0,35,6,118,216,750,291,118,42,16,0,1561,0,0,0,48,23,16,32,5,7,133,0,15,19,49,49,32,3,3,0,169,0,10,15,66,61,109,161,88,30,533,0,33,28,44,23,16,7,0,0,155,3,38,63,177,115,99,62,24,3,574,15,223,277,1887,542,222,154,50,12,3382,0,3,7,113,4,3,7,0,0,138,3,26,25,144,35,16,8,0,0,252,0,0,0,27,15,11,11,7,0,75,4,24,31,78,41,38,28,11,0,245,0,10,17,131,45,30,14,3,5,251,0,0,4,21,8,31,29,21,0,108,0,14,50,163,58,23,9,0,0,314,14,161,272,1052,420,394,277,174,46,2817,371,795,548,1672,701,735,788,493,208,6305,8900,16463,11786,34957,12615,11993,11190,5951,1961,115817
SED20401,3,8,8,70,9,11,12,0,0,115,0,0,0,13,15,8,0,0,0,25,11,34,59,310,124,69,40,11,5,664,0,0,0,23,14,30,34,25,36,164,0,4,0,10,4,4,3,0,0,24,0,3,10,26,36,65,80,70,26,307,3,24,32,88,39,43,22,9,4,258,0,8,5,118,57,42,42,18,3,299,4,27,50,400,97,84,98,31,12,805,0,5,5,56,9,12,0,0,0,95,6,26,30,119,42,10,0,0,0,232,0,0,0,16,6,3,0,0,0,26,3,17,17,77,28,24,20,3,4,183,4,9,16,161,116,90,61,23,9,485,0,0,3,10,10,14,21,16,3,81,0,0,3,25,10,5,11,0,0,55,15,46,68,416,189,183,206,197,155,1469,104,257,221,689,283,254,225,181,114,2325,3813,7580,6915,18895,8567,7481,6116,3635,1681,64685
SED20508,0,0,0,20,3,0,0,0,0,26,0,0,0,7,16,6,3,0,0,36,4,23,23,96,34,36,27,7,0,239,0,0,0,13,7,10,19,7,10,69,0,0,0,4,0,0,0,0,0,8,0,5,0,40,28,92,133,86,31,418,3,6,8,24,11,5,8,0,0,57,0,10,19,62,47,62,32,16,4,257,0,0,0,17,4,11,8,3,0,41,0,0,4,10,0,6,0,0,0,17,0,8,8,40,14,7,0,0,0,78,0,0,0,4,3,4,6,0,0,19,4,26,16,64,33,38,37,18,0,242,0,0,0,21,16,6,4,0,0,55,0,8,0,6,17,28,28,10,0,101,0,0,0,26,5,0,4,3,0,41,6,30,21,170,114,155,154,107,55,800,85,340,218,589,423,530,669,489,168,3513,3448,8528,6489,14437,8775,10130,11357,6074,2100,71339
SED20604,0,0,0,14,0,0,0,0,0,21,0,0,0,5,21,10,3,0,0,44,3,41,44,168,59,36,28,7,0,377,0,0,0,5,9,4,14,9,7,43,0,0,0,8,0,0,0,0,0,10,0,0,3,26,30,56,66,54,14,244,0,0,0,3,16,0,0,0,0,27,0,6,21,41,28,25,11,6,0,148,0,8,3,37,20,7,7,3,0,71,0,4,3,25,5,0,0,0,0,32,0,15,9,20,21,9,0,0,0,78,0,0,0,3,0,0,0,0,0,11,3,10,11,50,17,31,36,7,0,159,5,41,23,107,14,3,4,0,0,199,0,0,3,9,14,21,15,12,0,68,0,6,10,20,14,8,0,0,0,54,14,114,139,260,161,139,157,152,64,1198,161,473,438,960,532,566,519,352,162,4162,3973,9235,7810,16552,8863,9520,8557,4341,1548,70404
SED20704,0,5,7,52,8,0,0,0,0,78,0,0,3,7,13,5,0,0,0,38,0,19,37,190,50,25,27,7,0,357,0,0,0,0,3,6,0,3,0,13,0,0,0,4,0,0,0,0,0,3,0,0,4,19,14,47,55,38,10,185,0,0,0,12,4,3,4,0,0,31,5,16,30,66,46,29,14,8,0,200,3,13,24,91,27,17,10,7,3,199,0,5,0,23,3,0,0,0,0,34,6,87,197,139,13,11,5,0,0,451,0,0,0,0,6,4,4,0,0,11,0,11,21,28,17,23,22,7,0,133,0,4,3,27,14,8,0,0,0,57,0,0,0,3,9,10,9,5,0,41,0,3,3,31,9,0,5,0,0,57,10,38,51,153,70,65,53,47,14,497,174,426,378,914,474,529,400,298,135,3734,4385,9815,8831,18044,8677,8905,7723,4031,1692,72117
SED20804,0,8,5,29,5,0,0,0,0,41,0,0,0,6,28,0,5,0,0,41,0,24,32,152,71,42,14,10,0,342,0,0,0,5,9,0,5,6,0,29,0,0,0,5,0,0,0,0,0,6,0,3,8,22,15,36,48,35,14,191,0,0,4,5,0,5,3,3,0,24,0,4,14,31,25,14,19,15,0,131,0,8,3,38,17,12,14,5,0,95,0,0,3,34,0,0,0,3,0,36,9,101,124,84,11,12,0,0,0,339,0,0,0,9,0,0,0,0,0,8,6,11,11,39,27,27,37,15,4,165,0,10,6,76,31,9,4,0,0,140,0,0,0,5,8,15,11,13,4,52,0,0,4,8,4,6,0,0,0,20,4,30,31,154,81,84,87,65,16,545,163,397,355,898,467,513,484,386,260,3923,3370,7326,6592,15359,7935,8535,8112,4646,1885,63757
SED20906,0,4,3,30,5,6,0,0,0,47,0,0,0,0,12,3,0,0,0,21,5,17,14,166,49,57,30,3,0,333,0,0,3,63,44,72,118,45,30,375,0,0,0,0,0,0,5,0,0,3,3,12,12,77,54,52,51,29,15,308,3,41,40,73,47,34,17,14,3,280,8,66,100,347,324,174,102,54,30,1199,0,4,7,158,80,94,87,54,35,531,0,8,6,79,13,4,4,0,0,116,0,18,21,96,34,8,9,0,0,186,0,6,3,29,16,18,20,13,0,111,17,57,56,111,61,34,30,9,3,385,0,44,51,189,131,51,33,9,3,514,0,0,0,9,22,4,5,3,0,44,0,0,3,22,13,17,6,0,0,61,34,248,256,1312,917,698,618,408,163,4656,65,239,184,552,270,211,199,173,106,2001,3524,9351,7992,17395,10398,7677,5335,3287,1821,66780
SED21001,0,5,28,115,18,8,4,0,0,189,0,0,6,0,21,12,0,0,0,39,0,28,51,329,66,39,29,6,3,561,0,0,0,20,10,23,14,22,25,110,0,0,0,0,0,3,0,0,0,7,0,0,6,26,41,28,43,41,22,210,4,53,52,156,97,69,53,33,7,536,0,14,33,84,72,44,34,19,4,304,3,11,91,317,95,54,67,27,31,699,0,29,45,363,90,54,60,11,0,652,8,9,24,109,53,13,11,9,0,234,0,3,0,15,13,10,4,4,4,52,10,47,63,78,40,40,22,6,0,314,0,20,96,267,206,181,113,38,15,932,0,0,0,4,15,15,7,10,4,52,0,0,9,29,9,18,5,4,0,79,17,68,127,435,196,160,198,182,92,1474,75,192,385,819,282,225,249,226,302,2755,2994,8093,10270,20463,9907,8367,6507,4236,2597,73444
