SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED20106,39988,40958,80946,1585,1494,3086,2587,2560,5147,1214,1274,2489,2666,2926,5593,10032,10408,20445,7213,7062,14274,5271,5429,10699,4402,4384,8793,2989,3186,6174,1601,1676,3277,421,556,977,38247,39049,77302,1735,1913,3645,186,194,377,4,5,10,6,4,12,195,205,403,21808,21579,43384,15731,17034,32763,26740,26239,52980,10722,12328,23045,28685,29010,57694,460,453,910,2441,2385,4829,1037,1103,2135,1394,1572,2964,2639,3498,6136,27299,28630,55922,2411,2356,4766,2084,1878,3964,736,665,1398,588,725,1315,165,226,394,36442,37440,73879,3283,2832,6115
SED20207,53859,54672,108534,4206,3997,8201,8939,8369,17308,3040,2814,5853,2890,2732,5620,7369,8061,15432,10646,10768,21413,7118,7079,14192,4699,4900,9594,3179,3570,6750,1384,1683,3072,397,698,1101,52887,53781,106664,974,892,1869,315,327,641,9,10,15,12,15,30,337,351,686,27389,27427,54820,24034,25016,49057,28264,28191,56453,22941,24004,46944,40194,40513,80708,1346,1215,2556,8353,7830,16183,2499,2399,4894,1253,1313,2571,1948,3007,4952,26504,28555,55059,3921,3560,7478,4483,4004,8489,1812,1824,3634,1305,1718,3024,413,500,916,51343,52279,103621,2229,2188,4420
SED20302,56705,59110,115817,4564,4338,8900,8285,8180,16463,3067,2908,5970,2895,2918,5815,8367,9221,17584,8646,8723,17368,6257,6357,12615,5655,6341,11993,5333,5858,11190,2851,3101,5951,788,1173,1961,54667,57162,111839,2033,1942,3979,512,523,1039,23,10,36,11,11,20,541,552,1097,37124,38928,76052,16491,16969,33461,39616,41546,81160,14027,14309,28337,47410,49081,96489,1230,1117,2352,7719,7597,15320,2317,2323,4635,850,1093,1946,1591,2869,4459,21854,25660,47516,6014,5749,11759,7766,6906,14665,3278,2956,6234,1773,1958,3738,352,392,743,53140,55441,108580,3139,3359,6505
SED20401,31604,33082,64685,1923,1882,3813,3932,3648,7580,1774,1574,3345,1814,1754,3572,4414,4707,9122,4836,4939,9776,4204,4359,8567,3630,3855,7481,2770,3343,6116,1667,1972,3635,632,1051,1681,30763,32221,62990,839,853,1691,250,254,508,10,9,16,5,4,8,262,268,531,22269,22672,44943,8147,9265,17409,23737,24331,48066,6552,7330,13888,27349,28292,55633,619,566,1184,3747,3468,7211,1442,1324,2766,705,757,1467,950,1515,2466,14387,16480,30868,3556,3282,6836,3885,3525,7406,1518,1481,2999,925,1107,2028,172,221,385,29962,31161,61122,1362,1653,3009
SED20508,34296,37050,71339,1784,1666,3448,4392,4137,8528,1874,1731,3600,1495,1395,2890,3090,3303,6395,3783,4258,8042,4111,4659,8775,4568,5561,10130,5450,5907,11357,2890,3190,6074,856,1241,2100,32427,35266,67692,1869,1779,3647,318,303,624,0,0,3,7,14,21,330,314,643,27995,30307,58303,4570,4961,9531,31113,33400,64516,1523,1854,3374,31432,34042,65471,561,500,1062,4159,3901,8058,1477,1433,2908,508,563,1071,734,1363,2094,13705,16873,30577,4731,4802,9530,4906,4735,9638,1965,1875,3841,1086,1108,2191,93,64,154,31721,34291,66014,1884,2245,4130
SED20604,34619,35781,70404,1982,1991,3973,4694,4545,9235,2249,2018,4265,1837,1700,3539,4054,4102,8156,3981,4416,8401,4289,4576,8863,4599,4923,9520,4243,4321,8557,2103,2242,4341,594,955,1548,32930,34252,67177,1693,1535,3221,844,944,1790,29,33,61,19,25,51,890,1005,1898,28911,29892,58804,3590,3851,7444,30719,31897,62617,1789,1970,3761,31280,32550,63824,599,631,1231,4356,4237,8596,1574,1529,3104,490,596,1082,839,1617,2460,11216,14210,25419,4548,4241,8782,6615,5660,12267,2144,1879,4025,1327,1241,2570,134,135,270,31172,32807,63981,3485,3049,6529
SED20704,34915,37200,72117,2259,2125,4385,5087,4730,9815,2230,2165,4395,2191,2252,4442,4423,4828,9251,4141,4654,8796,4121,4560,8677,4194,4710,8905,3729,3992,7723,1881,2157,4031,659,1029,1692,33575,35909,69481,1342,1291,2631,700,771,1472,29,30,58,16,17,34,751,816,1564,29831,31786,61612,3213,3556,6761,30873,32915,63791,2242,2464,4705,31706,33831,65532,658,628,1286,4763,4458,9216,1646,1657,3301,675,934,1613,798,1562,2354,12500,15706,28202,4239,4365,8606,5255,4874,10132,2209,1972,4181,1415,1371,2790,176,170,349,32499,34596,67094,1998,2214,4209
SED20804,31050,32709,63757,1689,1684,3370,3818,3508,7326,1668,1684,3346,1669,1574,3247,3858,3900,7756,3717,3884,7601,3855,4082,7935,4008,4530,8535,3880,4233,8112,2168,2486,4646,735,1152,1885,29860,31553,61416,1185,1157,2342,650,623,1272,27,19,38,8,14,24,685,651,1331,25787,27308,53092,3347,3392,6739,26808,28728,55534,1746,1852,3598,27356,29337,56699,431,422,860,3518,3244,6759,1195,1264,2457,415,524,932,737,1382,2122,10758,13447,24207,3651,3761,7408,5467,4495,9960,2133,1974,4101,1345,1487,2834,194,175,370,28144,30117,58260,2924,2626,5555
SED20906,32467,34303,66780,1829,1689,3524,4899,4453,9351,2269,2048,4321,1935,1737,3672,3683,3711,7389,4647,5356,9999,4976,5422,10398,3736,3938,7677,2464,2870,5335,1396,1891,3287,642,1182,1821,31745,33494,65240,729,808,1536,108,88,192,6,3,13,3,3,6,115,93,205,20278,20604,40881,11247,12648,23897,21412,22056,43466,10047,11107,21157,27561,28870,56430,666,601,1262,4710,4283,8992,2049,1898,3950,1059,1003,2064,993,1463,2456,18288,20268,38550,2310,2252,4564,2250,2170,4422,932,936,1869,810,1138,1947,189,233,422,31249,32893,64141,1002,1203,2208
SED21001,35316,38131,73444,1531,1464,2994,4120,3978,8093,2289,2206,4495,2988,2785,5774,5402,5365,10761,4635,5068,9698,4638,5271,9907,3979,4390,8367,3005,3507,6507,1812,2417,4236,910,1685,2597,34387,37121,71508,922,1007,1935,89,82,176,3,8,17,5,4,7,103,96,200,19699,20424,40120,14306,16260,30562,20331,21153,41485,13607,15469,29076,26578,28380,54956,519,530,1053,3934,3836,7771,2094,2047,4137,1803,1713,3519,1845,2438,4283,21849,23812,45665,2274,2368,4637,1971,2136,4109,1045,1128,2174,774,1113,1887,263,361,618,33404,35833,69233,1892,2175,4070
