SED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED20106,9587,20538,7176,1063,399,38761,492,39252
SED20207,1563,13188,15197,4012,1804,35770,481,36253
SED20302,1303,13209,17468,5347,2751,40075,650,40725
SED20401,1085,8680,9929,2969,1490,24154,293,24446
SED20508,677,9263,11861,3588,1920,27307,333,27642
SED20604,1043,8333,10621,3823,2352,26166,565,26732
SED20704,1144,8725,10695,3798,2341,26700,309,27006
SED20804,1443,9388,9052,3278,1972,25144,386,25534
SED20906,1559,9410,9922,2431,1043,24363,239,24604
SED21001,2864,11887,9555,2329,1064,27695,366,28061
SED21106,1632,10310,9080,2272,1073,24362,233,24592
SED21203,2142,8609,7501,2670,1567,22490,529,23021
SED21303,5638,16561,7309,1733,725,31968,343,32306
SED21401,1290,8863,10082,2871,1517,24622,246,24872
SED21503,1456,7947,8698,2629,1367,22102,294,22395
SED21608,1068,7835,9423,3856,2683,24867,344,25214
SED21706,1753,9256,9722,2543,1172,24442,289,24735
SED21805,1411,9847,11123,3215,1547,27135,374,27508
SED21906,3066,12658,8885,1759,814,27173,321,27499
SED22005,2230,10346,9610,2757,1338,26278,414,26692
SED22105,1068,11133,17810,5709,2731,38448,524,38971
SED22201,1080,8397,9760,2633,1514,23383,219,23606
SED22305,2245,9619,8575,2851,1558,24848,572,25423
SED22404,601,6454,8807,3952,2968,22776,342,23120
SED22501,482,5878,9619,3064,1966,21009,146,21158
SED22607,3537,12907,8465,2122,1073,28108,371,28479
SED22704,1052,8088,9629,4297,2988,26060,596,26647
SED22802,621,5722,9044,3485,2470,21334,178,21514
SED22901,930,6853,9342,2918,1539,21581,208,21784
SED23007,3859,14588,9288,2536,1110,31380,513,31895
SED23101,1274,7514,9274,2506,1223,21784,239,22018
SED23205,1927,9579,9043,2575,1204,24324,371,24697
SED23308,2218,11583,9982,2554,1236,27577,351,27930
SED23402,713,8023,12329,4350,2927,28337,306,28642
SED23502,1011,8261,9707,3772,2263,25010,540,25541
SED23602,967,7706,8785,3393,2246,23099,423,23521
SED23702,796,7614,10254,4097,3054,25812,289,26102
SED23806,2590,11813,8326,2031,955,25710,229,25939
SED23901,1843,10380,9812,2475,1095,25609,268,25879
SED24006,1167,8227,9155,2651,1314,22520,207,22728
SED24105,1351,7159,9544,3688,1956,23701,338,24037
SED24207,1135,8708,12916,4501,2343,29603,461,30068
SED24308,1850,9449,9442,3123,1858,25727,431,26159
SED24408,1194,7551,8404,3700,2625,23467,438,23904
SED24504,521,6108,9766,4069,2847,23308,281,23588
SED24606,2174,10567,8251,2042,1044,24065,292,24364
SED24703,27011,22374,5667,856,354,56259,975,57238
SED24808,1409,10637,12829,4442,2550,31854,531,32380
SED24904,1464,8005,8945,3558,2226,24200,602,24804
SED25003,736,7076,9711,3551,2114,23196,303,23494
SED25102,465,5022,8888,3393,2444,20208,175,20384
SED25205,1390,9295,10347,2610,1304,24960,203,25163
SED25302,829,7474,10382,3224,1927,23833,234,24064
SED25402,1597,9179,9580,3560,2132,26047,485,26536
SED25501,1116,8144,9279,2743,1146,22426,233,22657
SED25605,1398,7353,9038,2747,1471,22003,346,22348
SED25704,1286,7792,9182,3773,2471,24512,559,25072
SED25802,1282,8867,10873,4390,3036,28442,477,28921
SED25905,752,6103,9014,3537,2244,21650,305,21957
SED26005,620,6284,11228,4410,2596,25127,324,25455
SED26102,971,9529,10991,3265,1675,26432,439,26867
SED26207,1270,7764,9367,2760,1537,22693,267,22961
SED26303,3591,13530,7898,1722,751,27494,231,27729
SED26406,3030,12460,9208,2166,1042,27912,343,28257
SED26504,1091,7670,8859,3255,2120,23004,572,23578
SED26603,2875,13311,9811,2435,1215,29642,399,30042
SED26708,876,7085,9372,3952,2843,24132,462,24594
SED26806,8618,20343,6421,1035,414,36823,490,37314
SED26903,3314,12658,8160,2064,1026,27215,475,27690
SED27003,7218,18501,6834,1250,372,34176,431,34610
SED27101,1575,10154,9528,2291,1231,24780,284,25065
SED27208,1213,8619,9718,4060,2773,26379,530,26908
SED27305,396,4486,8323,3239,2151,18594,147,18743
SED27406,1462,10132,9985,2373,1146,25096,240,25334
SED27504,1352,8947,9988,3996,2442,26725,578,27308
SED27608,860,9480,15021,4321,2438,32119,315,32436
SED27708,1198,8447,9950,3611,2125,25335,421,25757
SED27807,2422,9576,8168,3068,1497,24725,598,25327
SED27907,979,7779,9956,3436,2006,24155,273,24432
SED28007,701,6192,10357,4426,2888,24560,319,24875
SED28107,1149,13064,16861,4877,2439,38391,705,39093
SED28203,1781,9559,10779,3245,1574,26933,462,27393
SED28301,649,6008,9090,3231,2255,21230,172,21403
SED28408,1663,9894,9270,2693,1363,24887,335,25225
SED28507,1630,11733,11630,3372,1761,30126,463,30587
SED28607,2397,12033,10328,2276,934,27971,316,28288
SED28704,590,8493,15054,5227,3367,32725,355,33080
SED28803,1007,10452,16826,5810,3397,37491,601,38092
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
