SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED20106,..,16660,16660,12519,2228,14747,3750,554,4306,2579,117,2704,666,21,688,138,10,143,19655,19594,39252
SED20207,..,6602,6602,9139,704,9839,7303,190,7493,8131,95,8230,2665,36,2707,1363,11,1376,28602,7652,36253
SED20302,..,9420,9420,12451,768,13220,6383,137,6521,6881,33,6913,2992,20,3008,1637,8,1641,30340,10386,40725
SED20401,..,6311,6311,7420,578,8001,4137,94,4231,3949,34,3985,1371,15,1384,537,0,542,17409,7044,24446
SED20508,..,6987,6987,10716,442,11160,3558,65,3621,3813,23,3836,1573,6,1577,459,0,462,20116,7532,27642
SED20604,..,7455,7455,9292,529,9821,3625,86,3707,3517,14,3532,1562,5,1571,646,0,646,18636,8092,26732
SED20704,..,7169,7169,8799,639,9433,3833,158,3988,3812,58,3867,1749,13,1761,782,13,788,18967,8044,27006
SED20804,..,8173,8173,8374,673,9041,3438,131,3568,2971,27,2997,1179,7,1183,561,3,562,16515,9023,25534
SED20906,..,5713,5713,6824,492,7311,4276,117,4396,5162,64,5222,1566,33,1603,345,3,357,18181,6422,24604
SED21001,..,7532,7532,8232,872,9104,4321,314,4630,4552,160,4709,1476,47,1526,517,37,552,19097,8964,28061
SED21106,..,7528,7528,7449,606,8051,3363,115,3483,3832,34,3863,1352,18,1369,296,4,301,16290,8305,24592
SED21203,..,5047,5047,5483,504,5980,3739,164,3899,3598,137,3734,2243,67,2301,2024,29,2049,17080,5939,23021
SED21303,..,11006,11006,9271,1964,11229,3758,1110,4866,3361,550,3912,859,121,980,286,24,309,17534,14772,32306
SED21401,..,5464,5464,8085,379,8464,4417,105,4523,4246,62,4308,1496,26,1527,570,18,590,18813,6058,24872
SED21503,..,5296,5296,6694,551,7248,3692,247,3935,3877,138,4016,1283,70,1355,510,32,539,16054,6342,22395
SED21608,..,6690,6690,8164,628,8793,3554,135,3687,3594,53,3649,1632,16,1653,736,13,751,17676,7534,25214
SED21706,..,5911,5911,6806,611,7418,4086,328,4420,4606,215,4819,1587,86,1681,451,35,487,17546,7193,24735
SED21805,..,7638,7638,8168,627,8794,4591,104,4693,4311,18,4335,1490,9,1494,554,0,562,19109,8399,27508
SED21906,..,8809,8809,8227,1176,9400,3458,348,3808,3362,149,3512,1307,48,1356,587,22,606,16945,10555,27499
SED22005,..,5953,5953,7138,844,7985,4797,467,5261,4442,306,4751,1619,123,1738,915,91,1003,18906,7783,26692
SED22105,..,5939,5939,8996,685,9680,7445,168,7613,9021,67,9083,3916,22,3934,2714,10,2726,32089,6880,38971
SED22201,..,6095,6095,7441,427,7871,3787,83,3875,3791,28,3817,1369,10,1383,557,0,561,16951,6649,23606
SED22305,..,6226,6226,6436,758,7189,4240,375,4615,3673,197,3874,1829,98,1923,1557,42,1595,17733,7688,25423
SED22404,..,6165,6165,8271,444,8710,3079,55,3136,3091,19,3107,1372,11,1377,612,6,618,16424,6695,23120
SED22501,..,3880,3880,6818,179,7005,3625,27,3659,4588,15,4602,1597,6,1600,409,4,415,17039,4118,21158
SED22607,..,9313,9313,8097,970,9068,3804,339,4142,4001,119,4124,1407,28,1436,383,14,395,17699,10784,28479
SED22704,..,7976,7976,9652,573,10230,3377,77,3455,2938,18,2953,1370,5,1376,667,4,674,18001,8645,26647
SED22802,..,4214,4214,6852,305,7160,3621,55,3677,4106,21,4127,1607,7,1614,718,0,725,16906,4609,21514
SED22901,..,4703,4703,6591,397,6983,3988,65,4052,3958,34,3991,1428,17,1440,606,6,610,16568,5215,21784
SED23007,..,9191,9191,8957,1396,10346,4856,552,5409,4110,236,4350,1529,97,1628,908,69,971,20362,11536,31895
SED23101,..,4779,4779,6420,367,6790,3720,163,3888,4415,84,4499,1458,35,1492,555,26,579,16567,5447,22018
