SED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SED20106,0,27,11,15,6,0,0,0,69,5,9,17,9,8,0,0,0,49,7,49,82,112,141,180,148,72,789,14,86,113,141,156,180,148,72,904,3652,9266,6652,4774,3928,2617,1319,286,32493,211,676,448,364,319,192,134,68,2413,3883,10032,7213,5271,4402,2989,1601,421,35812,3,7,7,8,0,0,0,0,22,3,5,10,3,0,0,0,0,17,0,11,18,33,29,18,12,6,117,3,16,29,40,30,18,12,6,159,3960,9733,6589,5089,4112,2994,1519,460,34449,237,661,443,290,250,175,146,89,2297,4205,10408,7062,5429,4384,3186,1676,556,36907,6,30,22,29,9,0,0,0,95,5,17,20,11,9,0,0,0,59,10,54,98,145,174,196,160,72,912,16,102,144,178,187,196,160,72,1063,7616,19003,13238,9863,8036,5608,2835,746,66942,447,1339,888,656,564,371,284,156,4712,8083,20445,14274,10699,8793,6174,3277,977,72719
SED20207,6,31,46,43,19,0,0,0,147,0,18,27,27,22,0,0,0,92,5,47,131,162,198,197,139,52,930,20,96,202,233,238,197,139,52,1171,5551,6767,9908,6575,4260,2877,1187,329,37454,361,506,532,308,192,111,60,24,2099,5928,7369,10646,7118,4699,3179,1384,397,40720,11,14,13,9,3,0,0,0,45,0,3,6,3,0,0,0,0,15,0,10,25,48,48,21,14,3,172,9,30,44,67,52,21,14,3,235,5270,7584,10272,6757,4675,3421,1588,661,40216,264,451,458,256,175,133,83,34,1856,5544,8061,10768,7079,4900,3570,1683,698,42303,20,48,56,50,18,0,0,0,193,0,16,30,33,23,0,0,0,103,5,57,157,211,246,216,153,59,1104,26,126,244,297,290,216,153,59,1400,10819,14349,20179,13331,8936,6291,2773,987,77670,623,951,992,564,371,245,145,59,3949,11469,15432,21413,14192,9594,6750,3072,1101,83020
SED20302,0,14,8,4,4,0,0,0,25,0,11,5,6,3,0,0,0,30,5,74,104,180,212,507,359,203,1639,12,100,113,186,215,507,359,203,1695,5605,7802,8109,5718,5158,4512,2282,461,39648,347,469,424,350,274,316,211,119,2509,5962,8367,8646,6257,5655,5333,2851,788,43859,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,20,22,36,82,39,23,19,232,0,20,24,41,85,39,23,19,245,5512,8706,8282,6019,5936,5483,2781,991,43715,313,495,411,298,324,338,294,165,2641,5825,9221,8723,6357,6341,5858,3101,1173,46599,0,9,8,5,7,0,0,0,29,0,9,12,6,3,0,0,0,39,5,92,124,213,292,546,378,216,1871,11,119,145,225,300,546,378,216,1940,11112,16508,16392,11734,11094,9994,5069,1457,83363,659,963,831,656,600,649,506,285,5152,11786,17584,17368,12615,11993,11190,5951,1961,90453
SED20401,3,4,4,3,4,0,0,0,15,0,7,7,10,10,0,0,0,31,0,47,69,107,158,271,212,110,970,3,58,80,119,164,271,212,110,1016,3447,4162,4562,3915,3345,2392,1338,413,23575,137,198,191,170,122,117,119,108,1150,3587,4414,4836,4204,3630,2770,1667,632,25740,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,9,9,25,32,27,8,14,125,7,8,15,27,29,27,8,14,138,3190,4512,4742,4211,3710,3187,1760,789,26100,129,182,183,123,114,133,197,244,1312,3328,4707,4939,4359,3855,3343,1972,1051,27548,4,5,8,10,3,0,0,0,26,6,9,10,10,12,0,0,0,42,3,50,78,131,184,294,218,130,1086,13,65,91,143,197,294,218,130,1150,6634,8671,9311,8125,7058,5570,3100,1197,49672,263,380,378,295,229,247,316,355,2466,6915,9122,9776,8567,7481,6116,3635,1681,53290
SED20508,3,0,8,3,4,0,0,0,16,0,10,6,11,10,0,0,0,35,13,41,82,161,251,552,389,218,1702,13,53,98,172,267,552,389,218,1760,3204,2920,3538,3750,4095,4609,2260,501,24883,154,120,149,192,205,289,230,139,1474,3365,3090,3783,4111,4568,5450,2890,856,28119,0,6,0,4,0,0,0,0,9,0,0,3,0,4,0,0,0,12,3,8,23,48,58,54,18,11,232,6,10,31,55,65,54,18,11,247,2969,3177,4057,4463,5277,5546,2875,965,29336,150,114,170,142,220,304,293,264,1663,3127,3303,4258,4659,5561,5907,3190,1241,31242,4,4,8,7,5,0,0,0,26,0,10,14,11,12,0,0,0,46,14,46,109,208,305,604,411,231,1929,16,63,129,226,328,604,411,231,2007,6170,6100,7591,8214,9372,10161,5144,1467,54222,302,231,320,332,427,598,526,403,3134,6489,6395,8042,8775,10130,11357,6074,2100,59362
SED20604,324,217,128,75,35,0,0,0,778,3,21,18,36,35,0,0,0,112,16,111,156,302,416,677,325,160,2162,344,342,302,407,479,677,325,160,3046,3458,3429,3392,3618,3855,3329,1625,375,23091,282,277,284,261,268,232,147,54,1812,4093,4054,3981,4289,4599,4243,2103,594,27943,159,72,25,18,4,0,0,0,280,0,6,6,13,8,0,0,0,32,11,21,35,91,93,75,18,9,356,171,104,68,119,108,75,18,9,676,3283,3775,4130,4239,4606,4023,2031,808,26906,264,221,221,220,210,223,190,132,1670,3718,4102,4416,4576,4923,4321,2242,955,29251,484,293,158,89,35,0,0,0,1061,3,24,23,48,42,0,0,0,147,31,131,189,392,507,753,349,171,2514,523,445,372,532,585,753,349,171,3719,6748,7209,7521,7854,8464,7355,3660,1187,49993,546,499,508,481,476,452,332,186,3481,7810,8156,8401,8863,9520,8557,4341,1548,57194
SED20704,3,4,3,4,4,0,0,0,15,3,17,10,8,11,0,0,0,57,6,79,121,199,217,404,284,210,1525,10,105,139,213,228,404,284,210,1604,4179,4094,3792,3656,3714,3121,1473,363,24385,226,233,212,250,249,197,127,87,1582,4420,4423,4141,4121,4194,3729,1881,659,27573,0,3,3,0,0,0,0,0,6,0,0,6,0,0,0,0,0,7,3,14,27,39,61,50,9,15,215,6,18,34,40,62,50,9,15,227,4200,4571,4391,4301,4439,3767,1960,871,28482,211,234,235,218,213,180,191,152,1632,4413,4828,4654,4560,4710,3992,2157,1029,30343,3,3,7,4,4,0,0,0,22,4,17,19,12,13,0,0,0,69,9,94,148,237,281,451,297,226,1744,19,116,174,256,292,451,297,226,1825,8382,8662,8175,7953,8151,6886,3425,1232,52870,438,469,447,468,462,383,309,234,3214,8831,9251,8796,8677,8905,7723,4031,1692,57912
SED20804,0,0,0,7,0,0,0,0,10,4,7,14,5,3,0,0,0,32,8,54,96,156,209,372,298,193,1389,13,57,109,163,211,372,298,193,1425,3077,3337,3238,3383,3538,3268,1686,390,21919,247,461,370,303,246,236,179,153,2201,3342,3858,3717,3855,4008,3880,2168,735,25544,0,0,3,4,0,0,0,0,6,0,0,3,0,3,0,0,0,10,6,11,15,49,54,36,10,7,192,11,13,20,53,52,36,10,7,211,3060,3634,3634,3802,4236,3977,2225,831,25406,191,246,224,224,235,213,243,313,1900,3257,3900,3884,4082,4530,4233,2486,1152,27517,0,0,5,5,0,0,0,0,11,3,5,14,7,9,0,0,0,38,13,61,114,205,265,405,316,201,1585,22,74,129,215,271,405,316,201,1634,6137,6979,6877,7185,7778,7247,3909,1222,47323,438,704,597,525,481,457,425,463,4100,6592,7756,7601,7935,8535,8112,4646,1885,53061
SED20906,5,3,3,6,0,0,0,0,19,8,9,9,6,4,0,0,0,30,0,30,37,86,86,145,110,111,612,9,43,49,102,91,145,110,111,655,4075,3463,4451,4750,3514,2260,1213,487,24214,119,174,149,125,127,63,75,41,868,4203,3683,4647,4976,3736,2464,1396,642,25743,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,11,20,24,9,7,16,86,0,9,10,16,26,9,7,16,93,3671,3557,5197,5257,3810,2740,1766,1054,27057,118,144,145,148,106,115,120,115,1010,3789,3711,5356,5422,3938,2870,1891,1182,28157,5,13,5,6,0,0,0,0,22,8,9,11,5,5,0,0,0,37,0,36,46,105,111,152,118,128,696,9,52,56,119,119,152,118,128,753,7745,7025,9649,10007,7329,5003,2978,1538,51271,239,319,295,275,225,184,189,155,1882,7992,7389,9999,10398,7677,5335,3287,1821,53903
SED21001,4,0,8,10,6,0,0,0,28,10,7,4,5,6,0,0,0,32,5,30,43,83,113,160,199,169,801,19,37,57,95,125,160,199,169,863,5041,5017,4410,4381,3737,2728,1517,621,27441,220,342,171,157,120,114,102,124,1355,5281,5402,4635,4638,3979,3005,1812,910,29662,0,7,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,7,4,7,20,16,9,19,83,0,12,7,10,22,16,9,19,97,4748,5062,4889,5096,4255,3365,2245,1388,31052,245,290,169,165,115,127,164,273,1543,4992,5365,5068,5271,4390,3507,2417,1685,32687,3,10,13,10,5,0,0,0,37,12,8,6,5,7,0,0,0,40,9,37,49,90,132,179,202,193,885,21,50,62,104,139,179,202,193,961,9786,10075,9293,9475,7986,6089,3763,2011,58491,463,634,343,322,236,240,268,393,2899,10270,10761,9698,9907,8367,6507,4236,2597,62349
