SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED20106,0,0,0,16,5,3,0,0,0,28,0,11,14,329,33,24,15,7,3,434,0,4,9,213,31,48,61,37,20,419,0,4,16,54,23,20,10,0,0,126,0,9,16,219,17,7,0,3,0,262,0,0,0,15,3,3,4,0,0,34,5,7,85,381,43,40,41,9,0,617,0,0,0,7,5,9,9,15,3,45,0,0,4,41,10,13,3,0,0,63,0,0,13,13,0,0,0,0,0,26,0,0,29,40,0,0,0,0,0,76,0,0,10,44,22,11,13,20,0,111,3,20,66,549,220,134,67,29,7,1092,0,0,0,26,14,7,13,0,0,63,0,0,16,70,3,3,0,0,0,90,0,0,0,10,6,0,0,0,0,17,0,4,17,173,24,20,3,4,0,250,0,0,0,34,14,16,36,13,3,121,0,0,0,0,0,0,0,0,0,8,0,0,8,101,49,46,33,12,0,255
SED20207,0,6,4,28,16,9,4,0,0,72,4,12,9,108,28,17,13,8,0,195,0,7,3,51,37,80,99,45,25,359,0,6,4,13,7,0,0,0,0,38,0,24,22,119,41,10,4,3,0,232,0,0,5,65,48,35,30,11,0,176,6,51,66,319,85,62,53,13,0,662,0,0,5,10,20,74,179,128,40,454,0,7,14,74,24,19,10,3,3,162,0,5,15,45,22,25,6,3,0,115,0,3,37,109,17,3,6,0,0,175,0,8,3,20,8,9,14,13,5,83,33,276,269,642,261,134,53,11,6,1692,0,4,6,53,60,72,77,29,0,296,12,97,77,389,56,17,6,4,0,658,0,7,4,16,13,3,0,0,0,39,7,64,108,372,179,95,78,13,0,917,0,3,3,31,22,17,27,3,4,119,0,6,17,43,25,18,3,0,0,121,0,7,17,39,43,53,44,22,10,239
SED20302,0,3,8,19,7,3,0,0,0,42,0,11,5,34,12,18,19,13,3,117,0,4,7,38,10,43,110,64,22,292,0,5,0,9,3,4,0,0,0,13,0,4,4,24,6,7,0,0,0,50,0,4,7,15,8,6,0,0,0,36,0,29,27,66,26,15,8,4,0,178,0,0,0,0,4,22,30,22,0,81,0,10,31,116,46,52,39,12,0,311,0,9,16,92,32,8,0,3,0,151,0,6,6,63,4,8,0,0,0,85,0,0,0,7,10,29,111,65,15,252,14,133,147,306,143,156,100,43,7,1041,0,0,0,6,3,0,7,0,0,20,3,44,45,198,32,6,13,0,0,342,0,0,0,3,6,0,0,0,0,13,7,58,112,322,125,46,13,3,0,682,0,0,0,22,6,5,15,6,0,57,0,4,6,30,23,17,4,0,0,85,0,6,6,29,27,44,73,45,11,246
SED20401,0,0,0,0,4,0,0,0,0,6,0,9,7,20,10,12,14,12,5,91,0,0,0,15,9,20,37,37,13,125,0,3,5,6,4,0,0,0,0,24,0,10,11,53,17,18,3,5,0,118,0,0,0,0,0,6,4,0,0,18,5,33,32,172,75,36,34,27,0,416,0,0,0,5,0,0,5,3,0,20,0,0,4,10,4,9,0,0,0,34,0,4,13,70,18,9,4,0,0,114,0,0,6,39,10,3,4,0,0,60,0,0,0,4,18,8,55,52,18,151,0,22,29,131,80,59,35,20,0,375,0,0,0,3,4,5,0,0,0,13,3,3,4,44,6,3,4,0,0,68,0,0,0,4,0,0,0,0,0,10,6,24,27,126,43,19,9,5,0,259,0,0,0,11,3,16,11,11,13,65,0,0,0,4,5,0,0,0,0,11,0,0,5,16,21,31,34,35,14,146
SED20508,0,0,0,6,0,0,0,0,0,5,3,0,9,15,18,20,20,10,5,105,0,0,0,15,13,26,98,42,23,217,0,0,0,0,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,10,0,0,0,5,6,4,8,0,0,22,0,0,0,0,7,33,60,29,8,134,0,3,0,3,4,11,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,4,0,3,13,11,14,90,53,13,203,6,15,14,104,81,69,72,36,10,392,0,0,0,0,0,3,3,0,0,12,0,0,0,10,0,0,0,0,0,12,0,0,0,4,6,3,0,0,0,12,4,15,7,33,4,8,3,0,0,75,0,0,0,0,4,0,11,3,3,26,0,0,0,0,0,0,0,0,0,0,0,4,0,19,19,42,68,44,11,205
SED20604,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,3,7,3,0,34,0,3,0,5,3,5,18,19,6,69,0,0,0,0,6,0,0,0,0,5,0,0,4,10,0,0,0,0,0,10,0,7,0,0,3,5,0,0,0,12,0,6,3,12,4,9,0,4,0,38,0,0,0,0,0,0,5,0,0,8,0,0,0,7,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,11,0,14,16,26,0,0,0,0,0,61,0,3,3,10,7,13,59,45,16,148,0,13,16,69,68,62,44,20,8,298,0,0,0,0,0,0,5,0,0,3,0,4,0,6,0,0,0,0,0,10,0,0,0,8,10,5,0,0,0,29,5,19,24,64,22,4,4,0,0,137,0,0,0,3,0,0,5,9,5,17,0,0,0,8,0,0,0,0,0,6,0,0,0,13,11,35,34,27,9,132
SED20704,0,0,0,0,0,0,3,0,0,11,0,0,5,14,6,3,7,6,4,50,0,0,0,4,3,11,24,8,7,54,0,0,4,0,0,0,0,0,0,0,0,8,3,14,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,6,0,5,9,28,10,7,8,0,0,75,0,0,0,0,0,0,12,4,0,16,0,0,4,3,0,0,0,0,0,8,0,0,22,108,35,22,4,9,0,202,0,0,3,30,3,0,0,0,0,39,0,0,0,0,7,7,26,15,3,58,6,18,22,55,57,42,34,13,0,234,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,0,0,0,0,43,0,0,3,3,7,0,0,0,0,10,0,13,22,72,12,4,7,0,0,128,0,0,0,0,3,4,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,0,0,5,10,19,26,16,4,86
SED20804,0,0,0,4,0,0,0,0,0,10,0,0,3,10,8,8,13,4,4,50,0,0,0,8,4,6,10,7,5,40,0,6,3,4,3,0,0,0,0,17,0,0,0,8,0,0,0,0,0,10,0,0,0,11,3,0,3,0,0,17,0,0,6,46,13,10,9,0,0,85,0,0,0,0,0,5,9,3,0,21,0,0,0,0,4,4,0,0,0,11,0,0,13,82,35,18,11,5,0,170,0,0,4,26,0,0,0,0,0,31,0,0,0,3,11,12,33,38,3,101,0,17,21,82,68,64,32,13,9,297,0,0,0,0,0,0,0,0,0,4,0,4,3,16,5,0,0,0,0,22,0,0,0,0,8,3,0,0,0,21,0,10,17,53,19,3,0,4,0,118,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,15,10,20,26,17,12,97
SED20906,0,0,0,9,0,0,0,0,0,9,0,0,13,107,19,15,14,8,0,188,0,3,0,34,15,40,67,67,53,280,4,22,8,20,19,3,7,0,0,92,0,22,29,57,35,7,3,0,0,164,0,0,0,7,19,12,15,13,0,67,0,15,24,108,41,27,29,8,0,248,0,0,0,0,0,0,11,7,0,17,0,0,0,18,11,4,4,4,0,46,0,0,0,3,5,0,6,0,0,15,0,0,13,24,6,0,0,0,0,50,0,0,0,7,8,13,7,4,0,49,5,35,52,179,109,78,31,9,0,506,0,0,0,0,0,7,3,0,0,14,0,0,4,18,5,0,0,0,0,23,0,0,0,0,3,3,0,0,0,12,0,6,7,56,16,6,4,0,0,106,0,3,0,21,17,23,52,18,15,143,0,0,0,5,0,0,0,0,0,0,0,4,14,37,29,24,26,11,4,157
SED21001,0,0,0,3,5,0,0,0,0,9,0,0,5,17,11,5,7,4,0,51,0,0,3,21,6,40,45,67,47,228,4,8,13,20,11,3,5,0,0,69,3,14,30,115,38,18,9,7,0,224,0,0,0,6,4,11,0,3,0,25,3,39,181,592,189,112,124,46,9,1293,0,0,0,0,0,8,3,4,0,17,0,0,10,13,9,3,0,4,0,34,0,0,0,11,0,3,3,0,0,25,0,0,31,67,5,0,0,0,0,103,0,4,7,5,0,3,21,18,14,65,4,36,50,109,75,74,43,20,9,424,0,0,0,0,0,0,6,0,0,14,0,3,28,78,13,5,0,0,0,125,0,0,3,4,11,0,0,0,0,19,5,8,24,132,26,15,7,4,0,227,0,0,0,9,4,3,3,3,7,38,0,0,0,0,0,0,0,0,0,5,0,0,0,9,24,11,18,14,6,99
